Date,SINGAPORE MID GROWTH Mid Cap
1994-05-31,636.759
1994-06-30,604.672
1994-07-29,610.426
1994-08-31,635.896
1994-09-30,660.396
1994-10-31,692.16
1994-11-30,619.191
1994-12-30,610.393
1995-01-31,573.637
1995-02-28,573.532
1995-03-31,573.584
1995-04-28,585.609
1995-05-31,624.877
1995-06-30,619.88
1995-07-31,649.023
1995-08-31,656.256
1995-09-29,687.333
1995-10-31,685.724
1995-11-30,724.407
1995-12-29,824.173
1996-01-31,837.772
1996-02-29,831.666
1996-03-29,809.86
1996-04-30,823.454
1996-05-31,796.955
1996-06-28,754.424
1996-07-31,625.325
1996-08-30,653.322
1996-09-30,650.776
1996-10-31,620.531
1996-11-29,677.645
1996-12-31,724.696
1997-01-31,767.562
1997-02-28,782.812
1997-03-31,698.722
1997-04-30,738.287
1997-05-30,841.003
1997-06-30,807.565
1997-07-31,834.091
1997-08-29,698.033
1997-09-30,759.555
1997-10-31,626.132
1997-11-28,613.438
1997-12-31,521.654
1998-01-30,435.071
1998-02-27,578.042
1998-03-31,632.737
1998-04-30,592.439
1998-05-29,471.896
1998-06-30,427.649
1998-07-31,429.413
1998-08-31,378.755
1998-09-30,411.727
1998-10-30,474.814
1998-11-30,541.628
1998-12-31,538.499
1999-01-29,573.99
1999-02-26,522.105
1999-03-31,539.639
1999-04-30,609.925
1999-05-31,642.196
1999-06-30,742.499
1999-07-30,775.403
1999-08-31,745.803
1999-09-30,693.241
1999-10-29,732.646
1999-11-30,766.737
1999-12-31,963.15
2000-01-31,977.835
2000-02-29,998.147
2000-03-31,1028.656
2000-04-28,901.977
2000-05-31,707.015
2000-06-30,796.376
2000-07-31,754.68
2000-08-31,794.778
2000-09-29,691.024
2000-10-31,610.292
2000-11-30,579.767
2000-12-29,523.469
2001-01-31,653.893
2001-02-28,577.869
2001-03-30,483.086
2001-04-30,509.447
2001-05-31,502.606
2001-06-29,492.554
2001-07-31,480.08
2001-08-31,474.135
2001-09-28,374.042
2001-10-31,394.614
2001-11-30,418.434
2001-12-31,464.893
2002-01-31,503.916
2002-02-28,491.741
2002-03-29,512.687
2002-04-30,489.775
2002-05-31,458.283
2002-06-28,426.285
2002-07-31,389.76
2002-08-30,391.305
2002-09-30,346.072
2002-10-31,375.592
2002-11-29,384.996
2002-12-31,355.251
2003-01-31,351.382
2003-02-28,357.373
2003-03-31,363.954
2003-04-30,376.907
2003-05-30,402.383
2003-06-30,419.324
2003-07-31,445.607
2003-08-29,462.153
2003-09-30,460.11
2003-10-31,471.773
2003-11-28,476.79
2003-12-31,494.643
2004-01-30,517.385
2004-02-27,514.745
2004-03-31,498.87
2004-04-30,504.313
2004-05-31,491.171
2004-06-30,491.898
2004-07-30,494.608
2004-08-31,504.414
2004-09-30,541.661
2004-10-29,539.355
2004-11-30,561.284
2004-12-31,577.321
2005-01-31,571.995
2005-02-28,575.048
2005-03-31,558.678
2005-04-29,575.867
2005-05-31,566.445
2005-06-30,583.557
2005-07-29,634.173
2005-08-31,613.991
2005-09-30,624.188
2005-10-31,587.949
2005-11-30,592.902
2005-12-30,624.415
2006-01-31,666.039
2006-02-28,693.061
