Date,SINGAPORE MID GROWTH Mid Cap
2001-01-01,523.599
2001-01-02,506.538
2001-01-03,495.302
2001-01-04,529.204
2001-01-05,561.206
2001-01-08,544.108
2001-01-09,561.495
2001-01-10,561.857
2001-01-11,531.099
2001-01-12,544.149
2001-01-15,563.067
2001-01-16,558.085
2001-01-17,552.666
2001-01-18,572.183
2001-01-19,624.994
2001-01-22,627.67
2001-01-23,617.929
2001-01-24,617.929
2001-01-25,618.337
2001-01-26,607.518
2001-01-29,624.349
2001-01-30,631.739
2001-01-31,654.055
2001-02-01,645.813
2001-02-02,643.987
2001-02-05,623.086
2001-02-06,615.254
2001-02-07,597.609
2001-02-08,612.891
2001-02-09,602.872
2001-02-12,606.704
2001-02-13,618.421
2001-02-14,607.917
2001-02-15,622.598
2001-02-16,629.684
2001-02-19,613.032
2001-02-20,626.672
2001-02-21,609.565
2001-02-22,596.179
2001-02-23,600.404
2001-02-26,601.175
2001-02-27,582.447
2001-02-28,578.013
2001-03-01,545.961
2001-03-02,532.081
2001-03-05,532.884
2001-03-06,533.225
2001-03-07,550.305
2001-03-08,549.498
2001-03-09,543.755
2001-03-12,526.889
2001-03-13,522.773
2001-03-14,514.029
2001-03-15,526.247
2001-03-16,524.748
2001-03-19,516.574
2001-03-20,516.99
2001-03-21,508.884
2001-03-22,488.538
2001-03-23,508.038
2001-03-26,509.13
2001-03-27,492.97
2001-03-28,479.833
2001-03-29,467.762
2001-03-30,483.206
2001-04-02,464.345
2001-04-03,458.069
2001-04-04,443.398
2001-04-05,463.633
2001-04-06,451.74
2001-04-09,432.803
2001-04-10,443.663
2001-04-11,452.611
2001-04-12,449.565
2001-04-13,449.565
2001-04-16,441.359
2001-04-17,418.977
2001-04-18,452.239
2001-04-19,479.44
2001-04-20,488.089
2001-04-23,492.775
2001-04-24,493.398
2001-04-25,487.517
2001-04-26,490.419
2001-04-27,494.699
2001-04-30,509.574
2001-05-01,511.12
2001-05-02,529.925
2001-05-03,527.971
2001-05-04,518.34
2001-05-07,517.81
2001-05-08,521.759
2001-05-09,512.456
2001-05-10,522.815
2001-05-11,519.772
2001-05-14,507.413
2001-05-15,509.003
2001-05-16,495.947
2001-05-17,512.038
2001-05-18,505.005
2001-05-21,504.01
2001-05-22,521.988
2001-05-23,527.356
2001-05-24,527.806
2001-05-25,523.818
2001-05-28,517.652
2001-05-29,514.543
2001-05-30,498.772
2001-05-31,502.731
2001-06-01,493.524
2001-06-04,499.606
2001-06-05,498.589
2001-06-06,502.702
2001-06-07,504.282
2001-06-08,518.71
2001-06-11,510.319
2001-06-12,503.626
2001-06-13,505.133
2001-06-14,494.753
2001-06-15,498.621
2001-06-18,495.011
2001-06-19,500.769
2001-06-20,488.396
2001-06-21,487.967
2001-06-22,499.732
2001-06-25,497.897
2001-06-26,494.684
2001-06-27,487.861
2001-06-28,475.504
2001-06-29,492.676
2001-07-02,488.296
2001-07-03,485.402
2001-07-04,479.801
2001-07-05,479.012
2001-07-06,470.581
2001-07-09,478.599
2001-07-10,483.309
2001-07-11,469.813
2001-07-12,476.606
2001-07-13,470.121
2001-07-16,465.303
2001-07-17,462.004
2001-07-18,456.584
2001-07-19,462.989
2001-07-20,462.026
2001-07-23,455.043
2001-07-24,460.954
2001-07-25,458.168
2001-07-26,458.779
2001-07-27,471.304
2001-07-30,476.564
2001-07-31,480.2
2001-08-01,498.255
2001-08-02,514.973
2001-08-03,505.308
2001-08-06,502.467
2001-08-07,494.854
2001-08-08,488.028
2001-08-09,488.051
2001-08-10,493.645
2001-08-13,486.722
2001-08-14,503.821
2001-08-15,503.481
2001-08-16,495.182
2001-08-17,492.124
2001-08-20,477.665
2001-08-21,481.192
2001-08-22,489.588
2001-08-23,485.411
2001-08-24,487.554
2001-08-27,492.422
2001-08-28,488.286
2001-08-29,483.335
2001-08-30,475.464
2001-08-31,474.253
2001-09-03,471.482
2001-09-04,483.009
2001-09-05,473.415
2001-09-06,464.141
