Date,WORLD ex USA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,648.987
2001-01-02,642.448
2001-01-03,632.998
2001-01-04,643.097
2001-01-05,642.811
2001-01-08,636.975
2001-01-09,624.791
2001-01-10,621.075
2001-01-11,626.937
2001-01-12,634.26
2001-01-15,632.939
2001-01-16,630.864
2001-01-17,642.912
2001-01-18,653.787
2001-01-19,655.658
2001-01-22,654.507
2001-01-23,652.121
2001-01-24,647.684
2001-01-25,648.382
2001-01-26,645.27
2001-01-29,644.434
2001-01-30,647.708
2001-01-31,653.612
2001-02-01,653.83
2001-02-02,643.089
2001-02-05,640.103
2001-02-06,638.135
2001-02-07,631.633
2001-02-08,622.974
2001-02-09,616.439
2001-02-12,622.67
2001-02-13,617.391
2001-02-14,606.477
2001-02-15,609.627
2001-02-16,600.49
2001-02-19,597.23
2001-02-20,590.676
2001-02-21,584.332
2001-02-22,579.811
2001-02-23,573.664
2001-02-26,579.443
2001-02-27,582.082
2001-02-28,576.69
2001-03-01,571.848
2001-03-02,567.368
2001-03-05,568.292
2001-03-06,583.67
2001-03-07,583.049
2001-03-08,580.299
2001-03-09,573.677
2001-03-12,554.371
2001-03-13,541.26
2001-03-14,531.786
2001-03-15,536.587
2001-03-16,525.656
2001-03-19,523.924
2001-03-20,530.383
2001-03-21,527.484
2001-03-22,506.229
2001-03-23,524.625
2001-03-26,543.491
2001-03-27,549.691
2001-03-28,542.402
2001-03-29,529.623
2001-03-30,526.789
2001-04-02,521.999
2001-04-03,511.825
2001-04-04,519.574
2001-04-05,530.456
2001-04-06,531.429
2001-04-09,529.903
2001-04-10,534.17
2001-04-11,539.562
2001-04-12,546.939
2001-04-13,547.153
2001-04-16,541.305
2001-04-17,536.554
2001-04-18,554.652
2001-04-19,567.155
2001-04-20,564.784
2001-04-23,559.043
2001-04-24,556.018
2001-04-25,558.246
2001-04-26,564.267
2001-04-27,565.349
2001-04-30,570.242
2001-05-01,578.56
2001-05-02,582.158
2001-05-03,577.235
2001-05-04,578.608
2001-05-07,582.982
2001-05-08,576.855
2001-05-09,570.28
2001-05-10,574.192
2001-05-11,568.39
2001-05-14,558.727
2001-05-15,565.34
2001-05-16,563.349
2001-05-17,570.611
2001-05-18,568.853
2001-05-21,573.096
2001-05-22,574.492
2001-05-23,569.884
2001-05-24,567.662
2001-05-25,562.915
2001-05-28,562.571
2001-05-29,558.348
2001-05-30,548.083
2001-05-31,543.761
2001-06-01,542.384
2001-06-04,543.639
2001-06-05,546.978
2001-06-06,544.186
2001-06-07,546.357
2001-06-08,544.805
2001-06-11,535.918
2001-06-12,525.055
2001-06-13,528.31
2001-06-14,525.994
2001-06-15,520.767
2001-06-18,514.902
2001-06-19,513.519
2001-06-20,508.647
2001-06-21,511.398
2001-06-22,514.583
2001-06-25,513.8
2001-06-26,508.717
2001-06-27,506.334
2001-06-28,504.194
2001-06-29,511.36
2001-07-02,514.282
2001-07-03,511.383
2001-07-04,505.811
2001-07-05,495.949
2001-07-06,488.583
2001-07-09,488.482
2001-07-10,490.313
2001-07-11,486.256
2001-07-12,491.388
2001-07-13,491.306
2001-07-16,488.987
2001-07-17,483.199
2001-07-18,484.332
2001-07-19,489.56
2001-07-20,487.852
2001-07-23,482.274
2001-07-24,482.138
2001-07-25,481.699
2001-07-26,483.105
2001-07-27,486.458
2001-07-30,487.022
2001-07-31,493.897
2001-08-01,500.076
2001-08-02,506.823
2001-08-03,503.734
2001-08-06,500.498
2001-08-07,499.363
2001-08-08,494.431
2001-08-09,487.271
2001-08-10,487.499
2001-08-13,487.245
2001-08-14,494.107
2001-08-15,497.875
2001-08-16,490.904
2001-08-17,486.135
2001-08-20,481.05
2001-08-21,485.427
2001-08-22,487.023
2001-08-23,482.248
2001-08-24,487.153
2001-08-27,488.199
2001-08-28,482.053
2001-08-29,479.778
2001-08-30,471.377
2001-08-31,470.777
2001-09-03,463.144
2001-09-04,464.588
2001-09-05,455.009
2001-09-06,447.323
2001-09-07,444.262
2001-09-10,436.503
2001-09-11,423.323
2001-09-12,418.767
2001-09-13,423.795
2001-09-14,418.348
2001-09-17,417.369
2001-09-18,417.433
2001-09-19,419.14
2001-09-20,408.223
2001-09-21,395.361
2001-09-24,407.402
2001-09-25,416.0
2001-09-26,416.221
2001-09-27,418.361
2001-09-28,426.733
2001-10-01,424.058
2001-10-02,427.695
2001-10-03,427.804
2001-10-04,438.043
2001-10-05,439.659
2001-10-08,440.471
2001-10-09,437.802
2001-10-10,440.485
2001-10-11,446.897
2001-10-12,448.772
2001-10-15,443.337
2001-10-16,447.441
2001-10-17,455.405
2001-10-18,447.298
2001-10-19,442.794
2001-10-22,445.403
2001-10-23,452.417
2001-10-24,455.081
2001-10-25,451.996
2001-10-26,456.334
2001-10-29,453.194
2001-10-30,444.986
2001-10-31,445.181
2001-11-01,449.934
2001-11-02,450.324
2001-11-05,455.324
2001-11-06,458.667
2001-11-07,458.564
2001-11-08,462.636
2001-11-09,458.965
2001-11-12,452.497
2001-11-13,457.163
2001-11-14,460.39
2001-11-15,465.224
2001-11-16,470.028
2001-11-19,472.024
2001-11-20,466.702
2001-11-21,462.212
2001-11-22,466.364
2001-11-23,463.934
2001-11-26,469.636
2001-11-27,466.523
2001-11-28,461.538
2001-11-29,459.313
2001-11-30,464.621
2001-12-03,458.363
2001-12-04,463.91
2001-12-05,475.487
2001-12-06,478.76
2001-12-07,474.371
2001-12-10,465.491
2001-12-11,464.58
2001-12-12,466.469
2001-12-13,457.949
2001-12-14,454.27
2001-12-17,459.664
2001-12-18,459.098
2001-12-19,455.416
2001-12-20,454.253
2001-12-21,452.796
2001-12-24,450.195
2001-12-25,449.526
2001-12-26,448.673
2001-12-27,456.835
2001-12-28,459.636
2001-12-31,462.618
2002-01-01,462.618
2002-01-02,463.185
2002-01-03,468.699
2002-01-04,471.32
2002-01-07,468.751
2002-01-08,462.048
2002-01-09,460.918
2002-01-10,456.769
2002-01-11,456.788
2002-01-14,451.441
2002-01-15,450.805
2002-01-16,444.149
2002-01-17,445.838
2002-01-18,447.163
2002-01-21,444.428
2002-01-22,441.418
2002-01-23,441.78
2002-01-24,444.444
2002-01-25,439.125
2002-01-28,441.214
2002-01-29,436.224
2002-01-30,430.626
2002-01-31,434.531
2002-02-01,432.822
