Date,WORLD ex USA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,661.196
2001-01-02,654.533
2001-01-03,644.906
2001-01-04,655.194
2001-01-05,654.903
2001-01-08,648.957
2001-01-09,636.544
2001-01-10,632.757
2001-01-11,638.729
2001-01-12,646.19
2001-01-15,644.843
2001-01-16,642.729
2001-01-17,655.002
2001-01-18,666.082
2001-01-19,667.988
2001-01-22,666.814
2001-01-23,664.384
2001-01-24,659.863
2001-01-25,660.573
2001-01-26,657.402
2001-01-29,656.55
2001-01-30,659.886
2001-01-31,665.894
2001-02-01,666.115
2001-02-02,655.172
2001-02-05,652.13
2001-02-06,650.125
2001-02-07,643.5
2001-02-08,634.678
2001-02-09,628.02
2001-02-12,634.369
2001-02-13,628.99
2001-02-14,617.87
2001-02-15,621.078
2001-02-16,611.77
2001-02-19,608.448
2001-02-20,601.76
2001-02-21,595.296
2001-02-22,590.689
2001-02-23,584.389
2001-02-26,590.275
2001-02-27,592.964
2001-02-28,587.469
2001-03-01,582.535
2001-03-02,577.972
2001-03-05,578.907
2001-03-06,594.571
2001-03-07,593.937
2001-03-08,591.133
2001-03-09,584.381
2001-03-12,564.715
2001-03-13,551.352
2001-03-14,541.698
2001-03-15,546.588
2001-03-16,535.452
2001-03-19,533.673
2001-03-20,540.25
2001-03-21,537.294
2001-03-22,515.609
2001-03-23,534.342
2001-03-26,553.538
2001-03-27,559.76
2001-03-28,552.333
2001-03-29,539.307
2001-03-30,536.41
2001-04-02,531.532
2001-04-03,521.17
2001-04-04,529.061
2001-04-05,540.141
2001-04-06,541.106
2001-04-09,539.551
2001-04-10,543.89
2001-04-11,549.336
2001-04-12,556.846
2001-04-13,557.063
2001-04-16,551.11
2001-04-17,546.24
2001-04-18,564.663
2001-04-19,577.387
2001-04-20,574.973
2001-04-23,569.071
2001-04-24,565.987
2001-04-25,568.243
2001-04-26,574.37
2001-04-27,575.462
2001-04-30,580.436
2001-05-01,588.892
2001-05-02,592.527
2001-05-03,587.506
2001-05-04,588.881
2001-05-07,593.317
2001-05-08,587.079
2001-05-09,580.384
2001-05-10,584.36
2001-05-11,578.442
2001-05-14,568.594
2001-05-15,575.323
2001-05-16,573.288
2001-05-17,580.669
2001-05-18,578.874
2001-05-21,583.13
2001-05-22,584.542
2001-05-23,579.842
2001-05-24,577.579
2001-05-25,572.739
2001-05-28,572.387
2001-05-29,568.089
2001-05-30,557.645
2001-05-31,553.241
2001-06-01,551.826
2001-06-04,553.1
2001-06-05,556.488
2001-06-06,553.631
2001-06-07,555.838
2001-06-08,554.244
2001-06-11,545.195
2001-06-12,534.144
2001-06-13,537.45
2001-06-14,535.085
2001-06-15,529.767
2001-06-18,523.793
2001-06-19,522.386
2001-06-20,517.424
2001-06-21,520.219
2001-06-22,523.459
2001-06-25,522.701
2001-06-26,517.529
2001-06-27,515.1
2001-06-28,512.915
2001-06-29,520.204
2001-07-02,523.173
2001-07-03,520.224
2001-07-04,514.554
2001-07-05,504.522
2001-07-06,497.028
2001-07-09,496.923
2001-07-10,498.781
2001-07-11,494.653
2001-07-12,499.863
2001-07-13,499.78
2001-07-16,497.419
2001-07-17,491.531
2001-07-18,492.679
2001-07-19,497.994
2001-07-20,496.256
2001-07-23,490.581
2001-07-24,490.442
2001-07-25,489.996
2001-07-26,491.426
2001-07-27,494.836
2001-07-30,495.408
2001-07-31,502.396
2001-08-01,508.682
2001-08-02,515.544
2001-08-03,512.402
2001-08-06,509.109
2001-08-07,507.955
2001-08-08,502.937
2001-08-09,495.654
2001-08-10,495.885
2001-08-13,495.611
2001-08-14,502.592
2001-08-15,506.393
2001-08-16,499.303
2001-08-17,494.452
2001-08-20,489.279
2001-08-21,493.729
2001-08-22,495.351
2001-08-23,490.493
2001-08-24,495.479
2001-08-27,496.543
2001-08-28,490.287
2001-08-29,487.972
2001-08-30,479.426
2001-08-31,478.815
2001-09-03,471.044
2001-09-04,472.513
2001-09-05,462.77
2001-09-06,454.951
2001-09-07,451.837
2001-09-10,443.944
2001-09-11,430.522
2001-09-12,425.889
2001-09-13,430.996
2001-09-14,425.455
2001-09-17,424.44
2001-09-18,424.505
2001-09-19,426.241
2001-09-20,415.138
2001-09-21,402.057
2001-09-24,414.302
2001-09-25,422.998
2001-09-26,423.222
2001-09-27,425.397
2001-09-28,433.91
2001-10-01,431.19
2001-10-02,434.887
2001-10-03,434.995
2001-10-04,445.406
2001-10-05,447.045
2001-10-08,447.87
2001-10-09,445.156
2001-10-10,447.88
2001-10-11,454.399
2001-10-12,456.306
2001-10-15,450.778
2001-10-16,454.952
2001-10-17,463.079
2001-10-18,454.836
2001-10-19,450.256
2001-10-22,452.908
2001-10-23,460.041
2001-10-24,462.749
2001-10-25,459.609
2001-10-26,464.02
2001-10-29,460.827
2001-10-30,452.481
2001-10-31,452.674
2001-11-01,457.507
2001-11-02,457.903
2001-11-05,462.987
