Date,WORLD ex USA IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,448.21
1994-06-30,456.688
1994-07-29,457.439
1994-08-31,466.771
1994-09-30,454.411
1994-10-31,465.248
1994-11-30,439.15
1994-12-30,445.629
1995-01-31,428.95
1995-02-28,421.607
1995-03-31,446.781
1995-04-28,464.513
1995-05-31,455.677
1995-06-30,449.78
1995-07-31,477.427
1995-08-31,462.623
1995-09-29,472.521
1995-10-31,458.915
1995-11-30,470.556
1995-12-29,486.704
1996-01-31,486.674
1996-02-29,489.288
1996-03-29,502.638
1996-04-30,520.198
1996-05-31,513.804
1996-06-28,516.033
1996-07-31,496.694
1996-08-30,498.976
1996-09-30,509.06
1996-10-31,503.013
1996-11-29,515.691
1996-12-31,505.085
1997-01-31,485.702
1997-02-28,492.294
1997-03-31,490.182
1997-04-30,492.759
1997-05-30,532.353
1997-06-30,559.523
1997-07-31,567.071
1997-08-29,527.11
1997-09-30,552.869
1997-10-31,510.661
1997-11-28,504.181
1997-12-31,507.715
1998-01-30,529.0
1998-02-27,562.215
1998-03-31,576.154
1998-04-30,581.563
1998-05-29,584.583
1998-06-30,583.762
1998-07-31,592.112
1998-08-31,519.422
1998-09-30,503.963
1998-10-30,553.164
1998-11-30,585.375
1998-12-31,613.068
1999-01-29,620.218
1999-02-26,601.811
1999-03-31,623.577
1999-04-30,641.688
1999-05-31,615.022
1999-06-30,650.949
1999-07-30,676.827
1999-08-31,690.964
1999-09-30,710.788
1999-10-29,753.754
1999-11-30,826.431
1999-12-31,928.881
2000-01-31,893.002
2000-02-29,966.363
2000-03-31,954.058
2000-04-28,873.027
2000-05-31,814.997
2000-06-30,845.027
2000-07-31,802.841
2000-08-31,822.451
2000-09-29,761.968
2000-10-31,707.115
2000-11-30,658.543
2000-12-29,661.193
2001-01-31,665.894
2001-02-28,587.469
2001-03-30,536.41
2001-04-30,580.436
2001-05-31,553.241
2001-06-29,520.204
2001-07-31,502.396
2001-08-31,478.815
2001-09-28,433.91
2001-10-31,452.674
2001-11-30,472.429
2001-12-31,470.375
2002-01-31,441.783
2002-02-28,441.001
2002-03-29,464.95
2002-04-30,462.406
2002-05-31,465.877
2002-06-28,446.744
2002-07-31,402.663
2002-08-30,398.802
2002-09-30,359.918
2002-10-31,380.229
2002-11-29,397.916
2002-12-31,384.679
2003-01-31,369.518
2003-02-28,361.836
2003-03-31,357.456
2003-04-30,391.429
2003-05-30,414.442
2003-06-30,424.089
2003-07-31,431.695
2003-08-29,444.122
2003-09-30,460.252
2003-10-31,488.323
2003-11-28,496.991
2003-12-31,528.986
2004-01-30,542.104
2004-02-27,554.192
2004-03-31,557.765
2004-04-30,540.297
2004-05-31,539.016
2004-06-30,549.998
2004-07-30,527.125
2004-08-31,528.202
2004-09-30,542.428
2004-10-29,561.303
2004-11-30,598.613
2004-12-31,622.901
2005-01-31,611.615
2005-02-28,636.723
2005-03-31,622.953
2005-04-29,609.474
2005-05-31,612.143
2005-06-30,621.617
2005-07-29,642.991
2005-08-31,663.44
2005-09-30,693.958
2005-10-31,671.621
2005-11-30,690.127
2005-12-30,728.558
2006-01-31,778.894
2006-02-28,768.036
2006-03-31,797.357
2006-04-28,836.066
2006-05-31,799.252
2006-06-30,796.623
2006-07-31,798.779
2006-08-31,820.387
2006-09-29,815.328
2006-10-31,844.982
2006-11-30,871.627
2006-12-29,891.648
2007-01-31,900.665
2007-02-28,909.592
2007-03-30,936.711
2007-04-30,977.138
2007-05-31,1000.0
2007-06-29,1003.614
2007-07-31,998.823
2007-08-31,986.098
2007-09-28,1049.783
2007-10-31,1101.169
2007-11-30,1065.843
2007-12-31,1047.437
2008-01-31,949.847
2008-02-29,983.694
2008-03-31,965.265
2008-04-30,1013.729
2008-05-30,1044.412
2008-06-30,979.02
2008-07-31,935.703
2008-08-29,893.122
2008-09-30,750.466
2008-10-31,592.238
2008-11-28,557.168
2008-12-31,590.031
2009-01-30,544.716
2009-02-27,494.342
2009-03-31,523.218
2009-04-30,571.587
2009-05-29,646.69
2009-06-30,642.389
2009-07-31,696.039
2009-08-31,716.936
2009-09-30,750.461
