Date,JAPAN IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,532.586
2001-01-02,531.214
2001-01-03,531.724
2001-01-04,523.118
2001-01-05,525.329
2001-01-08,525.211
2001-01-09,516.415
2001-01-10,511.849
2001-01-11,497.046
2001-01-12,496.697
2001-01-15,494.499
2001-01-16,504.777
2001-01-17,507.552
2001-01-18,513.223
2001-01-19,515.163
2001-01-22,517.988
2001-01-23,517.237
2001-01-24,512.118
2001-01-25,516.844
2001-01-26,515.087
2001-01-29,518.903
2001-01-30,520.166
2001-01-31,522.868
2001-02-01,528.253
2001-02-02,523.378
2001-02-05,518.38
2001-02-06,515.593
2001-02-07,513.265
2001-02-08,508.662
2001-02-09,508.715
2001-02-12,508.705
2001-02-13,509.205
2001-02-14,514.499
2001-02-15,519.537
2001-02-16,516.275
2001-02-19,510.452
2001-02-20,515.978
2001-02-21,509.12
2001-02-22,512.113
2001-02-23,518.094
2001-02-26,521.095
2001-02-27,521.7
2001-02-28,513.475
2001-03-01,508.656
2001-03-02,492.832
2001-03-05,492.957
2001-03-06,500.787
2001-03-07,500.37
2001-03-08,503.434
2001-03-09,504.385
2001-03-12,490.73
2001-03-13,480.596
2001-03-14,472.373
2001-03-15,478.238
2001-03-16,475.086
2001-03-19,481.476
2001-03-20,479.833
2001-03-21,505.493
2001-03-22,493.254
2001-03-23,504.655
2001-03-26,522.089
2001-03-27,520.661
2001-03-28,528.545
2001-03-29,507.496
2001-03-30,497.398
2001-04-02,488.558
2001-04-03,503.241
2001-04-04,509.814
2001-04-05,516.721
2001-04-06,517.662
2001-04-09,502.238
2001-04-10,498.096
2001-04-11,505.46
2001-04-12,512.415
2001-04-13,510.186
2001-04-16,505.53
2001-04-17,507.47
2001-04-18,522.452
2001-04-19,527.297
2001-04-20,523.737
2001-04-23,527.111
2001-04-24,527.455
2001-04-25,533.343
2001-04-26,540.963
2001-04-27,537.823
2001-04-30,538.917
2001-05-01,561.183
2001-05-02,563.405
2001-05-03,567.829
2001-05-04,567.923
2001-05-07,569.172
2001-05-08,556.257
2001-05-09,549.174
2001-05-10,543.638
2001-05-11,544.786
2001-05-14,535.685
2001-05-15,537.862
2001-05-16,531.48
2001-05-17,540.924
2001-05-18,537.536
2001-05-21,545.195
2001-05-22,544.212
2001-05-23,553.677
2001-05-24,552.901
2001-05-25,548.712
2001-05-28,544.71
2001-05-29,550.829
2001-05-30,541.422
2001-05-31,543.435
2001-06-01,542.0
2001-06-04,540.717
2001-06-05,536.154
2001-06-06,535.457
2001-06-07,538.538
2001-06-08,536.888
2001-06-11,531.087
2001-06-12,518.976
2001-06-13,520.432
2001-06-14,521.628
2001-06-15,517.582
2001-06-18,514.68
2001-06-19,513.499
2001-06-20,512.746
2001-06-21,520.839
2001-06-22,525.9
2001-06-25,526.17
2001-06-26,528.398
2001-06-27,524.812
2001-06-28,519.976
2001-06-29,527.203
2001-07-02,524.553
2001-07-03,525.732
2001-07-04,521.325
2001-07-05,516.614
2001-07-06,507.235
2001-07-09,504.193
2001-07-10,507.757
2001-07-11,505.253
2001-07-12,511.562
2001-07-13,506.264
2001-07-16,504.653
2001-07-17,499.453
2001-07-18,493.927
2001-07-19,494.388
2001-07-20,495.974
2001-07-23,479.998
2001-07-24,485.693
2001-07-25,491.153
2001-07-26,491.417
2001-07-27,492.059
2001-07-30,482.314
2001-07-31,490.12
2001-08-01,495.483
2001-08-02,509.002
2001-08-03,502.814
2001-08-06,501.975
2001-08-07,505.558
2001-08-08,506.04
2001-08-09,496.586
2001-08-10,500.591
2001-08-13,495.132
2001-08-14,509.19
2001-08-15,515.983
2001-08-16,509.474
2001-08-17,507.913
2001-08-20,501.177
2001-08-21,507.292
2001-08-22,512.946
2001-08-23,507.784
2001-08-24,507.291
2001-08-27,509.139
2001-08-28,506.042
2001-08-29,501.33
2001-08-30,493.109
2001-08-31,492.777
2001-09-03,481.62
2001-09-04,491.859
2001-09-05,481.917
2001-09-06,481.53
2001-09-07,482.11
2001-09-10,469.322
2001-09-11,477.853
2001-09-12,445.675
2001-09-13,451.53
2001-09-14,468.258
2001-09-17,448.948
2001-09-18,454.522
2001-09-19,463.335
2001-09-20,459.993
2001-09-21,445.433
2001-09-24,442.133
2001-09-25,447.905
2001-09-26,441.68
2001-09-27,436.722
2001-09-28,448.507
2001-10-01,455.333
2001-10-02,461.299
2001-10-03,455.364
2001-10-04,463.521
2001-10-05,461.825
2001-10-08,463.421
2001-10-09,451.4
2001-10-10,446.215
2001-10-11,453.029
2001-10-12,459.599
2001-10-15,455.649
2001-10-16,457.652
2001-10-17,458.497
2001-10-18,451.255
2001-10-19,450.049
2001-10-22,448.621
2001-10-23,453.773
2001-10-24,456.58
2001-10-25,461.677
2001-10-26,456.246
2001-10-29,451.409
2001-10-30,448.985
2001-10-31,444.262
2001-11-01,444.484
2001-11-02,442.934
2001-11-05,444.055
2001-11-06,447.503
2001-11-07,438.886
2001-11-08,444.04
2001-11-09,439.398
2001-11-12,434.943
2001-11-13,427.011
2001-11-14,425.791
2001-11-15,429.052
2001-11-16,428.015
2001-11-19,432.478
2001-11-20,433.763
2001-11-21,435.406
2001-11-22,433.139
2001-11-23,431.163
2001-11-26,439.352
2001-11-27,436.177
2001-11-28,428.965
2001-11-29,426.823
2001-11-30,429.757
2001-12-03,419.232
2001-12-04,416.126
2001-12-05,421.028
2001-12-06,422.086
2001-12-07,414.273
2001-12-10,404.592
2001-12-11,402.172
2001-12-12,409.34
2001-12-13,401.33
2001-12-14,397.878
2001-12-17,388.795
2001-12-18,389.19
2001-12-19,389.426
2001-12-20,395.267
2001-12-21,393.211
2001-12-24,391.986
2001-12-25,391.662
2001-12-26,387.131
2001-12-27,391.738
2001-12-28,399.195
2001-12-31,399.617
2002-01-01,399.617
2002-01-02,396.411
2002-01-03,397.69
2002-01-04,404.522
2002-01-07,403.736
2002-01-08,392.297
2002-01-09,390.286
2002-01-10,385.214
2002-01-11,383.95
2002-01-14,385.059
2002-01-15,380.425
2002-01-16,382.404
2002-01-17,380.578
2002-01-18,387.249
2002-01-21,388.739
2002-01-22,376.554
2002-01-23,373.803
2002-01-24,375.169
2002-01-25,376.526
2002-01-28,383.483
2002-01-29,376.251
2002-01-30,373.477
2002-01-31,374.804
2002-02-01,370.219
2002-02-04,368.354
2002-02-05,359.568
2002-02-06,358.803
2002-02-07,364.193
2002-02-08,365.262
2002-02-11,368.509
2002-02-12,378.599
2002-02-13,381.958
2002-02-14,382.959
2002-02-15,382.58
2002-02-18,383.182
2002-02-19,370.694
2002-02-20,369.647
2002-02-21,379.46
2002-02-22,381.527
