Date,JAPAN IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,538.049
2001-01-02,536.663
2001-01-03,537.178
2001-01-04,528.484
2001-01-05,530.717
2001-01-08,530.599
2001-01-09,521.713
2001-01-10,517.099
2001-01-11,502.144
2001-01-12,501.792
2001-01-15,499.572
2001-01-16,509.954
2001-01-17,512.759
2001-01-18,518.487
2001-01-19,520.447
2001-01-22,523.301
2001-01-23,522.543
2001-01-24,517.371
2001-01-25,522.146
2001-01-26,520.361
2001-01-29,524.217
2001-01-30,525.493
2001-01-31,528.222
2001-02-01,533.663
2001-02-02,528.738
2001-02-05,523.688
2001-02-06,520.873
2001-02-07,518.521
2001-02-08,513.87
2001-02-09,513.924
2001-02-12,513.914
2001-02-13,514.419
2001-02-14,519.767
2001-02-15,524.851
2001-02-16,521.556
2001-02-19,515.674
2001-02-20,521.256
2001-02-21,514.328
2001-02-22,517.351
2001-02-23,523.38
2001-02-26,526.411
2001-02-27,527.023
2001-02-28,518.714
2001-03-01,513.846
2001-03-02,497.86
2001-03-05,497.986
2001-03-06,505.897
2001-03-07,505.476
2001-03-08,508.57
2001-03-09,509.532
2001-03-12,495.737
2001-03-13,485.499
2001-03-14,477.193
2001-03-15,483.116
2001-03-16,479.932
2001-03-19,486.387
2001-03-20,484.728
2001-03-21,510.65
2001-03-22,498.286
2001-03-23,509.803
2001-03-26,527.415
2001-03-27,525.435
2001-03-28,533.386
2001-03-29,512.143
2001-03-30,501.952
2001-04-02,493.031
2001-04-03,507.848
2001-04-04,514.482
2001-04-05,521.452
2001-04-06,522.402
2001-04-09,506.836
2001-04-10,502.657
2001-04-11,510.088
2001-04-12,517.106
2001-04-13,514.857
2001-04-16,510.158
2001-04-17,512.116
2001-04-18,527.236
2001-04-19,532.125
2001-04-20,528.532
2001-04-23,531.937
2001-04-24,532.284
2001-04-25,538.212
2001-04-26,545.901
2001-04-27,542.732
2001-04-30,543.834
2001-05-01,566.304
2001-05-02,568.547
2001-05-03,573.011
2001-05-04,573.105
2001-05-07,574.366
2001-05-08,561.334
2001-05-09,554.185
2001-05-10,548.599
2001-05-11,549.757
2001-05-14,540.573
2001-05-15,542.77
2001-05-16,536.33
2001-05-17,545.859
2001-05-18,542.441
2001-05-21,550.168
2001-05-22,549.176
2001-05-23,558.727
2001-05-24,557.942
2001-05-25,553.715
2001-05-28,549.672
2001-05-29,555.846
2001-05-30,546.359
2001-05-31,548.386
2001-06-01,546.939
2001-06-04,545.644
2001-06-05,541.039
2001-06-06,540.336
2001-06-07,543.446
2001-06-08,541.778
2001-06-11,535.924
2001-06-12,523.703
2001-06-13,525.172
2001-06-14,526.379
2001-06-15,522.296
2001-06-18,519.368
2001-06-19,518.176
2001-06-20,517.416
2001-06-21,525.583
2001-06-22,530.69
2001-06-25,530.963
2001-06-26,533.185
2001-06-27,529.566
2001-06-28,524.687
2001-06-29,531.979
2001-07-02,529.305
2001-07-03,530.495
2001-07-04,526.048
2001-07-05,521.294
2001-07-06,511.83
2001-07-09,508.76
2001-07-10,512.356
2001-07-11,509.83
2001-07-12,516.196
2001-07-13,510.85
2001-07-16,509.224
2001-07-17,503.977
2001-07-18,498.402
2001-07-19,498.866
2001-07-20,500.466
2001-07-23,484.346
2001-07-24,490.093
2001-07-25,495.602
2001-07-26,495.864
2001-07-27,496.512
2001-07-30,486.679
2001-07-31,494.555
2001-08-01,499.967
2001-08-02,513.609
2001-08-03,507.364
2001-08-06,506.518
2001-08-07,510.133
2001-08-08,510.62
2001-08-09,501.08
2001-08-10,505.122
2001-08-13,499.613
2001-08-14,513.798
2001-08-15,520.651
2001-08-16,514.084
2001-08-17,512.508
2001-08-20,505.711
2001-08-21,511.882
2001-08-22,517.587
2001-08-23,512.378
2001-08-24,511.881
2001-08-27,513.745
2001-08-28,510.614
2001-08-29,505.86
2001-08-30,497.564
2001-08-31,497.229
2001-09-03,485.971
2001-09-04,496.303
2001-09-05,486.271
2001-09-06,485.88
2001-09-07,486.466
2001-09-10,473.563
2001-09-11,482.17
2001-09-12,449.701
2001-09-13,455.61
2001-09-14,472.488
2001-09-17,453.004
2001-09-18,458.628
2001-09-19,467.521
2001-09-20,464.149
2001-09-21,449.458
2001-09-24,446.127
2001-09-25,451.567
2001-09-26,445.291
2001-09-27,440.293
2001-09-28,452.173
2001-10-01,459.055
2001-10-02,465.07
2001-10-03,459.083
2001-10-04,467.307
2001-10-05,465.597
2001-10-08,467.206
2001-10-09,455.087
2001-10-10,449.86
2001-10-11,456.73
2001-10-12,463.354
2001-10-15,459.371
2001-10-16,461.402
2001-10-17,462.253
2001-10-18,454.952
2001-10-19,453.735
2001-10-22,452.296
2001-10-23,457.49
2001-10-24,460.32
2001-10-25,465.459
2001-10-26,459.983
2001-10-29,455.106
2001-10-30,452.662
2001-10-31,447.904
2001-11-01,448.128
2001-11-02,446.565
2001-11-05,447.695
2001-11-06,451.172
2001-11-07,442.484
2001-11-08,447.68
2001-11-09,443.0
2001-11-12,438.505
2001-11-13,430.508
2001-11-14,429.278
2001-11-15,432.566
2001-11-16,431.52
2001-11-19,436.02
2001-11-20,437.316
2001-11-21,438.98
2001-11-22,436.695
2001-11-23,434.703
2001-11-26,442.959
2001-11-27,439.756
2001-11-28,432.485
2001-11-29,430.326
2001-11-30,433.284
2001-12-03,422.672
2001-12-04,419.541
2001-12-05,424.482
2001-12-06,425.55
2001-12-07,417.673
2001-12-10,407.912
2001-12-11,405.472
2001-12-12,412.699
2001-12-13,404.624
2001-12-14,401.143
2001-12-17,391.985
2001-12-18,392.383
2001-12-19,392.621
2001-12-20,398.51
2001-12-21,396.438
2001-12-24,395.202
2001-12-25,394.846
2001-12-26,390.277
2001-12-27,394.921
2001-12-28,402.438
2001-12-31,402.864
2002-01-01,402.864
2002-01-02,399.632
2002-01-03,400.921
2002-01-04,407.809
2002-01-07,407.016
2002-01-08,395.484
2002-01-09,393.457
2002-01-10,388.344
2002-01-11,387.07
2002-01-14,388.187
2002-01-15,383.516
2002-01-16,385.511
2002-01-17,383.67
2002-01-18,390.395
2002-01-21,391.898
2002-01-22,379.613
2002-01-23,376.84
2002-01-24,378.217
2002-01-25,379.585
2002-01-28,386.591
2002-01-29,379.3
2002-01-30,376.504
2002-01-31,377.841
2002-02-01,373.219
2002-02-04,371.339
2002-02-05,362.48
2002-02-06,361.709
2002-02-07,367.142
2002-02-08,368.22
2002-02-11,371.494
2002-02-12,381.665
2002-02-13,385.051
2002-02-14,386.061
2002-02-15,385.678
2002-02-18,386.284
2002-02-19,373.695
2002-02-20,372.64
2002-02-21,382.532
2002-02-22,384.616
2002-02-25,383.941
2002-02-26,380.913
2002-02-27,389.604
2002-02-28,394.958
2002-03-01,402.072
2002-03-04,422.438
2002-03-05,419.134
2002-03-06,421.523
2002-03-07,440.472
2002-03-08,440.153
2002-03-11,447.516
2002-03-12,436.712
2002-03-13,427.373
2002-03-14,431.592
2002-03-15,435.997
2002-03-18,425.672
2002-03-19,433.678
2002-03-20,429.325
2002-03-21,427.556
2002-03-22,416.92
2002-03-25,415.389
2002-03-26,415.594
2002-03-27,420.38
2002-03-28,422.752
2002-03-29,413.507
2002-04-01,409.038
2002-04-02,413.429
2002-04-03,421.014
2002-04-04,425.725
2002-04-05,426.486
2002-04-08,427.168
2002-04-09,421.817
2002-04-10,427.333
2002-04-11,420.369
2002-04-12,415.062
2002-04-15,419.291
2002-04-16,424.204
2002-04-17,428.303
2002-04-18,433.754
2002-04-19,432.194
2002-04-22,437.948
2002-04-23,438.403
2002-04-24,436.606
2002-04-25,440.676
2002-04-26,437.16
2002-04-29,436.363
2002-04-30,434.794
2002-05-01,439.917
2002-05-02,438.49
2002-05-03,441.884
2002-05-06,440.497
2002-05-07,435.779
2002-05-08,437.088
2002-05-09,439.522
2002-05-10,440.865
2002-05-13,438.229
2002-05-14,433.344
2002-05-15,440.816
2002-05-16,446.808
2002-05-17,455.567
2002-05-20,458.837
2002-05-21,464.745
2002-05-22,470.028
2002-05-23,469.808
2002-05-24,473.638
2002-05-27,471.441
2002-05-28,472.28
2002-05-29,470.544
2002-05-30,472.839
2002-05-31,467.337
2002-06-03,472.88
2002-06-04,467.542
2002-06-05,464.178
2002-06-06,461.763
2002-06-07,459.751
2002-06-10,457.484
2002-06-11,457.387
2002-06-12,454.957
2002-06-13,449.389
2002-06-14,444.325
2002-06-17,431.277
2002-06-18,436.808
2002-06-19,426.826
2002-06-20,432.618
2002-06-21,432.778
2002-06-24,437.062
2002-06-25,435.963
2002-06-26,434.121
2002-06-27,435.245
2002-06-28,447.603
2002-07-01,447.749
2002-07-02,448.916
2002-07-03,457.401
2002-07-04,453.284
2002-07-05,455.704
2002-07-08,457.487
2002-07-09,465.794
2002-07-10,461.304
2002-07-11,458.31
2002-07-12,459.247
2002-07-15,455.049
2002-07-16,449.291
2002-07-17,448.674
2002-07-18,454.928
2002-07-19,450.696
2002-07-22,450.089
2002-07-23,447.252
2002-07-24,445.68
2002-07-25,439.821
2002-07-26,422.265
2002-07-29,421.237
2002-07-30,428.266
2002-07-31,425.41
2002-08-01,424.003
2002-08-02,424.279
2002-08-05,424.481
2002-08-06,410.849
2002-08-07,422.443
2002-08-08,422.731
2002-08-09,433.332
2002-08-12,428.983
2002-08-13,426.707
2002-08-14,435.198
2002-08-15,435.997
2002-08-16,434.784
2002-08-19,424.406
2002-08-20,422.21
2002-08-21,424.592
2002-08-22,426.308
2002-08-23,427.014
2002-08-26,434.747
2002-08-27,432.837
2002-08-28,428.301
2002-08-29,422.563
2002-08-30,422.936
2002-09-02,419.573
2002-09-03,411.726
2002-09-04,402.099
2002-09-05,407.796
2002-09-06,404.608
2002-09-09,408.819
2002-09-10,408.563
2002-09-11,407.685
2002-09-12,409.431
2002-09-13,403.421
2002-09-16,399.607
2002-09-17,408.899
2002-09-18,410.963
2002-09-19,420.581
2002-09-20,406.587
2002-09-23,404.896
2002-09-24,402.351
2002-09-25,397.996
2002-09-26,404.771
2002-09-27,411.608
2002-09-30,409.409
2002-10-01,399.594
2002-10-02,394.164
2002-10-03,390.355
2002-10-04,391.358
2002-10-07,375.486
2002-10-08,375.426
2002-10-09,369.602
2002-10-10,367.005
2002-10-11,370.72
2002-10-14,370.477
2002-10-15,379.071
2002-10-16,382.143
2002-10-17,382.143
2002-10-18,382.977
2002-10-21,383.526
2002-10-22,372.658
2002-10-23,376.506
2002-10-24,374.869
2002-10-25,379.717
2002-10-28,379.053
2002-10-29,377.897
2002-10-30,380.154
2002-10-31,377.76
2002-11-01,380.64
2002-11-04,379.956
2002-11-05,387.703
2002-11-06,386.518
2002-11-07,388.246
2002-11-08,386.523
2002-11-11,378.052
2002-11-12,378.271
2002-11-13,375.023
2002-11-14,368.533
2002-11-15,374.464
2002-11-18,366.534
2002-11-19,362.59
2002-11-20,365.691
2002-11-21,369.156
2002-11-22,372.676
2002-11-25,379.857
2002-11-26,377.742
2002-11-27,380.777
2002-11-28,386.514
2002-11-29,387.561
2002-12-02,381.032
2002-12-03,380.518
2002-12-04,373.754
2002-12-05,368.979
2002-12-06,371.446
2002-12-09,370.09
2002-12-10,371.949
2002-12-11,370.488
2002-12-12,371.541
2002-12-13,372.528
2002-12-16,368.93
2002-12-17,371.458
2002-12-18,363.175
2002-12-19,367.953
2002-12-20,369.021
2002-12-23,370.126
2002-12-24,373.107
2002-12-25,372.082
2002-12-26,378.776
2002-12-27,383.509
2002-12-30,386.765
2002-12-31,386.292
2003-01-01,386.292
2003-01-02,382.665
2003-01-03,382.712
2003-01-06,393.033
2003-01-07,385.316
2003-01-08,379.389
2003-01-09,380.669
2003-01-10,379.409
2003-01-13,381.306
2003-01-14,386.511
2003-01-15,391.381
2003-01-16,391.887
2003-01-17,393.791
2003-01-20,390.263
2003-01-21,393.612
2003-01-22,390.772
2003-01-23,398.529
2003-01-24,396.991
2003-01-27,389.962
2003-01-28,387.039
2003-01-29,381.516
2003-01-30,378.225
2003-01-31,375.073
2003-02-03,381.721
2003-02-04,386.554
2003-02-05,386.773
2003-02-06,385.527
2003-02-07,384.336
2003-02-10,383.106
2003-02-11,381.923
2003-02-12,388.341
2003-02-13,387.872
2003-02-14,391.006
2003-02-17,393.773
2003-02-18,395.735
2003-02-19,395.388
2003-02-20,394.451
2003-02-21,389.511
2003-02-24,392.487
2003-02-25,384.872
2003-02-26,385.625
2003-02-27,383.908
2003-02-28,382.568
2003-03-03,386.372
2003-03-04,387.535
2003-03-05,387.248
2003-03-06,384.367
2003-03-07,378.481
2003-03-10,373.487
2003-03-11,366.394
2003-03-12,369.709
2003-03-13,364.609
2003-03-14,365.729
2003-03-17,362.026
2003-03-18,363.085
2003-03-19,363.535
2003-03-20,369.884
2003-03-21,365.94
2003-03-24,378.921
2003-03-25,372.964
2003-03-26,377.917
2003-03-27,379.79
2003-03-28,375.897
2003-03-31,367.133
2003-04-01,369.038
2003-04-02,370.452
2003-04-03,366.592
2003-04-04,365.686
2003-04-07,370.679
2003-04-08,367.52
2003-04-09,365.984
2003-04-10,366.475
2003-04-11,359.744
2003-04-14,357.385
2003-04-15,362.63
2003-04-16,361.558
2003-04-17,363.949
2003-04-18,364.636
2003-04-21,365.675
2003-04-22,362.895
2003-04-23,362.156
2003-04-24,365.004
2003-04-25,358.753
2003-04-28,355.902
2003-04-29,356.391
2003-04-30,371.295
2003-05-01,375.064
2003-05-02,375.754
2003-05-05,376.641
2003-05-06,384.596
2003-05-07,389.945
2003-05-08,386.776
2003-05-09,389.114
2003-05-12,392.334
2003-05-13,392.84
2003-05-14,395.752
2003-05-15,391.413
2003-05-16,390.398
2003-05-19,384.682
2003-05-20,385.18
2003-05-21,381.762
2003-05-22,384.632
2003-05-23,390.666
2003-05-26,390.747
2003-05-27,385.065
2003-05-28,382.808
2003-05-29,387.656
2003-05-30,386.278
2003-06-02,391.925
2003-06-03,391.512
2003-06-04,392.93
2003-06-05,401.536
2003-06-06,401.457
2003-06-09,406.248
2003-06-10,406.999
2003-06-11,409.066
2003-06-12,408.731
2003-06-13,411.315
2003-06-16,408.313
2003-06-17,411.041
2003-06-18,413.152
2003-06-19,413.07
2003-06-20,415.477
2003-06-23,421.394
2003-06-24,411.978
2003-06-25,414.436
2003-06-26,410.557
2003-06-27,416.357
2003-06-30,415.214
2003-07-01,423.74
2003-07-02,435.487
2003-07-03,443.371
2003-07-04,441.134
2003-07-07,448.107
2003-07-08,449.665
2003-07-09,455.816
2003-07-10,453.379
2003-07-11,442.014
2003-07-14,445.487
2003-07-15,444.535
2003-07-16,438.579
2003-07-17,428.126
2003-07-18,430.493
2003-07-21,432.055
2003-07-22,428.76
2003-07-23,435.586
2003-07-24,437.202
2003-07-25,438.355
2003-07-28,440.964
2003-07-29,439.038
2003-07-30,430.673
2003-07-31,428.822
2003-08-01,432.897
2003-08-04,428.532
2003-08-05,426.805
2003-08-06,424.617
2003-08-07,427.17
2003-08-08,426.019
2003-08-11,432.302
2003-08-12,433.612
2003-08-13,439.256
2003-08-14,446.763
2003-08-15,447.148
2003-08-18,451.716
2003-08-19,457.019
2003-08-20,466.59
2003-08-21,471.847
2003-08-22,470.084
2003-08-25,468.412
2003-08-26,469.696
2003-08-27,468.661
2003-08-28,466.805
2003-08-29,473.366
2003-09-01,484.426
2003-09-02,486.884
2003-09-03,490.928
2003-09-04,488.338
2003-09-05,487.498
2003-09-08,488.841
2003-09-09,497.463
2003-09-10,494.556
2003-09-11,486.807
2003-09-12,495.305
2003-09-15,494.799
2003-09-16,510.98
2003-09-17,516.039
2003-09-18,522.96
2003-09-19,526.153
2003-09-22,523.309
2003-09-23,525.445
