Date,JAPAN IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,700.326
1994-06-30,743.749
1994-07-29,717.214
1994-08-31,717.369
1994-09-30,699.664
1994-10-31,716.964
1994-11-30,674.753
1994-12-30,684.975
1995-01-31,644.991
1995-02-28,610.006
1995-03-31,670.768
1995-04-28,694.688
1995-05-31,649.834
1995-06-30,625.346
1995-07-31,667.315
1995-08-31,646.307
1995-09-29,648.672
1995-10-31,617.179
1995-11-30,646.053
1995-12-29,676.909
1996-01-31,672.951
1996-02-29,665.601
1996-03-29,684.436
1996-04-30,734.437
1996-05-31,698.525
1996-06-28,705.91
1996-07-31,676.712
1996-08-30,647.838
1996-09-30,664.288
1996-10-31,621.892
1996-11-29,629.844
1996-12-31,585.605
1997-01-31,528.828
1997-02-28,532.481
1997-03-31,517.031
1997-04-30,525.818
1997-05-30,586.065
1997-06-30,623.186
1997-07-31,587.279
1997-08-29,534.814
1997-09-30,506.967
1997-10-31,479.542
1997-11-28,429.391
1997-12-31,383.554
1998-01-30,443.714
1998-02-27,453.458
1998-03-31,423.23
1998-04-30,411.855
1998-05-29,394.012
1998-06-30,398.017
1998-07-31,388.81
1998-08-31,351.04
1998-09-30,344.381
1998-10-30,403.762
1998-11-30,419.198
1998-12-31,435.085
1999-01-29,434.592
1999-02-26,422.203
1999-03-31,479.514
1999-04-30,504.413
1999-05-31,479.172
1999-06-30,517.678
1999-07-30,562.971
1999-08-31,576.319
1999-09-30,607.553
1999-10-29,620.694
1999-11-30,610.577
1999-12-31,603.134
2000-01-31,596.075
2000-02-29,563.087
2000-03-31,637.555
2000-04-28,605.031
2000-05-31,599.213
2000-06-30,645.358
2000-07-31,577.147
2000-08-31,605.147
2000-09-29,592.83
2000-10-31,573.362
2000-11-30,555.419
2000-12-29,532.562
2001-01-31,522.868
2001-02-28,513.475
2001-03-30,497.398
2001-04-30,538.917
2001-05-31,543.435
2001-06-29,527.203
2001-07-31,490.12
2001-08-31,492.777
