Date,DENMARK SMID CAP SMID (Small+Mid Cap)
2001-01-01,266.467
2001-01-02,268.693
2001-01-03,266.8
2001-01-04,269.108
2001-01-05,267.503
2001-01-08,267.72
2001-01-09,265.137
2001-01-10,264.77
2001-01-11,267.883
2001-01-12,270.86
2001-01-15,269.306
2001-01-16,269.746
2001-01-17,272.81
2001-01-18,279.543
2001-01-19,277.071
2001-01-22,279.464
2001-01-23,282.189
2001-01-24,278.707
2001-01-25,276.602
2001-01-26,277.803
2001-01-29,277.13
2001-01-30,280.036
2001-01-31,284.169
2001-02-01,283.756
2001-02-02,279.566
2001-02-05,279.124
2001-02-06,279.298
2001-02-07,279.006
2001-02-08,277.326
2001-02-09,278.389
2001-02-12,278.902
2001-02-13,274.114
2001-02-14,270.481
2001-02-15,267.708
2001-02-16,269.466
2001-02-19,268.347
2001-02-20,265.931
2001-02-21,266.607
2001-02-22,264.661
2001-02-23,261.555
2001-02-26,261.806
2001-02-27,265.723
2001-02-28,261.564
2001-03-01,260.142
2001-03-02,259.006
2001-03-05,254.607
2001-03-06,256.575
2001-03-07,257.073
2001-03-08,257.785
2001-03-09,256.905
2001-03-12,251.208
2001-03-13,242.206
2001-03-14,237.076
2001-03-15,235.596
2001-03-16,230.089
2001-03-19,226.154
2001-03-20,230.942
2001-03-21,228.853
2001-03-22,218.523
2001-03-23,223.292
2001-03-26,230.746
2001-03-27,232.471
2001-03-28,226.704
2001-03-29,223.891
2001-03-30,223.697
2001-04-02,215.232
2001-04-03,210.489
2001-04-04,212.57
2001-04-05,215.615
2001-04-06,217.638
2001-04-09,218.683
2001-04-10,221.549
2001-04-11,222.003
2001-04-12,222.724
2001-04-13,222.724
2001-04-16,223.016
2001-04-17,222.417
2001-04-18,228.626
2001-04-19,232.827
2001-04-20,234.229
2001-04-23,230.087
2001-04-24,228.072
2001-04-25,228.379
2001-04-26,232.332
2001-04-27,234.387
2001-04-30,237.616
2001-05-01,238.859
2001-05-02,239.325
2001-05-03,238.722
2001-05-04,240.119
2001-05-07,241.314
2001-05-08,240.419
2001-05-09,238.915
2001-05-10,244.106
2001-05-11,242.157
2001-05-14,242.858
2001-05-15,245.43
2001-05-16,243.581
2001-05-17,243.792
2001-05-18,243.224
2001-05-21,245.581
2001-05-22,246.715
2001-05-23,245.076
2001-05-24,244.171
2001-05-25,245.786
2001-05-28,245.521
2001-05-29,244.199
2001-05-30,244.364
2001-05-31,241.441
2001-06-01,239.274
2001-06-04,239.606
2001-06-05,239.697
2001-06-06,238.424
2001-06-07,239.458
2001-06-08,238.299
2001-06-11,234.373
2001-06-12,233.441
2001-06-13,234.525
2001-06-14,235.149
2001-06-15,232.57
2001-06-18,231.139
2001-06-19,227.665
2001-06-20,225.757
2001-06-21,226.386
2001-06-22,226.863
2001-06-25,230.399
2001-06-26,228.635
2001-06-27,231.618
2001-06-28,229.314
2001-06-29,229.694
2001-07-02,230.929
2001-07-03,232.133
2001-07-04,229.534
2001-07-05,226.478
2001-07-06,227.084
2001-07-09,228.266
2001-07-10,230.43
2001-07-11,230.549
2001-07-12,227.816
2001-07-13,227.816
2001-07-16,226.848
2001-07-17,225.174
2001-07-18,230.91
2001-07-19,232.333
2001-07-20,233.396
2001-07-23,231.14
2001-07-24,231.232
2001-07-25,231.261
2001-07-26,230.802
2001-07-27,230.716
2001-07-30,232.783
2001-07-31,234.109
2001-08-01,239.413
2001-08-02,239.964
2001-08-03,240.897
2001-08-06,238.1
2001-08-07,235.008
2001-08-08,233.708
2001-08-09,232.84
2001-08-10,232.25
2001-08-13,233.466
2001-08-14,236.609
2001-08-15,239.223
2001-08-16,238.479
2001-08-17,238.92
2001-08-20,236.27
2001-08-21,233.671
2001-08-22,233.538
2001-08-23,231.255
2001-08-24,232.924
2001-08-27,232.383
2001-08-28,231.131
2001-08-29,229.459
2001-08-30,223.799
2001-08-31,219.589
2001-09-03,217.871
2001-09-04,213.91
2001-09-05,210.98
2001-09-06,209.072
2001-09-07,212.489
2001-09-10,208.238
2001-09-11,203.752
2001-09-12,205.035
2001-09-13,207.428
2001-09-14,208.375
2001-09-17,198.384
2001-09-18,194.209
2001-09-19,196.405
2001-09-20,188.095
2001-09-21,177.82
2001-09-24,181.793
2001-09-25,185.685
2001-09-26,189.946
2001-09-27,190.358
2001-09-28,194.537
2001-10-01,191.163
2001-10-02,193.897
2001-10-03,194.882
2001-10-04,198.121
2001-10-05,198.794
2001-10-08,198.315
2001-10-09,203.505
2001-10-10,203.693
2001-10-11,206.467
2001-10-12,204.889
2001-10-15,205.476
2001-10-16,205.351
2001-10-17,206.704
2001-10-18,202.455
2001-10-19,203.021
2001-10-22,203.907
2001-10-23,203.99
2001-10-24,203.096
2001-10-25,200.92
2001-10-26,202.228
2001-10-29,203.451
2001-10-30,200.056
2001-10-31,199.942
2001-11-01,200.622
2001-11-02,198.641
2001-11-05,199.447
2001-11-06,198.984
2001-11-07,199.903
2001-11-08,202.751
2001-11-09,203.908
2001-11-12,201.583
2001-11-13,202.013
2001-11-14,201.615
2001-11-15,202.011
2001-11-16,202.776
2001-11-19,203.424
2001-11-20,202.553
2001-11-21,202.137
2001-11-22,202.877
2001-11-23,203.149
2001-11-26,205.286
2001-11-27,207.757
2001-11-28,205.881
2001-11-29,205.281
2001-11-30,205.891
2001-12-03,200.226
2001-12-04,199.422
2001-12-05,203.177
2001-12-06,201.238
2001-12-07,200.364
2001-12-10,199.293
2001-12-11,198.032
2001-12-12,196.868
2001-12-13,195.818
2001-12-14,195.115
2001-12-17,193.638
2001-12-18,194.889
2001-12-19,195.464
2001-12-20,197.017
2001-12-21,193.449
2001-12-24,191.57
2001-12-25,191.57
2001-12-26,191.729
2001-12-27,196.232
2001-12-28,197.803
2001-12-31,199.74
2002-01-01,199.74
2002-01-02,203.743
2002-01-03,204.304
2002-01-04,201.922
2002-01-07,200.309
2002-01-08,198.735
2002-01-09,199.452
2002-01-10,200.781
2002-01-11,202.787
2002-01-14,200.796
2002-01-15,200.127
2002-01-16,196.501
2002-01-17,195.965
2002-01-18,197.488
2002-01-21,198.15
2002-01-22,199.476
2002-01-23,200.005
2002-01-24,200.354
2002-01-25,195.727
2002-01-28,195.458
2002-01-29,194.367
2002-01-30,192.024
2002-01-31,193.524
2002-02-01,195.222
2002-02-04,195.969
2002-02-05,194.791
2002-02-06,193.931
2002-02-07,194.822
2002-02-08,196.12
2002-02-11,199.602
2002-02-12,198.899
2002-02-13,196.999
2002-02-14,197.299
2002-02-15,198.992
2002-02-18,197.02
2002-02-19,196.342
2002-02-20,197.869
2002-02-21,200.167
2002-02-22,202.109
2002-02-25,201.928
2002-02-26,203.043
2002-02-27,204.053
2002-02-28,203.546
2002-03-01,202.761
2002-03-04,203.601
2002-03-05,201.639
2002-03-06,202.411
2002-03-07,202.823
2002-03-08,205.926
2002-03-11,206.701
2002-03-12,204.884
2002-03-13,206.179
2002-03-14,208.793
2002-03-15,208.169
2002-03-18,210.43
2002-03-19,212.776
2002-03-20,212.251
2002-03-21,210.9
2002-03-22,211.677
2002-03-25,211.307
2002-03-26,211.917
2002-03-27,211.846
2002-03-28,211.743
2002-03-29,211.743
2002-04-01,213.487
2002-04-02,213.912
2002-04-03,212.309
2002-04-04,211.038
2002-04-05,211.06
2002-04-08,209.172
2002-04-09,209.275
2002-04-10,207.647
2002-04-11,208.612
2002-04-12,208.947
2002-04-15,208.589
2002-04-16,208.748
2002-04-17,209.551
2002-04-18,208.278
2002-04-19,209.825
2002-04-22,209.52
2002-04-23,208.871
2002-04-24,208.835
2002-04-25,208.109
2002-04-26,208.107
2002-04-29,209.081
2002-04-30,211.922
2002-05-01,213.927
2002-05-02,215.721
2002-05-03,217.384
2002-05-06,218.414
2002-05-07,220.667
2002-05-08,222.667
2002-05-09,222.618
2002-05-10,221.897
2002-05-13,221.03
2002-05-14,218.592
2002-05-15,219.057
2002-05-16,218.786
2002-05-17,222.95
2002-05-20,223.024
2002-05-21,222.251
2002-05-22,221.337
2002-05-23,222.479
2002-05-24,222.308
2002-05-27,221.45
2002-05-28,220.456
2002-05-29,219.613
2002-05-30,223.356
2002-05-31,226.088
2002-06-03,228.137
2002-06-04,226.067
2002-06-05,224.648
2002-06-06,231.722
2002-06-07,227.611
2002-06-10,228.404
2002-06-11,228.105
2002-06-12,227.966
2002-06-13,225.793
2002-06-14,221.458
2002-06-17,223.021
2002-06-18,224.191
2002-06-19,220.387
2002-06-20,217.926
2002-06-21,217.132
2002-06-24,213.387
2002-06-25,217.069
2002-06-26,219.003
2002-06-27,223.424
2002-06-28,227.275
2002-07-01,228.972
2002-07-02,226.586
2002-07-03,220.581
2002-07-04,221.03
2002-07-05,224.718
2002-07-08,228.107
2002-07-09,225.927
2002-07-10,222.584
2002-07-11,218.68
2002-07-12,221.126
2002-07-15,222.601
2002-07-16,221.426
2002-07-17,224.042
2002-07-18,225.238
2002-07-19,223.868
2002-07-22,217.586
2002-07-23,208.93
2002-07-24,195.644
2002-07-25,203.925
2002-07-26,200.795
2002-07-29,204.958
2002-07-30,206.114
2002-07-31,202.986
2002-08-01,204.852
2002-08-02,203.955
2002-08-05,200.437
2002-08-06,195.054
2002-08-07,197.992
2002-08-08,198.425
2002-08-09,199.258
2002-08-12,200.169
2002-08-13,201.378
2002-08-14,200.278
2002-08-15,201.427
2002-08-16,199.579
2002-08-19,201.323
2002-08-20,201.831
2002-08-21,206.49
2002-08-22,204.479
2002-08-23,200.058
2002-08-26,199.575
2002-08-27,200.591
2002-08-28,201.018
2002-08-29,202.567
2002-08-30,201.73
2002-09-02,202.159
2002-09-03,200.815
2002-09-04,198.616
2002-09-05,196.656
2002-09-06,198.996
2002-09-09,195.681
2002-09-10,195.376
2002-09-11,196.215
2002-09-12,194.648
2002-09-13,193.482
2002-09-16,189.186
2002-09-17,188.837
2002-09-18,183.72
2002-09-19,182.271
2002-09-20,184.652
2002-09-23,181.028
2002-09-24,175.913
2002-09-25,173.735
2002-09-26,173.516
2002-09-27,176.842
2002-09-30,174.194
2002-10-01,170.909
2002-10-02,172.965
2002-10-03,169.691
2002-10-04,169.851
2002-10-07,168.525
2002-10-08,167.915
2002-10-09,164.649
2002-10-10,162.74
2002-10-11,168.757
2002-10-14,168.645
2002-10-15,175.944
2002-10-16,172.949
2002-10-17,173.313
2002-10-18,172.873
2002-10-21,172.713
2002-10-22,175.177
2002-10-23,171.002
2002-10-24,171.755
2002-10-25,170.795
2002-10-28,175.189
2002-10-29,169.551
2002-10-30,171.556
2002-10-31,174.422
2002-11-01,173.861
2002-11-04,178.706
2002-11-05,180.53
2002-11-06,179.006
2002-11-07,176.603
2002-11-08,177.224
2002-11-11,177.224
2002-11-12,177.741
2002-11-13,175.817
2002-11-14,176.978
2002-11-15,177.511
2002-11-18,180.856
2002-11-19,180.093
2002-11-20,178.158
2002-11-21,179.337
2002-11-22,180.595
2002-11-25,179.476
2002-11-26,177.934
2002-11-27,173.676
2002-11-28,174.751
2002-11-29,175.976
2002-12-02,175.6
2002-12-03,173.629
2002-12-04,172.745
2002-12-05,172.231
2002-12-06,172.082
2002-12-09,171.808
2002-12-10,173.628
2002-12-11,175.026
2002-12-12,177.132
2002-12-13,176.794
2002-12-16,178.519
2002-12-17,184.501
2002-12-18,181.5
2002-12-19,179.972
2002-12-20,179.319
2002-12-23,179.988
2002-12-24,180.743
2002-12-25,180.743
2002-12-26,181.19
2002-12-27,182.129
2002-12-30,183.245
2002-12-31,183.925
2003-01-01,183.925
2003-01-02,185.92
2003-01-03,187.521
2003-01-06,189.983
2003-01-07,187.252
2003-01-08,185.176
2003-01-09,187.884
2003-01-10,189.899
2003-01-13,190.175
2003-01-14,190.867
2003-01-15,188.668
2003-01-16,189.687
2003-01-17,189.221
2003-01-20,189.296
2003-01-21,189.088
2003-01-22,188.353
2003-01-23,186.411
2003-01-24,187.428
2003-01-27,182.833
2003-01-28,180.252
2003-01-29,179.223
2003-01-30,179.073
2003-01-31,176.64
2003-02-03,177.364
2003-02-04,174.82
2003-02-05,174.224
2003-02-06,175.456
2003-02-07,174.403
2003-02-10,171.562
2003-02-11,170.676
2003-02-12,169.603
2003-02-13,170.881
2003-02-14,171.976
2003-02-17,171.917
2003-02-18,171.653
2003-02-19,171.723
2003-02-20,168.468
2003-02-21,167.252
2003-02-24,167.144
2003-02-25,163.675
2003-02-26,162.013
2003-02-27,162.642
2003-02-28,164.72
2003-03-03,166.581
2003-03-04,165.085
2003-03-05,165.422
2003-03-06,161.842
2003-03-07,162.33
2003-03-10,160.664
2003-03-11,159.621
2003-03-12,159.33
2003-03-13,159.428
2003-03-14,164.612
2003-03-17,165.856
2003-03-18,166.493
2003-03-19,166.895
2003-03-20,167.296
2003-03-21,170.525
2003-03-24,170.826
2003-03-25,171.897
2003-03-26,172.438
2003-03-27,171.252
2003-03-28,173.612
2003-03-31,173.166
2003-04-01,173.63
2003-04-02,176.199
2003-04-03,177.343
2003-04-04,178.455
2003-04-07,181.734
2003-04-08,179.374
2003-04-09,179.657
2003-04-10,180.642
2003-04-11,181.057
2003-04-14,182.777
2003-04-15,185.025
2003-04-16,185.576
2003-04-17,186.467
2003-04-18,186.467
2003-04-21,185.67
2003-04-22,187.504
2003-04-23,190.654
2003-04-24,190.867
2003-04-25,189.375
2003-04-28,190.602
2003-04-29,192.607
2003-04-30,195.069
2003-05-01,196.999
2003-05-02,197.286
2003-05-05,200.573
2003-05-06,198.937
2003-05-07,199.677
2003-05-08,201.189
2003-05-09,201.187
2003-05-12,202.396
2003-05-13,202.252
2003-05-14,204.033
2003-05-15,208.31
2003-05-16,209.675
2003-05-19,209.898
2003-05-20,211.708
2003-05-21,212.128
2003-05-22,212.595
2003-05-23,213.418
2003-05-26,213.415
2003-05-27,211.635
