Date,FRANCE SMALL VALUE Small Cap
1994-05-31,155.317
1994-06-30,152.694
1994-07-29,159.638
1994-08-31,160.793
1994-09-30,155.387
1994-10-31,155.869
1994-11-30,150.981
1994-12-30,149.763
1995-01-31,146.034
1995-02-28,149.82
1995-03-31,158.674
1995-04-28,159.046
1995-05-31,163.912
1995-06-30,167.144
1995-07-31,168.368
1995-08-31,157.993
1995-09-29,156.624
1995-10-31,153.227
1995-11-30,150.747
1995-12-29,152.319
1996-01-31,156.04
1996-02-29,168.627
1996-03-29,177.525
1996-04-30,175.872
1996-05-31,177.181
1996-06-28,177.611
1996-07-31,175.309
1996-08-30,173.852
1996-09-30,171.875
1996-10-31,177.814
1996-11-29,177.25
1996-12-31,180.063
1997-01-31,184.874
1997-02-28,191.046
1997-03-31,196.859
1997-04-30,188.427
1997-05-30,185.499
1997-06-30,187.557
1997-07-31,185.315
1997-08-29,185.202
1997-09-30,198.058
1997-10-31,197.326
1997-11-28,191.225
1997-12-31,194.478
1998-01-30,199.967
1998-02-27,212.398
1998-03-31,227.606
1998-04-30,242.789
1998-05-29,264.136
1998-06-30,257.45
1998-07-31,260.123
1998-08-31,237.581
1998-09-30,228.979
1998-10-30,239.643
1998-11-30,243.912
1998-12-31,247.267
1999-01-29,235.661
1999-02-26,224.753
1999-03-31,223.324
1999-04-30,227.701
1999-05-31,228.677
1999-06-30,237.359
1999-07-30,241.612
1999-08-31,249.48
1999-09-30,254.082
1999-10-29,250.013
1999-11-30,244.756
1999-12-31,256.006
2000-01-31,257.273
2000-02-29,250.296
2000-03-31,247.168
2000-04-28,231.453
2000-05-31,242.345
2000-06-30,250.841
2000-07-31,247.129
2000-08-31,247.332
2000-09-29,240.959
2000-10-31,229.34
2000-11-30,236.749
2000-12-29,253.471
2001-01-31,264.286
2001-02-28,260.183
2001-03-30,243.475
2001-04-30,253.801
2001-05-31,252.648
2001-06-29,245.948
2001-07-31,252.948
2001-08-31,258.477
2001-09-28,224.11
2001-10-31,232.753
2001-11-30,237.732
2001-12-31,238.826
2002-01-31,239.558
2002-02-28,246.673
2002-03-29,262.395
2002-04-30,275.446
2002-05-31,291.326
2002-06-28,279.615
2002-07-31,254.683
2002-08-30,253.413
2002-09-30,221.583
2002-10-31,232.789
2002-11-29,252.863
2002-12-31,252.739
2003-01-31,248.715
2003-02-28,231.564
2003-03-31,226.712
2003-04-30,257.128
2003-05-30,287.321
2003-06-30,290.262
2003-07-31,296.592
2003-08-29,303.461
2003-09-30,323.984
2003-10-31,337.428
2003-11-28,353.89
2003-12-31,362.801
2004-01-30,382.716
2004-02-27,402.735
2004-03-31,391.331
2004-04-30,378.419
2004-05-31,368.88
2004-06-30,380.823
2004-07-30,366.343
2004-08-31,373.969
2004-09-30,394.282
2004-10-29,407.476
2004-11-30,442.891
2004-12-31,472.521
2005-01-31,490.525
2005-02-28,514.819
2005-03-31,502.879
2005-04-29,489.784
2005-05-31,497.146
2005-06-30,508.19
2005-07-29,537.517
2005-08-31,545.908
2005-09-30,569.013
2005-10-31,549.667
2005-11-30,554.238
2005-12-30,573.161
2006-01-31,629.258
2006-02-28,642.447
2006-03-31,688.27
2006-04-28,721.731
2006-05-31,693.805
2006-06-30,678.546
2006-07-31,672.728
2006-08-31,694.864
2006-09-29,710.156
2006-10-31,744.366
2006-11-30,807.264
2006-12-29,837.246
2007-01-31,851.749
2007-02-28,858.925
2007-03-30,889.85
2007-04-30,938.572
2007-05-31,1000.0
2007-06-29,998.711
2007-07-31,994.183
2007-08-31,958.998
2007-09-28,1001.967
2007-10-31,1042.117
2007-11-30,955.464
2007-12-31,916.013
2008-01-31,792.862
2008-02-29,831.326
2008-03-31,864.223
2008-04-30,887.733
2008-05-30,894.815
2008-06-30,800.18
2008-07-31,770.875
