Date,FRANCE SMALL VALUE Small Cap
2001-12-19,238.407
2001-12-20,237.314
2001-12-21,234.357
2001-12-24,232.751
2001-12-25,232.751
2001-12-26,232.95
2001-12-27,236.477
2001-12-28,236.519
2001-12-31,238.826
2002-01-01,238.826
2002-01-02,244.466
2002-01-03,245.484
2002-01-04,244.61
2002-01-07,245.126
2002-01-08,245.74
2002-01-09,245.871
2002-01-10,246.595
2002-01-11,247.368
2002-01-14,248.729
2002-01-15,247.078
2002-01-16,244.446
2002-01-17,244.329
2002-01-18,245.244
2002-01-21,245.124
2002-01-22,244.656
2002-01-23,244.302
2002-01-24,242.935
2002-01-25,239.707
2002-01-28,239.161
2002-01-29,239.686
2002-01-30,239.326
2002-01-31,239.558
2002-02-01,241.143
2002-02-04,242.677
2002-02-05,241.751
2002-02-06,242.204
2002-02-07,242.936
2002-02-08,243.438
2002-02-11,245.548
2002-02-12,245.328
2002-02-13,244.807
2002-02-14,245.498
2002-02-15,247.095
2002-02-18,246.357
2002-02-19,246.92
2002-02-20,246.627
2002-02-21,246.289
2002-02-22,247.539
2002-02-25,246.653
2002-02-26,246.759
2002-02-27,245.659
2002-02-28,246.673
2002-03-01,248.266
2002-03-04,252.376
2002-03-05,252.194
2002-03-06,254.524
2002-03-07,258.392
2002-03-08,257.875
2002-03-11,258.444
2002-03-12,257.999
2002-03-13,259.321
2002-03-14,261.276
2002-03-15,262.219
2002-03-18,261.859
2002-03-19,262.579
2002-03-20,263.133
2002-03-21,263.356
2002-03-22,263.472
2002-03-25,262.612
2002-03-26,262.827
2002-03-27,261.675
2002-03-28,262.395
2002-03-29,262.395
2002-04-01,264.546
2002-04-02,266.056
2002-04-03,266.41
2002-04-04,266.529
2002-04-05,266.309
2002-04-08,264.17
2002-04-09,264.395
2002-04-10,266.465
2002-04-11,268.783
2002-04-12,268.207
2002-04-15,268.927
2002-04-16,270.219
2002-04-17,271.468
2002-04-18,272.181
2002-04-19,272.676
2002-04-22,271.927
2002-04-23,272.287
2002-04-24,273.322
2002-04-25,274.331
2002-04-26,274.48
2002-04-29,275.831
2002-04-30,275.446
