Date,FRANCE SMALL VALUE Small Cap
2001-01-01,262.949
2001-01-02,265.355
2001-01-03,262.486
2001-01-04,266.164
2001-01-05,266.37
2001-01-08,265.934
2001-01-09,263.578
2001-01-10,262.181
2001-01-11,266.264
2001-01-12,268.094
2001-01-15,266.806
2001-01-16,267.22
2001-01-17,267.338
2001-01-18,273.068
2001-01-19,272.586
2001-01-22,272.894
2001-01-23,273.719
2001-01-24,269.911
2001-01-25,269.637
2001-01-26,270.27
2001-01-29,268.711
2001-01-30,271.473
2001-01-31,274.141
2001-02-01,277.531
2001-02-02,276.635
2001-02-05,278.179
2001-02-06,276.049
2001-02-07,274.956
2001-02-08,272.535
2001-02-09,272.092
2001-02-12,274.436
2001-02-13,271.99
2001-02-14,269.869
2001-02-15,266.331
2001-02-16,268.879
2001-02-19,270.332
2001-02-20,266.858
2001-02-21,266.714
2001-02-22,265.419
2001-02-23,265.821
2001-02-26,266.656
2001-02-27,270.444
2001-02-28,269.856
2001-03-01,272.525
2001-03-02,274.238
2001-03-05,274.628
2001-03-06,276.679
2001-03-07,276.603
2001-03-08,278.893
2001-03-09,278.358
2001-03-12,275.88
2001-03-13,270.014
2001-03-14,264.791
2001-03-15,263.423
2001-03-16,260.408
2001-03-19,259.257
2001-03-20,260.715
2001-03-21,256.842
2001-03-22,248.951
2001-03-23,253.374
2001-03-26,255.158
2001-03-27,256.299
2001-03-28,253.64
2001-03-29,250.649
2001-03-30,252.516
2001-04-02,251.888
2001-04-03,250.104
2001-04-04,254.24
2001-04-05,256.048
2001-04-06,258.926
2001-04-09,260.172
2001-04-10,257.791
2001-04-11,257.294
2001-04-12,259.94
2001-04-13,259.94
2001-04-16,257.278
2001-04-17,254.788
2001-04-18,253.765
2001-04-19,258.137
2001-04-20,261.462
2001-04-23,261.196
2001-04-24,261.13
2001-04-25,262.501
2001-04-26,265.239
2001-04-27,263.701
2001-04-30,263.143
2001-05-01,264.532
2001-05-02,266.578
2001-05-03,268.514
2001-05-04,268.357
2001-05-07,267.662
2001-05-08,267.074
2001-05-09,265.977
2001-05-10,265.359
2001-05-11,264.94
2001-05-14,264.364
2001-05-15,266.277
2001-05-16,267.676
2001-05-17,267.931
2001-05-18,266.49
2001-05-21,267.13
2001-05-22,265.442
2001-05-23,263.35
2001-05-24,262.152
2001-05-25,262.139
2001-05-28,264.95
2001-05-29,262.356
2001-05-30,263.521
2001-05-31,261.675
2001-06-01,261.574
2001-06-04,261.942
2001-06-05,263.282
2001-06-06,262.92
2001-06-07,262.59
2001-06-08,262.935
2001-06-11,259.892
2001-06-12,260.764
2001-06-13,261.648
2001-06-14,262.644
2001-06-15,262.715
2001-06-18,261.66
2001-06-19,260.49
2001-06-20,258.424
2001-06-21,258.093
2001-06-22,258.178
2001-06-25,259.887
2001-06-26,258.568
2001-06-27,257.341
2001-06-28,253.196
2001-06-29,254.212
2001-07-02,255.684
2001-07-03,256.564
2001-07-04,256.459
2001-07-05,254.021
2001-07-06,254.802
2001-07-09,256.208
2001-07-10,257.695
2001-07-11,257.945
2001-07-12,255.383
2001-07-13,254.849
2001-07-16,256.09
2001-07-17,255.418
2001-07-18,260.74
2001-07-19,260.444
2001-07-20,261.076
2001-07-23,260.172
2001-07-24,260.685
2001-07-25,260.835
2001-07-26,259.419
2001-07-27,259.828
2001-07-30,260.726
2001-07-31,261.285
2001-08-01,263.292
2001-08-02,263.664
2001-08-03,263.87
2001-08-06,262.812
2001-08-07,261.218
2001-08-08,260.588
2001-08-09,263.675
2001-08-10,265.992
2001-08-13,267.163
2001-08-14,267.424
2001-08-15,271.512
2001-08-16,271.606
2001-08-17,271.799
2001-08-20,269.864
2001-08-21,270.46
2001-08-22,271.849
2001-08-23,268.766
2001-08-24,268.849
2001-08-27,268.346
2001-08-28,269.337
2001-08-29,269.268
2001-08-30,268.584
2001-08-31,266.985
2001-09-03,264.218
2001-09-04,259.983
2001-09-05,257.613
2001-09-06,255.736
2001-09-07,257.628
2001-09-10,251.287
2001-09-11,246.418
2001-09-12,240.242
2001-09-13,241.707
2001-09-14,239.104
2001-09-17,233.858
2001-09-18,234.497
2001-09-19,238.012
2001-09-20,231.177
2001-09-21,219.627
2001-09-24,224.697
2001-09-25,230.116
2001-09-26,232.718
2001-09-27,232.192
2001-09-28,231.46
2001-10-01,235.973
2001-10-02,234.611
2001-10-03,234.113
2001-10-04,233.614
2001-10-05,236.096
2001-10-08,236.164
2001-10-09,237.726
2001-10-10,237.47
2001-10-11,237.315
2001-10-12,238.906
2001-10-15,238.382
2001-10-16,240.093
2001-10-17,240.722
2001-10-18,239.153
2001-10-19,237.861
2001-10-22,236.481
2001-10-23,235.655
2001-10-24,237.429
2001-10-25,238.994
2001-10-26,239.175
2001-10-29,241.892
2001-10-30,242.082
2001-10-31,240.329
2001-11-01,243.445
2001-11-02,241.889
2001-11-05,241.181
2001-11-06,240.161
2001-11-07,240.237
2001-11-08,239.591
2001-11-09,239.119
2001-11-12,239.261
2001-11-13,236.454
2001-11-14,236.796
2001-11-15,236.923
2001-11-16,239.474
2001-11-19,237.989
2001-11-20,238.286
2001-11-21,236.498
2001-11-22,237.812
2001-11-23,237.699
2001-11-26,239.449
2001-11-27,241.018
2001-11-28,242.214
2001-11-29,242.708
2001-11-30,245.385
2001-12-03,243.965
2001-12-04,243.422
2001-12-05,244.893
2001-12-06,247.067
2001-12-07,247.051
2001-12-10,245.398
2001-12-11,245.392
2001-12-12,246.95
2001-12-13,246.383
2001-12-14,247.518
2001-12-17,248.668
2001-12-18,247.649
2001-12-19,246.055
2001-12-20,244.886
2001-12-21,241.819
2001-12-24,240.163
2001-12-25,240.163
2001-12-26,240.368
2001-12-27,244.007
2001-12-28,244.05
2001-12-31,246.431
2002-01-01,246.431
2002-01-02,252.25
2002-01-03,253.301
2002-01-04,252.399
2002-01-07,252.932
2002-01-08,253.565
2002-01-09,253.7
2002-01-10,254.447
2002-01-11,255.236
2002-01-14,256.641
2002-01-15,254.937
2002-01-16,252.221
2002-01-17,252.101
2002-01-18,253.045
2002-01-21,252.921
2002-01-22,252.437
2002-01-23,252.073
2002-01-24,250.66
2002-01-25,247.329
2002-01-28,246.765
2002-01-29,247.307
2002-01-30,246.936
2002-01-31,247.175
2002-02-01,248.811
2002-02-04,250.394
2002-02-05,249.438
2002-02-06,249.906
2002-02-07,250.66
2002-02-08,251.179
2002-02-11,253.356
2002-02-12,253.124
2002-02-13,252.586
2002-02-14,253.299
2002-02-15,254.947
2002-02-18,254.185
2002-02-19,254.766
2002-02-20,254.464
2002-02-21,254.116
2002-02-22,255.405
2002-02-25,254.49
2002-02-26,254.6
2002-02-27,253.465
2002-02-28,254.511
2002-03-01,256.155
2002-03-04,260.396
2002-03-05,260.203
2002-03-06,262.607
2002-03-07,266.598
