Date,FRANCE SMALL VALUE Small Cap
1994-05-31,165.925
1994-06-30,162.819
1994-07-29,169.973
1994-08-31,171.179
1994-09-30,165.42
1994-10-31,165.933
1994-11-30,160.724
1994-12-30,159.413
1995-01-31,155.443
1995-02-28,159.473
1995-03-31,168.898
1995-04-28,169.274
1995-05-31,174.381
1995-06-30,177.492
1995-07-31,178.46
1995-08-31,167.463
1995-09-29,166.004
1995-10-31,162.403
1995-11-30,159.774
1995-12-29,161.431
1996-01-31,165.366
1996-02-29,178.691
1996-03-29,188.12
1996-04-30,186.342
1996-05-31,187.693
1996-06-28,187.76
1996-07-31,184.871
1996-08-30,183.335
1996-09-30,181.224
1996-10-31,187.476
1996-11-29,186.831
1996-12-31,189.777
1997-01-31,194.794
1997-02-28,201.297
1997-03-31,207.39
1997-04-30,198.457
1997-05-30,195.353
1997-06-30,197.113
1997-07-31,194.376
1997-08-29,194.231
1997-09-30,207.703
1997-10-31,206.932
1997-11-28,200.462
1997-12-31,203.842
1998-01-30,209.563
1998-02-27,222.59
1998-03-31,238.496
1998-04-30,254.33
1998-05-29,276.622
1998-06-30,269.287
1998-07-31,271.586
1998-08-31,248.017
1998-09-30,239.025
1998-10-30,250.158
1998-11-30,254.613
1998-12-31,258.116
1999-01-29,245.973
1999-02-26,234.588
1999-03-31,233.096
1999-04-30,237.642
1999-05-31,238.619
1999-06-30,247.622
1999-07-30,251.881
1999-08-31,260.084
1999-09-30,264.878
1999-10-29,260.636
1999-11-30,255.156
1999-12-31,266.883
2000-01-31,268.2
2000-02-29,260.927
2000-03-31,257.662
2000-04-28,241.199
2000-05-31,252.302
2000-06-30,260.658
2000-07-31,256.619
2000-08-31,256.76
2000-09-29,250.135
2000-10-31,238.068
2000-11-30,245.703
2000-12-29,262.949
2001-01-31,274.141
2001-02-28,269.856
2001-03-30,252.516
2001-04-30,263.143
2001-05-31,261.675
2001-06-29,254.212
2001-07-31,261.285
2001-08-31,266.985
2001-09-28,231.46
2001-10-31,240.329
2001-11-30,245.385
2001-12-31,246.431
2002-01-31,247.175
2002-02-28,254.511
2002-03-29,270.727
2002-04-30,284.02
2002-05-31,299.948
2002-06-28,287.062
2002-07-31,261.283
2002-08-30,259.98
2002-09-30,227.325
2002-10-31,238.777
2002-11-29,259.357
2002-12-31,259.169
2003-01-31,255.043
2003-02-28,237.455
2003-03-31,232.459
2003-04-30,263.5
2003-05-30,293.938
2003-06-30,296.04
2003-07-31,302.339
2003-08-29,309.342
2003-09-30,330.214
2003-10-31,343.818
2003-11-28,360.581
2003-12-31,369.59
2004-01-30,389.878
2004-02-27,410.272
2004-03-31,398.648
2004-04-30,385.409
2004-05-31,374.915
2004-06-30,386.414
2004-07-30,371.622
2004-08-31,379.358
2004-09-30,399.964
2004-10-29,413.166
2004-11-30,448.965
2004-12-31,478.815
2005-01-31,497.059
2005-02-28,521.669
2005-03-31,509.549
2005-04-29,495.919
2005-05-31,502.468
2005-06-30,512.344
2005-07-29,541.775
2005-08-31,550.217
2005-09-30,573.482
2005-10-31,553.796
2005-11-30,558.384
2005-12-30,577.417
2006-01-31,633.901
2006-02-28,647.188
2006-03-31,693.22
2006-04-28,726.486
2006-05-31,696.955
2006-06-30,680.743
2006-07-31,674.682
2006-08-31,696.865
2006-09-29,712.033
2006-10-31,746.093
2006-11-30,809.103
2006-12-29,839.117
2007-01-31,853.358
2007-02-28,860.391
2007-03-30,891.352
2007-04-30,939.947
2007-05-31,1000.0
2007-06-29,997.637
2007-07-31,993.022
2007-08-31,957.752
2007-09-28,1000.427
2007-10-31,1040.426
2007-11-30,953.676
2007-12-31,914.23
2008-01-31,791.216
2008-02-29,829.366
2008-03-31,862.185
2008-04-30,884.885
2008-05-30,888.799
2008-06-30,793.622
2008-07-31,763.928
2008-08-29,769.628
2008-09-30,615.297
2008-10-31,433.263
2008-11-28,401.535
2008-12-31,419.294
2009-01-30,381.626
2009-02-27,347.6
2009-03-31,382.349
2009-04-30,466.539
2009-05-29,524.843
2009-06-30,510.816
2009-07-31,573.125
2009-08-31,636.288
2009-09-30,724.443
2009-10-30,695.576
2009-11-30,686.83
2009-12-31,694.346
2010-01-29,700.15
2010-02-26,672.215
2010-03-31,741.654
2010-04-30,760.019
2010-05-31,657.205
2010-06-30,651.841
2010-07-30,722.754
2010-08-31,694.759
2010-09-30,803.079
2010-10-29,860.162
2010-11-30,777.386
2010-12-31,880.087
2011-01-31,918.386
2011-02-28,940.418
2011-03-31,966.739
2011-04-29,1050.139
2011-05-31,1014.014
2011-06-30,1011.448
2011-07-29,944.693
2011-08-31,842.931
2011-09-30,687.597
2011-10-31,756.806
2011-11-30,684.368
2011-12-30,652.199
2012-01-31,742.994
2012-02-29,802.771
2012-03-30,799.085
2012-04-30,726.197
2012-05-31,619.401
2012-06-29,633.055
2012-07-31,635.937
2012-08-31,672.071
2012-09-28,697.196
2012-10-31,707.764
2012-11-30,738.808
2012-12-31,782.886
2013-01-31,855.055
2013-02-28,845.346
2013-03-29,822.236
2013-04-30,851.27
2013-05-31,899.013
2013-06-28,875.269
2013-07-31,988.158
2013-08-30,976.953
2013-09-30,1069.178
2013-10-31,1114.249
2013-11-29,1143.8
2013-12-31,1156.239
2014-01-31,1158.854
2014-02-28,1286.46
2014-03-31,1282.148
2014-04-30,1316.819
2014-05-30,1333.316
2014-06-30,1303.509
2014-07-31,1235.254
2014-08-29,1222.338
2014-09-30,1144.6
2014-10-31,1096.755
2014-11-28,1154.172
2014-12-31,1110.443
2015-01-30,1112.382
2015-02-27,1188.743
2015-03-31,1164.459
2015-04-30,1221.03
2015-05-29,1200.293
2015-06-30,1177.187
2015-07-31,1247.221
2015-08-31,1200.944
2015-09-30,1128.305
2015-10-30,1164.546
2015-11-30,1162.335
2015-12-31,1177.256
2016-01-29,1089.311
2016-02-29,1062.752
2016-03-31,1176.372
2016-04-29,1229.425
2016-05-31,1217.41
2016-06-30,1119.466
2016-07-29,1195.092
2016-08-31,1214.813
2016-09-30,1242.309
2016-10-31,1209.263
2016-11-30,1159.518
2016-12-30,1250.449
2017-01-31,1293.206
2017-02-28,1296.549
2017-03-31,1366.342
2017-04-28,1432.941
2017-05-31,1551.833
2017-06-30,1578.626
2017-07-31,1616.533
2017-08-31,1612.552
2017-09-29,1685.931
2017-10-31,1667.086
2017-11-30,1728.392
2017-12-29,1736.545
2018-01-31,1816.696
2018-02-28,1734.975
2018-03-30,1668.618
2018-04-30,1731.811
2018-05-31,1620.232
2018-06-29,1559.281
2018-07-31,1563.879
2018-08-31,1541.676
2018-09-28,1539.935
