Date,WORLD ex USA SMID CAP SMID (Small+Mid Cap)
2001-01-01,386.673
2001-01-02,386.14
2001-01-03,382.095
2001-01-04,382.654
2001-01-05,382.712
2001-01-08,380.745
2001-01-09,376.228
2001-01-10,375.004
2001-01-11,375.538
2001-01-12,377.504
2001-01-15,376.698
2001-01-16,377.154
2001-01-17,379.243
2001-01-18,384.389
2001-01-19,385.685
2001-01-22,384.896
2001-01-23,385.409
2001-01-24,382.043
2001-01-25,383.896
2001-01-26,382.998
2001-01-29,383.336
2001-01-30,386.25
2001-01-31,389.934
2001-02-01,393.726
2001-02-02,390.805
2001-02-05,389.835
2001-02-06,389.083
2001-02-07,386.915
2001-02-08,383.482
2001-02-09,383.079
2001-02-12,384.691
2001-02-13,383.225
2001-02-14,381.736
2001-02-15,381.293
2001-02-16,381.429
2001-02-19,380.58
2001-02-20,379.193
2001-02-21,376.187
2001-02-22,373.558
2001-02-23,373.729
2001-02-26,375.293
2001-02-27,378.154
2001-02-28,374.731
2001-03-01,372.88
2001-03-02,371.192
2001-03-05,370.001
2001-03-06,375.546
2001-03-07,375.204
2001-03-08,376.219
2001-03-09,374.569
2001-03-12,366.782
2001-03-13,358.463
2001-03-14,352.065
2001-03-15,352.359
2001-03-16,346.895
2001-03-19,347.239
2001-03-20,348.661
2001-03-21,346.95
2001-03-22,335.528
2001-03-23,342.938
2001-03-26,351.168
2001-03-27,353.315
2001-03-28,352.533
2001-03-29,347.563
2001-03-30,345.924
2001-04-02,343.317
2001-04-03,342.082
2001-04-04,345.007
2001-04-05,348.825
2001-04-06,350.47
2001-04-09,349.161
2001-04-10,349.685
2001-04-11,351.134
2001-04-12,355.635
2001-04-13,355.871
2001-04-16,353.479
2001-04-17,352.753
2001-04-18,357.475
2001-04-19,364.011
2001-04-20,365.743
2001-04-23,364.115
2001-04-24,363.669
2001-04-25,365.221
2001-04-26,368.631
2001-04-27,367.358
2001-04-30,368.915
2001-05-01,373.932
2001-05-02,375.473
2001-05-03,375.111
2001-05-04,375.405
2001-05-07,375.657
2001-05-08,373.345
2001-05-09,370.955
2001-05-10,371.821
2001-05-11,370.756
2001-05-14,367.22
2001-05-15,369.196
2001-05-16,369.139
2001-05-17,372.736
2001-05-18,372.615
2001-05-21,375.411
2001-05-22,375.321
2001-05-23,375.226
2001-05-24,373.883
2001-05-25,372.959
2001-05-28,372.793
2001-05-29,371.998
2001-05-30,369.069
2001-05-31,367.384
2001-06-01,367.483
2001-06-04,368.012
2001-06-05,367.782
2001-06-06,366.505
2001-06-07,368.556
2001-06-08,368.225
2001-06-11,364.262
2001-06-12,360.505
2001-06-13,362.554
2001-06-14,361.499
2001-06-15,358.643
2001-06-18,356.496
2001-06-19,355.381
2001-06-20,351.693
2001-06-21,353.265
2001-06-22,355.003
2001-06-25,355.891
2001-06-26,354.525
2001-06-27,353.37
2001-06-28,350.706
2001-06-29,353.468
2001-07-02,353.04
2001-07-03,352.863
2001-07-04,350.769
2001-07-05,346.245
2001-07-06,343.24
2001-07-09,341.759
2001-07-10,343.674
2001-07-11,342.094
2001-07-12,343.547
2001-07-13,342.858
2001-07-16,342.134
2001-07-17,339.384
2001-07-18,341.74
2001-07-19,342.968
2001-07-20,343.156
2001-07-23,339.156
2001-07-24,339.966
2001-07-25,340.418
2001-07-26,340.616
2001-07-27,341.932
2001-07-30,340.628
2001-07-31,343.574
2001-08-01,347.507
2001-08-02,352.44
2001-08-03,351.542
2001-08-06,349.976
2001-08-07,348.798
2001-08-08,347.595
2001-08-09,345.807
2001-08-10,347.751
2001-08-13,347.108
2001-08-14,349.619
2001-08-15,354.097
2001-08-16,352.109
