Date,WORLD ex USA SMID CAP SMID (Small+Mid Cap)
2001-01-01,395.175
2001-01-02,394.628
2001-01-03,390.493
2001-01-04,391.064
2001-01-05,391.123
2001-01-08,389.112
2001-01-09,384.495
2001-01-10,383.243
2001-01-11,383.785
2001-01-12,385.795
2001-01-15,384.969
2001-01-16,385.435
2001-01-17,387.57
2001-01-18,392.829
2001-01-19,394.152
2001-01-22,393.345
2001-01-23,393.869
2001-01-24,390.429
2001-01-25,392.322
2001-01-26,391.403
2001-01-29,391.747
2001-01-30,394.722
2001-01-31,398.487
2001-02-01,402.36
2001-02-02,399.375
2001-02-05,398.383
2001-02-06,397.613
2001-02-07,395.396
2001-02-08,391.888
2001-02-09,391.475
2001-02-12,393.117
2001-02-13,391.619
2001-02-14,390.096
2001-02-15,389.642
2001-02-16,389.779
2001-02-19,388.911
2001-02-20,387.492
2001-02-21,384.418
2001-02-22,381.731
2001-02-23,381.9
2001-02-26,383.496
2001-02-27,386.418
2001-02-28,382.916
2001-03-01,381.022
2001-03-02,379.297
2001-03-05,378.072
2001-03-06,383.735
2001-03-07,383.382
2001-03-08,384.416
2001-03-09,382.723
2001-03-12,374.765
2001-03-13,366.264
2001-03-14,359.723
2001-03-15,360.021
2001-03-16,354.436
2001-03-19,354.784
2001-03-20,356.234
2001-03-21,354.477
2001-03-22,342.801
2001-03-23,350.369
2001-03-26,358.77
2001-03-27,360.867
2001-03-28,360.059
2001-03-29,354.977
2001-03-30,353.292
2001-04-02,350.626
2001-04-03,349.363
2001-04-04,352.343
2001-04-05,356.232
2001-04-06,357.897
2001-04-09,356.555
2001-04-10,357.084
2001-04-11,358.545
2001-04-12,363.138
2001-04-13,363.379
2001-04-16,360.936
2001-04-17,360.191
2001-04-18,365.011
2001-04-19,371.679
2001-04-20,373.439
2001-04-23,371.771
2001-04-24,371.309
2001-04-25,372.87
2001-04-26,376.343
2001-04-27,375.014
2001-04-30,376.601
2001-05-01,381.718
2001-05-02,383.28
2001-05-03,382.903
2001-05-04,383.185
2001-05-07,383.421
2001-05-08,381.059
2001-05-09,378.618
2001-05-10,379.493
2001-05-11,378.4
2001-05-14,374.779
2001-05-15,376.788
2001-05-16,376.711
2001-05-17,380.371
2001-05-18,380.242
2001-05-21,383.043
2001-05-22,382.937
2001-05-23,382.829
2001-05-24,381.457
2001-05-25,380.498
2001-05-28,380.325
2001-05-29,379.507
2001-05-30,376.512
2001-05-31,374.777
2001-06-01,374.861
2001-06-04,375.394
2001-06-05,375.153
2001-06-06,373.844
2001-06-07,375.93
2001-06-08,375.583
2001-06-11,371.538
2001-06-12,367.7
2001-06-13,369.783
2001-06-14,368.699
2001-06-15,365.781
2001-06-18,363.583
2001-06-19,362.441
2001-06-20,358.672
2001-06-21,360.273
2001-06-22,362.043
2001-06-25,362.937
2001-06-26,361.535
