Date,WORLD ex USA SMID CAP SMID (Small+Mid Cap)
1994-05-31,331.237
1994-06-30,340.234
1994-07-29,340.752
1994-08-31,342.885
1994-09-30,334.141
1994-10-31,339.203
1994-11-30,318.509
1994-12-30,323.122
1995-01-31,312.692
1995-02-28,305.009
1995-03-31,318.576
1995-04-28,327.165
1995-05-31,318.782
1995-06-30,313.752
1995-07-31,330.19
1995-08-31,321.869
1995-09-29,324.13
1995-10-31,315.015
1995-11-30,318.191
1995-12-29,330.126
1996-01-31,334.922
1996-02-29,339.692
1996-03-29,346.571
1996-04-30,364.177
1996-05-31,361.159
1996-06-28,361.402
1996-07-31,348.72
1996-08-30,348.487
1996-09-30,349.914
1996-10-31,346.509
1996-11-29,350.786
1996-12-31,342.676
1997-01-31,333.1
1997-02-28,335.905
1997-03-31,329.676
1997-04-30,325.677
1997-05-30,350.611
1997-06-30,359.469
1997-07-31,351.836
1997-08-29,335.505
1997-09-30,339.442
1997-10-31,326.751
1997-11-28,309.233
1997-12-31,300.28
1998-01-30,315.007
1998-02-27,337.024
1998-03-31,351.26
1998-04-30,356.342
1998-05-29,359.217
1998-06-30,348.786
1998-07-31,348.199
1998-08-31,306.373
1998-09-30,297.332
1998-10-30,320.755
1998-11-30,332.814
1998-12-31,341.424
1999-01-29,342.448
1999-02-26,336.391
1999-03-31,350.767
1999-04-30,369.803
1999-05-31,360.828
1999-06-30,379.048
1999-07-30,395.504
1999-08-31,407.231
1999-09-30,412.147
1999-10-29,411.482
1999-11-30,422.948
1999-12-31,443.738
2000-01-31,435.645
2000-02-29,455.177
2000-03-31,456.593
2000-04-28,422.162
2000-05-31,416.607
2000-06-30,441.059
2000-07-31,421.333
2000-08-31,433.738
2000-09-29,415.909
2000-10-31,388.916
2000-11-30,376.322
2000-12-29,386.654
2001-01-31,389.934
2001-02-28,374.731
2001-03-30,345.924
2001-04-30,368.915
2001-05-31,367.384
2001-06-29,353.468
2001-07-31,343.574
2001-08-31,342.144
2001-09-28,300.837
2001-10-31,313.094
2001-11-30,321.965
2001-12-31,318.338
2002-01-31,310.148
2002-02-28,314.312
2002-03-29,331.505
2002-04-30,340.047
2002-05-31,354.447
2002-06-28,340.435
2002-07-31,309.867
2002-08-30,308.529
2002-09-30,281.129
2002-10-31,286.263
2002-11-29,298.568
2002-12-31,292.659
2003-01-31,285.374
2003-02-28,280.687
2003-03-31,278.112
2003-04-30,305.493
2003-05-30,329.725
2003-06-30,340.803
2003-07-31,351.669
2003-08-29,368.065
2003-09-30,384.925
2003-10-31,414.302
2003-11-28,417.803
2003-12-31,444.189
2004-01-30,458.822
2004-02-27,472.797
2004-03-31,486.875
2004-04-30,472.724
2004-05-31,473.963
2004-06-30,493.762
2004-07-30,474.037
2004-08-31,476.761
2004-09-30,491.41
2004-10-29,507.673
2004-11-30,547.46
2004-12-31,573.739
2005-01-31,576.627
2005-02-28,600.713
2005-03-31,588.073
2005-04-29,570.681
2005-05-31,572.005
2005-06-30,584.501
2005-07-29,605.146
2005-08-31,623.973
2005-09-30,649.836
2005-10-31,629.409
2005-11-30,651.276
2005-12-30,691.804
2006-01-31,742.006
2006-02-28,739.513
2006-03-31,770.936
2006-04-28,807.69
2006-05-31,773.112
2006-06-30,763.937
2006-07-31,760.571
2006-08-31,785.608
2006-09-29,789.668
2006-10-31,822.3
2006-11-30,856.034
2006-12-29,884.669
2007-01-31,896.198
2007-02-28,910.683
2007-03-30,942.634
2007-04-30,981.324
2007-05-31,1000.0
2007-06-29,992.281
2007-07-31,981.49
2007-08-31,948.37
2007-09-28,982.719
2007-10-31,1031.183
2007-11-30,960.195
2007-12-31,934.44
2008-01-31,852.295
2008-02-29,883.108
2008-03-31,876.08
2008-04-30,905.048
2008-05-30,924.881
2008-06-30,850.468
2008-07-31,805.209
2008-08-29,781.846
2008-09-30,652.136
2008-10-31,493.833
2008-11-28,476.046
2008-12-31,506.23
2009-01-30,471.024
2009-02-27,424.371
2009-03-31,453.551
2009-04-30,520.508
2009-05-29,590.643
2009-06-30,593.262
2009-07-31,643.046
2009-08-31,685.204
2009-09-30,720.524
2009-10-30,704.687
2009-11-30,715.728
2009-12-31,726.923
2010-01-29,708.348
2010-02-26,705.591
2010-03-31,756.242
2010-04-30,763.942
2010-05-31,676.602
2010-06-30,671.204
2010-07-30,730.935
2010-08-31,709.97
2010-09-30,789.283
2010-10-29,818.25
2010-11-30,793.034
2010-12-31,872.97
2011-01-31,882.806
2011-02-28,910.537
2011-03-31,906.831
2011-04-29,951.751
2011-05-31,928.412
2011-06-30,909.617
2011-07-29,900.082
2011-08-31,830.343
2011-09-30,737.893
2011-10-31,800.236
2011-11-30,760.395
2011-12-30,748.229
2012-01-31,801.135
2012-02-29,844.966
2012-03-30,842.634
2012-04-30,833.881
2012-05-31,737.173
2012-06-29,771.465
2012-07-31,779.407
2012-08-31,801.717
2012-09-28,835.408
2012-10-31,839.39
2012-11-30,850.277
2012-12-31,879.486
2013-01-31,916.171
2013-02-28,917.813
2013-03-29,934.512
2013-04-30,970.513
2013-05-31,950.442
2013-06-28,916.454
2013-07-31,970.08
2013-08-30,962.188
2013-09-30,1037.017
2013-10-31,1065.912
2013-11-29,1065.268
2013-12-31,1087.434
2014-01-31,1064.093
2014-02-28,1124.416
2014-03-31,1119.137
2014-04-30,1125.07
2014-05-30,1142.559
2014-06-30,1164.418
2014-07-31,1136.83
2014-08-29,1139.728
2014-09-30,1076.298
2014-10-31,1055.62
2014-11-28,1065.057
2014-12-31,1052.678
2015-01-30,1051.336
2015-02-27,1116.477
2015-03-31,1098.337
2015-04-30,1150.08
2015-05-29,1152.208
2015-06-30,1128.525
2015-07-31,1135.002
2015-08-31,1074.926
2015-09-30,1033.662
2015-10-30,1103.375
2015-11-30,1096.668
2015-12-31,1089.711
2016-01-29,1011.351
2016-02-29,1014.096
2016-03-31,1096.675
2016-04-29,1131.325
2016-05-31,1124.653
2016-06-30,1079.766
2016-07-29,1144.478
2016-08-31,1137.27
2016-09-30,1162.614
2016-10-31,1128.012
2016-11-30,1104.346
2016-12-30,1133.132
2017-01-31,1176.009
2017-02-28,1193.296
2017-03-31,1218.682
2017-04-28,1259.051
2017-05-31,1303.177
2017-06-30,1306.104
2017-07-31,1349.981
2017-08-31,1359.473
2017-09-29,1393.694
2017-10-31,1416.664
2017-11-30,1433.523
