Date,WORLD ex USA SMID CAP SMID (Small+Mid Cap)
1994-05-31,343.612
1994-06-30,352.812
1994-07-29,353.263
1994-08-31,355.452
1994-09-30,346.327
1994-10-31,351.536
1994-11-30,330.069
1994-12-30,334.824
1995-01-31,323.996
1995-02-28,316.014
1995-03-31,329.955
1995-04-28,338.781
1995-05-31,329.96
1995-06-30,324.601
1995-07-31,341.509
1995-08-31,332.876
1995-09-29,335.143
1995-10-31,325.682
1995-11-30,328.942
1995-12-29,341.246
1996-01-31,346.183
1996-02-29,351.08
1996-03-29,358.081
1996-04-30,376.176
1996-05-31,372.91
1996-06-28,373.006
1996-07-31,359.813
1996-08-30,359.546
1996-09-30,360.942
1996-10-31,357.389
1996-11-29,361.781
1996-12-31,353.384
1997-01-31,343.49
1997-02-28,346.338
1997-03-31,339.807
1997-04-30,335.57
1997-05-30,361.102
1997-06-30,370.063
1997-07-31,362.111
1997-08-29,345.281
1997-09-30,349.242
1997-10-31,336.152
1997-11-28,318.109
1997-12-31,308.865
1998-01-30,323.99
1998-02-27,346.607
1998-03-31,361.117
1998-04-30,366.205
1998-05-29,368.978
1998-06-30,358.083
1998-07-31,357.387
1998-08-31,314.434
1998-09-30,305.086
1998-10-30,329.096
1998-11-30,341.446
1998-12-31,350.244
1999-01-29,351.28
1999-02-26,345.05
1999-03-31,359.651
1999-04-30,379.086
1999-05-31,369.809
1999-06-30,388.393
1999-07-30,405.219
1999-08-31,417.202
1999-09-30,422.144
1999-10-29,421.442
1999-11-30,433.166
1999-12-31,454.422
2000-01-31,446.12
2000-02-29,466.09
2000-03-31,467.361
2000-04-28,432.013
2000-05-31,426.206
2000-06-30,451.108
2000-07-31,430.866
2000-08-31,443.513
2000-09-29,425.163
2000-10-31,397.546
2000-11-30,384.642
2000-12-29,395.156
2001-01-31,398.487
2001-02-28,382.916
2001-03-30,353.292
2001-04-30,376.601
2001-05-31,374.777
2001-06-29,360.434
2001-07-31,350.295
2001-08-31,348.798
2001-09-28,306.578
2001-10-31,319.047
2001-11-30,328.053
2001-12-31,324.321
2002-01-31,315.955
2002-02-28,320.161
2002-03-29,337.482
2002-04-30,346.02
2002-05-31,360.436
2002-06-28,346.064
2002-07-31,314.96
2002-08-30,313.553
2002-09-30,285.597
2002-10-31,290.788
2002-11-29,303.263
2002-12-31,297.224
2003-01-31,289.8
2003-02-28,284.988
2003-03-31,282.114
2003-04-30,309.642
2003-05-30,333.931
2003-06-30,345.001
2003-07-31,355.963
2003-08-29,372.518
2003-09-30,389.471
2003-10-31,419.164
2003-11-28,422.672
2003-12-31,449.304
2004-01-30,464.076
2004-02-27,478.164
2004-03-31,492.115
2004-04-30,477.54
2004-05-31,478.452
2004-06-30,498.296
2004-07-30,478.341
2004-08-31,481.014
2004-09-30,495.668
2004-10-29,512.036
2004-11-30,552.097
2004-12-31,578.508
2005-01-31,581.383
2005-02-28,605.594
2005-03-31,592.571
2005-04-29,574.694
2005-05-31,575.567
2005-06-30,587.947
2005-07-29,608.653
2005-08-31,627.504
2005-09-30,653.353
2005-10-31,632.768
2005-11-30,654.693
2005-12-30,695.314
2006-01-31,745.728
2006-02-28,743.145
2006-03-31,774.357
2006-04-28,810.871
2006-05-31,775.574
2006-06-30,766.139
2006-07-31,762.665
2006-08-31,787.674
2006-09-29,791.545
2006-10-31,824.175
2006-11-30,857.903
2006-12-29,886.408
2007-01-31,897.887
2007-02-28,912.291
2007-03-30,943.784
2007-04-30,981.992
2007-05-31,1000.0
2007-06-29,991.947
2007-07-31,981.036
2007-08-31,947.774
2007-09-28,981.837
2007-10-31,1030.109
2007-11-30,959.077
2007-12-31,933.125
2008-01-31,851.019
2008-02-29,881.617
2008-03-31,873.98
2008-04-30,902.064
2008-05-30,920.892
2008-06-30,846.375
2008-07-31,801.192
2008-08-29,777.791
2008-09-30,648.458
2008-10-31,490.964
2008-11-28,473.194
2008-12-31,503.04
2009-01-30,467.979
2009-02-27,421.574
2009-03-31,450.234
2009-04-30,516.29
2009-05-29,585.238
2009-06-30,587.539
2009-07-31,636.743
2009-08-31,678.417
2009-09-30,713.23
2009-10-30,697.518
2009-11-30,708.355
2009-12-31,719.275
2010-01-29,700.834
2010-02-26,698.045
2010-03-31,747.752
2010-04-30,754.938
2010-05-31,668.115
2010-06-30,662.501
2010-07-30,721.353
2010-08-31,700.554
2010-09-30,778.62
2010-10-29,807.126
2010-11-30,782.142
2010-12-31,860.787
2011-01-31,870.41
2011-02-28,897.67
2011-03-31,893.565
2011-04-29,937.286
2011-05-31,913.342
2011-06-30,894.456
2011-07-29,884.944
2011-08-31,816.237
2011-09-30,725.118
2011-10-31,786.319
2011-11-30,747.048
2011-12-30,734.862
2012-01-31,786.727
2012-02-29,829.665
2012-03-30,826.878
2012-04-30,817.771
2012-05-31,722.208
2012-06-29,755.378
2012-07-31,763.031
2012-08-31,784.726
2012-09-28,817.444
2012-10-31,821.262
2012-11-30,831.788
2012-12-31,860.105
2013-01-31,895.881
2013-02-28,897.4
2013-03-29,913.295
2013-04-30,947.76
2013-05-31,927.288
2013-06-28,893.707
2013-07-31,945.846
2013-08-30,938.017
2013-09-30,1010.693
2013-10-31,1038.78
2013-11-29,1038.015
2013-12-31,1059.324
2014-01-31,1036.459
2014-02-28,1095.079
2014-03-31,1089.308
2014-04-30,1094.447
2014-05-30,1110.44
2014-06-30,1131.179
