Date,EUROPE GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,125.178
1975-02-28,142.125
1975-03-31,139.694
1975-04-30,149.119
1975-05-30,147.562
1975-06-30,136.79
1975-07-31,132.149
1975-08-29,134.25
1975-09-30,127.93
1975-10-31,137.078
1975-11-28,139.488
1975-12-31,141.565
1976-01-30,146.717
1976-02-27,143.961
1976-03-31,138.673
1976-04-30,136.947
1976-05-31,130.117
1976-06-30,130.332
1976-07-30,128.503
1976-08-31,125.343
1976-09-30,120.848
1976-10-29,111.645
1976-11-30,117.042
1976-12-31,126.916
1977-01-31,127.868
1977-02-28,129.02
1977-03-31,127.866
1977-04-29,132.762
1977-05-31,131.158
1977-06-30,133.687
1977-07-29,131.373
1977-08-31,137.793
1977-09-30,143.929
1977-10-31,147.958
1977-11-30,145.81
1977-12-30,153.461
1978-01-31,152.609
1978-02-28,151.414
1978-03-31,156.668
1978-04-28,153.875
1978-05-31,156.918
1978-06-30,158.224
1978-07-31,171.481
1978-08-31,177.638
1978-09-29,184.593
1978-10-31,192.864
1978-11-30,174.73
1978-12-29,183.315
1979-01-31,183.677
1979-02-28,186.262
1979-03-30,198.675
1979-04-30,199.736
1979-05-31,188.628
1979-06-29,194.807
1979-07-31,199.064
1979-08-31,204.305
1979-09-28,216.135
1979-10-31,198.011
1979-11-30,207.319
1979-12-31,206.507
1980-01-31,217.937
1980-02-29,221.953
1980-03-31,187.459
1980-04-30,204.575
1980-05-30,213.064
1980-06-30,228.93
1980-07-31,232.944
1980-08-29,236.031
1980-09-30,244.466
1980-10-31,259.785
1980-11-28,259.915
1980-12-31,245.348
1981-01-30,235.532
1981-02-27,231.13
1981-03-31,233.195
1981-04-30,226.862
1981-05-29,209.272
1981-06-30,202.088
1981-07-31,199.254
1981-08-31,205.832
1981-09-30,186.524
1981-10-30,192.491
1981-11-30,214.632
1981-12-31,207.474
1982-01-29,210.555
1982-02-26,200.795
1982-03-31,199.358
1982-04-30,205.493
1982-05-31,206.398
1982-06-30,191.361
1982-07-30,198.093
1982-08-31,199.974
1982-09-30,208.177
1982-10-29,208.384
1982-11-30,213.663
1982-12-31,222.813
1983-01-31,218.142
1983-02-28,225.798
1983-03-31,235.062
1983-04-29,253.51
1983-05-31,250.812
1983-06-30,250.997
1983-07-29,249.058
1983-08-31,241.295
1983-09-30,245.755
1983-10-31,249.119
1983-11-30,255.166
1983-12-30,254.765
1984-01-31,258.536
1984-02-29,266.344
1984-03-30,272.874
1984-04-30,267.572
1984-05-31,245.61
1984-06-29,247.225
1984-07-31,232.292
1984-08-31,252.022
1984-09-28,247.251
1984-10-31,248.842
1984-11-30,247.485
1984-12-31,254.508
1985-01-31,264.921
1985-02-28,253.172
1985-03-29,284.378
1985-04-30,294.16
1985-05-31,310.145
1985-06-28,310.825
1985-07-31,341.839
1985-08-30,359.95
1985-09-30,364.255
1985-10-31,405.764
1985-11-29,437.976
1985-12-31,453.769
1986-01-31,464.132
1986-02-28,513.254
1986-03-31,554.216
1986-04-30,615.511
1986-05-30,564.213
1986-06-30,585.205
1986-07-31,588.218
1986-08-29,649.231
1986-09-30,601.366
1986-10-31,608.32
1986-11-28,646.368
1986-12-31,660.907
1987-01-30,681.81
1987-02-27,707.278
