Date,EUROPE GROWTH Standard (Large+Mid Cap)
2001-01-01,3408.851
2001-01-02,3377.629
2001-01-03,3317.649
2001-01-04,3376.272
2001-01-05,3370.959
2001-01-08,3343.583
2001-01-09,3279.267
2001-01-10,3270.793
2001-01-11,3351.14
2001-01-12,3390.322
2001-01-15,3379.344
2001-01-16,3321.985
2001-01-17,3382.157
2001-01-18,3424.617
2001-01-19,3386.948
2001-01-22,3381.586
2001-01-23,3383.301
2001-01-24,3351.13
2001-01-25,3345.239
2001-01-26,3338.728
2001-01-29,3323.108
2001-01-30,3327.728
2001-01-31,3371.302
2001-02-01,3369.993
2001-02-02,3319.653
2001-02-05,3329.655
2001-02-06,3319.629
2001-02-07,3269.685
2001-02-08,3222.0
2001-02-09,3179.944
2001-02-12,3229.681
2001-02-13,3199.369
2001-02-14,3127.33
2001-02-15,3138.712
2001-02-16,3094.226
2001-02-19,3096.968
2001-02-20,3034.29
2001-02-21,3023.064
2001-02-22,2991.666
2001-02-23,2928.802
2001-02-26,2967.65
2001-02-27,3005.738
2001-02-28,3001.246
2001-03-01,2999.679
2001-03-02,3022.681
2001-03-05,3044.602
2001-03-06,3086.212
2001-03-07,3068.978
2001-03-08,3048.111
2001-03-09,3006.185
2001-03-12,2908.908
2001-03-13,2846.455
2001-03-14,2793.621
2001-03-15,2836.69
2001-03-16,2723.045
2001-03-19,2708.929
2001-03-20,2774.603
2001-03-21,2706.999
2001-03-22,2555.48
2001-03-23,2668.351
2001-03-26,2767.405
2001-03-27,2825.873
2001-03-28,2755.422
2001-03-29,2731.315
2001-03-30,2746.789
2001-04-02,2725.193
2001-04-03,2644.141
2001-04-04,2698.305
2001-04-05,2762.734
2001-04-06,2757.403
2001-04-09,2789.883
2001-04-10,2824.309
2001-04-11,2815.702
2001-04-12,2834.659
2001-04-13,2834.659
2001-04-16,2811.099
2001-04-17,2792.025
2001-04-18,2864.956
2001-04-19,2894.95
2001-04-20,2905.874
2001-04-23,2860.923
2001-04-24,2857.354
2001-04-25,2865.197
2001-04-26,2907.384
2001-04-27,2933.829
2001-04-30,2960.265
2001-05-01,2966.312
2001-05-02,2960.109
2001-05-03,2906.173
2001-05-04,2926.926
2001-05-07,2933.027
2001-05-08,2920.36
2001-05-09,2886.314
2001-05-10,2942.52
2001-05-11,2901.554
2001-05-14,2841.37
2001-05-15,2886.274
2001-05-16,2903.974
2001-05-17,2924.402
2001-05-18,2928.353
2001-05-21,2942.483
2001-05-22,2947.923
2001-05-23,2904.299
2001-05-24,2895.592
2001-05-25,2867.523
2001-05-28,2880.058
2001-05-29,2845.9
2001-05-30,2810.413
2001-05-31,2787.022
2001-06-01,2779.99
2001-06-04,2797.346
2001-06-05,2835.599
2001-06-06,2816.679
2001-06-07,2817.454
2001-06-08,2806.274
2001-06-11,2754.09
2001-06-12,2696.525
2001-06-13,2727.226
2001-06-14,2709.787
2001-06-15,2692.46
2001-06-18,2670.82
2001-06-19,2664.302
2001-06-20,2639.268
2001-06-21,2651.539
2001-06-22,2663.57
2001-06-25,2671.584
2001-06-26,2628.462
2001-06-27,2626.835
2001-06-28,2642.055
2001-06-29,2667.499
2001-07-02,2705.14
2001-07-03,2666.496
2001-07-04,2633.67
2001-07-05,2574.894
2001-07-06,2539.949
2001-07-09,2552.963
2001-07-10,2553.535
2001-07-11,2534.898
2001-07-12,2547.37
2001-07-13,2555.27
2001-07-16,2547.234
2001-07-17,2518.207
2001-07-18,2544.946
2001-07-19,2593.68
2001-07-20,2573.921
2001-07-23,2563.183
2001-07-24,2544.363
2001-07-25,2526.537
2001-07-26,2545.547
2001-07-27,2591.855
2001-07-30,2626.58
2001-07-31,2659.982
