Date,EUROPE GROWTH Standard (Large+Mid Cap)
2001-01-01,2904.372
2001-01-02,2877.771
2001-01-03,2826.667
2001-01-04,2876.615
2001-01-05,2872.088
2001-01-08,2848.764
2001-01-09,2793.966
2001-01-10,2786.744
2001-01-11,2855.2
2001-01-12,2888.584
2001-01-15,2879.229
2001-01-16,2830.359
2001-01-17,2881.626
2001-01-18,2917.802
2001-01-19,2885.707
2001-01-22,2881.139
2001-01-23,2882.601
2001-01-24,2855.191
2001-01-25,2850.171
2001-01-26,2844.624
2001-01-29,2831.316
2001-01-30,2835.251
2001-01-31,2872.314
2001-02-01,2871.198
2001-02-02,2828.309
2001-02-05,2836.831
2001-02-06,2828.289
2001-02-07,2785.737
2001-02-08,2745.11
2001-02-09,2709.279
2001-02-12,2751.654
2001-02-13,2725.829
2001-02-14,2664.453
2001-02-15,2674.15
2001-02-16,2636.248
2001-02-19,2638.584
2001-02-20,2585.183
2001-02-21,2575.618
2001-02-22,2548.868
2001-02-23,2495.0
2001-02-26,2528.094
2001-02-27,2560.541
2001-02-28,2556.713
2001-03-01,2555.378
2001-03-02,2574.973
2001-03-05,2593.648
2001-03-06,2629.078
2001-03-07,2614.382
2001-03-08,2596.607
2001-03-09,2560.89
2001-03-12,2478.019
2001-03-13,2424.817
2001-03-14,2379.809
2001-03-15,2416.498
2001-03-16,2319.688
2001-03-19,2307.662
2001-03-20,2363.608
2001-03-21,2305.977
2001-03-22,2176.597
2001-03-23,2272.734
2001-03-26,2356.926
2001-03-27,2406.263
2001-03-28,2346.256
2001-03-29,2325.625
2001-03-30,2338.798
2001-04-02,2320.41
2001-04-03,2251.397
2001-04-04,2297.516
2001-04-05,2352.375
2001-04-06,2347.768
2001-04-09,2375.422
2001-04-10,2404.734
2001-04-11,2396.979
2001-04-12,2413.116
2001-04-13,2413.116
2001-04-16,2393.06
2001-04-17,2376.368
2001-04-18,2438.413
2001-04-19,2463.94
2001-04-20,2473.237
2001-04-23,2434.5
2001-04-24,2431.431
2001-04-25,2438.085
2001-04-26,2473.983
2001-04-27,2496.421
2001-04-30,2518.78
2001-05-01,2523.857
2001-05-02,2518.577
2001-05-03,2472.55
2001-05-04,2490.025
2001-05-07,2495.087
2001-05-08,2484.274
2001-05-09,2455.312
2001-05-10,2503.115
2001-05-11,2468.126
2001-05-14,2416.897
2001-05-15,2455.093
2001-05-16,2470.148
2001-05-17,2487.441
2001-05-18,2490.772
2001-05-21,2502.567
2001-05-22,2507.155
2001-05-23,2470.053
2001-05-24,2462.632
2001-05-25,2438.672
2001-05-28,2449.332
2001-05-29,2420.28
2001-05-30,2390.1
2001-05-31,2370.082
2001-06-01,2363.886
2001-06-04,2378.644
2001-06-05,2411.121
2001-06-06,2395.033
2001-06-07,2395.692
2001-06-08,2385.969
2001-06-11,2341.599
2001-06-12,2292.655
2001-06-13,2318.741
2001-06-14,2303.694
2001-06-15,2288.964
2001-06-18,2270.321
2001-06-19,2264.781
2001-06-20,2243.501
2001-06-21,2253.864
2001-06-22,2264.09
2001-06-25,2271.34
2001-06-26,2234.678
2001-06-27,2233.295
2001-06-28,2246.229
2001-06-29,2267.861
2001-07-02,2299.862
2001-07-03,2267.008
2001-07-04,2239.099
2001-07-05,2189.127
2001-07-06,2159.417
2001-07-09,2170.482
2001-07-10,2170.958
2001-07-11,2155.113
2001-07-12,2165.642
2001-07-13,2172.358
2001-07-16,2165.526
2001-07-17,2140.849
2001-07-18,2163.58
2001-07-19,2204.965
2001-07-20,2188.168
2001-07-23,2179.039
2001-07-24,2163.039
2001-07-25,2147.876
2001-07-26,2164.037
2001-07-27,2203.405
2001-07-30,2232.935
2001-07-31,2261.281
2001-08-01,2282.681
2001-08-02,2294.703
2001-08-03,2275.148
2001-08-06,2263.228
2001-08-07,2259.036
2001-08-08,2226.674
2001-08-09,2208.182
2001-08-10,2207.18
2001-08-13,2225.779
2001-08-14,2247.442
2001-08-15,2259.503
2001-08-16,2233.335
2001-08-17,2203.745
2001-08-20,2196.43
2001-08-21,2225.567
2001-08-22,2233.823
2001-08-23,2224.212
2001-08-24,2258.206
2001-08-27,2251.753
2001-08-28,2221.928
2001-08-29,2212.733
2001-08-30,2160.783
2001-08-31,2162.21
2001-09-03,2132.9
2001-09-04,2121.995
2001-09-05,2077.362
2001-09-06,2032.24
2001-09-07,2014.96
2001-09-10,1993.331
2001-09-11,1871.236
2001-09-12,1928.457
2001-09-13,1958.926
2001-09-14,1881.429
2001-09-17,1927.304
2001-09-18,1906.926
2001-09-19,1887.96
2001-09-20,1818.812
2001-09-21,1755.206
2001-09-24,1849.806
