Date,ACWI LARGE CAP Large Cap
1994-05-31,337.677
1994-06-30,337.563
1994-07-29,343.414
1994-08-31,355.259
1994-09-30,346.597
1994-10-31,355.948
1994-11-30,339.653
1994-12-30,342.239
1995-01-31,335.863
1995-02-28,338.089
1995-03-31,354.813
1995-04-28,367.15
1995-05-31,370.939
1995-06-30,371.092
1995-07-31,388.805
1995-08-31,380.997
1995-09-29,392.15
1995-10-31,385.773
1995-11-30,397.965
1995-12-29,409.662
1996-01-31,417.299
1996-02-29,419.178
1996-03-29,425.155
1996-04-30,435.799
1996-05-31,436.85
1996-06-28,438.976
1996-07-31,421.692
1996-08-30,427.158
1996-09-30,443.373
1996-10-31,444.253
1996-11-29,467.787
1996-12-31,460.844
1997-01-31,466.862
1997-02-28,472.787
1997-03-31,463.66
1997-04-30,476.732
1997-05-30,508.27
1997-06-30,534.159
1997-07-31,559.103
1997-08-29,520.481
1997-09-30,547.823
1997-10-31,514.143
1997-11-28,521.887
1997-12-31,529.73
1998-01-30,541.324
1998-02-27,578.523
1998-03-31,602.11
1998-04-30,607.434
1998-05-29,596.628
1998-06-30,609.118
1998-07-31,609.543
1998-08-31,522.968
1998-09-30,535.141
1998-10-30,583.808
1998-11-30,617.908
1998-12-31,648.799
1999-01-29,663.848
1999-02-26,646.794
1999-03-31,677.17
1999-04-30,706.437
1999-05-31,680.345
1999-06-30,714.599
1999-07-30,711.473
1999-08-31,712.661
1999-09-30,708.049
1999-10-29,749.784
1999-11-30,781.283
1999-12-31,847.506
2000-01-31,800.77
2000-02-29,807.962
2000-03-31,850.23
2000-04-28,802.06
2000-05-31,772.464
2000-06-30,804.04
2000-07-31,777.823
2000-08-31,811.883
2000-09-29,766.834
2000-10-31,748.079
2000-11-30,692.865
2000-12-29,702.284
2001-01-31,720.57
2001-02-28,652.055
2001-03-30,605.403
2001-04-30,651.076
2001-05-31,641.754
2001-06-29,621.17
2001-07-31,608.928
2001-08-31,578.587
2001-09-28,528.035
2001-10-31,540.173
2001-11-30,572.645
2001-12-31,577.267
2002-01-31,558.45
2002-02-28,552.851
2002-03-29,577.731
2002-04-30,558.692
2002-05-31,559.352
2002-06-28,524.917
2002-07-31,483.223
2002-08-30,485.394
2002-09-30,431.89
2002-10-31,465.553
2002-11-29,489.275
2002-12-31,465.178
2003-01-31,450.143
2003-02-28,442.384
2003-03-31,440.555
2003-04-30,479.054
2003-05-30,504.019
2003-06-30,513.764
2003-07-31,523.16
2003-08-29,532.7
2003-09-30,535.504
2003-10-31,565.017
2003-11-28,572.899
2003-12-31,609.812
2004-01-30,619.387
2004-02-27,629.904
2004-03-31,624.406
2004-04-30,610.843
2004-05-31,614.823
2004-06-30,625.112
2004-07-30,606.152
2004-08-31,609.816
2004-09-30,620.204
2004-10-29,634.08
2004-11-30,665.125
2004-12-31,690.13
2005-01-31,674.399
2005-02-28,696.732
2005-03-31,681.02
2005-04-29,667.942
2005-05-31,679.892
2005-06-30,685.012
2005-07-29,709.129
2005-08-31,714.196
2005-09-30,734.984
2005-10-31,717.273
2005-11-30,740.843
2005-12-30,756.811
2006-01-31,790.759
2006-02-28,789.988
2006-03-31,804.629
2006-04-28,831.171
2006-05-31,800.449
2006-06-30,801.357
2006-07-31,811.022
2006-08-31,831.561
2006-09-29,840.724
2006-10-31,870.993
2006-11-30,892.798
2006-12-29,913.734
2007-01-31,920.615
2007-02-28,912.341
2007-03-30,929.926
2007-04-30,971.7
2007-05-31,1000.0
2007-06-29,998.209
2007-07-31,984.291
2007-08-31,983.682
2007-09-28,1039.352
2007-10-31,1080.686
2007-11-30,1038.308
2007-12-31,1026.301
2008-01-31,942.448
2008-02-29,943.948
2008-03-31,929.796
2008-04-30,982.509
2008-05-30,996.403
2008-06-30,915.784
2008-07-31,895.072
2008-08-29,874.374
2008-09-30,768.763
2008-10-31,621.831
2008-11-28,580.621
2008-12-31,599.507
2009-01-30,547.075
2009-02-27,493.617
2009-03-31,534.1
2009-04-30,594.156
2009-05-29,653.975
2009-06-30,650.063
2009-07-31,706.769
2009-08-31,730.494
2009-09-30,762.435
2009-10-30,752.854
2009-11-30,784.751
2009-12-31,798.215
2010-01-29,762.981
2010-02-26,771.383
2010-03-31,820.146
2010-04-30,818.863
2010-05-31,740.935
2010-06-30,717.701
2010-07-30,776.001
2010-08-31,748.582
2010-09-30,817.989
2010-10-29,847.658
2010-11-30,826.915
2010-12-31,886.969
2011-01-31,901.56
2011-02-28,927.967
2011-03-31,925.077
2011-04-29,963.03
2011-05-31,941.138
2011-06-30,927.149
2011-07-29,912.855
2011-08-31,846.217
2011-09-30,769.232
2011-10-31,850.969
2011-11-30,826.226
2011-12-30,825.791
2012-01-31,872.299
2012-02-29,916.0
2012-03-30,922.405
2012-04-30,912.008
2012-05-31,831.26
2012-06-29,873.953
2012-07-31,886.816
2012-08-31,904.928
2012-09-28,933.417
2012-10-31,927.033
2012-11-30,938.249
2012-12-31,957.834
2013-01-31,1001.72
2013-02-28,1000.175
2013-03-29,1017.356
2013-04-30,1046.664
2013-05-31,1043.356
2013-06-28,1012.516
2013-07-31,1060.003
2013-08-30,1037.903
2013-09-30,1089.888
2013-10-31,1135.82
2013-11-29,1154.358
2013-12-31,1173.184
2014-01-31,1123.737
2014-02-28,1175.982
2014-03-31,1182.643
2014-04-30,1195.911
2014-05-30,1221.205
2014-06-30,1243.064
2014-07-31,1230.438
2014-08-29,1256.777
2014-09-30,1219.326
2014-10-31,1227.255
2014-11-28,1247.876
2014-12-31,1221.515
2015-01-30,1200.432
2015-02-27,1266.952
2015-03-31,1245.447
2015-04-30,1282.751
2015-05-29,1280.551
2015-06-30,1250.57
2015-07-31,1262.68
2015-08-31,1173.527
2015-09-30,1131.589
2015-10-30,1222.722
2015-11-30,1211.797
2015-12-31,1190.755
2016-01-29,1121.518
2016-02-29,1110.991
2016-03-31,1190.791
2016-04-29,1207.235
2016-05-31,1209.606
2016-06-30,1204.659
2016-07-29,1253.778
2016-08-31,1259.613
2016-09-30,1266.382
2016-10-31,1247.31
2016-11-30,1256.053
2016-12-30,1286.03
2017-01-31,1318.95
2017-02-28,1357.282
2017-03-31,1374.368
2017-04-28,1394.725
2017-05-31,1426.047
2017-06-30,1432.126
2017-07-31,1472.648
2017-08-31,1478.99
2017-09-29,1507.358
2017-10-31,1539.974
2017-11-30,1569.008
2017-12-29,1592.964
2018-01-31,1685.607
2018-02-28,1615.11
2018-03-30,1576.032
2018-04-30,1591.532
2018-05-31,1592.869
2018-06-29,1585.544
2018-07-31,1636.815
2018-08-31,1650.218
2018-09-28,1660.501
2018-10-31,1541.655
2018-11-30,1565.749
2018-12-31,1455.503
2019-01-31,1566.861
2019-02-28,1607.953
2019-03-29,1630.219
2019-04-30,1686.02
2019-05-31,1584.892
2019-06-28,1689.091
2019-07-31,1694.856
2019-08-30,1656.291
2019-09-30,1690.64
2019-10-31,1736.977
2019-11-29,1779.37
2019-12-31,1844.418
2020-01-31,1825.394
2020-02-28,1681.402
2020-03-31,1469.777
2020-04-30,1623.202
2020-05-29,1687.286
2020-06-30,1742.633
2020-07-31,1835.09
2020-08-31,1953.473
2020-09-30,1885.973
2020-10-30,1835.482
2020-11-30,2055.577
2020-12-31,2147.989
2021-01-29,2138.254
2021-02-26,2182.47
2021-03-31,2242.794
2021-04-30,2339.887
2021-05-31,2375.548
2021-06-30,2411.143
2021-07-30,2428.748
2021-08-31,2488.875
2021-09-30,2384.912
2021-10-29,2511.617
2021-11-30,2456.155
2021-12-31,2555.302
2022-01-31,2439.592
2022-02-28,2368.327
2022-03-31,2424.109
2022-04-29,2227.747
2022-05-31,2230.838
2022-06-30,2048.589
2022-07-29,2190.528
2022-08-31,2106.989
2022-09-30,1908.483
2022-10-31,2022.576
2022-11-30,2178.384
2022-12-30,2088.102
2023-01-31,2234.321
2023-02-28,2169.81
2023-03-31,2252.262
2023-04-28,2288.33
2023-05-31,2272.118
2023-06-30,2403.803
2023-07-31,2487.967
2023-08-31,2422.604
2023-09-29,2323.181
2023-10-31,2262.373
2023-11-30,2468.164
2023-12-29,2577.761
2024-01-31,2603.581
2024-02-29,2717.25
2024-03-29,2800.315
2024-04-30,2710.832
2024-05-31,2828.133
2024-06-28,2908.051
2024-07-31,2942.126
2024-08-30,3016.901
2024-09-30,3084.044
2024-10-31,3018.834
2024-11-29,3126.077
2024-12-31,3067.729
2025-01-31,3168.106
2025-02-28,3152.023
