Date,ACWI LARGE CAP Large Cap
2001-01-01,702.243
2001-01-02,689.202
2001-01-03,706.5
2001-01-04,707.43
2001-01-05,698.008
2001-01-08,695.388
2001-01-09,692.021
2001-01-10,693.772
2001-01-11,700.426
2001-01-12,700.063
2001-01-15,699.645
2001-01-16,700.976
2001-01-17,706.451
2001-01-18,716.138
2001-01-19,714.159
2001-01-22,714.276
2001-01-23,719.317
2001-01-24,718.082
2001-01-25,715.726
2001-01-26,714.198
2001-01-29,716.677
2001-01-30,720.829
2001-01-31,720.57
2001-02-01,722.82
2001-02-02,711.494
2001-02-05,711.761
2001-02-06,710.073
2001-02-07,703.356
2001-02-08,696.886
2001-02-09,689.518
2001-02-12,696.554
2001-02-13,691.141
2001-02-14,687.458
2001-02-15,690.887
2001-02-16,680.396
2001-02-19,679.198
2001-02-20,669.337
2001-02-21,659.349
2001-02-22,656.559
2001-02-23,652.35
2001-02-26,660.88
2001-02-27,658.841
2001-02-28,652.055
2001-03-01,651.41
2001-03-02,646.679
2001-03-05,649.875
2001-03-06,658.706
2001-03-07,660.71
2001-03-08,660.534
2001-03-09,648.729
2001-03-12,624.998
2001-03-13,623.978
2001-03-14,610.132
2001-03-15,614.737
2001-03-16,601.908
2001-03-19,606.697
2001-03-20,601.712
2001-03-21,595.651
2001-03-22,582.589
2001-03-23,596.35
2001-03-26,609.37
2001-03-27,621.726
2001-03-28,609.774
2001-03-29,602.472
2001-03-30,605.403
2001-04-02,598.721
2001-04-03,583.301
2001-04-04,586.336
2001-04-05,604.839
2001-04-06,599.477
2001-04-09,601.905
2001-04-10,612.392
2001-04-11,614.042
2001-04-12,621.92
2001-04-13,621.69
2001-04-16,617.571
2001-04-17,619.354
2001-04-18,639.694
2001-04-19,650.183
2001-04-20,646.51
2001-04-23,638.593
2001-04-24,633.537
2001-04-25,640.055
2001-04-26,644.563
2001-04-27,650.412
2001-04-30,651.076
2001-05-01,659.893
2001-05-02,661.599
2001-05-03,653.581
2001-05-04,659.663
2001-05-07,660.591
2001-05-08,656.35
2001-05-09,652.078
2001-05-10,653.971
2001-05-11,648.531
2001-05-14,643.776
2001-05-15,647.485
2001-05-16,657.374
2001-05-17,662.351
2001-05-18,662.807
2001-05-21,670.781
2001-05-22,669.575
2001-05-23,662.069
2001-05-24,662.607
2001-05-25,655.994
2001-05-28,655.882
2001-05-29,651.229
2001-05-30,641.408
2001-05-31,641.754
2001-06-01,642.413
2001-06-04,645.01
2001-06-05,651.022
2001-06-06,646.147
2001-06-07,649.043
2001-06-08,644.903
2001-06-11,637.64
2001-06-12,633.619
2001-06-13,631.434
2001-06-14,624.776
2001-06-15,620.876
2001-06-18,615.914
2001-06-19,616.553
2001-06-20,617.941
2001-06-21,623.766
2001-06-22,622.541
2001-06-25,620.91
2001-06-26,617.409
2001-06-27,615.139
2001-06-28,618.427
2001-06-29,621.17
2001-07-02,626.987
2001-07-03,624.577
2001-07-04,622.11
2001-07-05,613.558
2001-07-06,601.733
2001-07-09,604.151
2001-07-10,599.902
2001-07-11,596.859
2001-07-12,606.837
2001-07-13,608.721
2001-07-16,604.102
2001-07-17,604.566
2001-07-18,602.591
2001-07-19,606.766
2001-07-20,605.191
2001-07-23,597.271
2001-07-24,591.643
2001-07-25,595.793
2001-07-26,600.062
2001-07-27,603.092
2001-07-30,603.561
2001-07-31,608.928
2001-08-01,613.17
2001-08-02,617.379
2001-08-03,613.913
2001-08-06,608.838
2001-08-07,609.629
2001-08-08,601.527
2001-08-09,598.029
2001-08-10,599.903
2001-08-13,600.454
2001-08-14,603.571
2001-08-15,603.1
2001-08-16,600.655
2001-08-17,592.217
2001-08-20,592.67
2001-08-21,591.354
2001-08-22,595.021
2001-08-23,591.735
2001-08-24,600.963
2001-08-27,600.149
2001-08-28,592.219
2001-08-29,587.743
2001-08-30,577.662
2001-08-31,578.587
2001-09-03,574.454
2001-09-04,576.012
2001-09-05,571.024
2001-09-06,560.024
2001-09-07,552.033
2001-09-10,550.11
2001-09-11,541.842
2001-09-12,538.754
2001-09-13,541.326
2001-09-14,537.021
2001-09-17,523.442
