Date,ACWI LARGE CAP Large Cap
1994-05-31,324.01
1994-06-30,323.99
1994-07-29,329.658
1994-08-31,341.043
1994-09-30,332.781
1994-10-31,341.776
1994-11-30,326.151
1994-12-30,328.661
1995-01-31,322.552
1995-02-28,324.707
1995-03-31,340.837
1995-04-28,352.733
1995-05-31,356.525
1995-06-30,356.791
1995-07-31,373.872
1995-08-31,366.382
1995-09-29,377.167
1995-10-31,371.055
1995-11-30,382.804
1995-12-29,394.088
1996-01-31,401.452
1996-02-29,403.28
1996-03-29,409.097
1996-04-30,419.396
1996-05-31,420.572
1996-06-28,422.757
1996-07-31,406.156
1996-08-30,411.444
1996-09-30,427.122
1996-10-31,427.992
1996-11-29,450.686
1996-12-31,444.033
1997-01-31,449.853
1997-02-28,455.586
1997-03-31,446.857
1997-04-30,459.538
1997-05-30,490.098
1997-06-30,515.21
1997-07-31,539.321
1997-08-29,502.088
1997-09-30,528.528
1997-10-31,496.051
1997-11-28,503.542
1997-12-31,511.136
1998-01-30,522.341
1998-02-27,558.265
1998-03-31,581.091
1998-04-30,586.321
1998-05-29,576.058
1998-06-30,588.305
1998-07-31,588.771
1998-08-31,505.16
1998-09-30,516.959
1998-10-30,563.985
1998-11-30,596.944
1998-12-31,626.805
1999-01-29,641.425
1999-02-26,625.061
1999-03-31,654.616
1999-04-30,683.055
1999-05-31,658.112
1999-06-30,691.467
1999-07-30,688.563
1999-08-31,689.85
1999-09-30,685.545
1999-10-29,726.029
1999-11-30,756.666
1999-12-31,820.916
2000-01-31,775.735
2000-02-29,782.823
2000-03-31,823.96
2000-04-28,777.457
2000-05-31,749.071
2000-06-30,779.855
2000-07-31,754.556
2000-08-31,787.761
2000-09-29,744.188
2000-10-31,726.085
2000-11-30,672.646
2000-12-29,681.877
2001-01-31,699.728
2001-02-28,633.332
2001-03-30,588.215
2001-04-30,632.807
2001-05-31,624.091
2001-06-29,604.254
2001-07-31,592.461
2001-08-31,563.125
2001-09-28,514.066
2001-10-31,525.961
2001-11-30,557.722
2001-12-31,562.332
2002-01-31,544.109
2002-02-28,538.8
2002-03-29,563.226
2002-04-30,544.871
2002-05-31,545.867
2002-06-28,512.468
2002-07-31,471.886
2002-08-30,474.18
2002-09-30,422.069
2002-10-31,455.103
2002-11-29,478.462
2002-12-31,455.047
2003-01-31,440.462
2003-02-28,433.059
2003-03-31,431.48
2003-04-30,469.473
2003-05-30,494.258
2003-06-30,504.06
2003-07-31,513.452
2003-08-29,523.002
2003-09-30,525.92
2003-10-31,555.081
2003-11-28,563.026
2003-12-31,599.478
2004-01-30,609.046
2004-02-27,619.617
2004-03-31,614.425
2004-04-30,601.414
2004-05-31,605.74
2004-06-30,616.145
2004-07-30,597.645
2004-08-31,601.495
2004-09-30,611.925
2004-10-29,625.776
2004-11-30,656.694
2004-12-31,681.563
2005-01-31,666.177
2005-02-28,688.564
2005-03-31,673.303
2005-04-29,660.851
2005-05-31,673.169
2005-06-30,678.552
2005-07-29,702.633
2005-08-31,707.991
2005-09-30,728.788
2005-10-31,711.378
2005-11-30,735.151
2005-12-30,751.161
2006-01-31,785.027
2006-02-28,784.606
2006-03-31,799.477
2006-04-28,826.268
2006-05-31,796.463
2006-06-30,797.699
2006-07-31,807.527
2006-08-31,828.419
2006-09-29,837.767
2006-10-31,868.104
2006-11-30,890.307
2006-12-29,911.38
2007-01-31,918.459
2007-02-28,910.588
2007-03-30,928.5
2007-04-30,970.757
2007-05-31,1000.0
2007-06-29,998.574
2007-07-31,984.899
2007-08-31,984.721
2007-09-28,1040.761
2007-10-31,1082.376
2007-11-30,1040.403
2007-12-31,1028.636
2008-01-31,944.85
2008-02-29,946.826
2008-03-31,933.015
2008-04-30,986.621
2008-05-30,1001.761
2008-06-30,921.032
2008-07-31,900.504
2008-08-29,880.091
2008-09-30,774.136
2008-10-31,626.378
2008-11-28,585.287
2008-12-31,604.6
2009-01-30,551.92
2009-02-27,498.359
2009-03-31,539.485
2009-04-30,600.675
2009-05-29,661.892
2009-06-30,658.185
2009-07-31,715.849
2009-08-31,740.196
2009-09-30,772.805
2009-10-30,763.267
2009-11-30,795.961
2009-12-31,809.856
2010-01-29,774.274
2010-02-26,783.105
2010-03-31,833.001
2010-04-30,832.152
2010-05-31,753.751
2010-06-30,730.376
2010-07-30,789.959
2010-08-31,762.38
2010-09-30,833.343
2010-10-29,863.758
2010-11-30,842.998
2010-12-31,904.468
2011-01-31,919.577
2011-02-28,946.909
2011-03-31,944.364
2011-04-29,983.684
2011-05-31,962.27
2011-06-30,948.346
2011-07-29,934.05
2011-08-31,866.261
2011-09-30,787.785
2011-10-31,871.721
2011-11-30,846.837
2011-12-30,846.674
2012-01-31,894.625
2012-02-29,939.924
2012-03-30,946.962
2012-04-30,936.936
2012-05-31,854.861
2012-06-29,899.167
2012-07-31,912.723
2012-08-31,931.826
2012-09-28,961.561
2012-10-31,955.249
2012-11-30,967.289
2012-12-31,987.931
2013-01-31,1033.516
2013-02-28,1032.432
2013-03-29,1050.665
2013-04-30,1081.678
2013-05-31,1079.19
2013-06-28,1047.728
2013-07-31,1097.212
2013-08-30,1074.823
2013-09-30,1129.076
2013-10-31,1176.943
2013-11-29,1196.684
2013-12-31,1216.605
2014-01-31,1165.63
2014-02-28,1220.447
2014-03-31,1228.028
2014-04-30,1242.496
2014-05-30,1269.898
2014-06-30,1293.155
2014-07-31,1280.449
