Date,DENMARK IMI IMI (Large+Mid+Small Cap)
1994-05-31,143.755
1994-06-30,148.645
1994-07-29,154.947
1994-08-31,146.281
1994-09-30,145.336
1994-10-31,147.56
1994-11-30,142.232
1994-12-30,146.507
1995-01-31,149.166
1995-02-28,153.696
1995-03-31,154.05
1995-04-28,160.793
1995-05-31,166.198
1995-06-30,164.101
1995-07-31,174.203
1995-08-31,165.276
1995-09-29,167.053
1995-10-31,166.138
1995-11-30,165.286
1995-12-29,168.605
1996-01-31,173.614
1996-02-29,176.422
1996-03-29,173.057
1996-04-30,172.299
1996-05-31,175.287
1996-06-28,179.031
1996-07-31,182.843
1996-08-30,191.123
1996-09-30,190.49
1996-10-31,197.358
1996-11-29,201.358
1996-12-31,208.008
1997-01-31,216.144
1997-02-28,215.166
1997-03-31,221.326
1997-04-30,217.182
1997-05-30,233.869
1997-06-30,236.06
1997-07-31,250.019
1997-08-29,239.2
1997-09-30,265.163
1997-10-31,254.599
1997-11-28,253.65
1997-12-31,270.408
1998-01-30,270.917
1998-02-27,276.43
1998-03-31,303.351
1998-04-30,296.499
1998-05-29,305.107
1998-06-30,297.081
1998-07-31,300.143
1998-08-31,264.882
1998-09-30,257.315
1998-10-30,270.983
1998-11-30,259.065
1998-12-31,277.318
1999-01-29,269.644
1999-02-26,249.803
1999-03-31,247.174
1999-04-30,262.257
1999-05-31,252.499
1999-06-30,256.467
1999-07-30,272.154
1999-08-31,274.376
1999-09-30,280.087
1999-10-29,281.036
1999-11-30,289.976
1999-12-31,305.258
2000-01-31,292.335
2000-02-29,300.443
2000-03-31,323.646
2000-04-28,296.077
2000-05-31,311.669
2000-06-30,314.055
2000-07-31,319.369
2000-08-31,336.562
2000-09-29,329.925
2000-10-31,317.173
2000-11-30,301.437
2000-12-29,317.458
2001-01-31,350.882
2001-02-28,324.227
2001-03-30,289.902
2001-04-30,298.068
2001-05-31,298.354
2001-06-29,290.386
2001-07-31,301.71
2001-08-31,285.856
2001-09-28,253.819
2001-10-31,261.528
2001-11-30,264.812
2001-12-31,265.133
2002-01-31,257.57
2002-02-28,266.599
2002-03-29,273.386
2002-04-30,263.103
2002-05-31,271.231
2002-06-28,274.934
2002-07-31,241.591
2002-08-30,249.754
2002-09-30,216.613
2002-10-31,219.84
2002-11-29,227.793
2002-12-31,230.455
2003-01-31,221.821
2003-02-28,213.274
2003-03-31,231.54
2003-04-30,261.338
2003-05-30,280.54
2003-06-30,282.119
2003-07-31,277.355
2003-08-29,303.676
2003-09-30,316.657
2003-10-31,339.616
2003-11-28,334.553
2003-12-31,357.345
2004-01-30,377.281
2004-02-27,398.176
2004-03-31,380.781
2004-04-30,370.7
2004-05-31,372.971
2004-06-30,394.797
2004-07-30,389.366
2004-08-31,395.635
2004-09-30,422.862
2004-10-29,420.868
2004-11-30,459.621
2004-12-31,475.593
2005-01-31,467.469
2005-02-28,502.291
2005-03-31,507.258
2005-04-29,493.055
2005-05-31,504.008
2005-06-30,517.878
2005-07-29,535.475
2005-08-31,561.716
2005-09-30,565.477
2005-10-31,547.591
2005-11-30,560.296
2005-12-30,599.978
2006-01-31,619.349
2006-02-28,623.126
2006-03-31,660.049
2006-04-28,706.477
2006-05-31,680.099
2006-06-30,668.156
2006-07-31,664.774
2006-08-31,706.146
2006-09-29,724.217
2006-10-31,757.724
2006-11-30,811.209
2006-12-29,846.517
2007-01-31,867.123
2007-02-28,865.421
2007-03-30,906.331
2007-04-30,976.095
2007-05-31,1000.0
2007-06-29,975.865
2007-07-31,1012.006
2007-08-31,1002.623
2007-09-28,1050.987
2007-10-31,1093.417
2007-11-30,1028.994
2007-12-31,1022.184
2008-01-31,900.437
2008-02-29,977.45
2008-03-31,1012.247
2008-04-30,1009.189
2008-05-30,1068.528
2008-06-30,993.237
2008-07-31,965.32
2008-08-29,921.672
2008-09-30,722.114
2008-10-31,532.79
2008-11-28,493.521
2008-12-31,509.091
2009-01-30,500.835
2009-02-27,447.702
2009-03-31,452.306
2009-04-30,538.208
2009-05-29,613.059
2009-06-30,610.131
2009-07-31,661.718
2009-08-31,715.584
2009-09-30,734.097
2009-10-30,714.615
2009-11-30,733.385
2009-12-31,721.741
2010-01-29,740.296
2010-02-26,727.597
2010-03-31,784.066
2010-04-30,828.258
2010-05-31,724.061
2010-06-30,726.372
2010-07-30,803.057
2010-08-31,758.321
2010-09-30,858.49
2010-10-29,888.5
2010-11-30,834.825
2010-12-31,927.257
2011-01-31,951.079
2011-02-28,987.017
2011-03-31,1007.172
2011-04-29,1047.402
2011-05-31,1000.916
2011-06-30,954.182
2011-07-29,920.745
2011-08-31,792.057
2011-09-30,717.378
2011-10-31,774.826
2011-11-30,790.269
2011-12-30,768.428
2012-01-31,814.949
2012-02-29,925.009
2012-03-30,913.328
2012-04-30,940.148
2012-05-31,829.944
2012-06-29,877.02
2012-07-31,918.84
2012-08-31,956.258
2012-09-28,982.382
2012-10-31,976.616
2012-11-30,988.375
2012-12-31,1013.502
2013-01-31,1124.798
2013-02-28,1105.52
2013-03-29,1078.429
2013-04-30,1123.627
2013-05-31,1099.131
2013-06-28,1056.472
2013-07-31,1151.192
2013-08-30,1156.452
2013-09-30,1222.356
2013-10-31,1253.143
2013-11-29,1306.698
2013-12-31,1352.723
2014-01-31,1390.401
2014-02-28,1581.233
2014-03-31,1557.723
2014-04-30,1576.748
2014-05-30,1589.65
2014-06-30,1641.343
2014-07-31,1596.579
2014-08-29,1576.241
2014-09-30,1563.294
2014-10-31,1534.779
2014-11-28,1539.415
2014-12-31,1465.587
2015-01-30,1485.006
2015-02-27,1605.002
2015-03-31,1684.075
2015-04-30,1778.384
2015-05-29,1772.267
2015-06-30,1736.365
2015-07-31,1837.282
2015-08-31,1747.781
2015-09-30,1704.468
2015-10-30,1712.034
2015-11-30,1772.302
2015-12-31,1823.452
2016-01-29,1738.86
2016-02-29,1701.469
2016-03-31,1815.937
2016-04-29,1849.072
2016-05-31,1882.14
2016-06-30,1795.708
2016-07-29,1876.402
2016-08-31,1784.728
2016-09-30,1723.33
2016-10-31,1623.005
2016-11-30,1507.193
2016-12-30,1583.323
2017-01-31,1657.297
2017-02-28,1653.116
2017-03-31,1700.217
2017-04-28,1831.498
2017-05-31,1941.435
2017-06-30,1959.425
2017-07-31,2050.437
2017-08-31,2121.49
2017-09-29,2117.489
2017-10-31,2144.666
2017-11-30,2106.897
2017-12-29,2157.952
2018-01-31,2231.804
2018-02-28,2176.323
2018-03-30,2150.864
2018-04-30,2119.071
2018-05-31,2082.144
2018-06-29,2055.115
2018-07-31,2175.218
2018-08-31,2176.976
2018-09-28,2084.99
2018-10-31,1871.008
2018-11-30,1902.152
2018-12-31,1847.642
2019-01-31,1926.146
2019-02-28,2027.908
2019-03-29,2085.232
2019-04-30,2098.594
2019-05-31,2005.841
2019-06-28,2108.958
2019-07-31,2051.594
2019-08-30,2080.997
2019-09-30,2070.288
2019-10-31,2141.717
2019-11-29,2237.827
2019-12-31,2344.552
2020-01-31,2380.822
2020-02-28,2241.978
2020-03-31,2125.24
2020-04-30,2314.679
2020-05-29,2500.123
2020-06-30,2548.251
2020-07-31,2783.174
2020-08-31,2915.024
2020-09-30,2940.485
2020-10-30,2853.79
2020-11-30,3142.142
2020-12-31,3365.601
2021-01-29,3233.466
2021-02-26,3241.186
2021-03-31,3290.873
2021-04-30,3520.384
2021-05-31,3665.298
2021-06-30,3716.867
2021-07-30,3890.595
2021-08-31,4021.03
2021-09-30,3792.743
2021-10-29,4034.594
2021-11-30,3788.149
2021-12-31,3988.823
2022-01-31,3550.337
2022-02-28,3574.45
2022-03-31,3724.914
2022-04-29,3602.322
2022-05-31,3485.886
2022-06-30,3278.995
2022-07-29,3544.553
2022-08-31,3276.637
2022-09-30,2883.744
2022-10-31,3159.232
2022-11-30,3539.846
2022-12-30,3774.499
2023-01-31,3847.508
2023-02-28,3947.219
2023-03-31,4236.092
2023-04-28,4413.325
2023-05-31,4232.559
2023-06-30,4323.047
2023-07-31,4348.151
2023-08-31,4510.39
2023-09-29,4378.456
2023-10-31,4365.882
2023-11-30,4717.094
2023-12-29,4906.538
2024-01-31,5148.619
2024-02-29,5343.516
2024-03-29,5642.951
2024-04-30,5615.695
2024-05-31,5902.249
2024-06-28,6068.567
2024-07-31,5860.342
2024-08-30,6080.079
2024-09-30,5517.055
2024-10-31,5189.121
2024-11-29,5010.015
2024-12-31,4379.953
2025-01-31,4327.867
2025-02-28,4548.7
2025-03-31,3932.009
2025-04-30,4003.682
2025-05-30,4233.152
