Date,DENMARK IMI IMI (Large+Mid+Small Cap)
1994-05-31,151.804
1994-06-30,156.965
1994-07-29,163.62
1994-08-31,154.466
1994-09-30,153.438
1994-10-31,155.785
1994-11-30,150.159
1994-12-30,154.638
1995-01-31,157.442
1995-02-28,162.22
1995-03-31,162.473
1995-04-28,169.178
1995-05-31,174.692
1995-06-30,172.478
1995-07-31,183.095
1995-08-31,173.709
1995-09-29,175.529
1995-10-31,174.568
1995-11-30,173.673
1995-12-29,177.118
1996-01-31,182.374
1996-02-29,185.324
1996-03-29,181.667
1996-04-30,180.731
1996-05-31,183.413
1996-06-28,187.331
1996-07-31,191.319
1996-08-30,199.981
1996-09-30,199.269
1996-10-31,206.453
1996-11-29,210.637
1996-12-31,217.56
1997-01-31,226.067
1997-02-28,225.044
1997-03-31,231.378
1997-04-30,226.606
1997-05-30,243.804
1997-06-30,246.085
1997-07-31,260.637
1997-08-29,249.356
1997-09-30,276.319
1997-10-31,265.309
1997-11-28,264.32
1997-12-31,281.748
1998-01-30,282.278
1998-02-27,288.023
1998-03-31,315.926
1998-04-30,308.275
1998-05-29,317.015
1998-06-30,308.673
1998-07-31,311.855
1998-08-31,275.213
1998-09-30,267.314
1998-10-30,281.513
1998-11-30,269.132
1998-12-31,288.095
1999-01-29,280.123
1999-02-26,259.51
1999-03-31,256.531
1999-04-30,271.897
1999-05-31,261.716
1999-06-30,265.828
1999-07-30,282.088
1999-08-31,284.391
1999-09-30,290.254
1999-10-29,291.237
1999-11-30,300.502
1999-12-31,316.311
2000-01-31,302.921
2000-02-29,311.322
2000-03-31,335.069
2000-04-28,306.278
2000-05-31,322.333
2000-06-30,324.801
2000-07-31,330.296
2000-08-31,348.078
2000-09-29,341.163
2000-10-31,327.977
2000-11-30,311.705
2000-12-29,328.269
2001-01-31,362.831
2001-02-28,335.269
2001-03-30,299.364
2001-04-30,307.219
2001-05-31,307.32
2001-06-29,299.107
2001-07-31,310.769
2001-08-31,294.439
2001-09-28,261.385
2001-10-31,269.324
2001-11-30,272.706
2001-12-31,273.026
2002-01-31,265.239
2002-02-28,274.534
2002-03-29,281.009
2002-04-30,270.098
2002-05-31,278.32
2002-06-28,282.117
2002-07-31,247.902
2002-08-30,256.279
2002-09-30,222.189
2002-10-31,225.49
2002-11-29,233.648
2002-12-31,236.363
2003-01-31,227.508
2003-02-28,218.741
2003-03-31,236.561
2003-04-30,266.46
2003-05-30,286.036
2003-06-30,287.646
2003-07-31,282.789
2003-08-29,309.553
2003-09-30,322.785
2003-10-31,346.17
2003-11-28,341.01
2003-12-31,364.22
2004-01-30,384.54
2004-02-27,405.824
2004-03-31,386.511
2004-04-30,375.833
2004-05-31,378.128
2004-06-30,400.256
2004-07-30,394.749
2004-08-31,401.022
2004-09-30,428.6
2004-10-29,426.579
2004-11-30,465.857
2004-12-31,482.02
2005-01-31,473.787
2005-02-28,509.043
2005-03-31,511.983
2005-04-29,497.031
2005-05-31,508.029
2005-06-30,522.009
2005-07-29,539.748
2005-08-31,566.108
2005-09-30,569.861
2005-10-31,551.837
2005-11-30,564.64
2005-12-30,604.594
2006-01-31,624.114
2006-02-28,627.881
2006-03-31,663.212
2006-04-28,709.153
2006-05-31,682.659
2006-06-30,670.671
2006-07-31,667.277
2006-08-31,708.693
2006-09-29,726.773
2006-10-31,760.384
2006-11-30,814.056
2006-12-29,849.441
2007-01-31,870.118
2007-02-28,868.41
2007-03-30,907.037
2007-04-30,976.449
2007-05-31,1000.0
2007-06-29,975.858
2007-07-31,1011.999
2007-08-31,1002.487
2007-09-28,1050.844
2007-10-31,1093.174
2007-11-30,1028.766
2007-12-31,1021.868
2008-01-31,900.158
2008-02-29,977.004
2008-03-31,1009.083
2008-04-30,1004.593
2008-05-30,1063.591
2008-06-30,988.639
2008-07-31,960.851
2008-08-29,917.268
2008-09-30,718.653
2008-10-31,530.222
2008-11-28,491.142
2008-12-31,506.586
2009-01-30,498.37
2009-02-27,445.499
2009-03-31,448.95
2009-04-30,533.85
2009-05-29,607.686
2009-06-30,604.775
2009-07-31,655.909
2009-08-31,709.136
2009-09-30,727.482
2009-10-30,708.177
2009-11-30,726.777
2009-12-31,715.183
2010-01-29,733.57
2010-02-26,720.986
2010-03-31,775.547
2010-04-30,818.668
2010-05-31,715.677
2010-06-30,717.954
2010-07-30,793.751
2010-08-31,749.28
2010-09-30,848.243
2010-10-29,877.895
2010-11-30,824.86
2010-12-31,916.097
2011-01-31,939.632
2011-02-28,975.137
2011-03-31,993.158
2011-04-29,1031.839
2011-05-31,985.884
2011-06-30,939.852
2011-07-29,906.906
2011-08-31,779.882
2011-09-30,706.34
2011-10-31,762.904
2011-11-30,778.006
2011-12-30,756.401
2012-01-31,802.194
2012-02-29,910.532
2012-03-30,896.3
2012-04-30,921.751
2012-05-31,813.659
2012-06-29,859.811
2012-07-31,900.811
2012-08-31,937.153
2012-09-28,962.751
2012-10-31,957.101
2012-11-30,968.543
2012-12-31,993.024
2013-01-31,1102.071
2013-02-28,1083.183
2013-03-29,1053.268
2013-04-30,1096.179
2013-05-31,1072.176
2013-06-28,1030.563
2013-07-31,1122.961
2013-08-30,1127.742
2013-09-30,1192.006
2013-10-31,1222.028
2013-11-29,1274.057
2013-12-31,1318.664
2014-01-31,1355.394
2014-02-28,1541.233
2014-03-31,1513.475
2014-04-30,1530.689
2014-05-30,1543.063
2014-06-30,1593.242
2014-07-31,1549.733
2014-08-29,1529.591
2014-09-30,1517.02
2014-10-31,1489.349
2014-11-28,1493.738
2014-12-31,1421.856
2015-01-30,1440.696
2015-02-27,1556.915
2015-03-31,1623.078
2015-04-30,1713.598
2015-05-29,1707.571
2015-06-30,1672.921
2015-07-31,1769.889
2015-08-31,1683.466
2015-09-30,1641.734
2015-10-30,1649.014
2015-11-30,1706.945
2015-12-31,1755.969
2016-01-29,1674.508
2016-02-29,1638.245
2016-03-31,1741.904
2016-04-29,1772.103
2016-05-31,1803.596
2016-06-30,1720.703
2016-07-29,1797.944
2016-08-31,1708.544
2016-09-30,1649.757
2016-10-31,1553.716
2016-11-30,1442.541
2016-12-30,1515.109
2017-01-31,1585.896
2017-02-28,1581.645
2017-03-31,1620.338
2017-04-28,1744.373
2017-05-31,1848.664
2017-06-30,1865.63
2017-07-31,1952.078
2017-08-31,2017.8
2017-09-29,2013.984
2017-10-31,2039.783
2017-11-30,2003.355
2017-12-29,2051.529
2018-01-31,2121.739
2018-02-28,2068.971
2018-03-30,2037.426
2018-04-30,2005.009
2018-05-31,1969.851
2018-06-29,1944.04
2018-07-31,2057.464
2018-08-31,2057.261
2018-09-28,1970.111
2018-10-31,1767.862
2018-11-30,1797.109
2018-12-31,1745.23
2019-01-31,1819.327
2019-02-28,1915.108
2019-03-29,1962.738
2019-04-30,1973.345
2019-05-31,1885.965
2019-06-28,1982.887
2019-07-31,1928.714
2019-08-30,1954.655
2019-09-30,1944.596
2019-10-31,2011.63
2019-11-29,2101.697
2019-12-31,2201.507
2020-01-31,2235.423
2020-02-28,2104.758
2020-03-31,1989.88
2020-04-30,2166.568
2020-05-29,2339.97
2020-06-30,2384.996
2020-07-31,2604.868
2020-08-31,2726.329
2020-09-30,2750.142
2020-10-30,2669.053
2020-11-30,2938.541
2020-12-31,3146.986
2021-01-29,3023.166
2021-02-26,3030.384
2021-03-31,3069.667
2021-04-30,3282.462
2021-05-31,3417.01
2021-06-30,3465.062
2021-07-30,3626.903
2021-08-31,3746.548
2021-09-30,3533.844
2021-10-29,3758.942
2021-11-30,3529.002
2021-12-31,3715.417
2022-01-31,3306.873
2022-02-28,3329.29
2022-03-31,3455.774
2022-04-29,3340.594
2022-05-31,3232.37
2022-06-30,3040.446
2022-07-29,3286.524
2022-08-31,3036.037
2022-09-30,2671.993
2022-10-31,2927.096
2022-11-30,3279.342
2022-12-30,3496.211
2023-01-31,3563.627
2023-02-28,3655.982
2023-03-31,3905.211
2023-04-28,4067.394
2023-05-31,3900.535
2023-06-30,3983.904
2023-07-31,4005.405
2023-08-31,4151.838
2023-09-29,4030.392
2023-10-31,4018.15
2023-11-30,4341.324
2023-12-29,4514.865
2024-01-31,4737.369
2024-02-29,4916.616
2024-03-29,5180.604
2024-04-30,5154.567
2024-05-31,5417.162
2024-06-28,5569.79
2024-07-31,5376.9
2024-08-30,5574.706
2024-09-30,5058.48
2024-10-31,4757.379
2024-11-29,4593.162
2024-12-31,4013.817
2025-01-31,3965.838
2025-02-28,4168.198
2025-03-31,3587.738
2025-04-30,3651.062
2025-05-30,3860.091
2025-06-30,3888.578
2025-07-31,3329.853
2025-08-29,3566.296
2025-09-30,3485.163
2025-10-31,3414.789
2025-11-28,3514.976
2025-12-31,3692.695
