Date,DENMARK IMI IMI (Large+Mid+Small Cap)
2001-01-01,328.269
2001-01-02,335.046
2001-01-03,335.605
2001-01-04,340.096
2001-01-05,344.941
2001-01-08,345.969
2001-01-09,341.911
2001-01-10,342.516
2001-01-11,344.729
2001-01-12,348.38
2001-01-15,345.945
2001-01-16,346.529
2001-01-17,351.195
2001-01-18,358.476
2001-01-19,355.507
2001-01-22,361.032
2001-01-23,362.293
2001-01-24,361.194
2001-01-25,358.668
2001-01-26,359.257
2001-01-29,358.135
2001-01-30,359.533
2001-01-31,362.831
2001-02-01,362.05
2001-02-02,353.579
2001-02-05,354.641
2001-02-06,354.436
2001-02-07,354.564
2001-02-08,349.19
2001-02-09,350.504
2001-02-12,351.486
2001-02-13,346.172
2001-02-14,343.113
2001-02-15,344.623
2001-02-16,350.141
2001-02-19,349.456
2001-02-20,346.161
2001-02-21,346.372
2001-02-22,335.979
2001-02-23,331.604
2001-02-26,332.097
2001-02-27,337.68
2001-02-28,335.269
2001-03-01,335.858
2001-03-02,334.107
2001-03-05,330.746
2001-03-06,334.656
2001-03-07,334.961
2001-03-08,336.786
2001-03-09,334.557
2001-03-12,329.047
2001-03-13,318.503
2001-03-14,308.344
2001-03-15,308.187
2001-03-16,301.728
2001-03-19,296.37
2001-03-20,299.542
2001-03-21,298.835
2001-03-22,289.254
2001-03-23,294.623
2001-03-26,305.014
2001-03-27,305.48
2001-03-28,301.031
2001-03-29,295.584
2001-03-30,299.364
2001-04-02,293.431
2001-04-03,287.98
2001-04-04,287.502
2001-04-05,291.791
2001-04-06,296.209
2001-04-09,296.239
2001-04-10,295.727
2001-04-11,296.931
2001-04-12,297.896
2001-04-13,297.896
2001-04-16,298.286
2001-04-17,299.274
2001-04-18,303.09
2001-04-19,308.014
2001-04-20,308.886
2001-04-23,305.814
2001-04-24,304.261
2001-04-25,303.989
2001-04-26,305.415
2001-04-27,304.854
2001-04-30,307.219
2001-05-01,307.839
2001-05-02,305.518
2001-05-03,307.071
2001-05-04,304.498
2001-05-07,306.962
2001-05-08,307.906
2001-05-09,305.148
2001-05-10,307.972
2001-05-11,305.514
2001-05-14,303.496
2001-05-15,306.321
2001-05-16,307.239
2001-05-17,310.871
2001-05-18,311.965
2001-05-21,310.004
2001-05-22,311.427
2001-05-23,310.016
2001-05-24,308.871
2001-05-25,310.714
2001-05-28,311.1
2001-05-29,308.27
2001-05-30,308.86
2001-05-31,307.32
2001-06-01,306.419
2001-06-04,306.844
2001-06-05,306.961
2001-06-06,306.048
2001-06-07,305.06
2001-06-08,303.427
2001-06-11,300.272
2001-06-12,302.127
2001-06-13,306.182
2001-06-14,305.399
2001-06-15,302.61
2001-06-18,304.179
2001-06-19,302.38
2001-06-20,301.246
2001-06-21,299.556
2001-06-22,299.813
2001-06-25,302.405
2001-06-26,298.873
2001-06-27,300.17
2001-06-28,299.521
2001-06-29,299.107
2001-07-02,299.291
2001-07-03,301.83
2001-07-04,302.18
2001-07-05,299.685
2001-07-06,300.178
2001-07-09,303.534
2001-07-10,306.95
2001-07-11,306.998
2001-07-12,301.56
2001-07-13,300.469
2001-07-16,299.229
2001-07-17,297.364
2001-07-18,304.204
2001-07-19,308.363
2001-07-20,306.564
2001-07-23,303.785
2001-07-24,304.798
2001-07-25,302.92
2001-07-26,302.509
2001-07-27,304.894
2001-07-30,308.792
2001-07-31,310.769
2001-08-01,315.114
2001-08-02,316.472
2001-08-03,315.486
2001-08-06,312.817
2001-08-07,308.664
2001-08-08,305.689
2001-08-09,305.586
2001-08-10,307.554
2001-08-13,309.8
2001-08-14,310.295
2001-08-15,315.391
2001-08-16,313.356
2001-08-17,314.893
2001-08-20,311.723
2001-08-21,310.677
2001-08-22,310.158
2001-08-23,308.753
2001-08-24,311.11
2001-08-27,309.308
2001-08-28,303.66
2001-08-29,300.012
2001-08-30,294.384
2001-08-31,294.439
2001-09-03,290.226
2001-09-04,284.273
2001-09-05,282.633
2001-09-06,283.556
2001-09-07,286.793
2001-09-10,280.434
2001-09-11,276.74
2001-09-12,278.315
2001-09-13,282.991
2001-09-14,280.591
2001-09-17,271.946
2001-09-18,264.377
2001-09-19,268.677
2001-09-20,258.367
2001-09-21,245.941
2001-09-24,250.344
2001-09-25,249.93
2001-09-26,255.218
2001-09-27,256.429
2001-09-28,261.385
2001-10-01,254.761
2001-10-02,260.835
2001-10-03,261.197
2001-10-04,265.237
2001-10-05,266.984
2001-10-08,264.423
2001-10-09,269.396
2001-10-10,272.401
2001-10-11,278.117
2001-10-12,273.518
2001-10-15,272.916
2001-10-16,271.365
2001-10-17,272.432
2001-10-18,269.602
2001-10-19,266.937
2001-10-22,268.487
2001-10-23,268.155
2001-10-24,269.977
2001-10-25,267.974
2001-10-26,274.648
2001-10-29,272.348
2001-10-30,267.438
2001-10-31,269.324
2001-11-01,270.67
2001-11-02,269.343
2001-11-05,269.983
2001-11-06,268.891
2001-11-07,268.718
2001-11-08,268.268
2001-11-09,264.562
2001-11-12,260.615
2001-11-13,259.164
2001-11-14,262.349
2001-11-15,261.829
2001-11-16,262.939
2001-11-19,261.751
2001-11-20,264.632
2001-11-21,263.099
2001-11-22,265.549
2001-11-23,265.001
2001-11-26,264.015
2001-11-27,265.692
2001-11-28,264.884
2001-11-29,265.356
2001-11-30,272.706
2001-12-03,267.837
2001-12-04,269.215
2001-12-05,271.059
2001-12-06,269.712
2001-12-07,268.55
2001-12-10,265.351
2001-12-11,265.725
2001-12-12,265.253
2001-12-13,264.138
2001-12-14,261.531
2001-12-17,258.754
2001-12-18,262.81
2001-12-19,262.81
2001-12-20,264.808
2001-12-21,262.409
2001-12-24,259.86
2001-12-25,259.86
2001-12-26,260.076
2001-12-27,268.831
2001-12-28,270.379
2001-12-31,273.026
2002-01-01,273.026
2002-01-02,278.165
2002-01-03,280.259
2002-01-04,276.934
2002-01-07,275.791
2002-01-08,271.747
2002-01-09,272.958
2002-01-10,273.947
2002-01-11,272.269
2002-01-14,270.789
2002-01-15,268.588
2002-01-16,265.387
2002-01-17,267.766
2002-01-18,267.664
2002-01-21,267.488
2002-01-22,268.793
2002-01-23,268.105
2002-01-24,269.059
2002-01-25,263.017
2002-01-28,261.871
2002-01-29,260.489
2002-01-30,259.897
2002-01-31,265.239
2002-02-01,267.714
2002-02-04,268.173
2002-02-05,265.951
2002-02-06,264.089
2002-02-07,264.837
2002-02-08,266.367
2002-02-11,270.004
2002-02-12,268.679
2002-02-13,268.322
