Date,ISRAEL LARGE CAP Large Cap
1994-05-31,290.531
1994-06-30,259.67
1994-07-29,290.682
1994-08-31,292.625
1994-09-30,308.352
1994-10-31,322.601
1994-11-30,288.348
1994-12-30,284.991
1995-01-31,290.202
1995-02-28,252.945
1995-03-31,287.502
1995-04-28,305.691
1995-05-31,310.058
1995-06-30,320.754
1995-07-31,323.087
1995-08-31,345.394
1995-09-29,351.18
1995-10-31,332.165
1995-11-30,334.619
1995-12-29,348.264
1996-01-31,347.355
1996-02-29,357.497
1996-03-29,327.633
1996-04-30,349.369
1996-05-31,336.801
1996-06-28,323.627
1996-07-31,290.605
1996-08-30,302.905
1996-09-30,312.094
1996-10-31,301.901
1996-11-29,325.058
1996-12-31,340.491
1997-01-31,380.34
1997-02-28,387.828
1997-03-31,370.177
1997-04-30,374.994
1997-05-30,395.98
1997-06-30,406.255
1997-07-31,437.277
1997-08-29,413.223
1997-09-30,426.872
1997-10-31,389.916
1997-11-28,398.365
1997-12-31,367.832
1998-01-30,335.356
1998-02-27,350.959
1998-03-31,387.497
1998-04-30,375.236
1998-05-29,401.532
1998-06-30,399.621
1998-07-31,394.125
1998-08-31,340.066
1998-09-30,323.52
1998-10-30,314.992
1998-11-30,336.317
1998-12-31,335.069
1999-01-29,352.234
1999-02-26,358.669
1999-03-31,399.744
1999-04-30,399.001
1999-05-31,410.651
1999-06-30,409.735
1999-07-30,396.831
1999-08-31,365.839
1999-09-30,367.558
1999-10-29,384.166
1999-11-30,415.024
1999-12-31,503.5
2000-01-31,513.017
2000-02-29,681.052
2000-03-31,623.35
2000-04-28,625.578
2000-05-31,666.079
2000-06-30,725.467
2000-07-31,754.574
2000-08-31,868.282
2000-09-29,917.54
2000-10-31,828.885
2000-11-30,692.667
2000-12-29,819.042
2001-01-31,814.436
2001-02-28,667.147
2001-03-30,542.755
2001-04-30,621.914
2001-05-31,586.31
2001-06-29,590.735
2001-07-31,590.793
2001-08-31,516.691
2001-09-28,412.634
2001-10-31,458.15
2001-11-30,506.164
2001-12-31,525.153
2002-01-31,501.141
2002-02-28,434.732
2002-03-29,433.71
2002-04-30,350.025
2002-05-31,371.028
2002-06-28,354.241
2002-07-31,368.157
2002-08-30,370.785
2002-09-30,356.667
2002-10-31,384.983
2002-11-29,428.614
2002-12-31,384.628
2003-01-31,397.119
2003-02-28,399.342
2003-03-31,432.818
2003-04-30,485.234
2003-05-30,520.176
