Date,ISRAEL LARGE CAP Large Cap
2001-01-01,834.981
2001-01-02,750.698
2001-01-03,838.805
2001-01-04,830.481
2001-01-05,765.43
2001-01-08,731.934
2001-01-09,747.923
2001-01-10,765.758
2001-01-11,768.933
2001-01-12,767.71
2001-01-15,775.902
2001-01-16,763.381
2001-01-17,781.072
2001-01-18,812.447
2001-01-19,848.63
2001-01-22,822.317
2001-01-23,832.915
2001-01-24,820.447
2001-01-25,814.764
2001-01-26,850.766
2001-01-29,872.594
2001-01-30,870.422
2001-01-31,832.199
2001-02-01,841.393
2001-02-02,796.711
2001-02-05,814.933
2001-02-06,818.449
2001-02-07,806.859
2001-02-08,786.125
2001-02-09,756.226
2001-02-12,764.816
2001-02-13,761.523
2001-02-14,795.489
2001-02-15,827.414
2001-02-16,804.045
2001-02-19,799.054
2001-02-20,796.792
2001-02-21,765.804
2001-02-22,716.419
2001-02-23,743.636
2001-02-26,756.971
2001-02-27,725.499
2001-02-28,681.697
2001-03-01,710.479
2001-03-02,678.13
2001-03-05,656.666
2001-03-06,685.114
2001-03-07,699.655
2001-03-08,676.737
2001-03-09,679.096
2001-03-12,657.319
2001-03-13,679.805
2001-03-14,664.899
2001-03-15,643.196
2001-03-16,616.465
2001-03-19,606.095
2001-03-20,578.846
2001-03-21,582.774
2001-03-22,588.285
2001-03-23,590.697
2001-03-26,588.968
2001-03-27,602.428
2001-03-28,576.909
2001-03-29,543.293
2001-03-30,554.556
2001-04-02,540.598
2001-04-03,508.655
2001-04-04,517.491
2001-04-05,554.188
2001-04-06,546.955
2001-04-09,569.487
2001-04-10,608.0
2001-04-11,631.161
2001-04-12,637.067
2001-04-13,637.067
2001-04-16,632.593
2001-04-17,640.113
2001-04-18,676.954
2001-04-19,717.297
2001-04-20,694.699
2001-04-23,683.841
2001-04-24,635.774
2001-04-25,645.837
2001-04-26,629.368
2001-04-27,639.891
2001-04-30,635.437
2001-05-01,648.968
2001-05-02,672.507
2001-05-03,654.359
2001-05-04,652.983
2001-05-07,644.856
2001-05-08,661.985
2001-05-09,641.65
2001-05-10,633.103
2001-05-11,617.525
2001-05-14,603.861
2001-05-15,599.062
2001-05-16,590.407
2001-05-17,611.894
2001-05-18,608.391
2001-05-21,638.98
2001-05-22,645.538
2001-05-23,625.357
2001-05-24,640.66
2001-05-25,633.366
2001-05-28,632.785
2001-05-29,625.016
2001-05-30,600.324
2001-05-31,599.019
2001-06-01,604.786
2001-06-04,582.955
2001-06-05,576.975
2001-06-06,587.039
2001-06-07,599.775
2001-06-08,591.987
2001-06-11,570.821
2001-06-12,568.959
2001-06-13,561.541
2001-06-14,568.945
2001-06-15,570.907
2001-06-18,570.465
2001-06-19,578.209
2001-06-20,591.172
2001-06-21,588.457
2001-06-22,588.731
2001-06-25,583.779
2001-06-26,594.284
2001-06-27,606.179
2001-06-28,598.076
2001-06-29,602.504
2001-07-02,604.849
2001-07-03,573.321
2001-07-04,573.924
2001-07-05,574.469
2001-07-06,566.113
2001-07-09,570.62
2001-07-10,565.79
2001-07-11,548.602
2001-07-12,582.064
2001-07-13,569.276
2001-07-16,564.03
2001-07-17,576.952
2001-07-18,556.477
2001-07-19,562.089
2001-07-20,541.052
2001-07-23,548.238
2001-07-24,553.597
2001-07-25,564.509
2001-07-26,586.63
2001-07-27,598.978
2001-07-30,595.197
2001-07-31,601.726
2001-08-01,612.361
2001-08-02,606.183
2001-08-03,594.46
2001-08-06,596.673
2001-08-07,586.913
2001-08-08,578.704
2001-08-09,578.561
2001-08-10,572.684
2001-08-13,579.954
2001-08-14,571.837
2001-08-15,564.018
2001-08-16,566.739
2001-08-17,557.444
2001-08-20,554.233
2001-08-21,552.741
2001-08-22,554.968
2001-08-23,540.285
2001-08-24,550.003
2001-08-27,553.755
2001-08-28,541.85
2001-08-29,532.106
2001-08-30,523.809
2001-08-31,526.211
2001-09-03,525.916
2001-09-04,514.776
2001-09-05,514.744
2001-09-06,511.086
2001-09-07,513.871
2001-09-10,517.38
2001-09-11,502.118
2001-09-12,496.667
2001-09-13,503.206
2001-09-14,503.406
2001-09-17,489.159
2001-09-18,482.679
2001-09-19,472.935
2001-09-20,437.606
2001-09-21,428.64
2001-09-24,438.857
2001-09-25,429.153
2001-09-26,417.871
2001-09-27,413.224
2001-09-28,420.237
2001-10-01,421.312
2001-10-02,430.934
2001-10-03,449.9
2001-10-04,456.91
2001-10-05,457.035
2001-10-08,460.62
2001-10-09,453.853
2001-10-10,467.353
2001-10-11,490.106
2001-10-12,489.156
2001-10-15,475.954
2001-10-16,495.193
2001-10-17,478.524
2001-10-18,486.166
2001-10-19,477.034
2001-10-22,481.156
2001-10-23,478.757
2001-10-24,484.58
2001-10-25,488.656
2001-10-26,483.518
2001-10-29,475.517
2001-10-30,466.732
2001-10-31,466.591
2001-11-01,468.597
2001-11-02,466.621
2001-11-05,484.198
2001-11-06,492.294
2001-11-07,490.114
2001-11-08,491.803
2001-11-09,500.84
2001-11-12,508.68
2001-11-13,530.833
2001-11-14,520.526
2001-11-15,518.206
2001-11-16,513.213
2001-11-19,531.045
2001-11-20,507.624
2001-11-21,509.862
2001-11-22,511.118
2001-11-23,509.764
2001-11-26,517.713
2001-11-27,521.899
2001-11-28,513.696
2001-11-29,523.682
2001-11-30,515.447
2001-12-03,498.538
2001-12-04,509.778
2001-12-05,523.783
2001-12-06,522.314
2001-12-07,516.732
2001-12-10,517.229
2001-12-11,520.095
2001-12-12,527.387
2001-12-13,520.611
2001-12-14,513.009
2001-12-17,533.415
2001-12-18,541.09
2001-12-19,533.278
2001-12-20,514.814
2001-12-21,517.005
2001-12-24,526.927
2001-12-25,529.607
2001-12-26,534.854
2001-12-27,530.964
2001-12-28,533.428
2001-12-31,534.784
2002-01-01,540.573
2002-01-02,547.328
2002-01-03,557.506
2002-01-04,568.133
2002-01-07,579.724
2002-01-08,575.61
2002-01-09,578.598
2002-01-10,572.124
2002-01-11,571.602
2002-01-14,561.226
2002-01-15,529.841
2002-01-16,511.985
2002-01-17,506.348
2002-01-18,512.28
2002-01-21,507.261
2002-01-22,504.721
2002-01-23,500.309
2002-01-24,512.368
2002-01-25,505.58
2002-01-28,504.098
2002-01-29,498.88
2002-01-30,488.099
2002-01-31,510.332
2002-02-01,506.962
2002-02-04,499.361
2002-02-05,487.187
2002-02-06,484.002
2002-02-07,478.744
2002-02-08,486.633
2002-02-11,470.229
2002-02-12,468.712
2002-02-13,475.013
2002-02-14,470.061
2002-02-15,465.939
2002-02-18,456.89
2002-02-19,445.891
2002-02-20,446.588
2002-02-21,438.18
2002-02-22,443.043
2002-02-25,452.044
2002-02-26,458.537
2002-02-27,453.751
2002-02-28,442.642
2002-03-01,450.992
2002-03-04,471.339
2002-03-05,467.39
2002-03-06,460.276
2002-03-07,467.067
2002-03-08,473.835
2002-03-11,478.112
2002-03-12,463.158
2002-03-13,456.96
2002-03-14,460.305
2002-03-15,454.188
2002-03-18,472.084
2002-03-19,468.238
2002-03-20,452.825
2002-03-21,460.94
2002-03-22,454.092
2002-03-25,454.867
2002-03-26,447.238
2002-03-27,445.394
2002-03-28,441.602
2002-03-29,441.602
2002-04-01,418.613
2002-04-02,412.174
2002-04-03,409.491
2002-04-04,380.482
2002-04-05,382.611
2002-04-08,386.371
2002-04-09,380.611
2002-04-10,385.097
2002-04-11,382.572
2002-04-12,381.767
2002-04-15,383.59
2002-04-16,384.06
2002-04-17,379.62
2002-04-18,383.497
2002-04-19,382.358
2002-04-22,377.841
2002-04-23,369.23
2002-04-24,362.21
2002-04-25,363.234
2002-04-26,357.016
2002-04-29,352.236
2002-04-30,356.395
2002-05-01,357.244
2002-05-02,361.023
2002-05-03,360.215
2002-05-06,361.138
2002-05-07,368.428
2002-05-08,377.208
2002-05-09,369.583
2002-05-10,365.772
2002-05-13,368.999
2002-05-14,384.606
2002-05-15,381.428
2002-05-16,384.896
2002-05-17,387.238
2002-05-20,391.41
2002-05-21,390.702
2002-05-22,382.968
2002-05-23,384.806
2002-05-24,384.787
2002-05-27,388.507
2002-05-28,384.842
2002-05-29,379.773
2002-05-30,379.565
2002-05-31,377.721
2002-06-03,377.686
2002-06-04,385.16
2002-06-05,380.541
2002-06-06,375.595
2002-06-07,372.855
2002-06-10,366.117
2002-06-11,359.134
2002-06-12,353.117
2002-06-13,357.765
2002-06-14,357.717
2002-06-17,366.317
2002-06-18,368.957
2002-06-19,364.616
2002-06-20,356.539
2002-06-21,355.636
2002-06-24,347.82
2002-06-25,346.665
2002-06-26,343.653
2002-06-27,356.578
2002-06-28,360.632
2002-07-01,352.588
2002-07-02,350.977
2002-07-03,360.626
2002-07-04,359.722
2002-07-05,358.228
