Date,ISRAEL LARGE CAP Large Cap
2002-09-30,363.015
2002-10-31,391.834
2002-11-29,436.138
2002-12-31,391.379
2003-01-31,404.09
2003-02-28,406.115
2003-03-31,440.158
2003-04-30,493.464
2003-05-30,528.85
2003-06-30,589.226
2003-07-31,561.912
2003-08-29,573.162
2003-09-30,554.785
2003-10-31,570.037
2003-11-28,595.91
2003-12-31,580.514
2004-01-30,636.22
2004-02-27,667.538
2004-03-31,659.062
2004-04-30,672.287
2004-05-31,674.3
2004-06-30,710.609
2004-07-30,613.763
2004-08-31,579.395
2004-09-30,553.294
2004-10-29,577.685
2004-11-30,618.074
2004-12-31,673.672
2005-01-31,666.554
2005-02-28,685.834
2005-03-31,688.105
2005-04-29,691.467
2005-05-31,735.005
2005-06-30,679.705
2005-07-29,718.016
2005-08-31,732.897
2005-09-30,776.307
2005-10-31,813.498
2005-11-30,879.211
2005-12-30,917.652
2006-01-31,913.598
2006-02-28,900.395
2006-03-31,879.872
2006-04-28,899.247
2006-05-31,827.073
2006-06-30,745.002
2006-07-31,766.809
2006-08-31,798.315
2006-09-29,795.776
2006-10-31,811.02
2006-11-30,822.893
2006-12-29,807.887
2007-01-31,865.843
2007-02-28,874.735
2007-03-30,907.17
2007-04-30,967.666
2007-05-31,1000.0
2007-06-29,1002.198
2007-07-31,1033.532
2007-08-31,1016.859
2007-09-28,1091.818
2007-10-31,1131.601
2007-11-30,1111.525
2007-12-31,1165.008
2008-01-31,1127.37
2008-02-29,1203.526
2008-03-31,1131.043
2008-04-30,1241.921
2008-05-30,1298.613
2008-06-30,1285.93
2008-07-31,1196.025
2008-08-29,1192.654
2008-09-30,1095.969
2008-10-31,900.804
2008-11-28,845.813
2008-12-31,881.653
2009-01-30,855.421
2009-02-27,929.971
2009-03-31,922.766
2009-04-30,948.635
2009-05-29,1035.403
2009-06-30,1054.332
2009-07-31,1170.028
2009-08-31,1146.223
2009-09-30,1137.527
2009-10-30,1156.896
2009-11-30,1234.318
2009-12-31,1302.723
2010-01-29,1306.977
2010-02-26,1341.828
2010-03-31,1448.604
2010-04-30,1342.34
2010-05-31,1199.56
2010-06-30,1189.27
2010-07-30,1148.171
2010-08-31,1187.9
2010-09-30,1298.018
2010-10-29,1277.117
2010-11-30,1255.809
2010-12-31,1335.414
2011-01-31,1321.885
2011-02-28,1276.525
2011-03-31,1291.357
2011-04-29,1241.587
2011-05-31,1292.489
2011-06-30,1231.309
2011-07-29,1203.819
2011-08-31,1053.419
2011-09-30,905.836
2011-10-31,1025.505
2011-11-30,958.041
2011-12-30,958.306
2012-01-31,1052.348
2012-02-29,1038.156
2012-03-30,1049.511
2012-04-30,1068.089
2012-05-31,940.634
2012-06-29,918.943
2012-07-31,973.589
2012-08-31,945.164
2012-09-28,982.183
2012-10-31,997.131
2012-11-30,1005.346
2012-12-31,938.912
2013-01-31,946.104
2013-02-28,960.381
2013-03-29,1000.846
2013-04-30,989.306
2013-05-31,970.698
2013-06-28,961.33
2013-07-31,968.549
2013-08-30,941.555
2013-09-30,946.906
2013-10-31,950.752
