Date,FINLAND LARGE CAP Large Cap
2015-03-31,642.877
2015-04-30,612.49
2015-05-29,621.749
2015-06-30,597.01
2015-07-31,622.292
2015-08-31,575.263
2015-09-30,583.371
2015-10-30,624.232
2015-11-30,614.753
2015-12-31,620.652
2016-01-29,608.327
2016-02-29,550.352
2016-03-31,571.851
2016-04-29,561.898
2016-05-31,561.379
2016-06-30,558.143
2016-07-29,578.93
2016-08-31,572.606
2016-09-30,590.329
2016-10-31,524.952
2016-11-30,501.096
2016-12-30,531.765
2017-01-31,524.036
2017-02-28,547.834
2017-03-31,568.261
2017-04-28,597.357
2017-05-31,659.788
2017-06-30,652.029
2017-07-31,679.733
2017-08-31,678.153
2017-09-29,674.151
2017-10-31,629.696
2017-11-30,629.544
2017-12-29,622.058
2018-01-31,657.228
2018-02-28,691.31
2018-03-30,668.272
2018-04-30,703.192
2018-05-31,684.203
2018-06-29,688.365
2018-07-31,696.303
2018-08-31,703.885
2018-09-28,701.283
2018-10-31,657.089
2018-11-30,645.327
2018-12-31,652.651
2019-01-31,693.259
2019-02-28,693.545
2019-03-29,668.426
2019-04-30,674.332
2019-05-31,653.12
2019-06-28,680.564
2019-07-31,681.993
2019-08-30,649.056
2019-09-30,661.394
2019-10-31,637.434
2019-11-29,617.91
2019-12-31,648.612
2020-01-31,673.909
2020-02-28,624.75
2020-03-31,524.527
2020-04-30,583.372
2020-05-29,648.049
2020-06-30,665.579
2020-07-31,743.977
2020-08-31,804.214
2020-09-30,761.52
2020-10-30,705.265
2020-11-30,824.699
2020-12-31,827.777
2021-01-29,857.17
2021-02-26,823.432
2021-03-31,801.921
2021-04-30,860.728
2021-05-31,913.312
2021-06-30,901.274
2021-07-30,945.476
2021-08-31,961.018
2021-09-30,888.539
2021-10-29,901.759
2021-11-30,836.596
2021-12-31,905.374
2022-01-31,835.115
2022-02-28,760.485
2022-03-31,781.078
2022-04-29,736.333
2022-05-31,753.77
2022-06-30,704.019
2022-07-29,731.441
2022-08-31,711.684
2022-09-30,661.021
2022-10-31,686.285
2022-11-30,768.992
2022-12-30,763.455
2023-01-31,777.748
2023-02-28,758.596
2023-03-31,775.193
2023-04-28,772.111
2023-05-31,692.902
2023-06-30,703.032
2023-07-31,683.959
2023-08-31,667.618
