Date,FINLAND LARGE CAP Large Cap
2015-03-31,583.295
2015-04-30,552.246
2015-05-29,559.142
2015-06-30,536.894
2015-07-31,559.631
2015-08-31,517.337
2015-09-30,524.629
2015-10-30,561.375
2015-11-30,552.851
2015-12-31,558.155
2016-01-29,547.072
2016-02-29,494.935
2016-03-31,513.22
2016-04-29,501.096
2016-05-31,500.634
2016-06-30,494.33
2016-07-29,512.74
2016-08-31,507.139
2016-09-30,522.836
2016-10-31,464.934
2016-11-30,443.805
2016-12-30,470.968
2017-01-31,464.122
2017-02-28,485.2
2017-03-31,502.144
2017-04-28,524.457
2017-05-31,576.994
2017-06-30,570.209
2017-07-31,594.436
2017-08-31,593.055
2017-09-29,589.555
2017-10-31,550.679
2017-11-30,550.545
2017-12-29,543.999
2018-01-31,574.756
2018-02-28,603.161
2018-03-30,581.811
2018-04-30,609.202
2018-05-31,590.012
2018-06-29,593.601
2018-07-31,600.446
2018-08-31,606.984
2018-09-28,604.741
2018-10-31,566.631
2018-11-30,556.488
2018-12-31,562.803
2019-01-31,597.821
2019-02-28,596.685
2019-03-29,573.892
2019-04-30,575.935
2019-05-31,557.144
2019-06-28,580.555
2019-07-31,581.194
2019-08-30,553.124
2019-09-30,563.638
2019-10-31,542.888
2019-11-29,526.259
2019-12-31,552.408
2020-01-31,573.953
2020-02-28,530.956
2020-03-31,445.779
2020-04-30,494.708
2020-05-29,549.116
2020-06-30,562.508
2020-07-31,628.765
2020-08-31,679.673
2020-09-30,643.591
2020-10-30,595.577
2020-11-30,696.436
2020-12-31,699.035
2021-01-29,723.857
2021-02-26,695.365
2021-03-31,674.767
2021-04-30,722.927
2021-05-31,764.893
2021-06-30,754.811
2021-07-30,791.83
2021-08-31,804.847
2021-09-30,744.146
2021-10-29,754.775
2021-11-30,700.233
2021-12-31,757.8
2022-01-31,698.993
2022-02-28,636.527
2022-03-31,650.17
2022-04-29,612.924
2022-05-31,622.039
2022-06-30,580.983
2022-07-29,603.348
2022-08-31,587.052
2022-09-30,544.858
2022-10-31,565.431
2022-11-30,633.573
2022-12-30,629.011
2023-01-31,640.515
2023-02-28,624.742
2023-03-31,636.062
2023-04-28,632.589
2023-05-31,564.656
2023-06-30,572.912
2023-07-31,556.951
2023-08-31,543.645
2023-09-29,517.448
2023-10-31,499.472
2023-11-30,541.9
2023-12-29,560.791
2024-01-31,562.752
2024-02-29,544.879
2024-03-29,535.522
2024-04-30,539.213
2024-05-31,559.133
2024-06-28,541.73
2024-07-31,552.154
2024-08-30,582.796
2024-09-30,598.903
2024-10-31,588.939
2024-11-29,557.678
2024-12-31,544.675
2025-01-31,581.08
2025-02-28,623.145
2025-03-31,649.688
2025-04-30,687.72
2025-05-30,717.317
2025-06-30,729.916
2025-07-31,687.19
2025-08-29,717.505
2025-09-30,765.408
