Date,FINLAND LARGE CAP Large Cap
2001-01-01,1238.03
2001-01-02,1205.694
2001-01-03,1108.34
2001-01-04,1225.291
2001-01-05,1238.466
2001-01-08,1196.897
2001-01-09,1094.192
2001-01-10,1081.454
2001-01-11,1150.473
2001-01-12,1172.4
2001-01-15,1160.979
2001-01-16,1097.915
2001-01-17,1137.704
2001-01-18,1152.036
2001-01-19,1132.989
2001-01-22,1110.211
2001-01-23,1097.526
2001-01-24,1091.7
2001-01-25,1059.895
2001-01-26,1053.107
2001-01-29,1034.432
2001-01-30,986.082
2001-01-31,1010.801
2001-02-01,978.995
2001-02-02,960.563
2001-02-05,942.96
2001-02-06,966.648
2001-02-07,914.39
2001-02-08,885.606
2001-02-09,814.823
2001-02-12,847.831
2001-02-13,833.449
2001-02-14,771.428
2001-02-15,828.864
2001-02-16,782.85
2001-02-19,766.29
2001-02-20,758.183
2001-02-21,727.837
2001-02-22,675.104
2001-02-23,634.021
2001-02-26,653.964
2001-02-27,675.283
2001-02-28,669.614
2001-03-01,666.842
2001-03-02,716.259
2001-03-05,746.882
2001-03-06,781.589
2001-03-07,759.291
2001-03-08,724.406
2001-03-09,709.033
2001-03-12,650.892
2001-03-13,667.507
2001-03-14,661.706
2001-03-15,728.921
2001-03-16,710.198
2001-03-19,734.383
2001-03-20,770.458
2001-03-21,729.89
2001-03-22,685.543
2001-03-23,746.921
2001-03-26,785.656
2001-03-27,760.262
2001-03-28,739.136
2001-03-29,694.831
2001-03-30,692.401
2001-04-02,690.379
2001-04-03,650.415
2001-04-04,658.507
2001-04-05,700.49
2001-04-06,694.73
2001-04-09,699.215
2001-04-10,735.535
2001-04-11,766.488
2001-04-12,774.113
2001-04-13,774.113
2001-04-16,766.185
2001-04-17,734.219
2001-04-18,814.751
2001-04-19,851.59
2001-04-20,884.119
2001-04-23,867.103
2001-04-24,858.417
2001-04-25,849.616
2001-04-26,866.659
2001-04-27,904.363
2001-04-30,939.636
2001-05-01,944.617
2001-05-02,950.819
2001-05-03,924.962
2001-05-04,933.266
2001-05-07,936.746
2001-05-08,916.389
2001-05-09,897.98
2001-05-10,935.432
2001-05-11,902.5
2001-05-14,872.087
2001-05-15,881.03
2001-05-16,882.209
2001-05-17,933.097
2001-05-18,954.474
2001-05-21,959.715
2001-05-22,964.257
2001-05-23,930.702
2001-05-24,927.188
2001-05-25,899.38
2001-05-28,900.186
2001-05-29,878.649
2001-05-30,843.2
2001-05-31,831.135
2001-06-01,829.964
2001-06-04,835.768
2001-06-05,867.043
2001-06-06,869.816
2001-06-07,870.113
2001-06-08,863.146
2001-06-11,829.058
2001-06-12,667.313
2001-06-13,700.333
2001-06-14,658.874
2001-06-15,656.138
2001-06-18,656.466
2001-06-19,669.842
2001-06-20,649.399
2001-06-21,662.993
2001-06-22,663.653
2001-06-25,666.356
2001-06-26,652.406
2001-06-27,650.215
2001-06-28,640.227
2001-06-29,665.226
2001-07-02,674.808
2001-07-03,661.796
2001-07-04,643.819
2001-07-05,611.677
2001-07-06,584.764
2001-07-09,569.918
2001-07-10,565.446
2001-07-11,546.567
2001-07-12,566.329
2001-07-13,553.056
2001-07-16,537.535
2001-07-17,520.97
2001-07-18,533.226
2001-07-19,594.626
2001-07-20,573.193
2001-07-23,573.436
2001-07-24,578.213
2001-07-25,574.945
2001-07-26,582.535
2001-07-27,610.313
2001-07-30,631.224
2001-07-31,638.974
2001-08-01,635.255
2001-08-02,655.63
2001-08-03,654.401
2001-08-06,634.675
2001-08-07,635.721
2001-08-08,614.403
2001-08-09,584.419
2001-08-10,561.034
2001-08-13,573.908
2001-08-14,591.89
2001-08-15,579.242
2001-08-16,557.442
2001-08-17,536.642
2001-08-20,526.65
2001-08-21,537.646
2001-08-22,541.745
2001-08-23,546.707
2001-08-24,547.896
2001-08-27,535.136
2001-08-28,521.166
2001-08-29,504.184
2001-08-30,478.46
2001-08-31,487.065
2001-09-03,483.078
2001-09-04,477.71
2001-09-05,452.818
2001-09-06,433.323
2001-09-07,418.655
2001-09-10,433.246
2001-09-11,416.164
2001-09-12,454.13
2001-09-13,469.575
2001-09-14,445.967
2001-09-17,468.687
2001-09-18,474.335
2001-09-19,485.326
2001-09-20,482.434
2001-09-21,465.846
2001-09-24,499.932
2001-09-25,513.245
2001-09-26,499.998
2001-09-27,470.737
2001-09-28,491.549
2001-10-01,462.826
2001-10-02,474.807
2001-10-03,463.773
2001-10-04,506.434
2001-10-05,511.452
2001-10-08,520.296
2001-10-09,531.289
2001-10-10,540.719
2001-10-11,567.869
2001-10-12,573.063
2001-10-15,553.721
2001-10-16,574.521
2001-10-17,600.325
2001-10-18,565.092
2001-10-19,586.817
2001-10-22,598.806
2001-10-23,634.304
2001-10-24,644.398
2001-10-25,621.99
2001-10-26,638.211
2001-10-29,633.42
2001-10-30,600.155
2001-10-31,624.667
2001-11-01,625.197
2001-11-02,639.373
2001-11-05,655.964
2001-11-06,670.788
2001-11-07,662.104
2001-11-08,691.037
2001-11-09,669.594
2001-11-12,652.765
2001-11-13,690.761
2001-11-14,706.297
2001-11-15,726.808
2001-11-16,739.87
2001-11-19,720.837
2001-11-20,692.083
2001-11-21,681.788
2001-11-22,714.027
2001-11-23,714.036
2001-11-26,730.287
2001-11-27,692.573
2001-11-28,677.591
2001-11-29,663.588
2001-11-30,691.849
2001-12-03,678.611
2001-12-04,702.765
2001-12-05,738.157
2001-12-06,740.692
2001-12-07,744.112
2001-12-10,715.241
2001-12-11,745.504
2001-12-12,741.687
2001-12-13,710.064
2001-12-14,707.24
2001-12-17,739.249
2001-12-18,741.92
2001-12-19,719.007
2001-12-20,702.53
2001-12-21,716.306
2001-12-24,709.159
2001-12-25,709.159
2001-12-26,709.765
2001-12-27,731.118
2001-12-28,742.132
2001-12-31,749.37
2002-01-01,749.37
2002-01-02,737.12
2002-01-03,773.007
2002-01-04,768.158
2002-01-07,758.873
2002-01-08,716.039
2002-01-09,703.114
2002-01-10,690.662
2002-01-11,703.418
2002-01-14,662.516
2002-01-15,669.831
2002-01-16,656.421
2002-01-17,670.978
2002-01-18,668.011
2002-01-21,635.463
2002-01-22,634.757
2002-01-23,647.296
2002-01-24,698.251
2002-01-25,675.06
2002-01-28,690.496
2002-01-29,684.464
2002-01-30,661.335
2002-01-31,680.901
2002-02-01,694.423
2002-02-04,689.35
2002-02-05,656.634
2002-02-06,642.06
2002-02-07,656.867
2002-02-08,650.527
2002-02-11,675.451
2002-02-12,682.12
2002-02-13,686.829
2002-02-14,686.416
2002-02-15,666.8
2002-02-18,654.649
2002-02-19,629.821
2002-02-20,610.053
2002-02-21,620.052
2002-02-22,601.573
2002-02-25,615.933
2002-02-26,627.354
2002-02-27,639.61
2002-02-28,640.515
2002-03-01,639.173
2002-03-04,686.688
2002-03-05,682.852
2002-03-06,696.453
2002-03-07,717.972
2002-03-08,722.656
2002-03-11,708.241
2002-03-12,668.654
2002-03-13,669.889
2002-03-14,666.568
2002-03-15,667.604
2002-03-18,681.096
2002-03-19,664.517
2002-03-20,645.133
2002-03-21,639.934
2002-03-22,650.503
2002-03-25,646.484
2002-03-26,639.401
2002-03-27,645.633
2002-03-28,645.374
2002-03-29,645.374
2002-04-01,650.664
2002-04-02,634.912
2002-04-03,635.442
2002-04-04,625.691
2002-04-05,625.564
2002-04-08,597.628
2002-04-09,609.849
2002-04-10,597.493
2002-04-11,582.112
2002-04-12,587.286
2002-04-15,599.504
2002-04-16,628.134
2002-04-17,642.463
2002-04-18,577.378
2002-04-19,555.024
2002-04-22,535.973
2002-04-23,533.666
2002-04-24,509.381
2002-04-25,525.372
2002-04-26,528.549
2002-04-29,517.988
2002-04-30,521.319
2002-05-01,524.269
2002-05-02,532.899
2002-05-03,506.134
2002-05-06,501.953
2002-05-07,502.073
2002-05-08,526.045
2002-05-09,525.929
