Date,FINLAND LARGE CAP Large Cap
2001-01-01,1295.298
2001-01-02,1261.467
2001-01-03,1159.609
2001-01-04,1281.97
2001-01-05,1295.754
2001-01-08,1252.263
2001-01-09,1144.806
2001-01-10,1131.479
2001-01-11,1203.691
2001-01-12,1226.633
2001-01-15,1214.683
2001-01-16,1148.702
2001-01-17,1190.331
2001-01-18,1205.326
2001-01-19,1185.398
2001-01-22,1161.566
2001-01-23,1148.295
2001-01-24,1142.2
2001-01-25,1108.923
2001-01-26,1101.821
2001-01-29,1082.283
2001-01-30,1031.696
2001-01-31,1057.558
2001-02-01,1024.28
2001-02-02,1004.996
2001-02-05,986.579
2001-02-06,1011.363
2001-02-07,956.687
2001-02-08,926.572
2001-02-09,852.515
2001-02-12,887.049
2001-02-13,872.002
2001-02-14,807.112
2001-02-15,867.205
2001-02-16,819.062
2001-02-19,801.737
2001-02-20,793.255
2001-02-21,761.505
2001-02-22,706.333
2001-02-23,663.349
2001-02-26,684.215
2001-02-27,706.52
2001-02-28,700.589
2001-03-01,697.688
2001-03-02,749.391
2001-03-05,781.43
2001-03-06,817.744
2001-03-07,794.414
2001-03-08,757.915
2001-03-09,741.832
2001-03-12,681.001
2001-03-13,698.384
2001-03-14,692.315
2001-03-15,762.639
2001-03-16,743.05
2001-03-19,768.354
2001-03-20,806.097
2001-03-21,763.191
2001-03-22,714.911
2001-03-23,778.369
2001-03-26,818.736
2001-03-27,792.272
2001-03-28,770.257
2001-03-29,724.086
2001-03-30,721.554
2001-04-02,719.446
2001-04-03,677.8
2001-04-04,686.233
2001-04-05,729.983
2001-04-06,723.981
2001-04-09,728.655
2001-04-10,766.504
2001-04-11,798.76
2001-04-12,806.706
2001-04-13,806.706
2001-04-16,798.444
2001-04-17,765.133
2001-04-18,849.055
2001-04-19,887.445
2001-04-20,921.344
2001-04-23,903.612
2001-04-24,894.559
2001-04-25,885.389
2001-04-26,903.149
2001-04-27,942.441
2001-04-30,979.198
2001-05-01,984.39
2001-05-02,990.852
2001-05-03,963.907
2001-05-04,972.56
2001-05-07,976.187
2001-05-08,954.972
2001-05-09,935.788
2001-05-10,974.818
2001-05-11,940.499
2001-05-14,908.805
2001-05-15,918.125
2001-05-16,919.354
2001-05-17,972.384
2001-05-18,994.661
2001-05-21,1000.123
2001-05-22,1004.856
2001-05-23,969.888
2001-05-24,966.226
2001-05-25,937.247
2001-05-28,938.088
2001-05-29,915.644
2001-05-30,878.702
2001-05-31,866.129
2001-06-01,864.909
2001-06-04,870.957
2001-06-05,903.549
2001-06-06,906.439
2001-06-07,906.748
2001-06-08,899.488
2001-06-11,863.964
2001-06-12,695.41
2001-06-13,729.82
2001-06-14,686.616
2001-06-15,683.764
2001-06-18,684.106
2001-06-19,698.045
2001-06-20,676.741
2001-06-21,690.907
2001-06-22,691.595
2001-06-25,694.412
2001-06-26,679.875
2001-06-27,677.591
2001-06-28,667.183
2001-06-29,693.235
2001-07-02,703.22
2001-07-03,689.66
2001-07-04,670.926
2001-07-05,637.431
2001-07-06,609.385
2001-07-09,593.913
2001-07-10,589.253
2001-07-11,569.58
2001-07-12,590.174
2001-07-13,576.342
2001-07-16,560.167
2001-07-17,542.905
2001-07-18,555.677
2001-07-19,619.662
2001-07-20,597.326
2001-07-23,597.58
2001-07-24,602.558
2001-07-25,599.152
2001-07-26,607.062
2001-07-27,636.01
2001-07-30,657.801
2001-07-31,665.878
2001-08-01,662.002
2001-08-02,683.234
2001-08-03,681.954
2001-08-06,661.397
2001-08-07,662.487
2001-08-08,640.272
2001-08-09,609.025
2001-08-10,584.656
2001-08-13,598.072
2001-08-14,616.811
2001-08-15,603.63
2001-08-16,580.912
2001-08-17,559.237
2001-08-20,548.825
