Date,GERMANY IMI IMI (Large+Mid+Small Cap)
1994-05-31,269.74
1994-06-30,270.959
1994-07-29,281.319
1994-08-31,289.628
1994-09-30,274.301
1994-10-31,286.853
1994-11-30,271.166
1994-12-30,280.441
1995-01-31,276.179
1995-02-28,295.306
1995-03-31,292.937
1995-04-28,301.541
1995-05-31,305.13
1995-06-30,314.419
1995-07-31,329.799
1995-08-31,311.577
1995-09-29,314.869
1995-10-31,311.362
1995-11-30,308.452
1995-12-29,317.407
1996-01-31,325.384
1996-02-29,329.162
1996-03-29,327.203
1996-04-30,314.93
1996-05-31,322.554
1996-06-28,331.132
1996-07-31,331.474
1996-08-30,337.713
1996-09-30,337.392
1996-10-31,340.686
1996-11-29,351.127
1996-12-31,354.758
1997-01-31,349.818
1997-02-28,360.952
1997-03-31,384.479
1997-04-30,371.64
1997-05-30,390.992
1997-06-30,406.578
1997-07-31,433.71
1997-08-29,398.094
1997-09-30,424.111
1997-10-31,400.072
1997-11-28,408.371
1997-12-31,421.614
1998-01-30,431.608
1998-02-27,460.635
1998-03-31,487.797
1998-04-30,507.788
1998-05-29,542.143
1998-06-30,559.729
1998-07-31,573.021
1998-08-31,485.817
1998-09-30,481.332
1998-10-30,499.57
1998-11-30,521.82
1998-12-31,533.78
1999-01-29,539.908
1999-02-26,504.443
1999-03-31,488.402
1999-04-30,512.375
1999-05-31,488.893
1999-06-30,512.289
1999-07-30,513.388
1999-08-31,518.416
1999-09-30,508.211
1999-10-29,529.561
1999-11-30,537.816
1999-12-31,615.563
2000-01-31,597.179
2000-02-29,659.243
2000-03-31,651.554
2000-04-28,607.067
2000-05-31,593.934
2000-06-30,597.341
2000-07-31,592.69
2000-08-31,570.611
2000-09-29,534.922
2000-10-31,523.718
2000-11-30,482.196
2000-12-29,519.461
2001-01-31,537.145
2001-02-28,493.399
2001-03-30,444.107
2001-04-30,473.205
2001-05-31,445.74
2001-06-29,440.076
2001-07-31,441.489
2001-08-31,414.415
2001-09-28,352.039
2001-10-31,369.531
2001-11-30,397.673
2001-12-31,403.304
2002-01-31,390.787
2002-02-28,386.779
2002-03-29,412.302
2002-04-30,402.217
2002-05-31,402.004
2002-06-28,389.56
2002-07-31,327.276
2002-08-30,327.829
2002-09-30,250.622
2002-10-31,284.158
2002-11-29,299.212
2002-12-31,276.891
