Date,AUSTRIA IMI IMI (Large+Mid+Small Cap)
2001-01-01,163.38
2001-01-02,164.716
2001-01-03,162.577
2001-01-04,164.291
2001-01-05,168.226
2001-01-08,167.309
2001-01-09,165.403
2001-01-10,166.164
2001-01-11,167.364
2001-01-12,168.97
2001-01-15,168.775
2001-01-16,167.612
2001-01-17,166.4
2001-01-18,166.423
2001-01-19,165.334
2001-01-22,165.642
2001-01-23,165.314
2001-01-24,161.528
2001-01-25,161.079
2001-01-26,161.997
2001-01-29,162.151
2001-01-30,164.668
2001-01-31,167.209
2001-02-01,173.899
2001-02-02,171.039
2001-02-05,173.214
2001-02-06,171.745
2001-02-07,174.379
2001-02-08,173.213
2001-02-09,172.903
2001-02-12,175.243
2001-02-13,174.135
2001-02-14,172.285
2001-02-15,170.873
2001-02-16,174.621
2001-02-19,176.921
2001-02-20,176.967
2001-02-21,177.027
2001-02-22,176.026
2001-02-23,174.644
2001-02-26,174.915
2001-02-27,178.562
2001-02-28,176.817
2001-03-01,178.948
2001-03-02,179.617
2001-03-05,178.273
2001-03-06,179.306
2001-03-07,181.524
2001-03-08,182.003
2001-03-09,180.712
2001-03-12,180.244
2001-03-13,177.715
2001-03-14,174.693
2001-03-15,172.592
2001-03-16,167.75
2001-03-19,167.22
2001-03-20,168.351
2001-03-21,166.548
2001-03-22,161.14
2001-03-23,164.709
2001-03-26,166.692
2001-03-27,168.519
2001-03-28,166.988
2001-03-29,165.861
2001-03-30,167.34
2001-04-02,165.685
2001-04-03,165.759
2001-04-04,169.721
2001-04-05,171.22
2001-04-06,170.256
2001-04-09,171.966
2001-04-10,170.88
2001-04-11,168.76
2001-04-12,170.229
2001-04-13,170.229
2001-04-16,168.486
2001-04-17,168.29
2001-04-18,168.061
2001-04-19,170.149
2001-04-20,173.092
2001-04-23,171.58
2001-04-24,172.043
2001-04-25,171.742
2001-04-26,173.187
2001-04-27,172.309
2001-04-30,171.509
2001-05-01,172.425
2001-05-02,173.216
2001-05-03,172.066
2001-05-04,170.79
2001-05-07,169.83
2001-05-08,169.113
2001-05-09,168.937
2001-05-10,170.148
2001-05-11,168.923
2001-05-14,168.003
2001-05-15,167.598
2001-05-16,169.2
2001-05-17,170.47
2001-05-18,169.632
2001-05-21,167.878
2001-05-22,166.242
2001-05-23,164.029
2001-05-24,163.428
2001-05-25,163.054
2001-05-28,164.095
2001-05-29,161.869
2001-05-30,163.26
2001-05-31,162.574
2001-06-01,164.365
2001-06-04,164.589
2001-06-05,167.017
2001-06-06,166.17
2001-06-07,166.591
2001-06-08,166.703
2001-06-11,164.194
2001-06-12,166.129
2001-06-13,168.12
2001-06-14,169.618
2001-06-15,169.144
2001-06-18,169.628
2001-06-19,170.367
2001-06-20,169.152
2001-06-21,168.291
2001-06-22,169.622
2001-06-25,171.32
2001-06-26,171.46
2001-06-27,169.289
2001-06-28,166.282
2001-06-29,164.211
2001-07-02,163.86
2001-07-03,163.426
2001-07-04,164.273
2001-07-05,163.142
2001-07-06,163.973
2001-07-09,165.755
2001-07-10,168.676
2001-07-11,168.998
2001-07-12,167.404
2001-07-13,168.521
2001-07-16,169.214
2001-07-17,167.403
2001-07-18,171.523
2001-07-19,172.921
2001-07-20,174.011
2001-07-23,174.072
2001-07-24,175.071
2001-07-25,175.038
2001-07-26,174.707
2001-07-27,175.314
2001-07-30,175.33
2001-07-31,174.1
2001-08-01,175.206
2001-08-02,174.242
2001-08-03,173.648
2001-08-06,173.253
2001-08-07,172.939
2001-08-08,172.557
2001-08-09,173.706
2001-08-10,176.15
2001-08-13,178.161
2001-08-14,176.726
2001-08-15,179.435
2001-08-16,179.428
2001-08-17,179.179
2001-08-20,176.863
2001-08-21,178.115
2001-08-22,180.477
2001-08-23,179.258
2001-08-24,179.095
2001-08-27,177.418
2001-08-28,177.882
2001-08-29,178.216
2001-08-30,176.825
2001-08-31,176.931
2001-09-03,175.8
2001-09-04,173.535
2001-09-05,172.339
2001-09-06,172.477
2001-09-07,173.963
2001-09-10,170.8
2001-09-11,170.827
2001-09-12,170.136
2001-09-13,170.754
2001-09-14,170.401
2001-09-17,169.039
2001-09-18,168.582
2001-09-19,171.105
2001-09-20,168.434
2001-09-21,163.285
2001-09-24,163.134
2001-09-25,163.443
2001-09-26,165.183
2001-09-27,166.285
2001-09-28,164.252
2001-10-01,167.208
2001-10-02,167.585
2001-10-03,168.114
