Date,AUSTRIA IMI IMI (Large+Mid+Small Cap)
2001-01-01,158.945
2001-01-02,160.245
2001-01-03,158.163
2001-01-04,159.831
2001-01-05,163.66
2001-01-08,162.767
2001-01-09,160.913
2001-01-10,161.653
2001-01-11,162.82
2001-01-12,164.383
2001-01-15,164.194
2001-01-16,163.062
2001-01-17,161.883
2001-01-18,161.905
2001-01-19,160.845
2001-01-22,161.173
2001-01-23,160.854
2001-01-24,157.17
2001-01-25,156.733
2001-01-26,157.626
2001-01-29,157.776
2001-01-30,160.225
2001-01-31,162.698
2001-02-01,169.207
2001-02-02,166.424
2001-02-05,168.541
2001-02-06,167.111
2001-02-07,169.674
2001-02-08,168.54
2001-02-09,168.238
2001-02-12,170.515
2001-02-13,169.437
2001-02-14,167.636
2001-02-15,166.263
2001-02-16,169.91
2001-02-19,172.147
2001-02-20,172.193
2001-02-21,172.25
2001-02-22,171.277
2001-02-23,169.932
2001-02-26,170.196
2001-02-27,173.744
2001-02-28,172.046
2001-03-01,174.12
2001-03-02,174.771
2001-03-05,173.463
2001-03-06,174.468
2001-03-07,176.626
2001-03-08,177.092
2001-03-09,175.837
2001-03-12,175.381
2001-03-13,172.92
2001-03-14,169.979
2001-03-15,167.936
2001-03-16,163.224
2001-03-19,162.709
2001-03-20,163.809
2001-03-21,162.054
2001-03-22,156.792
2001-03-23,160.265
2001-03-26,162.243
2001-03-27,164.022
2001-03-28,162.532
2001-03-29,161.435
2001-03-30,162.875
2001-04-02,161.263
2001-04-03,161.336
2001-04-04,165.192
2001-04-05,166.651
2001-04-06,165.713
2001-04-09,167.377
2001-04-10,166.32
2001-04-11,164.256
2001-04-12,165.686
2001-04-13,165.686
2001-04-16,163.99
2001-04-17,163.799
2001-04-18,163.576
2001-04-19,165.608
2001-04-20,168.473
2001-04-23,167.002
2001-04-24,167.453
2001-04-25,167.159
2001-04-26,168.565
2001-04-27,167.711
2001-04-30,166.943
2001-05-01,167.835
2001-05-02,168.629
2001-05-03,167.509
2001-05-04,166.267
2001-05-07,165.337
2001-05-08,164.639
2001-05-09,164.468
2001-05-10,165.646
2001-05-11,164.535
2001-05-14,163.652
2001-05-15,163.33
2001-05-16,164.949
2001-05-17,166.224
2001-05-18,165.406
2001-05-21,163.699
2001-05-22,162.123
2001-05-23,159.965
2001-05-24,159.379
2001-05-25,159.085
2001-05-28,160.126
2001-05-29,158.119
2001-05-30,159.49
2001-05-31,158.826
2001-06-01,160.576
2001-06-04,160.794
2001-06-05,163.167
2001-06-06,162.339
2001-06-07,162.75
2001-06-08,162.859
2001-06-11,160.408
2001-06-12,162.299
2001-06-13,164.243
2001-06-14,165.707
2001-06-15,165.244
2001-06-18,165.717
2001-06-19,166.439
2001-06-20,165.252
2001-06-21,164.411
2001-06-22,165.712
2001-06-25,167.416
2001-06-26,167.553
2001-06-27,165.431
2001-06-28,162.493
2001-06-29,160.47
2001-07-02,160.128
2001-07-03,159.713
2001-07-04,160.541
2001-07-05,159.436
2001-07-06,160.247
2001-07-09,162.001
2001-07-10,164.857
2001-07-11,165.17
2001-07-12,163.608
2001-07-13,164.7
2001-07-16,165.378
2001-07-17,163.607
2001-07-18,167.634
2001-07-19,169.0
2001-07-20,170.065
2001-07-23,170.132
2001-07-24,171.108
2001-07-25,171.077
2001-07-26,170.753
2001-07-27,171.346
2001-07-30,171.361
2001-07-31,170.16
2001-08-01,171.241
2001-08-02,170.298
2001-08-03,169.718
2001-08-06,169.332
2001-08-07,169.025
2001-08-08,168.651
2001-08-09,169.775
2001-08-10,172.163
2001-08-13,174.129
2001-08-14,172.726
2001-08-15,175.373
2001-08-16,175.367
2001-08-17,175.124
2001-08-20,172.859
2001-08-21,174.084
2001-08-22,176.392
2001-08-23,175.2
2001-08-24,175.041
2001-08-27,173.403
2001-08-28,173.855
2001-08-29,174.183
2001-08-30,172.823
2001-08-31,172.926
2001-09-03,171.821
2001-09-04,169.607
2001-09-05,168.438
2001-09-06,168.573
2001-09-07,170.026
2001-09-10,166.934
2001-09-11,166.961
2001-09-12,166.285
2001-09-13,166.89
2001-09-14,166.544
2001-09-17,165.213
2001-09-18,164.766
2001-09-19,167.232
2001-09-20,164.622
2001-09-21,159.589
2001-09-24,159.442
2001-09-25,159.744
2001-09-26,161.445
2001-09-27,162.522
2001-09-28,160.534
2001-10-01,163.424
2001-10-02,163.792
2001-10-03,164.309
2001-10-04,164.023
2001-10-05,161.684
2001-10-08,161.906
2001-10-09,161.134
2001-10-10,158.432
2001-10-11,158.551
2001-10-12,161.161
2001-10-15,159.976
2001-10-16,162.543
