Date,AUSTRIA IMI IMI (Large+Mid+Small Cap)
1994-05-31,184.083
1994-06-30,197.488
1994-07-29,194.647
1994-08-31,200.802
1994-09-30,192.827
1994-10-31,189.943
1994-11-30,184.075
1994-12-30,189.14
1995-01-31,182.354
1995-02-28,189.579
1995-03-31,190.451
1995-04-28,188.215
1995-05-31,196.18
1995-06-30,200.498
1995-07-31,204.453
1995-08-31,189.768
1995-09-29,191.805
1995-10-31,185.926
1995-11-30,181.291
1995-12-29,186.818
1996-01-31,194.657
1996-02-29,194.214
1996-03-29,193.309
1996-04-30,193.425
1996-05-31,201.611
1996-06-28,193.761
1996-07-31,191.063
1996-08-30,191.864
1996-09-30,186.492
1996-10-31,188.261
1996-11-29,191.043
1996-12-31,193.472
1997-01-31,185.64
1997-02-28,185.591
1997-03-31,188.067
1997-04-30,178.931
1997-05-30,190.475
1997-06-30,189.052
1997-07-31,196.26
1997-08-29,185.764
1997-09-30,197.499
1997-10-31,191.43
1997-11-28,180.801
1997-12-31,190.482
1998-01-30,197.081
1998-02-27,214.214
1998-03-31,221.387
1998-04-30,239.65
1998-05-29,253.773
1998-06-30,239.54
1998-07-31,242.571
1998-08-31,207.272
1998-09-30,191.801
1998-10-30,207.693
1998-11-30,199.633
1998-12-31,201.365
1999-01-29,189.534
1999-02-26,195.779
1999-03-31,194.781
1999-04-30,203.048
1999-05-31,185.536
1999-06-30,192.624
1999-07-30,193.165
1999-08-31,192.731
1999-09-30,184.335
1999-10-29,184.412
1999-11-30,177.377
1999-12-31,185.091
2000-01-31,171.272
2000-02-29,163.856
2000-03-31,166.526
2000-04-28,159.084
2000-05-31,165.504
2000-06-30,171.269
2000-07-31,167.909
2000-08-31,162.486
2000-09-29,161.853
2000-10-31,152.346
2000-11-30,149.156
2000-12-29,158.945
2001-01-31,162.698
2001-02-28,172.046
2001-03-30,162.875
2001-04-30,166.943
2001-05-31,158.826
2001-06-29,160.47
2001-07-31,170.16
2001-08-31,172.926
2001-09-28,160.534
2001-10-31,156.519
2001-11-30,163.218
2001-12-31,165.174
2002-01-31,163.863
2002-02-28,167.501
2002-03-29,177.128
2002-04-30,188.627
2002-05-31,193.668
2002-06-28,200.318
2002-07-31,180.09
2002-08-30,180.91
2002-09-30,175.649
2002-10-31,181.182
2002-11-29,181.21
2002-12-31,197.155
2003-01-31,204.726
2003-02-28,208.259
2003-03-31,210.235
2003-04-30,226.181
2003-05-30,244.298
2003-06-30,248.98
2003-07-31,246.649
2003-08-29,245.745
2003-09-30,257.624
2003-10-31,265.477
2003-11-28,285.108
2003-12-31,306.54
2004-01-30,327.847
2004-02-27,340.234
2004-03-31,354.495
2004-04-30,353.952
2004-05-31,356.93
2004-06-30,376.444
2004-07-30,381.027
2004-08-31,380.543
2004-09-30,399.64
2004-10-29,420.895
2004-11-30,476.418
2004-12-31,513.375
2005-01-31,503.765
2005-02-28,550.0
2005-03-31,526.625
2005-04-29,506.765
2005-05-31,525.159
2005-06-30,556.809
2005-07-29,578.42
2005-08-31,614.906
2005-09-30,624.571
2005-10-31,598.737
2005-11-30,618.118
2005-12-30,643.511
2006-01-31,714.621
2006-02-28,711.019
2006-03-31,734.035
2006-04-28,773.155
2006-05-31,726.814
2006-06-30,724.446
2006-07-31,727.261
2006-08-31,734.897
2006-09-29,748.471
2006-10-31,788.452
2006-11-30,825.915
2006-12-29,886.106
2007-01-31,892.638
2007-02-28,880.754
2007-03-30,942.405
2007-04-30,985.169
2007-05-31,1000.0
2007-06-29,987.242
2007-07-31,939.656
2007-08-31,902.623
2007-09-28,906.503
2007-10-31,977.089
2007-11-30,904.928
2007-12-31,901.67
2008-01-31,785.625
2008-02-29,815.449
2008-03-31,822.01
2008-04-30,907.077
2008-05-30,943.972
2008-06-30,861.389
2008-07-31,782.74
2008-08-29,736.197
2008-09-30,519.858
2008-10-31,333.815
2008-11-28,292.78
2008-12-31,315.234
2009-01-30,294.941
2009-02-27,251.423
2009-03-31,301.508
2009-04-30,339.469
2009-05-29,413.557
2009-06-30,408.859
2009-07-31,440.908
2009-08-31,511.856
2009-09-30,554.599
2009-10-30,525.533
2009-11-30,537.078
2009-12-31,517.356
2010-01-29,497.773
2010-02-26,479.337
2010-03-31,515.995
2010-04-30,518.202
2010-05-31,436.223
2010-06-30,410.878
2010-07-30,478.896
2010-08-31,455.744
2010-09-30,520.769
2010-10-29,554.792
2010-11-30,507.919
2010-12-31,586.675
2011-01-31,596.334
2011-02-28,602.496
2011-03-31,618.419
2011-04-29,640.597
2011-05-31,618.372
2011-06-30,617.165
2011-07-29,579.053
2011-08-31,509.95
2011-09-30,412.985
2011-10-31,440.815
2011-11-30,399.056
2011-12-30,392.357
2012-01-31,429.183
2012-02-29,461.659
2012-03-30,455.524
2012-04-30,446.936
2012-05-31,382.923
2012-06-29,407.603
2012-07-31,402.71
2012-08-31,412.329
2012-09-28,436.034
2012-10-31,459.274
2012-11-30,482.722
2012-12-31,509.808
2013-01-31,536.059
2013-02-28,520.929
2013-03-29,492.797
2013-04-30,518.011
2013-05-31,516.344
2013-06-28,477.646
2013-07-31,513.523
2013-08-30,529.317
2013-09-30,569.323
2013-10-31,590.345
2013-11-29,601.611
2013-12-31,588.331
2014-01-31,578.511
2014-02-28,602.892
2014-03-31,588.704
2014-04-30,593.0
2014-05-30,588.074
2014-06-30,589.636
2014-07-31,535.563
2014-08-29,524.973
2014-09-30,482.152
2014-10-31,478.752
2014-11-28,490.649
2014-12-31,454.958
2015-01-30,431.661
2015-02-27,487.878
2015-03-31,471.093
2015-04-30,507.426
2015-05-29,499.019
2015-06-30,480.568
2015-07-31,497.074
2015-08-31,468.937
2015-09-30,449.274
2015-10-30,482.586
2015-11-30,476.698
2015-12-31,475.473
2016-01-29,426.618
2016-02-29,427.586
2016-03-31,474.781
2016-04-29,491.172
2016-05-31,467.718
2016-06-30,432.345
2016-07-29,464.464
2016-08-31,478.38
2016-09-30,502.198
2016-10-31,505.767
2016-11-30,498.789
2016-12-30,513.955
2017-01-31,540.41
2017-02-28,543.129
2017-03-31,563.17
2017-04-28,610.777
2017-05-31,660.639
2017-06-30,668.654
2017-07-31,718.525
2017-08-31,723.364
2017-09-29,737.534
2017-10-31,750.652
2017-11-30,758.952
2017-12-29,781.571
2018-01-31,851.531
2018-02-28,806.466
2018-03-30,802.357
2018-04-30,798.091
2018-05-31,754.78
2018-06-29,734.689
2018-07-31,772.287
2018-08-31,738.603
2018-09-28,740.868
2018-10-31,688.008
2018-11-30,666.908
2018-12-31,600.487
2019-01-31,656.101
2019-02-28,662.197
2019-03-29,652.216
2019-04-30,692.735
2019-05-31,637.4
2019-06-28,672.142
2019-07-31,660.738
2019-08-30,636.828
2019-09-30,651.864
2019-10-31,694.994
2019-11-29,686.784
2019-12-31,711.256
2020-01-31,679.577
2020-02-28,610.158
2020-03-31,439.559
2020-04-30,485.949
2020-05-29,494.183
2020-06-30,503.492
2020-07-31,504.864
2020-08-31,531.614
2020-09-30,496.958
2020-10-30,487.141
2020-11-30,622.346
2020-12-31,691.127
2021-01-29,716.189
2021-02-26,740.75
2021-03-31,758.933
2021-04-30,798.999
2021-05-31,869.264
2021-06-30,837.769
2021-07-30,857.33
2021-08-31,889.794
2021-09-30,882.015
2021-10-29,900.107
2021-11-30,865.935
2021-12-31,922.069
2022-01-31,904.104
2022-02-28,798.483
2022-03-31,772.869
2022-04-29,730.545
2022-05-31,762.307
2022-06-30,651.192
2022-07-29,671.941
2022-08-31,635.597
2022-09-30,576.163
2022-10-31,631.036
2022-11-30,718.757
2022-12-30,721.114
2023-01-31,798.277
2023-02-28,818.625
2023-03-31,757.2
2023-04-28,789.561
2023-05-31,727.609
2023-06-30,781.763
2023-07-31,815.93
2023-08-31,779.427
2023-09-29,761.614
2023-10-31,744.645
2023-11-30,822.83
2023-12-29,864.976
2024-01-31,859.932
2024-02-29,828.831
2024-03-29,880.815
2024-04-30,890.693
2024-05-31,960.282
2024-06-28,934.635
2024-07-31,979.0
2024-08-30,1011.366
2024-09-30,1004.008
2024-10-31,957.168
2024-11-29,936.767
2024-12-31,965.137
2025-01-31,1013.642
2025-02-28,1092.694
2025-03-31,1123.486
2025-04-30,1185.023
2025-05-30,1326.986
