Date,AUSTRIA IMI IMI (Large+Mid+Small Cap)
2006-09-29,749.863
2006-10-31,789.919
2006-11-30,827.451
2006-12-29,887.754
2007-01-31,894.26
2007-02-28,882.355
2007-03-30,943.92
2007-04-30,986.623
2007-05-31,1000.0
2007-06-29,985.827
2007-07-31,937.746
2007-08-31,900.788
2007-09-28,904.66
2007-10-31,974.565
2007-11-30,902.591
2007-12-31,899.341
2008-01-31,783.595
2008-02-29,813.342
2008-03-31,819.707
2008-04-30,904.094
2008-05-30,937.884
2008-06-30,855.52
2008-07-31,776.501
2008-08-29,730.328
2008-09-30,515.627
2008-10-31,330.799
2008-11-28,290.36
2008-12-31,312.628
2009-01-30,292.503
2009-02-27,249.345
2009-03-31,298.873
2009-04-30,336.146
2009-05-29,407.189
2009-06-30,402.372
2009-07-31,433.407
2009-08-31,503.148
2009-09-30,545.163
2009-10-30,516.472
2009-11-30,527.817
2009-12-31,508.436
2010-01-29,489.19
2010-02-26,471.072
2010-03-31,506.976
2010-04-30,508.793
2010-05-31,427.093
2010-06-30,401.516
2010-07-30,467.613
2010-08-31,445.006
2010-09-30,508.489
2010-10-29,541.709
2010-11-30,495.941
2010-12-31,572.841
2011-01-31,582.271
2011-02-28,588.288
2011-03-31,603.607
2011-04-29,625.048
2011-05-31,600.594
2011-06-30,599.149
2011-07-29,561.762
2011-08-31,494.702
2011-09-30,400.637
2011-10-31,427.635
2011-11-30,387.124
2011-12-30,380.625
2012-01-31,416.301
2012-02-29,447.802
2012-03-30,441.553
2012-04-30,432.896
2012-05-31,369.358
2012-06-29,392.829
2012-07-31,387.795
2012-08-31,397.042
2012-09-28,419.868
2012-10-31,441.761
2012-11-30,464.315
2012-12-31,490.368
2013-01-31,515.564
2013-02-28,501.012
2013-03-29,473.644
2013-04-30,497.52
2013-05-31,494.313
2013-06-28,457.201
2013-07-31,490.92
2013-08-30,506.018
2013-09-30,544.256
2013-10-31,563.792
2013-11-29,574.551
2013-12-31,561.869
2014-01-31,552.435
2014-02-28,575.717
2014-03-31,562.008
2014-04-30,566.041
2014-05-30,559.6
2014-06-30,560.266
2014-07-31,508.482
2014-08-29,498.427
2014-09-30,457.772
2014-10-31,454.418
2014-11-28,465.71
2014-12-31,431.833
2015-01-30,409.674
2015-02-27,463.028
2015-03-31,446.87
2015-04-30,481.082
2015-05-29,472.012
2015-06-30,454.341
2015-07-31,469.499
2015-08-31,442.923
2015-09-30,424.343
2015-10-30,455.683
2015-11-30,450.078
2015-12-31,448.913
2016-01-29,402.734
2016-02-29,403.647
2016-03-31,448.179
2016-04-29,463.192
2016-05-31,440.261
2016-06-30,406.766
2016-07-29,436.468
2016-08-31,449.546
2016-09-30,471.9
2016-10-31,475.254
2016-11-30,468.696
2016-12-30,482.948
2017-01-31,507.753
2017-02-28,510.308
2017-03-31,528.757
2017-04-28,573.331
2017-05-31,618.709
2017-06-30,626.001
2017-07-31,672.167
2017-08-31,676.694
2017-09-29,689.921
2017-10-31,702.192
2017-11-30,709.956
2017-12-29,731.114
2018-01-31,796.492
2018-02-28,754.34
2018-03-30,750.036
2018-04-30,745.498
2018-05-31,703.693
2018-06-29,684.142
2018-07-31,718.377
2018-08-31,687.044
2018-09-28,689.12
2018-10-31,639.952
2018-11-30,620.326
2018-12-31,558.545
2019-01-31,610.211
2019-02-28,615.881
2019-03-29,606.173
2019-04-30,643.356
2019-05-31,590.163
2019-06-28,621.645
2019-07-31,610.504
2019-08-30,588.412
2019-09-30,602.278
2019-10-31,642.127
2019-11-29,634.542
2019-12-31,657.152
2020-01-31,627.82
2020-02-28,563.688
2020-03-31,406.082
2020-04-30,448.938
2020-05-29,456.497
2020-06-30,464.594
2020-07-31,465.576
2020-08-31,489.977
2020-09-30,457.866
2020-10-30,447.51
2020-11-30,571.715
2020-12-31,634.901
2021-01-29,657.853
2021-02-26,680.414
2021-03-31,696.851
2021-04-30,732.854
2021-05-31,796.625
2021-06-30,766.625
2021-07-30,784.207
2021-08-31,813.878
2021-09-30,806.763
2021-10-29,823.226
2021-11-30,791.581
2021-12-31,842.484
2022-01-31,826.07
2022-02-28,729.508
2022-03-31,705.653
2022-04-29,666.401
2022-05-31,692.262
2022-06-30,589.963
2022-07-29,608.013
2022-08-31,575.127
2022-09-30,521.347
2022-10-31,571.0
2022-11-30,650.375
2022-12-30,652.508
2023-01-31,722.33
2023-02-28,740.668
2023-03-31,684.54
2023-04-28,713.687
2023-05-31,653.236
2023-06-30,698.529
2023-07-31,728.203
2023-08-31,695.624
2023-09-29,679.628
