Date,SWITZERLAND MID CAP Mid Cap
2001-01-01,648.393
2001-01-02,653.555
2001-01-03,640.506
2001-01-04,647.093
2001-01-05,647.505
2001-01-08,649.002
2001-01-09,642.799
2001-01-10,639.417
2001-01-11,646.057
2001-01-12,645.116
2001-01-15,639.924
2001-01-16,636.426
2001-01-17,636.552
2001-01-18,654.407
2001-01-19,646.111
2001-01-22,639.507
2001-01-23,636.914
2001-01-24,631.526
2001-01-25,637.093
2001-01-26,638.593
2001-01-29,637.441
2001-01-30,638.963
2001-01-31,642.46
2001-02-01,645.761
2001-02-02,640.227
2001-02-05,647.454
2001-02-06,644.825
2001-02-07,642.959
2001-02-08,633.247
2001-02-09,630.577
2001-02-12,631.269
2001-02-13,626.204
2001-02-14,619.819
2001-02-15,614.813
2001-02-16,616.015
2001-02-19,617.607
2001-02-20,611.454
2001-02-21,608.433
2001-02-22,598.203
2001-02-23,594.31
2001-02-26,598.735
2001-02-27,603.288
2001-02-28,600.534
2001-03-01,584.1
2001-03-02,590.117
2001-03-05,588.834
2001-03-06,599.386
2001-03-07,602.257
2001-03-08,604.239
2001-03-09,598.137
2001-03-12,585.171
2001-03-13,575.327
2001-03-14,558.104
2001-03-15,555.405
2001-03-16,545.376
2001-03-19,544.589
2001-03-20,549.656
2001-03-21,533.311
2001-03-22,504.056
2001-03-23,521.03
2001-03-26,534.004
2001-03-27,538.894
2001-03-28,535.505
2001-03-29,532.62
2001-03-30,540.421
2001-04-02,532.066
2001-04-03,519.084
2001-04-04,519.608
2001-04-05,527.413
2001-04-06,528.272
2001-04-09,531.444
2001-04-10,532.273
2001-04-11,535.278
2001-04-12,544.971
2001-04-13,544.971
2001-04-16,539.428
2001-04-17,538.148
2001-04-18,539.867
2001-04-19,553.469
2001-04-20,549.387
2001-04-23,542.56
2001-04-24,544.402
2001-04-25,541.728
2001-04-26,546.166
2001-04-27,540.433
2001-04-30,541.289
2001-05-01,542.901
2001-05-02,546.653
2001-05-03,543.833
2001-05-04,545.613
2001-05-07,548.147
2001-05-08,545.767
2001-05-09,543.868
2001-05-10,546.048
2001-05-11,543.71
2001-05-14,541.256
2001-05-15,545.982
2001-05-16,549.651
2001-05-17,555.017
2001-05-18,552.351
2001-05-21,550.15
2001-05-22,548.829
