Date,SWITZERLAND MID CAP Mid Cap
1994-05-31,300.166
1994-06-30,302.652
1994-07-29,296.738
1994-08-31,301.767
1994-09-30,303.278
1994-10-31,295.763
1994-11-30,285.354
1994-12-30,289.704
1995-01-31,277.953
1995-02-28,288.943
1995-03-31,301.651
1995-04-28,306.362
1995-05-31,319.355
1995-06-30,327.125
1995-07-31,320.762
1995-08-31,297.863
1995-09-29,321.13
1995-10-31,315.422
1995-11-30,309.854
1995-12-29,320.996
1996-01-31,322.375
1996-02-29,328.705
1996-03-29,346.658
1996-04-30,338.379
1996-05-31,335.085
1996-06-28,338.563
1996-07-31,328.829
1996-08-30,339.652
1996-09-30,332.712
1996-10-31,333.767
1996-11-29,336.171
1996-12-31,333.863
1997-01-31,341.069
1997-02-28,337.969
1997-03-31,359.227
1997-04-30,371.569
1997-05-30,412.094
1997-06-30,437.674
1997-07-31,449.981
1997-08-29,430.506
1997-09-30,474.981
1997-10-31,471.552
1997-11-28,473.765
1997-12-31,483.177
1998-01-30,495.578
1998-02-27,548.986
1998-03-31,562.666
1998-04-30,580.723
1998-05-29,634.463
1998-06-30,618.553
1998-07-31,653.519
1998-08-31,527.414
1998-09-30,445.483
1998-10-30,539.419
1998-11-30,562.465
1998-12-31,572.792
1999-01-29,539.175
1999-02-26,520.323
1999-03-31,541.071
1999-04-30,549.293
1999-05-31,525.482
1999-06-30,524.786
1999-07-30,538.628
1999-08-31,536.512
1999-09-30,536.072
1999-10-29,543.62
1999-11-30,524.273
1999-12-31,552.726
2000-01-31,553.936
2000-02-29,549.569
2000-03-31,577.361
2000-04-28,544.793
2000-05-31,561.332
2000-06-30,589.399
2000-07-31,614.07
2000-08-31,619.31
2000-09-29,609.165
2000-10-31,582.238
2000-11-30,574.663
2000-12-29,629.774
2001-01-31,624.011
2001-02-28,583.289
2001-03-30,525.091
2001-04-30,526.279
2001-05-31,511.529
2001-06-29,490.654
2001-07-31,476.257
2001-08-31,467.505
2001-09-28,397.485
2001-10-31,421.35
2001-11-30,444.839
2001-12-31,449.15
2002-01-31,436.73
2002-02-28,432.208
2002-03-29,463.142
2002-04-30,472.752
2002-05-31,486.864
2002-06-28,452.457
2002-07-31,374.555
2002-08-30,381.147
2002-09-30,339.056
2002-10-31,364.991
2002-11-29,378.624
2002-12-31,364.317
2003-01-31,345.43
2003-02-28,302.432
2003-03-31,305.735
2003-04-30,338.426
2003-05-30,343.508
2003-06-30,343.854
2003-07-31,375.329
2003-08-29,399.871
2003-09-30,400.35
2003-10-31,415.588
2003-11-28,434.353
2003-12-31,465.986
2004-01-30,485.309
2004-02-27,474.967
2004-03-31,465.769
2004-04-30,466.369
2004-05-31,479.71
2004-06-30,496.466
2004-07-30,480.126
2004-08-31,484.222
2004-09-30,502.51
2004-10-29,519.471
2004-11-30,554.047
2004-12-31,576.259
2005-01-31,558.792
2005-02-28,600.748
