Date,WORLD ex USA Standard (Large+Mid Cap)
2001-01-01,2822.135
2001-01-02,2808.133
2001-01-03,2787.269
2001-01-04,2819.614
2001-01-05,2823.976
2001-01-08,2809.619
2001-01-09,2762.705
2001-01-10,2745.417
2001-01-11,2767.748
2001-01-12,2778.063
2001-01-15,2771.806
2001-01-16,2758.142
2001-01-17,2788.35
2001-01-18,2816.097
2001-01-19,2806.558
2001-01-22,2809.678
2001-01-23,2812.866
2001-01-24,2791.412
2001-01-25,2795.603
2001-01-26,2792.113
2001-01-29,2795.585
2001-01-30,2806.85
2001-01-31,2827.33
2001-02-01,2834.754
2001-02-02,2800.373
2001-02-05,2800.198
2001-02-06,2791.075
2001-02-07,2765.032
2001-02-08,2731.592
2001-02-09,2714.6
2001-02-12,2740.513
2001-02-13,2724.304
2001-02-14,2698.068
2001-02-15,2696.615
2001-02-16,2667.689
2001-02-19,2664.112
2001-02-20,2632.619
2001-02-21,2611.999
2001-02-22,2600.62
2001-02-23,2578.661
2001-02-26,2598.453
2001-02-27,2614.612
2001-02-28,2603.414
2001-03-01,2597.989
2001-03-02,2584.584
2001-03-05,2594.519
2001-03-06,2634.454
2001-03-07,2631.664
2001-03-08,2629.504
2001-03-09,2607.236
2001-03-12,2537.963
2001-03-13,2483.787
2001-03-14,2438.749
2001-03-15,2466.564
2001-03-16,2404.062
2001-03-19,2401.144
2001-03-20,2429.562
2001-03-21,2417.636
2001-03-22,2313.224
2001-03-23,2380.408
2001-03-26,2460.977
2001-03-27,2497.702
2001-03-28,2464.583
2001-03-29,2426.192
2001-03-30,2426.891
2001-04-02,2408.514
2001-04-03,2376.766
2001-04-04,2416.495
2001-04-05,2454.345
2001-04-06,2459.213
2001-04-09,2461.029
2001-04-10,2476.792
2001-04-11,2485.506
2001-04-12,2511.886
2001-04-13,2509.48
2001-04-16,2488.008
2001-04-17,2476.358
2001-04-18,2531.012
2001-04-19,2570.714
2001-04-20,2571.942
2001-04-23,2550.398
2001-04-24,2546.148
2001-04-25,2554.476
2001-04-26,2579.322
2001-04-27,2586.801
2001-04-30,2595.735
2001-05-01,2626.842
2001-05-02,2627.932
2001-05-03,2601.938
2001-05-04,2614.957
2001-05-07,2623.19
2001-05-08,2596.903
2001-05-09,2577.105
2001-05-10,2601.827
2001-05-11,2580.709
2001-05-14,2535.791
2001-05-15,2567.45
2001-05-16,2570.176
2001-05-17,2596.474
2001-05-18,2593.906
2001-05-21,2612.842
2001-05-22,2610.034
2001-05-23,2593.525
2001-05-24,2585.976
2001-05-25,2569.592
2001-05-28,2570.631
2001-05-29,2557.652
2001-05-30,2525.077
2001-05-31,2510.291
2001-06-01,2506.501
2001-06-04,2515.069
2001-06-05,2528.938
2001-06-06,2514.728
2001-06-07,2521.42
2001-06-08,2513.995
2001-06-11,2476.58
2001-06-12,2440.86
2001-06-13,2457.91
2001-06-14,2450.33
2001-06-15,2433.954
2001-06-18,2410.699
2001-06-19,2407.182
2001-06-20,2389.818
2001-06-21,2401.796
2001-06-22,2415.035
2001-06-25,2420.483
2001-06-26,2397.468
2001-06-27,2389.253
2001-06-28,2382.776
2001-06-29,2407.918
2001-07-02,2427.394
2001-07-03,2411.683
2001-07-04,2394.336
2001-07-05,2358.832
2001-07-06,2322.182
2001-07-09,2326.241
2001-07-10,2333.265
2001-07-11,2316.532
2001-07-12,2333.886
2001-07-13,2337.473
2001-07-16,2332.204
2001-07-17,2305.812
2001-07-18,2311.992
2001-07-19,2334.848
2001-07-20,2328.214
2001-07-23,2307.705
2001-07-24,2302.528
2001-07-25,2296.325
2001-07-26,2303.166
2001-07-27,2325.309
2001-07-30,2334.095
2001-07-31,2365.633
2001-08-01,2385.11
2001-08-02,2407.839
2001-08-03,2392.365
2001-08-06,2382.499
2001-08-07,2382.781
2001-08-08,2359.41
2001-08-09,2335.176
2001-08-10,2336.861
2001-08-13,2340.892
2001-08-14,2375.056
2001-08-15,2395.247
2001-08-16,2370.956
2001-08-17,2349.142
2001-08-20,2334.227
2001-08-21,2355.986
2001-08-22,2371.775
2001-08-23,2355.248
2001-08-24,2379.404
2001-08-27,2380.568
2001-08-28,2356.508
2001-08-29,2347.046
2001-08-30,2304.332
2001-08-31,2302.459
2001-09-03,2270.29
2001-09-04,2279.342
2001-09-05,2242.632
2001-09-06,2209.641
2001-09-07,2189.482
2001-09-10,2154.29
2001-09-11,2085.239
2001-09-12,2064.639
2001-09-13,2089.888
2001-09-14,2051.158
2001-09-17,2055.43
2001-09-18,2048.36
2001-09-19,2039.91
2001-09-20,1976.647
2001-09-21,1908.339
2001-09-24,1973.207
2001-09-25,2006.763
2001-09-26,2014.141
2001-09-27,2027.28
2001-09-28,2070.084
2001-10-01,2054.378
2001-10-02,2075.887
2001-10-03,2079.306
2001-10-04,2128.897
2001-10-05,2131.569
2001-10-08,2130.609
2001-10-09,2114.468
2001-10-10,2132.856
2001-10-11,2152.242
2001-10-12,2160.28
2001-10-15,2128.946
2001-10-16,2146.641
2001-10-17,2179.47
2001-10-18,2138.532
2001-10-19,2108.255
2001-10-22,2119.176
2001-10-23,2156.639
2001-10-24,2167.374
2001-10-25,2151.163
2001-10-26,2174.043
2001-10-29,2152.073
2001-10-30,2117.373
2001-10-31,2120.788
2001-11-01,2143.135
2001-11-02,2145.128
2001-11-05,2171.024
2001-11-06,2180.818
2001-11-07,2183.158
2001-11-08,2207.159
2001-11-09,2191.098
2001-11-12,2156.172
2001-11-13,2174.48
2001-11-14,2179.269
2001-11-15,2188.996
2001-11-16,2207.262
2001-11-19,2222.429
2001-11-20,2209.482
2001-11-21,2195.933
2001-11-22,2211.557
2001-11-23,2199.066
2001-11-26,2212.836
2001-11-27,2199.287
2001-11-28,2177.102
2001-11-29,2177.674
2001-11-30,2204.145
2001-12-03,2174.816
2001-12-04,2195.723
2001-12-05,2248.644
2001-12-06,2262.437
2001-12-07,2239.155
2001-12-10,2198.92
2001-12-11,2195.963
2001-12-12,2204.291
2001-12-13,2167.858
2001-12-14,2158.128
2001-12-17,2188.394
2001-12-18,2188.538
2001-12-19,2170.788
2001-12-20,2161.939
2001-12-21,2166.159
2001-12-24,2156.044
2001-12-25,2154.457
2001-12-26,2153.587
2001-12-27,2194.701
2001-12-28,2206.879
2001-12-31,2218.279
2002-01-01,2218.279
2002-01-02,2216.814
2002-01-03,2242.87
2002-01-04,2253.044
2002-01-07,2237.384
2002-01-08,2208.209
2002-01-09,2201.669
2002-01-10,2185.228
2002-01-11,2187.369
2002-01-14,2160.301
2002-01-15,2159.783
2002-01-16,2131.088
2002-01-17,2141.51
2002-01-18,2145.483
2002-01-21,2137.843
2002-01-22,2124.683
2002-01-23,2132.34
2002-01-24,2147.304
2002-01-25,2123.811
2002-01-28,2136.388
2002-01-29,2108.591
2002-01-30,2083.618
2002-01-31,2105.448
2002-02-01,2101.402
2002-02-04,2089.48
2002-02-05,2057.588
2002-02-06,2041.85
2002-02-07,2061.958
2002-02-08,2069.984
2002-02-11,2097.388
2002-02-12,2103.136
2002-02-13,2111.258
2002-02-14,2127.886
2002-02-15,2118.465
2002-02-18,2106.599
2002-02-19,2070.579
2002-02-20,2054.816
2002-02-21,2078.519
2002-02-22,2074.898
2002-02-25,2085.495
2002-02-26,2089.233
2002-02-27,2114.086
2002-02-28,2118.284
2002-03-01,2143.461
2002-03-04,2210.72
2002-03-05,2202.854
2002-03-06,2220.61
2002-03-07,2263.828
2002-03-08,2264.538
2002-03-11,2263.595
2002-03-12,2229.865
2002-03-13,2222.097
2002-03-14,2241.732
2002-03-15,2260.504
2002-03-18,2255.179
2002-03-19,2272.624
2002-03-20,2255.281
2002-03-21,2243.953
2002-03-22,2235.568
2002-03-25,2215.854
2002-03-26,2216.431
2002-03-27,2219.023
2002-03-28,2240.651
2002-03-29,2230.884
2002-04-01,2240.468
2002-04-02,2239.632
2002-04-03,2243.284
2002-04-04,2234.28
2002-04-05,2230.051
2002-04-08,2201.351
2002-04-09,2199.021
2002-04-10,2221.454
2002-04-11,2197.611
2002-04-12,2192.791
2002-04-15,2212.408
2002-04-16,2248.887
2002-04-17,2267.978
2002-04-18,2266.593
2002-04-19,2264.251
2002-04-22,2259.346
2002-04-23,2254.546
2002-04-24,2252.325
2002-04-25,2252.404
2002-04-26,2241.365
2002-04-29,2238.21
2002-04-30,2244.058
2002-05-01,2254.43
2002-05-02,2247.804
2002-05-03,2257.299
2002-05-06,2252.951
2002-05-07,2223.433
2002-05-08,2254.289
2002-05-09,2251.809
2002-05-10,2242.74
2002-05-13,2249.724
2002-05-14,2249.349
2002-05-15,2279.353
2002-05-16,2284.294
2002-05-17,2305.937
2002-05-20,2300.941
2002-05-21,2295.856
2002-05-22,2294.07
2002-05-23,2286.651
2002-05-24,2292.138
2002-05-27,2285.808
2002-05-28,2286.515
2002-05-29,2283.626
2002-05-30,2273.429
2002-05-31,2273.463
2002-06-03,2273.309
2002-06-04,2245.452
2002-06-05,2222.688
2002-06-06,2226.171
