Date,WORLD ex USA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,97.904
1970-02-27,96.689
1970-03-31,96.679
1970-04-30,86.578
1970-05-29,80.234
1970-06-30,81.144
1970-07-31,84.385
1970-08-31,86.08
1970-09-30,88.778
1970-10-30,86.409
1970-11-30,83.545
1970-12-31,86.589
1971-01-29,90.707
1971-02-26,91.875
1971-03-31,96.647
1971-04-30,98.807
1971-05-31,99.667
1971-06-30,101.472
1971-07-30,104.117
1971-08-31,102.567
1971-09-30,102.361
1971-10-29,98.213
1971-11-30,100.082
1971-12-31,115.422
1972-01-31,123.937
1972-02-29,131.589
1972-03-31,133.029
1972-04-28,138.234
1972-05-31,147.748
1972-06-30,142.808
1972-07-31,151.819
1972-08-31,153.755
1972-09-29,146.441
1972-10-31,146.288
1972-11-30,158.479
1972-12-29,162.011
1973-01-31,169.463
1973-02-28,186.922
1973-03-30,191.163
1973-04-30,178.183
1973-05-31,181.378
1973-06-29,183.997
1973-07-31,184.209
1973-08-31,174.33
1973-09-28,177.634
1973-10-31,181.112
1973-11-30,151.552
1973-12-31,144.72
1974-01-31,151.352
1974-02-28,157.554
1974-03-29,153.503
1974-04-30,156.095
1974-05-31,147.912
1974-06-28,140.404
1974-07-31,136.48
1974-08-30,122.321
1974-09-30,115.306
1974-10-31,115.243
1974-11-29,119.034
1974-12-31,117.906
1975-01-31,137.848
1975-02-28,154.706
1975-03-31,153.033
1975-04-30,158.979
1975-05-30,158.705
1975-06-30,153.785
1975-07-31,148.061
1975-08-29,147.367
1975-09-30,140.12
1975-10-31,150.089
1975-11-28,153.897
1975-12-31,156.535
1976-01-30,165.216
1976-02-27,164.937
1976-03-31,161.919
1976-04-30,161.767
1976-05-31,157.971
1976-06-30,159.976
1976-07-30,157.832
1976-08-31,157.415
1976-09-30,154.998
1976-10-29,145.844
1976-11-30,145.607
1976-12-31,162.094
1977-01-31,160.718
1977-02-28,164.093
1977-03-31,164.558
1977-04-29,168.445
1977-05-31,167.618
1977-06-30,171.691
1977-07-29,169.424
1977-08-31,175.644
1977-09-30,180.871
1977-10-31,183.746
1977-11-30,183.353
1977-12-30,190.488
1978-01-31,191.856
1978-02-28,193.898
1978-03-31,207.476
1978-04-28,206.297
1978-05-31,211.288
1978-06-30,219.942
1978-07-31,238.923
1978-08-31,243.918
1978-09-29,251.237
1978-10-31,263.6
1978-11-30,241.712
1978-12-29,253.537
1979-01-31,255.649
1979-02-28,255.336
1979-03-30,262.648
1979-04-30,262.413
1979-05-31,258.924
1979-06-29,264.487
1979-07-31,266.098
1979-08-31,274.89
1979-09-28,288.304
1979-10-31,264.6
1979-11-30,270.611
1979-12-31,281.276
1980-01-31,298.846
1980-02-29,302.693
1980-03-31,265.243
1980-04-30,289.12
1980-05-30,304.397
1980-06-30,324.169
1980-07-31,324.373
1980-08-29,335.504
1980-09-30,347.903
1980-10-31,360.108
1980-11-28,355.003
1980-12-31,352.833
1981-01-30,346.247
1981-02-27,341.793
1981-03-31,355.561
1981-04-30,363.312
1981-05-29,351.009
1981-06-30,351.333
1981-07-31,337.267
1981-08-31,345.367
1981-09-30,310.186
1981-10-30,314.014
1981-11-30,348.865
1981-12-31,344.174
1982-01-29,338.715
1982-02-26,315.659
1982-03-31,300.115
1982-04-30,317.367
1982-05-31,312.934
1982-06-30,288.16
1982-07-30,286.816
1982-08-31,291.332
1982-09-30,290.107
1982-10-29,294.506
1982-11-30,316.724
1982-12-31,343.283
1983-01-31,342.996
1983-02-28,350.674
1983-03-31,363.851
1983-04-29,386.93
1983-05-31,386.677
1983-06-30,395.61
1983-07-29,396.917
1983-08-31,391.84
1983-09-30,404.156
1983-10-31,399.731
1983-11-30,412.915
1983-12-30,428.373
1984-01-31,442.648
1984-02-29,448.798
1984-03-30,484.439
1984-04-30,476.173
1984-05-31,431.441
1984-06-29,429.619
1984-07-31,401.708
1984-08-31,438.822
1984-09-28,434.515
1984-10-31,442.604
1984-11-30,436.517
1984-12-31,443.231
1985-01-31,455.868
1985-02-28,451.672
1985-03-29,485.608
1985-04-30,484.414
1985-05-31,503.909
1985-06-28,515.206
1985-07-31,540.183
1985-08-30,555.151
1985-09-30,582.194
1985-10-31,616.217
1985-11-29,643.348
1985-12-31,671.053
1986-01-31,686.838
1986-02-28,758.191
1986-03-31,860.96
1986-04-30,914.237
1986-05-30,876.014
1986-06-30,931.192
1986-07-31,983.587
1986-08-29,1079.182
1986-09-30,1069.888
1986-10-31,1002.465
1986-11-28,1058.705
1986-12-31,1112.876
1987-01-30,1233.293
1987-02-27,1272.051
1987-03-31,1379.622
1987-04-30,1517.191
1987-05-29,1516.324
1987-06-30,1472.952
1987-07-31,1479.133
1987-08-31,1584.584
1987-09-30,1561.029
1987-10-30,1334.61
1987-11-30,1344.962
1987-12-31,1386.2
1988-01-29,1407.99
1988-02-29,1501.52
1988-03-31,1593.452
1988-04-29,1616.306
1988-05-31,1564.696
1988-06-30,1529.611
1988-07-29,1574.661
1988-08-31,1473.371
1988-09-30,1536.156
1988-10-31,1664.817
1988-11-30,1760.54
1988-12-30,1771.595
1989-01-31,1807.186
1989-02-28,1814.634
1989-03-31,1781.747
1989-04-28,1799.468
1989-05-31,1705.686
1989-06-30,1680.648
1989-07-31,1888.161
1989-08-31,1808.38
1989-09-29,1886.707
1989-10-31,1814.801
1989-11-30,1904.053
1989-12-29,1973.994
1990-01-31,1898.233
1990-02-28,1769.993
1990-03-30,1594.212
1990-04-30,1576.607
1990-05-31,1753.541
1990-06-29,1738.407
1990-07-31,1764.072
1990-08-31,1597.481
1990-09-28,1382.249
1990-10-31,1584.957
1990-11-30,1497.405
1990-12-31,1523.658
1991-01-31,1570.68
1991-02-28,1736.473
1991-03-29,1636.569
1991-04-30,1653.289
1991-05-31,1673.618
1991-06-28,1555.327
1991-07-31,1629.513
1991-08-30,1598.395
1991-09-30,1683.14
1991-10-31,1709.86
1991-11-29,1632.642
1991-12-31,1713.155
1992-01-31,1679.917
1992-02-28,1621.987
1992-03-31,1516.366
1992-04-30,1522.406
1992-05-29,1620.652
1992-06-30,1547.714
1992-07-31,1511.8
1992-08-31,1600.713
1992-09-30,1565.563
1992-10-30,1488.589
1992-11-30,1499.396
1992-12-31,1508.721
1993-01-29,1508.174
1993-02-26,1556.018
1993-03-31,1688.666
1993-04-30,1845.722
1993-05-31,1885.918
1993-06-30,1857.567
1993-07-30,1920.715
1993-08-31,2020.146
1993-09-30,1973.246
1993-10-29,2039.475
1993-11-30,1866.693
1993-12-31,2000.759
1994-01-31,2167.425
1994-02-28,2158.033
1994-03-31,2065.617
1994-04-29,2149.652
1994-05-31,2138.827
1994-06-30,2163.942
1994-07-29,2188.197
1994-08-31,2243.282
1994-09-30,2178.297
1994-10-31,2247.376
1994-11-30,2138.658
1994-12-30,2153.656
1995-01-31,2069.172
1995-02-28,2068.274
1995-03-31,2196.401
1995-04-28,2278.006
1995-05-31,2255.752
1995-06-30,2219.723
1995-07-31,2354.742
1995-08-31,2268.85
1995-09-29,2311.701
1995-10-31,2251.758
1995-11-30,2315.819
1995-12-29,2407.03
1996-01-31,2421.734
1996-02-29,2429.401
1996-03-29,2481.475
1996-04-30,2555.396
1996-05-31,2512.377
1996-06-28,2523.907
1996-07-31,2450.659
1996-08-30,2460.607
1996-09-30,2527.892
1996-10-31,2511.66
1996-11-29,2615.858
1996-12-31,2580.22
1997-01-31,2500.424
1997-02-28,2538.939
1997-03-31,2542.142
1997-04-30,2558.382
1997-05-30,2727.725
1997-06-30,2874.026
1997-07-31,2927.442
1997-08-29,2712.453
1997-09-30,2865.335
1997-10-31,2649.826
1997-11-28,2620.809
1997-12-31,2646.374
1998-01-30,2759.804
1998-02-27,2940.178
1998-03-31,3037.421
1998-04-30,3061.714
1998-05-29,3046.498
1998-06-30,3063.369
1998-07-31,3084.088
1998-08-31,2690.913
1998-09-30,2614.777
1998-10-30,2887.767
1998-11-30,3034.805
1998-12-31,3151.997
1999-01-29,3153.334
1999-02-26,3074.747
1999-03-31,3203.784
1999-04-30,3341.921
1999-05-31,3173.854
1999-06-30,3298.683
1999-07-30,3394.412
1999-08-31,3404.837
1999-09-30,3442.375
1999-10-29,3576.145
1999-11-30,3701.957
1999-12-31,4043.093
2000-01-31,3798.16
2000-02-29,3906.566
2000-03-31,4067.668
2000-04-28,3857.423
2000-05-31,3764.722
2000-06-30,3928.317
2000-07-31,3778.924
2000-08-31,3829.052
2000-09-29,3631.439
2000-10-31,3533.197
2000-11-30,3391.599
2000-12-29,3511.139
2001-01-31,3517.78
2001-02-28,3239.462
2001-03-30,3021.272
2001-04-30,3233.347
2001-05-31,3129.42
2001-06-29,3002.99
2001-07-31,2950.507
2001-08-31,2872.38
2001-09-28,2583.163
2001-10-31,2646.364
2001-11-30,2750.586
2001-12-31,2768.343
2002-01-31,2627.768
2002-02-28,2643.953
2002-03-29,2785.824
2002-04-30,2803.924
2002-05-31,2843.113
2002-06-28,2728.544
2002-07-31,2457.531
2002-08-30,2454.313
2002-09-30,2194.654
2002-10-31,2310.137
2002-11-29,2416.817
2002-12-31,2338.944
2003-01-31,2250.036
2003-02-28,2205.937
2003-03-31,2165.057
2003-04-30,2375.199
2003-05-30,2524.657
2003-06-30,2587.464
2003-07-31,2647.222
2003-08-29,2715.991
2003-09-30,2798.046
2003-10-31,2973.482
2003-11-28,3041.351
2003-12-31,3274.785
2004-01-30,3320.668
2004-02-27,3397.636
2004-03-31,3415.986
2004-04-30,3329.345
2004-05-31,3348.041
2004-06-30,3426.734
2004-07-30,3322.738
2004-08-31,3337.353
2004-09-30,3435.178
2004-10-29,3558.888
2004-11-30,3796.596
2004-12-31,3957.319
2005-01-31,3879.731
2005-02-28,4053.245
2005-03-31,3962.824
2005-04-29,3866.028
2005-05-31,3876.977
2005-06-30,3941.949
2005-07-29,4069.531
2005-08-31,4183.1
2005-09-30,4374.906
2005-10-31,4233.869
2005-11-30,4347.199
2005-12-30,4549.174
2006-01-31,4837.256
2006-02-28,4821.852
2006-03-31,4977.125
2006-04-28,5218.604
2006-05-31,5026.329
2006-06-30,5022.085
2006-07-31,5069.786
2006-08-31,5215.354
2006-09-29,5212.274
2006-10-31,5418.786
2006-11-30,5581.778
2006-12-29,5742.362
2007-01-31,5777.933
2007-02-28,5825.079
2007-03-30,5977.125
2007-04-30,6254.412
2007-05-31,6401.135
2007-06-29,6409.73
2007-07-31,6321.88
2007-08-31,6231.998
2007-09-28,6587.429
2007-10-31,6874.642
2007-11-30,6607.651
2007-12-31,6484.103
2008-01-31,5900.265
2008-02-29,6009.069
2008-03-31,5926.247
2008-04-30,6262.854
2008-05-30,6369.063
2008-06-30,5875.323
2008-07-31,5666.898
2008-08-29,5449.331
2008-09-30,4664.494
2008-10-31,3694.615
2008-11-28,3496.036
2008-12-31,3680.936
2009-01-30,3338.2
2009-02-27,3001.416
2009-03-31,3200.812
2009-04-30,3618.426
2009-05-29,4082.273
2009-06-30,4041.317
2009-07-31,4421.472
2009-08-31,4634.183
2009-09-30,4826.445
2009-10-30,4749.385
2009-11-30,4868.203
2009-12-31,4946.695
2010-01-29,4715.323
2010-02-26,4711.157
2010-03-31,5017.443
2010-04-30,4946.649
2010-05-31,4407.187
2010-06-30,4344.671
2010-07-30,4746.884
2010-08-31,4605.777
2010-09-30,5048.829
2010-10-29,5229.201
2010-11-30,5009.17
2010-12-31,5413.3
2011-01-31,5530.805
2011-02-28,5737.197
2011-03-31,5624.956
2011-04-29,5936.566
2011-05-31,5768.684
2011-06-30,5688.234
2011-07-29,5595.554
2011-08-31,5123.287
2011-09-30,4610.632
2011-10-31,5059.51
2011-11-30,4827.122
2011-12-30,4775.427
2012-01-31,5034.339
2012-02-29,5312.69
2012-03-30,5276.715
2012-04-30,5192.899
2012-05-31,4607.111
2012-06-29,4911.016
2012-07-31,4972.992
2012-08-31,5115.647
2012-09-28,5273.009
2012-10-31,5310.643
2012-11-30,5423.092
2012-12-31,5588.159
2013-01-31,5864.244
2013-02-28,5807.385
2013-03-29,5856.71
2013-04-30,6130.292
2013-05-31,5999.377
2013-06-28,5776.4
2013-07-31,6084.446
2013-08-30,6006.956
2013-09-30,6433.149
2013-10-31,6649.451
2013-11-29,6691.518
2013-12-31,6793.678
2014-01-31,6520.383
2014-02-28,6878.018
2014-03-31,6852.105
2014-04-30,6965.824
2014-05-30,7082.099
2014-06-30,7185.311
2014-07-31,7057.954
2014-08-29,7064.398
2014-09-30,6776.815
2014-10-31,6669.705
2014-11-28,6752.684
2014-12-31,6530.231
2015-01-30,6508.012
2015-02-27,6897.703
2015-03-31,6788.596
2015-04-30,7087.923
2015-05-29,7034.041
2015-06-30,6836.302
2015-07-31,6945.379
2015-08-31,6440.359
2015-09-30,6117.716
2015-10-30,6578.748
2015-11-30,6475.021
2015-12-31,6360.372
2016-01-29,5923.43
2016-02-29,5842.784
2016-03-31,6244.53
2016-04-29,6452.012
2016-05-31,6386.668
2016-06-30,6195.442
2016-07-29,6501.002
2016-08-31,6508.001
2016-09-30,6590.369
2016-10-31,6463.017
2016-11-30,6360.411
2016-12-30,6569.659
2017-01-31,6765.853
2017-02-28,6845.083
2017-03-31,7026.518
2017-04-28,7180.958
2017-05-31,7429.64
2017-06-30,7439.068
2017-07-31,7661.199
2017-08-31,7660.757
2017-09-29,7862.673
2017-10-31,7971.115
2017-11-30,8053.082
2017-12-29,8199.754
2018-01-31,8582.593
2018-02-28,8176.353
2018-03-30,8042.672
2018-04-30,8235.786
2018-05-31,8090.161
2018-06-29,8004.186
2018-07-31,8201.721
2018-08-31,8047.97
2018-09-28,8114.542
2018-10-31,7470.71
2018-11-30,7465.352
2018-12-31,7081.511
2019-01-31,7588.235
2019-02-28,7784.377
2019-03-29,7832.377
2019-04-30,8061.694
2019-05-31,7691.233
2019-06-28,8151.246
2019-07-31,8054.137
