Date,HONG KONG MID CAP Mid Cap
1994-05-31,444.317
1994-06-30,422.326
1994-07-29,445.403
1994-08-31,456.493
1994-09-30,459.012
1994-10-31,451.745
1994-11-30,390.109
1994-12-30,378.135
1995-01-31,330.108
1995-02-28,364.253
1995-03-31,364.333
1995-04-28,366.565
1995-05-31,405.464
1995-06-30,403.731
1995-07-31,428.287
1995-08-31,403.037
1995-09-29,419.915
1995-10-31,430.347
1995-11-30,426.351
1995-12-29,433.753
1996-01-31,511.394
1996-02-29,511.022
1996-03-29,505.373
1996-04-30,503.167
1996-05-31,510.365
1996-06-28,512.061
1996-07-31,498.212
1996-08-30,525.746
1996-09-30,547.153
1996-10-31,565.909
1996-11-29,639.0
1996-12-31,634.347
1997-01-31,653.319
1997-02-28,666.844
1997-03-31,626.324
1997-04-30,634.337
1997-05-30,673.09
1997-06-30,644.914
1997-07-31,639.145
1997-08-29,568.414
1997-09-30,575.512
1997-10-31,390.719
1997-11-28,391.276
1997-12-31,396.149
1998-01-30,306.057
1998-02-27,378.274
1998-03-31,376.572
1998-04-30,348.466
1998-05-29,301.34
1998-06-30,266.989
1998-07-31,256.964
1998-08-31,217.203
1998-09-30,241.378
1998-10-30,311.599
1998-11-30,333.102
1998-12-31,325.804
1999-01-29,287.407
1999-02-26,288.347
1999-03-31,333.608
1999-04-30,395.943
1999-05-31,377.034
1999-06-30,422.157
1999-07-30,413.6
1999-08-31,412.782
1999-09-30,394.556
1999-10-29,403.351
1999-11-30,452.675
1999-12-31,477.348
2000-01-31,439.496
2000-02-29,413.347
2000-03-31,443.58
2000-04-28,403.587
2000-05-31,358.008
2000-06-30,400.358
2000-07-31,406.715
2000-08-31,415.702
2000-09-29,398.876
2000-10-31,363.913
2000-11-30,356.888
2000-12-29,372.273
2001-01-31,395.153
2001-02-28,395.431
2001-03-30,349.158
2001-04-30,375.532
2001-05-31,373.877
2001-06-29,362.034
2001-07-31,355.661
2001-08-31,327.877
2001-09-28,276.44
2001-10-31,285.551
2001-11-30,312.293
2001-12-31,327.651
2002-01-31,328.618
2002-02-28,332.931
2002-03-29,355.204
2002-04-30,380.796
2002-05-31,375.458
2002-06-28,351.083
2002-07-31,320.556
2002-08-30,304.474
2002-09-30,274.695
2002-10-31,285.029
2002-11-29,307.616
2002-12-31,287.121
2003-01-31,293.207
2003-02-28,287.073
2003-03-31,281.375
2003-04-30,289.552
2003-05-30,311.628
2003-06-30,326.402
2003-07-31,346.635
2003-08-29,384.426
2003-09-30,406.96
2003-10-31,426.361
2003-11-28,429.86
2003-12-31,431.318
2004-01-30,461.682
2004-02-27,476.418
2004-03-31,446.502
2004-04-30,432.8
2004-05-31,429.396
2004-06-30,427.459
2004-07-30,433.052
2004-08-31,439.658
2004-09-30,453.597
2004-10-29,448.61
2004-11-30,493.946
2004-12-31,495.591
2005-01-31,470.595
2005-02-28,484.356
2005-03-31,476.901
2005-04-29,491.759
2005-05-31,495.399
2005-06-30,523.095
2005-07-29,564.009
2005-08-31,551.079
2005-09-30,574.348
2005-10-31,543.819
2005-11-30,583.538
2005-12-30,600.469
2006-01-31,641.765
2006-02-28,661.95
2006-03-31,693.514
2006-04-28,746.265
2006-05-31,691.811
2006-06-30,712.935
2006-07-31,716.963
2006-08-31,749.697
2006-09-29,770.51
2006-10-31,775.825
2006-11-30,832.828
2006-12-29,878.633
2007-01-31,922.444
2007-02-28,917.376
2007-03-30,941.194
2007-04-30,963.753
2007-05-31,1000.0
2007-06-29,993.666
2007-07-31,1052.043
2007-08-31,1056.495
2007-09-28,1150.441
2007-10-31,1262.01
2007-11-30,1170.845
2007-12-31,1170.77
2008-01-31,1029.121
2008-02-29,1068.921
2008-03-31,1004.203
2008-04-30,1069.816
2008-05-30,1075.469
2008-06-30,939.815
2008-07-31,864.753
2008-08-29,828.271
2008-09-30,652.755
2008-10-31,490.873
2008-11-28,505.754
2008-12-31,556.34
2009-01-30,555.327
2009-02-27,532.325
2009-03-31,564.931
2009-04-30,656.478
2009-05-29,793.607
2009-06-30,788.115
2009-07-31,891.608
2009-08-31,824.07
2009-09-30,884.426
2009-10-30,933.508
2009-11-30,934.615
2009-12-31,954.173
2010-01-29,881.299
2010-02-26,909.47
2010-03-31,965.758
2010-04-30,955.08
2010-05-31,855.327
2010-06-30,892.865
2010-07-30,964.48
2010-08-31,971.384
2010-09-30,1072.482
2010-10-29,1090.047
2010-11-30,1114.15
2010-12-31,1151.165
2011-01-31,1161.263
2011-02-28,1084.944
2011-03-31,1103.801
2011-04-29,1161.757
2011-05-31,1181.237
2011-06-30,1125.077
2011-07-29,1135.928
2011-08-31,1052.722
2011-09-30,856.843
2011-10-31,963.24
2011-11-30,892.979
2011-12-30,910.41
2012-01-31,1005.37
2012-02-29,1121.107
2012-03-30,1086.233
2012-04-30,1116.649
2012-05-31,1005.243
2012-06-29,1046.464
2012-07-31,1094.165
2012-08-31,1104.644
2012-09-28,1203.499
2012-10-31,1226.9
2012-11-30,1308.054
2012-12-31,1308.695
2013-01-31,1422.969
2013-02-28,1427.079
2013-03-29,1370.672
2013-04-30,1409.125
2013-05-31,1399.077
2013-06-28,1302.304
2013-07-31,1300.84
2013-08-30,1273.634
2013-09-30,1343.824
2013-10-31,1347.244
2013-11-29,1348.5
2013-12-31,1345.136
2014-01-31,1262.126
2014-02-28,1304.097
2014-03-31,1294.61
2014-04-30,1326.169
2014-05-30,1374.413
2014-06-30,1410.422
2014-07-31,1475.538
2014-08-29,1485.042
2014-09-30,1410.928
2014-10-31,1465.749
2014-11-28,1513.084
2014-12-31,1474.109
2015-01-30,1539.374
2015-02-27,1511.864
2015-03-31,1468.387
2015-04-30,1563.819
2015-05-29,1520.348
2015-06-30,1460.845
2015-07-31,1449.854
2015-08-31,1281.102
