Date,AUSTRALIA MID GROWTH Mid Cap
1994-05-31,379.163
1994-06-30,352.857
1994-07-29,376.101
1994-08-31,391.855
1994-09-30,380.862
1994-10-31,381.653
1994-11-30,354.423
1994-12-30,353.319
1995-01-31,321.206
1995-02-28,314.316
1995-03-31,313.561
1995-04-28,344.924
1995-05-31,329.267
1995-06-30,328.693
1995-07-31,350.478
1995-08-31,364.414
1995-09-29,374.462
1995-10-31,360.357
1995-11-30,380.809
1995-12-29,388.92
1996-01-31,421.235
1996-02-29,432.697
1996-03-29,435.148
1996-04-30,457.878
1996-05-31,459.516
1996-06-28,442.004
1996-07-31,418.177
1996-08-30,456.151
1996-09-30,451.333
1996-10-31,466.882
1996-11-29,471.979
1996-12-31,467.515
1997-01-31,447.234
1997-02-28,465.346
1997-03-31,459.931
1997-04-30,469.872
1997-05-30,475.459
1997-06-30,479.163
1997-07-31,470.932
1997-08-29,430.708
1997-09-30,447.503
1997-10-31,362.209
1997-11-28,337.799
1997-12-31,346.145
1998-01-30,358.984
1998-02-27,361.879
1998-03-31,352.023
1998-04-30,344.859
1998-05-29,324.695
1998-06-30,292.681
1998-07-31,297.47
1998-08-31,260.169
1998-09-30,291.928
1998-10-30,315.02
1998-11-30,326.649
1998-12-31,320.838
1999-01-29,339.125
1999-02-26,340.153
1999-03-31,360.499
1999-04-30,376.153
1999-05-31,342.042
1999-06-30,355.265
1999-07-30,364.18
1999-08-31,377.177
1999-09-30,374.19
1999-10-29,362.56
1999-11-30,372.206
1999-12-31,405.219
2000-01-31,378.926
2000-02-29,354.37
2000-03-31,375.363
2000-04-28,316.987
2000-05-31,303.661
2000-06-30,365.118
2000-07-31,353.634
2000-08-31,361.871
2000-09-29,338.624
2000-10-31,324.257
2000-11-30,334.413
2000-12-29,359.703
2001-01-31,354.128
2001-02-28,321.121
2001-03-30,296.151
2001-04-30,322.659
2001-05-31,325.253
2001-06-29,354.672
2001-07-31,347.93
2001-08-31,365.964
2001-09-28,311.712
2001-10-31,339.205
2001-11-30,349.622
2001-12-31,350.99
2002-01-31,324.813
2002-02-28,309.441
2002-03-29,320.657
2002-04-30,304.975
2002-05-31,310.87
2002-06-28,289.803
2002-07-31,259.608
2002-08-30,259.622
2002-09-30,238.575
2002-10-31,232.808
2002-11-29,246.269
2002-12-31,247.546
2003-01-31,243.061
2003-02-28,236.532
2003-03-31,241.971
2003-04-30,270.822
2003-05-30,259.34
2003-06-30,268.389
2003-07-31,279.552
2003-08-29,293.58
2003-09-30,313.86
2003-10-31,354.187
2003-11-28,352.1
2003-12-31,389.62
2004-01-30,379.315
2004-02-27,399.201
2004-03-31,404.034
2004-04-30,380.489
2004-05-31,384.013
2004-06-30,386.545
2004-07-30,398.495
2004-08-31,420.894
2004-09-30,445.675
2004-10-29,479.065
