Date,AUSTRALIA MID GROWTH Mid Cap
1994-05-31,342.892
1994-06-30,319.102
1994-07-29,340.241
1994-08-31,354.724
1994-09-30,345.163
1994-10-31,346.383
1994-11-30,321.835
1994-12-30,320.832
1995-01-31,291.672
1995-02-28,285.748
1995-03-31,285.412
1995-04-28,314.133
1995-05-31,300.064
1995-06-30,299.641
1995-07-31,319.5
1995-08-31,332.62
1995-09-29,342.725
1995-10-31,330.361
1995-11-30,349.185
1995-12-29,356.622
1996-01-31,386.254
1996-02-29,397.377
1996-03-29,400.168
1996-04-30,421.588
1996-05-31,423.157
1996-06-28,407.031
1996-07-31,385.088
1996-08-30,420.501
1996-09-30,416.792
1996-10-31,432.201
1996-11-29,436.919
1996-12-31,432.937
1997-01-31,414.156
1997-02-28,431.059
1997-03-31,426.847
1997-04-30,436.364
1997-05-30,441.553
1997-06-30,444.993
1997-07-31,437.349
1997-08-29,400.012
1997-09-30,416.724
1997-10-31,337.905
1997-11-28,315.133
1997-12-31,322.918
1998-01-30,334.896
1998-02-27,337.632
1998-03-31,329.401
1998-04-30,322.813
1998-05-29,303.985
1998-06-30,274.272
1998-07-31,278.759
1998-08-31,243.805
1998-09-30,274.791
1998-10-30,296.591
1998-11-30,307.905
1998-12-31,302.458
1999-01-29,319.698
1999-02-26,320.667
1999-03-31,340.876
1999-04-30,355.703
1999-05-31,323.447
1999-06-30,336.009
1999-07-30,344.441
1999-08-31,357.024
1999-09-30,354.843
1999-10-29,343.815
1999-11-30,352.962
1999-12-31,384.471
2000-01-31,359.524
2000-02-29,336.316
2000-03-31,356.625
2000-04-28,301.19
2000-05-31,288.529
2000-06-30,346.923
2000-07-31,336.012
2000-08-31,343.838
2000-09-29,322.055
2000-10-31,308.391
2000-11-30,318.327
2000-12-29,342.401
2001-01-31,337.094
2001-02-28,305.674
2001-03-30,282.471
2001-04-30,307.83
2001-05-31,310.306
2001-06-29,338.581
2001-07-31,332.146
2001-08-31,349.491
2001-09-28,298.028
2001-10-31,324.442
2001-11-30,334.599
2001-12-31,336.173
2002-01-31,311.102
2002-02-28,296.46
2002-03-29,307.381
2002-04-30,292.432
2002-05-31,298.309
2002-06-28,278.457
2002-07-31,249.444
2002-08-30,249.647
2002-09-30,229.794
2002-10-31,224.24
2002-11-29,237.529
2002-12-31,238.761
2003-01-31,234.435
2003-02-28,228.332
2003-03-31,234.606
2003-04-30,262.62
2003-05-30,251.485
2003-06-30,260.329
2003-07-31,271.417
2003-08-29,285.247
2003-09-30,305.27
2003-10-31,344.668
2003-11-28,342.976
2003-12-31,379.523
2004-01-30,369.485
2004-02-27,389.099
2004-03-31,394.449
2004-04-30,371.505
2004-05-31,375.028
2004-06-30,377.772
2004-07-30,389.451
2004-08-31,411.781
2004-09-30,436.938
2004-10-29,469.673
2004-11-30,504.447
2004-12-31,533.577
2005-01-31,542.558
2005-02-28,559.022
2005-03-31,554.066
2005-04-29,529.185
2005-05-31,510.873
2005-06-30,556.138
2005-07-29,562.546
2005-08-31,575.828
2005-09-30,606.429
2005-10-31,557.406
2005-11-30,594.991
2005-12-30,616.186
2006-01-31,638.385
2006-02-28,624.334
2006-03-31,640.308
2006-04-28,697.781
2006-05-31,655.393
2006-06-30,653.034
2006-07-31,659.533
2006-08-31,644.003
2006-09-29,655.917
2006-10-31,726.9
2006-11-30,787.822
2006-12-29,815.078
2007-01-31,797.651
2007-02-28,854.337
2007-03-30,921.764
2007-04-30,985.215
2007-05-31,1000.0
2007-06-29,1028.221
2007-07-31,1011.862
2007-08-31,966.072
2007-09-28,1138.443
2007-10-31,1210.14
2007-11-30,1160.616
2007-12-31,1128.025
2008-01-31,1044.561
2008-02-29,1108.657
2008-03-31,1015.465
2008-04-30,1132.115
2008-05-30,1159.909
2008-06-30,1118.81
2008-07-31,1036.729
2008-08-29,1004.577
2008-09-30,795.819
2008-10-31,545.825
2008-11-28,471.194
2008-12-31,523.738
2009-01-30,472.051
2009-02-27,441.307
2009-03-31,498.47
2009-04-30,579.113
2009-05-29,655.597
2009-06-30,668.495
2009-07-31,730.259
2009-08-31,790.559
2009-09-30,867.077
2009-10-30,869.383
2009-11-30,896.851
2009-12-31,937.931
2010-01-29,854.396
2010-02-26,853.828
2010-03-31,933.146
2010-04-30,929.355
2010-05-31,780.825
2010-06-30,750.656
2010-07-30,829.014
2010-08-31,799.393
2010-09-30,904.63
2010-10-29,919.681
2010-11-30,904.937
2010-12-31,1026.558
2011-01-31,992.413
2011-02-28,1054.917
2011-03-31,1061.343
2011-04-29,1083.047
2011-05-31,1050.766
2011-06-30,1012.61
2011-07-29,1048.913
2011-08-31,965.942
2011-09-30,775.935
2011-10-31,914.956
2011-11-30,850.978
2011-12-30,851.977
2012-01-31,934.562
2012-02-29,974.744
2012-03-30,950.662
2012-04-30,949.638
