Date,AUSTRALIA MID GROWTH Mid Cap
2001-01-01,359.703
2001-01-02,363.191
2001-01-03,367.651
2001-01-04,370.769
2001-01-05,372.847
2001-01-08,364.579
2001-01-09,356.823
2001-01-10,351.154
2001-01-11,346.899
2001-01-12,345.473
2001-01-15,341.198
2001-01-16,340.742
2001-01-17,344.356
2001-01-18,352.196
2001-01-19,357.344
2001-01-22,355.223
2001-01-23,352.039
2001-01-24,345.538
2001-01-25,347.113
2001-01-26,346.158
2001-01-29,348.671
2001-01-30,352.522
2001-01-31,354.128
2001-02-01,358.139
2001-02-02,352.797
2001-02-05,350.331
2001-02-06,350.076
2001-02-07,346.842
2001-02-08,344.068
2001-02-09,337.521
2001-02-12,338.031
2001-02-13,334.692
2001-02-14,330.128
2001-02-15,324.663
2001-02-16,327.463
2001-02-19,320.656
2001-02-20,317.7
2001-02-21,323.166
2001-02-22,319.901
2001-02-23,317.83
2001-02-26,321.405
2001-02-27,322.822
2001-02-28,321.121
2001-03-01,326.306
2001-03-02,327.284
2001-03-05,324.532
2001-03-06,323.718
2001-03-07,319.871
2001-03-08,317.481
2001-03-09,315.485
2001-03-12,312.444
2001-03-13,304.376
2001-03-14,303.464
2001-03-15,298.287
2001-03-16,298.145
2001-03-19,297.524
2001-03-20,298.266
2001-03-21,294.67
2001-03-22,293.006
2001-03-23,292.277
2001-03-26,296.928
2001-03-27,303.879
2001-03-28,301.514
2001-03-29,299.318
2001-03-30,296.151
2001-04-02,297.182
2001-04-03,297.507
2001-04-04,303.571
2001-04-05,306.134
2001-04-06,309.468
2001-04-09,309.898
2001-04-10,311.325
2001-04-11,313.83
2001-04-12,315.717
2001-04-13,315.717
2001-04-16,316.712
2001-04-17,311.391
2001-04-18,304.581
2001-04-19,315.679
2001-04-20,317.886
2001-04-23,311.126
2001-04-24,307.65
2001-04-25,308.382
2001-04-26,315.958
2001-04-27,317.574
2001-04-30,322.659
2001-05-01,324.266
2001-05-02,326.307
2001-05-03,327.188
2001-05-04,328.254
2001-05-07,328.8
2001-05-08,325.876
2001-05-09,330.351
2001-05-10,338.3
2001-05-11,340.32
2001-05-14,335.039
2001-05-15,335.852
2001-05-16,339.156
2001-05-17,346.306
2001-05-18,340.612
2001-05-21,344.279
2001-05-22,339.857
2001-05-23,337.95
2001-05-24,336.08
2001-05-25,336.27
2001-05-28,336.644
2001-05-29,332.487
2001-05-30,330.965
2001-05-31,325.253
2001-06-01,329.982
2001-06-04,332.769
2001-06-05,334.408
2001-06-06,334.715
2001-06-07,340.102
2001-06-08,342.027
2001-06-11,341.341
2001-06-12,338.222
2001-06-13,345.344
2001-06-14,346.99
2001-06-15,344.011
2001-06-18,337.602
2001-06-19,338.849
2001-06-20,339.584
2001-06-21,341.494
2001-06-22,339.827
2001-06-25,342.929
2001-06-26,344.673
2001-06-27,349.15
2001-06-28,345.6
2001-06-29,354.672
2001-07-02,348.229
2001-07-03,351.953
2001-07-04,355.018
2001-07-05,352.75
2001-07-06,345.651
2001-07-09,342.627
2001-07-10,346.636
2001-07-11,346.405
2001-07-12,351.617
2001-07-13,357.544
2001-07-16,360.162
2001-07-17,355.002
2001-07-18,359.973
2001-07-19,359.355
2001-07-20,354.505
2001-07-23,352.892
2001-07-24,349.708
2001-07-25,347.391
2001-07-26,342.912
2001-07-27,342.92
2001-07-30,345.188
2001-07-31,347.93
2001-08-01,356.954
2001-08-02,362.577
