Date,AUSTRALIA LARGE GROWTH Large Cap
2007-06-29,1046.176
2007-07-31,1041.257
2007-08-31,1032.586
2007-09-28,1228.024
2007-10-31,1328.125
2007-11-30,1238.772
2007-12-31,1199.88
2008-01-31,1084.895
2008-02-29,1172.981
2008-03-31,1082.707
2008-04-30,1202.321
2008-05-30,1264.737
2008-06-30,1249.206
2008-07-31,1115.309
2008-08-29,1076.719
2008-09-30,819.858
2008-10-31,618.327
2008-11-28,590.423
2008-12-31,628.512
2009-01-30,560.292
2009-02-27,551.466
2009-03-31,642.92
2009-04-30,711.098
2009-05-29,781.858
2009-06-30,810.649
2009-07-31,884.026
2009-08-31,925.29
2009-09-30,1012.741
2009-10-30,1027.035
2009-11-30,1077.056
2009-12-31,1091.338
2010-01-29,1001.094
2010-02-26,1057.126
2010-03-31,1156.626
2010-04-30,1118.574
2010-05-31,933.718
2010-06-30,915.811
2010-07-30,1027.459
2010-08-31,982.569
2010-09-30,1134.245
2010-10-29,1184.859
2010-11-30,1156.118
2010-12-31,1282.63
2011-01-31,1231.611
2011-02-28,1284.151
2011-03-31,1330.493
2011-04-29,1394.509
2011-05-31,1340.993
2011-06-30,1313.985
2011-07-29,1288.057
2011-08-31,1213.403
2011-09-30,1021.972
2011-10-31,1178.593
2011-11-30,1095.537
2011-12-30,1059.278
2012-01-31,1171.428
2012-02-29,1205.045
2012-03-30,1139.701
2012-04-30,1149.772
2012-05-31,997.014
2012-06-29,1040.514
2012-07-31,1098.372
2012-08-31,1101.551
2012-09-28,1147.565
2012-10-31,1172.815
2012-11-30,1188.797
2012-12-31,1230.773
2013-01-31,1277.285
2013-02-28,1319.741
2013-03-29,1274.377
2013-04-30,1302.456
2013-05-31,1178.494
2013-06-28,1080.994
2013-07-31,1129.824
2013-08-30,1155.882
2013-09-30,1228.39
2013-10-31,1295.297
2013-11-29,1243.389
2013-12-31,1225.985
2014-01-31,1161.762
2014-02-28,1240.163
2014-03-31,1275.625
2014-04-30,1298.495
2014-05-30,1317.582
2014-06-30,1297.645
2014-07-31,1335.719
2014-08-29,1346.223
2014-09-30,1204.532
2014-10-31,1253.189
2014-11-28,1156.169
2014-12-31,1117.718
2015-01-30,1094.412
2015-02-27,1173.67
2015-03-31,1132.706
2015-04-30,1168.418
2015-05-29,1135.056
2015-06-30,1090.86
2015-07-31,1099.102
2015-08-31,969.818
2015-09-30,935.421
2015-10-30,988.458
2015-11-30,1017.76
2015-12-31,1071.475
2016-01-29,997.071
2016-02-29,983.796
2016-03-31,1096.151
2016-04-29,1102.676
2016-05-31,1093.24
2016-06-30,1099.575
2016-07-29,1181.975
2016-08-31,1119.751
2016-09-30,1141.593
2016-10-31,1091.005
2016-11-30,1082.128
2016-12-30,1095.49
2017-01-31,1153.01
2017-02-28,1177.705
2017-03-31,1203.515
2017-04-28,1188.038
2017-05-31,1176.677
2017-06-30,1202.391
2017-07-31,1250.176
2017-08-31,1269.138
2017-09-29,1241.002
2017-10-31,1254.2
2017-11-30,1285.334
2017-12-29,1364.318
2018-01-31,1413.906
2018-02-28,1365.615
2018-03-30,1306.514
2018-04-30,1375.986
2018-05-31,1431.836
2018-06-29,1465.018
2018-07-31,1480.727
2018-08-31,1483.848
2018-09-28,1440.944
2018-10-31,1343.386
2018-11-30,1335.718
2018-12-31,1322.3
