Date,AUSTRALIA LARGE GROWTH Large Cap
2001-01-01,311.506
2001-01-02,318.736
2001-01-03,317.257
2001-01-04,331.832
2001-01-05,338.611
2001-01-08,331.363
2001-01-09,327.902
2001-01-10,323.96
2001-01-11,323.616
2001-01-12,328.242
2001-01-15,333.301
2001-01-16,335.483
2001-01-17,334.857
2001-01-18,341.058
2001-01-19,344.261
2001-01-22,344.772
2001-01-23,337.254
2001-01-24,331.456
2001-01-25,335.38
2001-01-26,334.456
2001-01-29,332.179
2001-01-30,336.704
2001-01-31,338.67
2001-02-01,345.579
2001-02-02,341.97
2001-02-05,331.433
2001-02-06,333.499
2001-02-07,332.45
2001-02-08,331.867
2001-02-09,329.024
2001-02-12,333.802
2001-02-13,333.548
2001-02-14,331.21
2001-02-15,321.595
2001-02-16,326.678
2001-02-19,321.315
2001-02-20,315.953
2001-02-21,319.149
2001-02-22,312.267
2001-02-23,309.488
2001-02-26,308.08
2001-02-27,308.112
2001-02-28,309.158
2001-03-01,312.961
2001-03-02,310.806
2001-03-05,306.153
2001-03-06,302.108
2001-03-07,306.03
2001-03-08,306.166
2001-03-09,304.291
2001-03-12,303.619
2001-03-13,292.088
2001-03-14,290.996
2001-03-15,288.94
2001-03-16,291.816
2001-03-19,290.66
2001-03-20,291.894
2001-03-21,287.452
2001-03-22,283.271
2001-03-23,281.88
2001-03-26,288.189
2001-03-27,287.943
2001-03-28,285.639
2001-03-29,282.115
2001-03-30,275.866
2001-04-02,277.955
2001-04-03,274.201
2001-04-04,275.767
2001-04-05,279.05
2001-04-06,286.258
2001-04-09,285.566
2001-04-10,289.308
2001-04-11,299.642
2001-04-12,304.253
2001-04-13,304.253
2001-04-16,305.212
2001-04-17,302.9
2001-04-18,299.685
2001-04-19,313.396
2001-04-20,314.429
2001-04-23,308.493
2001-04-24,305.294
2001-04-25,306.021
2001-04-26,308.754
2001-04-27,307.969
2001-04-30,312.444
2001-05-01,316.112
2001-05-02,319.842
2001-05-03,323.055
2001-05-04,317.981
2001-05-07,319.517
2001-05-08,318.434
2001-05-09,318.56
2001-05-10,323.928
2001-05-11,318.076
2001-05-14,316.219
2001-05-15,316.597
2001-05-16,313.55
2001-05-17,320.818
2001-05-18,318.652
2001-05-21,322.372
2001-05-22,318.285
2001-05-23,313.479
2001-05-24,309.247
2001-05-25,315.704
2001-05-28,315.14
2001-05-29,311.332
2001-05-30,308.818
2001-05-31,300.706
2001-06-01,301.312
2001-06-04,305.615
2001-06-05,307.665
2001-06-06,310.507
2001-06-07,315.164
2001-06-08,319.814
2001-06-11,319.173
2001-06-12,308.122
2001-06-13,303.82
2001-06-14,309.946
2001-06-15,307.547
2001-06-18,302.061
2001-06-19,296.95
2001-06-20,296.808
2001-06-21,295.722
2001-06-22,300.524
2001-06-25,296.166
2001-06-26,298.361
2001-06-27,294.038
2001-06-28,290.649
2001-06-29,295.869
2001-07-02,295.861
2001-07-03,301.728
2001-07-04,300.337
2001-07-05,293.339
2001-07-06,282.829
2001-07-09,285.918
2001-07-10,287.526
2001-07-11,288.186
2001-07-12,287.303
2001-07-13,287.982
2001-07-16,291.373
2001-07-17,286.339
2001-07-18,288.694
2001-07-19,287.054
2001-07-20,281.984
2001-07-23,282.863
2001-07-24,282.107
2001-07-25,278.936
2001-07-26,275.058
2001-07-27,274.221
2001-07-30,277.824
2001-07-31,281.081
2001-08-01,289.908
2001-08-02,296.886
2001-08-03,295.354
2001-08-06,291.921
2001-08-07,291.582
2001-08-08,291.657
2001-08-09,290.617
2001-08-10,289.296
2001-08-13,287.694
2001-08-14,286.367
2001-08-15,289.261
2001-08-16,285.566
2001-08-17,289.166
2001-08-20,281.453
2001-08-21,285.365
2001-08-22,286.682
2001-08-23,284.101
2001-08-24,285.438
2001-08-27,286.416
2001-08-28,283.976
2001-08-29,282.865
2001-08-30,279.943
2001-08-31,272.549
2001-09-03,279.248
2001-09-04,276.39
2001-09-05,277.112
2001-09-06,275.317
2001-09-07,269.574
2001-09-10,265.651
2001-09-11,271.632
2001-09-12,253.741
