Date,AUSTRALIA LARGE GROWTH Large Cap
1994-05-31,276.879
1994-06-30,265.859
1994-07-29,278.889
1994-08-31,295.528
1994-09-30,281.439
1994-10-31,290.09
1994-11-30,278.317
1994-12-30,282.192
1995-01-31,260.351
1995-02-28,266.908
1995-03-31,263.979
1995-04-28,286.2
1995-05-31,281.285
1995-06-30,280.238
1995-07-31,313.476
1995-08-31,316.581
1995-09-29,309.979
1995-10-31,301.976
1995-11-30,310.35
1995-12-29,312.472
1996-01-31,314.516
1996-02-29,327.685
1996-03-29,329.871
1996-04-30,348.401
1996-05-31,342.417
1996-06-28,329.991
1996-07-31,308.5
1996-08-30,326.1
1996-09-30,319.838
1996-10-31,332.301
1996-11-29,339.988
1996-12-31,335.064
1997-01-31,318.731
1997-02-28,321.371
1997-03-31,318.786
1997-04-30,329.066
1997-05-30,338.468
1997-06-30,349.764
1997-07-31,339.635
1997-08-29,313.826
1997-09-30,325.1
1997-10-31,279.388
1997-11-28,269.966
1997-12-31,281.584
1998-01-30,304.336
1998-02-27,324.038
1998-03-31,320.686
1998-04-30,310.152
1998-05-29,296.158
1998-06-30,313.052
1998-07-31,316.093
1998-08-31,280.91
1998-09-30,301.891
1998-10-30,321.359
1998-11-30,347.752
1998-12-31,351.352
1999-01-29,386.393
1999-02-26,368.575
1999-03-31,379.652
1999-04-30,408.806
1999-05-31,379.985
1999-06-30,418.838
1999-07-30,414.105
1999-08-31,381.303
1999-09-30,384.921
1999-10-29,381.81
1999-11-30,426.346
1999-12-31,439.267
2000-01-31,433.043
2000-02-29,443.019
2000-03-31,439.652
2000-04-28,405.412
2000-05-31,376.297
2000-06-30,425.039
2000-07-31,402.738
2000-08-31,394.343
2000-09-29,379.925
2000-10-31,338.001
2000-11-30,322.933
2000-12-29,329.43
2001-01-31,358.156
2001-02-28,326.923
2001-03-30,290.913
2001-04-30,329.459
2001-05-31,317.082
2001-06-29,311.981
2001-07-31,296.388
2001-08-31,287.251
2001-09-28,262.588
2001-10-31,271.775
2001-11-30,297.534
2001-12-31,297.678
2002-01-31,286.674
2002-02-28,275.766
2002-03-29,297.486
2002-04-30,285.688
2002-05-31,294.371
2002-06-28,273.508
2002-07-31,253.302
2002-08-30,255.495
2002-09-30,241.365
2002-10-31,263.423
2002-11-29,278.596
2002-12-31,268.023
2003-01-31,271.395
2003-02-28,267.999
2003-03-31,277.779
2003-04-30,296.924
2003-05-30,308.597
2003-06-30,316.396
2003-07-31,320.362
2003-08-29,337.384
2003-09-30,343.137
2003-10-31,374.405
2003-11-28,369.916
2003-12-31,401.288
2004-01-30,394.446
2004-02-27,413.737
2004-03-31,412.585
2004-04-30,395.23
2004-05-31,398.137
2004-06-30,395.007
2004-07-30,399.022
2004-08-31,400.295
2004-09-30,431.521
2004-10-29,445.153
2004-11-30,500.559
2004-12-31,518.739
2005-01-31,525.178
2005-02-28,571.548
2005-03-31,545.076
2005-04-29,522.664
2005-05-31,527.591
2005-06-30,568.185
2005-07-29,587.951
2005-08-31,597.109
2005-09-30,649.544
2005-10-31,597.25
2005-11-30,619.033
2005-12-30,639.314
2006-01-31,700.486
2006-02-28,674.086
2006-03-31,700.366
2006-04-28,772.774
2006-05-31,733.982
2006-06-30,734.586
2006-07-31,729.292
2006-08-31,750.174
2006-09-29,721.443
2006-10-31,786.499
2006-11-30,798.422
2006-12-29,815.179
2007-01-31,823.706
2007-02-28,862.785
2007-03-30,926.833
2007-04-30,971.947
2007-05-31,1000.0
2007-06-29,1045.286
2007-07-31,1040.371
2007-08-31,1030.52
2007-09-28,1223.548
2007-10-31,1323.284
2007-11-30,1233.071
2007-12-31,1194.358
2008-01-31,1079.902
2008-02-29,1165.227
2008-03-31,1074.305
2008-04-30,1192.991
2008-05-30,1254.281
2008-06-30,1238.879
2008-07-31,1106.089
2008-08-29,1067.133
2008-09-30,809.993
2008-10-31,610.887
2008-11-28,583.065
2008-12-31,620.68
2009-01-30,553.31
2009-02-27,544.594
2009-03-31,634.878
2009-04-30,702.203
2009-05-29,772.078
2009-06-30,800.508
2009-07-31,872.968
2009-08-31,913.716
2009-09-30,1000.073
2009-10-30,1014.188
2009-11-30,1063.583
2009-12-31,1077.686
2010-01-29,988.571
2010-02-26,1043.903
2010-03-31,1142.158
2010-04-30,1104.582
2010-05-31,922.038
2010-06-30,904.355
2010-07-30,1014.607
2010-08-31,970.235
2010-09-30,1120.007
2010-10-29,1169.986
2010-11-30,1141.605
2010-12-31,1266.529
2011-01-31,1216.15
2011-02-28,1268.032
2011-03-31,1313.555
2011-04-29,1376.757
2011-05-31,1323.922
2011-06-30,1297.258
2011-07-29,1271.66
2011-08-31,1197.719
2011-09-30,1008.749
2011-10-31,1163.343
2011-11-30,1081.361
2011-12-30,1045.572
2012-01-31,1156.27
2012-02-29,1189.293
2012-03-30,1124.531
2012-04-30,1134.468
2012-05-31,983.742
2012-06-29,1026.663
2012-07-31,1083.751
2012-08-31,1086.888
2012-09-28,1132.234
2012-10-31,1157.147
2012-11-30,1172.915
2012-12-31,1214.33
2013-01-31,1260.221
2013-02-28,1302.11
2013-03-29,1257.32
2013-04-30,1285.023
2013-05-31,1162.72
2013-06-28,1066.525
2013-07-31,1114.701
2013-08-30,1140.41
2013-09-30,1211.917
2013-10-31,1277.927
2013-11-29,1226.715
2013-12-31,1209.544
2014-01-31,1146.183
2014-02-28,1223.314
2014-03-31,1258.264
2014-04-30,1280.823
2014-05-30,1299.65
2014-06-30,1279.985
2014-07-31,1317.541
2014-08-29,1327.676
2014-09-30,1187.912
2014-10-31,1235.897
2014-11-28,1140.216
2014-12-31,1102.091
2015-01-30,1079.111
2015-02-27,1157.073
2015-03-31,1116.666
2015-04-30,1151.873
2015-05-29,1118.983
2015-06-30,1075.184
2015-07-31,1083.308
2015-08-31,955.791
2015-09-30,921.868
2015-10-30,974.137
2015-11-30,1003.014
2015-12-31,1055.67
2016-01-29,982.363
2016-02-29,969.036
2016-03-31,1079.673
2016-04-29,1086.1
2016-05-31,1076.806
2016-06-30,1082.586
2016-07-29,1163.712
2016-08-31,1102.194
2016-09-30,1123.685
2016-10-31,1073.891
2016-11-30,1065.153
2016-12-30,1077.843
2017-01-31,1134.436
2017-02-28,1158.152
2017-03-31,1183.513
2017-04-28,1168.293
2017-05-31,1157.127
2017-06-30,1181.913
2017-07-31,1228.886
2017-08-31,1247.262
2017-09-29,1219.566
2017-10-31,1232.537
2017-11-30,1263.133
2017-12-29,1340.124
2018-01-31,1388.833
2018-02-28,1341.222
2018-03-30,1283.135
2018-04-30,1351.363
2018-05-31,1406.214
2018-06-29,1438.067
2018-07-31,1453.487
2018-08-31,1456.551
2018-09-28,1414.268
2018-10-31,1318.516
2018-11-30,1310.99
2018-12-31,1296.732
2019-01-31,1417.496
2019-02-28,1454.038
2019-03-29,1487.484
2019-04-30,1498.043
2019-05-31,1484.393
2019-06-28,1587.402
2019-07-31,1623.795
2019-08-30,1584.465
2019-09-30,1588.786
2019-10-31,1655.051
2019-11-29,1716.004
