Date,AUSTRALIA LARGE GROWTH Large Cap
2001-01-01,329.43
2001-01-02,337.076
2001-01-03,335.512
2001-01-04,350.925
2001-01-05,358.094
2001-01-08,350.429
2001-01-09,346.769
2001-01-10,342.6
2001-01-11,342.236
2001-01-12,347.128
2001-01-15,352.478
2001-01-16,354.787
2001-01-17,354.125
2001-01-18,360.682
2001-01-19,364.07
2001-01-22,364.609
2001-01-23,356.659
2001-01-24,350.528
2001-01-25,354.677
2001-01-26,353.701
2001-01-29,351.292
2001-01-30,356.077
2001-01-31,358.156
2001-02-01,365.463
2001-02-02,361.647
2001-02-05,350.504
2001-02-06,352.688
2001-02-07,351.578
2001-02-08,350.963
2001-02-09,347.955
2001-02-12,353.008
2001-02-13,352.74
2001-02-14,350.267
2001-02-15,340.099
2001-02-16,345.475
2001-02-19,339.803
2001-02-20,334.132
2001-02-21,337.512
2001-02-22,330.211
2001-02-23,327.272
2001-02-26,325.783
2001-02-27,325.817
2001-02-28,326.923
2001-03-01,330.945
2001-03-02,328.666
2001-03-05,323.7
2001-03-06,319.424
2001-03-07,323.571
2001-03-08,323.714
2001-03-09,321.625
2001-03-12,320.914
2001-03-13,308.567
2001-03-14,307.413
2001-03-15,305.241
2001-03-16,308.279
2001-03-19,306.649
2001-03-20,307.951
2001-03-21,303.265
2001-03-22,298.854
2001-03-23,297.349
2001-03-26,304.004
2001-03-27,303.7
2001-03-28,301.27
2001-03-29,297.503
2001-03-30,290.913
2001-04-02,293.116
2001-04-03,289.157
2001-04-04,290.809
2001-04-05,294.271
2001-04-06,301.872
2001-04-09,301.142
2001-04-10,305.088
2001-04-11,315.985
2001-04-12,320.848
2001-04-13,320.848
2001-04-16,321.859
2001-04-17,319.422
2001-04-18,316.031
2001-04-19,330.49
2001-04-20,331.579
2001-04-23,325.293
2001-04-24,321.92
2001-04-25,322.687
2001-04-26,325.569
2001-04-27,324.74
2001-04-30,329.459
2001-05-01,333.327
2001-05-02,337.26
2001-05-03,340.648
2001-05-04,335.298
2001-05-07,336.917
2001-05-08,335.776
2001-05-09,335.909
2001-05-10,341.568
2001-05-11,335.398
2001-05-14,333.439
2001-05-15,333.839
2001-05-16,330.625
2001-05-17,338.289
2001-05-18,336.005
2001-05-21,339.928
2001-05-22,335.618
2001-05-23,330.55
2001-05-24,326.088
2001-05-25,332.896
2001-05-28,332.302
2001-05-29,328.287
2001-05-30,325.635
2001-05-31,317.082
2001-06-01,317.721
2001-06-04,322.258
2001-06-05,324.42
2001-06-06,327.416
2001-06-07,332.327
2001-06-08,337.231
2001-06-11,336.555
2001-06-12,324.901
2001-06-13,320.365
2001-06-14,326.825
2001-06-15,324.296
2001-06-18,318.51
2001-06-19,313.121
2001-06-20,312.972
2001-06-21,311.826
2001-06-22,316.89
2001-06-25,312.295
2001-06-26,314.61
2001-06-27,310.051
2001-06-28,306.478
2001-06-29,311.981
2001-07-02,311.973
2001-07-03,318.16
2001-07-04,316.693
2001-07-05,309.314
2001-07-06,298.232
2001-07-09,301.489
2001-07-10,303.184
2001-07-11,303.88
2001-07-12,302.949
2001-07-13,303.665
2001-07-16,307.24
