Date,ISRAEL SMALL VALUE Small Cap
2002-05-31,278.741
2002-06-03,280.972
2002-06-04,279.643
2002-06-05,278.721
2002-06-06,276.523
2002-06-07,275.764
2002-06-10,274.42
2002-06-11,269.301
2002-06-12,267.008
2002-06-13,265.714
2002-06-14,264.797
2002-06-17,266.618
2002-06-18,265.325
2002-06-19,260.375
2002-06-20,252.512
2002-06-21,252.468
2002-06-24,246.276
2002-06-25,255.214
2002-06-26,252.02
2002-06-27,257.68
2002-06-28,261.343
2002-07-01,257.637
2002-07-02,252.825
2002-07-03,249.702
2002-07-04,248.941
2002-07-05,250.6
2002-07-08,253.098
2002-07-09,256.434
2002-07-10,261.89
2002-07-11,258.469
2002-07-12,260.21
2002-07-15,268.125
2002-07-16,267.081
2002-07-17,275.479
2002-07-18,274.762
2002-07-19,274.045
2002-07-22,275.068
2002-07-23,269.131
2002-07-24,259.538
2002-07-25,256.922
2002-07-26,256.406
2002-07-29,264.318
2002-07-30,265.075
2002-07-31,266.356
2002-08-01,262.527
2002-08-02,262.066
2002-08-05,254.447
2002-08-06,255.546
2002-08-07,259.47
2002-08-08,259.879
2002-08-09,260.833
2002-08-12,258.434
2002-08-13,254.819
2002-08-14,257.479
2002-08-15,259.523
2002-08-16,259.234
2002-08-19,269.499
2002-08-20,273.231
2002-08-21,276.422
2002-08-22,275.121
2002-08-23,273.908
2002-08-26,277.876
2002-08-27,276.732
2002-08-28,273.227
2002-08-29,271.187
2002-08-30,271.203
2002-09-02,266.263
2002-09-03,262.229
2002-09-04,261.91
2002-09-05,260.18
2002-09-06,261.857
2002-09-09,263.05
2002-09-10,262.991
2002-09-11,264.018
2002-09-12,261.449
2002-09-13,260.987
2002-09-16,260.76
2002-09-17,261.524
2002-09-18,254.006
2002-09-19,250.537
2002-09-20,249.009
2002-09-23,242.065
2002-09-24,237.662
2002-09-25,235.016
2002-09-26,235.933
2002-09-27,235.69
2002-09-30,231.028
2002-10-01,231.838
2002-10-02,231.779
2002-10-03,229.573
2002-10-04,227.993
2002-10-07,221.341
2002-10-08,223.38
2002-10-09,223.454
2002-10-10,222.871
2002-10-11,224.541
2002-10-14,221.213
2002-10-15,226.682
2002-10-16,221.701
2002-10-17,227.963
2002-10-18,228.338
2002-10-21,228.301
2002-10-22,226.197
2002-10-23,224.839
2002-10-24,226.295
2002-10-25,225.459
2002-10-28,221.463
2002-10-29,219.388
2002-10-30,223.52
2002-10-31,219.503
2002-11-01,223.266
2002-11-04,225.014
2002-11-05,230.035
2002-11-06,237.87
2002-11-07,234.981
2002-11-08,235.094
2002-11-11,236.139
2002-11-12,233.821
2002-11-13,233.949
2002-11-14,237.042
2002-11-15,236.987
