Date,ISRAEL SMALL VALUE Small Cap
2002-05-31,278.741
2002-06-28,261.343
2002-07-31,266.356
2002-08-30,271.203
2002-09-30,231.028
2002-10-31,219.503
2002-11-29,260.993
2002-12-31,232.177
2003-01-31,220.498
2003-02-28,225.942
2003-03-31,246.813
2003-04-30,291.13
2003-05-30,339.814
2003-06-30,366.892
2003-07-31,337.302
2003-08-29,331.335
2003-09-30,358.946
2003-10-31,392.154
2003-11-28,439.313
2003-12-31,468.932
2004-01-30,487.159
2004-02-27,487.288
2004-03-31,485.694
2004-04-30,482.866
2004-05-31,477.552
2004-06-30,530.756
2004-07-30,494.366
2004-08-31,483.482
2004-09-30,494.036
2004-10-29,478.266
2004-11-30,530.559
2004-12-31,571.53
2005-01-31,588.052
2005-02-28,625.997
2005-03-31,612.57
2005-04-29,620.414
2005-05-31,626.958
2005-06-30,575.014
2005-07-29,616.588
2005-08-31,623.427
2005-09-30,637.378
2005-10-31,620.272
2005-11-30,639.362
2005-12-30,660.458
2006-01-31,695.903
2006-02-28,674.922
2006-03-31,696.116
2006-04-28,765.228
2006-05-31,766.296
2006-06-30,720.142
2006-07-31,733.167
2006-08-31,752.288
2006-09-29,781.418
2006-10-31,845.874
2006-11-30,878.747
2006-12-29,860.455
2007-01-31,882.731
2007-02-28,877.252
2007-03-30,898.841
2007-04-30,977.244
2007-05-31,1000.0
2007-06-29,928.258
2007-07-31,891.217
2007-08-31,859.468
2007-09-28,915.322
2007-10-31,990.588
2007-11-30,966.427
2007-12-31,961.951
2008-01-31,907.434
2008-02-29,881.455
2008-03-31,847.015
2008-04-30,873.574
2008-05-30,973.632
2008-06-30,843.159
2008-07-31,811.904
2008-08-29,758.75
2008-09-30,691.319
2008-10-31,493.287
2008-11-28,445.609
2008-12-31,414.079
2009-01-30,434.248
2009-02-27,421.966
2009-03-31,464.58
2009-04-30,570.585
2009-05-29,668.619
2009-06-30,712.364
2009-07-31,849.482
2009-08-31,878.034
2009-09-30,886.926
2009-10-30,951.092
2009-11-30,960.338
2009-12-31,975.63
2010-01-29,1046.692
2010-02-26,1056.683
2010-03-31,1151.24
2010-04-30,1113.839
2010-05-31,938.305
2010-06-30,924.933
2010-07-30,982.124
2010-08-31,983.78
2010-09-30,1092.778
2010-10-29,1165.887
2010-11-30,1114.649
2010-12-31,1251.023
2011-01-31,1186.996
2011-02-28,1186.725
2011-03-31,1256.75
2011-04-29,1258.574
2011-05-31,1143.562
2011-06-30,1089.991
2011-07-29,1061.456
2011-08-31,854.451
2011-09-30,773.497
2011-10-31,895.894
2011-11-30,794.15
2011-12-30,756.084
2012-01-31,812.45
2012-02-29,766.316
2012-03-30,820.299
2012-04-30,825.781
2012-05-31,704.83
2012-06-29,653.834
2012-07-31,614.077
2012-08-31,625.893
2012-09-28,713.789
2012-10-31,792.915
2012-11-30,844.79
2012-12-31,880.116
2013-01-31,901.972
2013-02-28,937.188
2013-03-29,968.129
2013-04-30,983.641
2013-05-31,999.604
