Date,ISRAEL SMALL VALUE Small Cap
2002-05-31,285.846
2002-06-28,267.962
2002-07-31,273.102
2002-08-30,278.062
2002-09-30,236.684
2002-10-31,224.832
2002-11-29,267.185
2002-12-31,237.536
2003-01-31,225.416
2003-02-28,230.981
2003-03-31,252.294
2003-04-30,297.401
2003-05-30,347.025
2003-06-30,374.597
2003-07-31,344.386
2003-08-29,337.796
2003-09-30,365.236
2003-10-31,398.916
2003-11-28,446.888
2003-12-31,476.058
2004-01-30,494.563
2004-02-27,494.694
2004-03-31,493.065
2004-04-30,489.195
2004-05-31,483.462
2004-06-30,537.273
2004-07-30,500.437
2004-08-31,489.31
2004-09-30,499.35
2004-10-29,483.41
2004-11-30,536.237
2004-12-31,577.232
2005-01-31,593.861
2005-02-28,632.181
2005-03-31,617.602
2005-04-29,624.665
2005-05-31,631.254
2005-06-30,578.408
2005-07-29,620.204
2005-08-31,626.961
2005-09-30,640.99
2005-10-31,623.327
2005-11-30,642.475
2005-12-30,663.674
2006-01-31,699.091
2006-02-28,678.013
2006-03-31,699.304
2006-04-28,767.968
2006-05-31,768.888
2006-06-30,722.134
2006-07-31,735.194
2006-08-31,753.942
2006-09-29,783.114
2006-10-31,847.71
2006-11-30,880.285
2006-12-29,861.422
2007-01-31,883.723
2007-02-28,878.238
2007-03-30,899.694
2007-04-30,977.422
2007-05-31,1000.0
2007-06-29,927.026
2007-07-31,889.953
2007-08-31,858.248
2007-09-28,911.968
2007-10-31,986.685
2007-11-30,962.619
2007-12-31,956.937
2008-01-31,902.49
2008-02-29,876.56
2008-03-31,841.978
2008-04-30,866.723
2008-05-30,965.996
2008-06-30,835.523
2008-07-31,804.22
2008-08-29,750.803
2008-09-30,682.46
2008-10-31,486.669
2008-11-28,439.239
2008-12-31,407.419
2009-01-30,427.25
2009-02-27,414.843
2009-03-31,456.255
2009-04-30,559.127
2009-05-29,655.192
2009-06-30,697.574
2009-07-31,831.808
2009-08-31,859.675
2009-09-30,867.855
2009-10-30,930.641
2009-11-30,938.574
2009-12-31,953.102
2010-01-29,1022.523
2010-02-26,1032.106
2010-03-31,1122.222
2010-04-30,1085.629
2010-05-31,913.663
2010-06-30,899.708
2010-07-30,955.339
2010-08-31,955.671
2010-09-30,1061.167
2010-10-29,1132.161
2010-11-30,1081.659
2010-12-31,1213.365
2011-01-31,1150.548
2011-02-28,1150.285
2011-03-31,1215.607
2011-04-29,1216.562
2011-05-31,1104.944
2011-06-30,1052.724
2011-07-29,1025.165
2011-08-31,824.618
2011-09-30,745.361
2011-10-31,862.662
2011-11-30,763.961
2011-12-30,725.29
2012-01-31,779.361
2012-02-29,734.772
2012-03-30,784.632
2012-04-30,789.477
2012-05-31,673.843
2012-06-29,624.26
2012-07-31,585.895
2012-08-31,597.054
2012-09-28,680.162
2012-10-31,755.561
2012-11-30,804.489
2012-12-31,837.535
2013-01-31,858.335
2013-02-28,891.847
2013-03-29,919.826
2013-04-30,933.74
2013-05-31,948.203
2013-06-28,922.702
2013-07-31,984.425
2013-08-30,943.754
2013-09-30,1031.42
2013-10-31,1049.698
2013-11-29,1068.78
2013-12-31,1068.498
2014-01-31,1005.824
2014-02-28,1060.978
2014-03-31,1074.004
2014-04-30,1059.123
2014-05-30,1066.295
2014-06-30,1064.725
2014-07-31,1049.782
2014-08-29,1018.172
2014-09-30,1017.005
2014-10-31,938.902
2014-11-28,908.893
2014-12-31,864.888
2015-01-30,857.552
2015-02-27,911.528
2015-03-31,928.667
2015-04-30,962.353
2015-05-29,942.507
2015-06-30,954.993
2015-07-31,1005.72
2015-08-31,926.629
2015-09-30,899.435
2015-10-30,940.894
2015-11-30,938.588
2015-12-31,906.371
2016-01-29,853.585
2016-02-29,857.471
2016-03-31,919.471
2016-04-29,946.947
2016-05-31,944.783
2016-06-30,924.056
2016-07-29,984.334
2016-08-31,1025.19
2016-09-30,1027.41
2016-10-31,1005.627
2016-11-30,1050.002
2016-12-30,1076.628
2017-01-31,1143.438
2017-02-28,1233.109
2017-03-31,1255.546
2017-04-28,1269.438
2017-05-31,1347.548
2017-06-30,1336.271
2017-07-31,1332.968
2017-08-31,1339.194
2017-09-29,1378.698
2017-10-31,1422.57
2017-11-30,1501.095
2017-12-29,1514.668
2018-01-31,1570.404
2018-02-28,1489.241
2018-03-30,1427.656
2018-04-30,1381.983
2018-05-31,1432.559
2018-06-29,1365.841
2018-07-31,1420.042
2018-08-31,1541.117
2018-09-28,1538.133
2018-10-31,1466.063
2018-11-30,1506.53
2018-12-31,1380.317
2019-01-31,1518.537
2019-02-28,1551.55
2019-03-29,1533.51
2019-04-30,1636.706
2019-05-31,1631.646
2019-06-28,1712.365
2019-07-31,1746.131
2019-08-30,1736.193
2019-09-30,1801.338
2019-10-31,1798.045
2019-11-29,1914.679
2019-12-31,1908.587
2020-01-31,1874.568
2020-02-28,1761.279
2020-03-31,1348.795
2020-04-30,1475.412
2020-05-29,1377.826
2020-06-30,1242.591
2020-07-31,1314.132
2020-08-31,1440.334
2020-09-30,1312.162
2020-10-30,1401.621
2020-11-30,1674.216
2020-12-31,1803.49
2021-01-29,1773.632
2021-02-26,1762.738
2021-03-31,1837.287
2021-04-30,1990.188
2021-05-31,2083.163
2021-06-30,2079.421
2021-07-30,2060.988
2021-08-31,2179.098
2021-09-30,2196.311
2021-10-29,2361.252
2021-11-30,2454.621
2021-12-31,2603.454
2022-01-31,2628.497
2022-02-28,2633.402
2022-03-31,2717.741
2022-04-29,2626.656
2022-05-31,2364.728
2022-06-30,2133.224
2022-07-29,2304.955
2022-08-31,2539.533
2022-09-30,2075.811
2022-10-31,2157.214
2022-11-30,2171.709
2022-12-30,1999.565
2023-01-31,2057.013
2023-02-28,1782.228
2023-03-31,1783.647
2023-04-28,1780.825
2023-05-31,1760.072
2023-06-30,1825.625
2023-07-31,1950.847
2023-08-31,1837.702
2023-09-29,1833.189
2023-10-31,1514.048
2023-11-30,1793.632
2023-12-29,1959.566
2024-01-31,1935.277
2024-02-29,2065.48
2024-03-29,2019.778
2024-04-30,1903.022
2024-05-31,1921.549
2024-06-28,1843.367
2024-07-31,1916.563
2024-08-30,2095.551
2024-09-30,2181.04
2024-10-31,2258.619
2024-11-29,2493.83
2024-12-31,2637.16
2025-01-31,2770.748
2025-02-28,2832.205
2025-03-31,2554.899
2025-04-30,2756.411
2025-05-30,3031.595
2025-06-30,3646.958
2025-07-31,3767.08
2025-08-29,3830.992
2025-09-30,3956.587
