Date,HONG KONG LARGE VALUE Large Cap
1994-05-31,332.739
1994-06-30,303.045
1994-07-29,332.087
1994-08-31,350.125
1994-09-30,337.736
1994-10-31,336.415
1994-11-30,296.383
1994-12-30,287.707
1995-01-31,258.0
1995-02-28,309.667
1995-03-31,312.273
1995-04-28,304.904
1995-05-31,353.812
1995-06-30,352.659
1995-07-31,367.359
1995-08-31,353.919
1995-09-29,377.903
1995-10-31,380.076
1995-11-30,389.308
1995-12-29,400.121
1996-01-31,452.23
1996-02-29,446.469
1996-03-29,444.741
1996-04-30,454.499
1996-05-31,468.477
1996-06-28,451.081
1996-07-31,426.213
1996-08-30,443.15
1996-09-30,471.555
1996-10-31,486.745
1996-11-29,524.919
1996-12-31,518.659
1997-01-31,521.12
1997-02-28,516.059
1997-03-31,479.864
1997-04-30,483.891
1997-05-30,557.691
1997-06-30,602.573
1997-07-31,633.047
1997-08-29,535.583
1997-09-30,554.846
1997-10-31,427.183
1997-11-28,418.492
1997-12-31,432.04
1998-01-30,358.501
1998-02-27,440.661
1998-03-31,426.464
1998-04-30,381.153
1998-05-29,324.068
1998-06-30,310.048
1998-07-31,283.992
1998-08-31,266.492
1998-09-30,310.542
1998-10-30,415.466
1998-11-30,407.773
1998-12-31,391.218
1999-01-29,359.134
1999-02-26,358.763
1999-03-31,405.426
1999-04-30,511.303
1999-05-31,464.206
1999-06-30,505.014
1999-07-30,475.563
1999-08-31,477.569
1999-09-30,453.487
1999-10-29,463.891
1999-11-30,513.22
1999-12-31,542.406
2000-01-31,471.72
2000-02-29,504.977
2000-03-31,478.389
2000-04-28,459.658
2000-05-31,436.639
2000-06-30,458.997
2000-07-31,487.511
2000-08-31,533.029
2000-09-29,515.969
2000-10-31,506.201
2000-11-30,499.932
2000-12-29,584.69
2001-01-31,584.934
2001-02-28,594.665
2001-03-30,549.052
2001-04-30,533.241
2001-05-31,524.982
2001-06-29,509.167
2001-07-31,520.439
2001-08-31,508.269
2001-09-28,429.173
2001-10-31,431.307
2001-11-30,482.442
2001-12-31,506.455
2002-01-31,496.929
2002-02-28,489.687
2002-03-29,512.035
2002-04-30,538.771
2002-05-31,521.274
2002-06-28,483.838
2002-07-31,462.637
2002-08-30,445.135
2002-09-30,418.036
2002-10-31,429.54
2002-11-29,452.064
2002-12-31,414.623
2003-01-31,420.15
2003-02-28,414.624
2003-03-31,391.024
2003-04-30,390.361
2003-05-30,429.062
2003-06-30,429.935
2003-07-31,465.895
2003-08-29,538.977
2003-09-30,563.98
2003-10-31,587.864
2003-11-28,565.315
2003-12-31,572.736
2004-01-30,635.808
2004-02-27,652.782
2004-03-31,611.256
2004-04-30,581.148
2004-05-31,583.264
2004-06-30,584.462
2004-07-30,593.034
2004-08-31,650.114
2004-09-30,650.069
2004-10-29,644.752
2004-11-30,709.925
2004-12-31,727.79
2005-01-31,692.447
2005-02-28,705.476
2005-03-31,679.863
2005-04-29,710.329
2005-05-31,717.304
2005-06-30,743.052
2005-07-29,789.235
2005-08-31,790.609
2005-09-30,808.398
2005-10-31,756.004
2005-11-30,773.224
2005-12-30,775.388
2006-01-31,797.397
2006-02-28,803.177
2006-03-31,806.222
2006-04-28,848.269
2006-05-31,801.549
2006-06-30,818.469
2006-07-31,836.18
2006-08-31,859.257
2006-09-29,848.333
2006-10-31,858.37
2006-11-30,896.6
2006-12-29,955.096
2007-01-31,980.121
2007-02-28,946.169
2007-03-30,965.425
2007-04-30,985.582
2007-05-31,1000.0
2007-06-29,995.845
2007-07-31,1065.894
2007-08-31,1046.042
2007-09-28,1145.463
2007-10-31,1294.665
2007-11-30,1245.557
2007-12-31,1271.018
2008-01-31,1177.098
2008-02-29,1135.513
2008-03-31,1097.623
2008-04-30,1165.631
2008-05-30,1200.696
2008-06-30,1119.953
2008-07-31,1099.113
2008-08-29,1060.151
2008-09-30,919.982
2008-10-31,706.382
2008-11-28,735.117
2008-12-31,751.868
2009-01-30,741.981
2009-02-27,710.99
2009-03-31,718.563
2009-04-30,828.258
2009-05-29,985.197
2009-06-30,971.237
2009-07-31,1078.986
2009-08-31,1013.051
2009-09-30,1072.33
2009-10-30,1088.911
2009-11-30,1073.529
2009-12-31,1103.306
2010-01-29,1035.63
2010-02-26,1078.537
2010-03-31,1123.53
2010-04-30,1093.213
2010-05-31,1044.548
2010-06-30,1065.332
2010-07-30,1116.298
2010-08-31,1149.449
2010-09-30,1313.627
2010-10-29,1342.888
2010-11-30,1368.337
2010-12-31,1392.658
2011-01-31,1411.873
2011-02-28,1354.344
2011-03-31,1395.106
2011-04-29,1401.988
2011-05-31,1427.802
2011-06-30,1388.647
2011-07-29,1418.606
2011-08-31,1333.461
2011-09-30,1140.964
2011-10-31,1256.137
2011-11-30,1165.448
2011-12-30,1191.819
2012-01-31,1303.402
2012-02-29,1398.615
2012-03-30,1317.555
2012-04-30,1345.215
2012-05-31,1224.028
2012-06-29,1295.572
2012-07-31,1356.683
2012-08-31,1375.452
2012-09-28,1497.358
2012-10-31,1485.505
2012-11-30,1531.797
2012-12-31,1544.061
2013-01-31,1650.12
2013-02-28,1601.31
2013-03-29,1542.499
2013-04-30,1599.191
2013-05-31,1541.802
2013-06-28,1471.506
2013-07-31,1523.652
2013-08-30,1520.626
2013-09-30,1597.244
2013-10-31,1594.7
2013-11-29,1610.5
2013-12-31,1589.215
2014-01-31,1504.807
2014-02-28,1579.533
2014-03-31,1584.139
2014-04-30,1637.449
2014-05-30,1739.645
2014-06-30,1738.446
2014-07-31,1855.736
2014-08-29,1861.576
2014-09-30,1747.701
2014-10-31,1854.75
2014-11-28,1866.22
2014-12-31,1826.314
2015-01-30,1957.834
2015-02-27,1943.695
2015-03-31,1949.148
2015-04-30,2061.489
2015-05-29,2074.698
2015-06-30,2054.456
