Date,HONG KONG LARGE VALUE Large Cap
2001-01-01,584.69
2001-01-02,576.268
2001-01-03,564.191
2001-01-04,583.222
2001-01-05,595.97
2001-01-08,592.711
2001-01-09,592.321
2001-01-10,591.611
2001-01-11,576.931
2001-01-12,578.244
2001-01-15,571.003
2001-01-16,570.119
2001-01-17,570.847
2001-01-18,574.512
2001-01-19,589.884
2001-01-22,597.942
2001-01-23,587.946
2001-01-24,587.949
2001-01-25,587.953
2001-01-26,587.946
2001-01-29,582.665
2001-01-30,577.414
2001-01-31,584.934
2001-02-01,591.224
2001-02-02,582.892
2001-02-05,575.734
2001-02-06,579.934
2001-02-07,586.115
2001-02-08,583.688
2001-02-09,581.392
2001-02-12,578.338
2001-02-13,589.267
2001-02-14,592.475
2001-02-15,589.329
2001-02-16,583.997
2001-02-19,588.317
2001-02-20,591.485
2001-02-21,592.653
2001-02-22,592.968
2001-02-23,599.306
2001-02-26,606.793
2001-02-27,597.775
2001-02-28,594.665
2001-03-01,576.022
2001-03-02,578.73
2001-03-05,590.273
2001-03-06,597.891
2001-03-07,590.771
2001-03-08,589.368
2001-03-09,583.183
2001-03-12,563.575
2001-03-13,551.411
2001-03-14,552.27
2001-03-15,563.59
2001-03-16,557.5
2001-03-19,568.529
2001-03-20,559.19
2001-03-21,549.0
2001-03-22,532.603
2001-03-23,540.819
2001-03-26,552.986
2001-03-27,548.397
2001-03-28,548.665
2001-03-29,544.813
2001-03-30,549.052
2001-04-02,543.151
2001-04-03,548.033
2001-04-04,535.423
2001-04-05,535.413
2001-04-06,535.902
2001-04-09,526.242
2001-04-10,521.703
2001-04-11,526.044
2001-04-12,532.507
2001-04-13,532.507
2001-04-16,532.49
2001-04-17,522.404
2001-04-18,527.757
2001-04-19,540.176
2001-04-20,542.808
2001-04-23,539.614
2001-04-24,534.852
2001-04-25,533.362
2001-04-26,533.662
2001-04-27,533.227
2001-04-30,533.241
2001-05-01,533.247
2001-05-02,536.056
2001-05-03,533.848
2001-05-04,527.353
2001-05-07,533.917
2001-05-08,534.573
2001-05-09,535.042
2001-05-10,538.289
2001-05-11,544.141
2001-05-14,530.157
2001-05-15,530.978
2001-05-16,537.397
2001-05-17,544.883
2001-05-18,540.144
2001-05-21,548.016
2001-05-22,552.697
2001-05-23,552.472
2001-05-24,547.588
2001-05-25,541.916
2001-05-28,541.81
2001-05-29,537.956
2001-05-30,534.63
2001-05-31,524.982
2001-06-01,525.784
2001-06-04,529.099
2001-06-05,536.862
2001-06-06,538.478
2001-06-07,541.923
2001-06-08,545.705
2001-06-11,539.656
2001-06-12,534.401
2001-06-13,529.238
2001-06-14,517.075
2001-06-15,509.23
2001-06-18,507.676
2001-06-19,514.358
2001-06-20,507.664
2001-06-21,513.021
2001-06-22,509.397
2001-06-25,509.403
2001-06-26,505.887
2001-06-27,507.197
2001-06-28,501.985
2001-06-29,509.167
2001-07-02,509.177
2001-07-03,513.51
2001-07-04,519.95
2001-07-05,516.846
2001-07-06,516.839
2001-07-09,508.42
2001-07-10,514.394
2001-07-11,515.666
2001-07-12,522.554
2001-07-13,521.969
2001-07-16,519.831
2001-07-17,517.024
2001-07-18,517.737
2001-07-19,517.136
2001-07-20,518.214
2001-07-23,516.674
2001-07-24,511.658
2001-07-25,511.648
2001-07-26,507.314
2001-07-27,510.863
2001-07-30,508.555
2001-07-31,520.439
2001-08-01,524.519
2001-08-02,520.155
2001-08-03,515.159
2001-08-06,512.236
2001-08-07,507.094
2001-08-08,497.743
2001-08-09,492.184
2001-08-10,501.911
2001-08-13,501.696
2001-08-14,508.082
2001-08-15,509.967
2001-08-16,504.288
2001-08-17,512.37
2001-08-20,514.406
2001-08-21,518.65
2001-08-22,518.472
2001-08-23,518.335
2001-08-24,514.774
2001-08-27,517.915
2001-08-28,511.766
2001-08-29,510.924
2001-08-30,512.023
2001-08-31,508.269
2001-09-03,508.782
2001-09-04,509.589
2001-09-05,501.292
2001-09-06,486.892
2001-09-07,476.688
2001-09-10,477.49
2001-09-11,479.129
2001-09-12,444.829
2001-09-13,449.007
2001-09-14,447.333
2001-09-17,427.582
2001-09-18,417.473
2001-09-19,422.308
2001-09-20,415.115
2001-09-21,399.497
2001-09-24,406.223
2001-09-25,408.869
2001-09-26,406.659
2001-09-27,419.016
2001-09-28,429.173
2001-10-01,429.22
2001-10-02,429.206
2001-10-03,434.286
2001-10-04,446.547
2001-10-05,445.657
2001-10-08,436.193
2001-10-09,447.6
2001-10-10,447.51
2001-10-11,450.985
