Date,FINLAND MID CAP Mid Cap
2001-01-01,249.804
2001-01-02,253.011
2001-01-03,242.332
2001-01-04,247.286
2001-01-05,252.431
2001-01-08,251.484
2001-01-09,241.766
2001-01-10,236.742
2001-01-11,239.928
2001-01-12,243.618
2001-01-15,242.483
2001-01-16,237.722
2001-01-17,240.454
2001-01-18,243.675
2001-01-19,243.158
2001-01-22,240.611
2001-01-23,241.867
2001-01-24,235.939
2001-01-25,231.647
2001-01-26,228.535
2001-01-29,227.284
2001-01-30,230.977
2001-01-31,233.998
2001-02-01,235.785
2001-02-02,233.569
2001-02-05,236.197
2001-02-06,238.744
2001-02-07,233.023
2001-02-08,233.181
2001-02-09,229.928
2001-02-12,230.052
2001-02-13,227.379
2001-02-14,223.204
2001-02-15,224.07
2001-02-16,224.693
2001-02-19,227.544
2001-02-20,225.428
2001-02-21,224.001
2001-02-22,220.211
2001-02-23,217.447
2001-02-26,220.41
2001-02-27,226.683
2001-02-28,225.795
2001-03-01,228.294
2001-03-02,229.957
2001-03-05,231.213
2001-03-06,234.726
2001-03-07,233.639
2001-03-08,234.657
2001-03-09,234.173
2001-03-12,232.002
2001-03-13,224.049
2001-03-14,220.574
2001-03-15,222.713
2001-03-16,217.017
2001-03-19,216.087
2001-03-20,215.941
2001-03-21,211.927
2001-03-22,202.151
2001-03-23,206.4
2001-03-26,212.812
2001-03-27,213.562
2001-03-28,212.18
2001-03-29,205.418
2001-03-30,207.923
2001-04-02,205.586
2001-04-03,205.79
2001-04-04,205.706
2001-04-05,205.406
2001-04-06,207.152
2001-04-09,208.995
2001-04-10,208.217
2001-04-11,211.334
2001-04-12,213.437
2001-04-13,213.437
2001-04-16,211.251
2001-04-17,206.81
2001-04-18,210.434
2001-04-19,215.709
2001-04-20,219.045
2001-04-23,222.041
2001-04-24,222.777
2001-04-25,223.613
2001-04-26,230.075
2001-04-27,227.772
2001-04-30,237.814
2001-05-01,239.074
2001-05-02,236.961
2001-05-03,232.874
2001-05-04,233.617
2001-05-07,232.324
2001-05-08,230.563
2001-05-09,230.796
2001-05-10,236.199
2001-05-11,234.548
2001-05-14,232.553
2001-05-15,237.112
2001-05-16,236.858
2001-05-17,240.924
2001-05-18,240.784
2001-05-21,237.356
2001-05-22,235.947
2001-05-23,232.976
2001-05-24,232.096
2001-05-25,234.18
2001-05-28,234.701
2001-05-29,230.815
2001-05-30,227.353
2001-05-31,226.049
2001-06-01,224.948
2001-06-04,224.57
2001-06-05,226.86
2001-06-06,227.499
2001-06-07,228.368
2001-06-08,228.844
2001-06-11,223.243
2001-06-12,219.518
2001-06-13,217.239
2001-06-14,218.439
2001-06-15,213.041
2001-06-18,214.578
2001-06-19,217.518
2001-06-20,211.78
2001-06-21,214.107
2001-06-22,214.32
2001-06-25,216.803
2001-06-26,213.351
2001-06-27,212.033
2001-06-28,212.558
2001-06-29,213.445
2001-07-02,215.642
2001-07-03,216.693
2001-07-04,216.793
2001-07-05,213.874
2001-07-06,210.958
2001-07-09,213.204
2001-07-10,215.279
2001-07-11,212.025
2001-07-12,209.581
2001-07-13,212.26
2001-07-16,212.699
2001-07-17,208.707
2001-07-18,213.623
2001-07-19,215.379
2001-07-20,215.549
2001-07-23,212.349
2001-07-24,212.061
2001-07-25,208.483
2001-07-26,208.862
2001-07-27,210.449
2001-07-30,210.605
2001-07-31,212.436
2001-08-01,215.856
2001-08-02,219.097
2001-08-03,219.197
2001-08-06,218.068
2001-08-07,217.297
2001-08-08,214.272
2001-08-09,213.32
2001-08-10,213.162
2001-08-13,218.071
2001-08-14,216.225
2001-08-15,217.747
2001-08-16,216.266
2001-08-17,213.963
2001-08-20,211.301
2001-08-21,212.275
2001-08-22,215.543
2001-08-23,215.539
