Date,BELGIUM IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,447.74
2001-01-02,460.011
2001-01-03,414.635
2001-01-04,409.079
2001-01-05,401.201
2001-01-08,403.349
2001-01-09,399.655
2001-01-10,400.356
2001-01-11,405.903
2001-01-12,405.125
2001-01-15,401.618
2001-01-16,405.745
2001-01-17,401.626
2001-01-18,404.747
2001-01-19,404.058
2001-01-22,402.64
2001-01-23,398.772
2001-01-24,390.476
2001-01-25,391.743
2001-01-26,398.507
2001-01-29,396.294
2001-01-30,405.504
2001-01-31,407.659
2001-02-01,413.194
2001-02-02,410.994
2001-02-05,411.485
2001-02-06,405.57
2001-02-07,405.847
2001-02-08,399.465
2001-02-09,399.749
2001-02-12,406.242
2001-02-13,407.554
2001-02-14,405.955
2001-02-15,398.681
2001-02-16,401.983
2001-02-19,407.11
2001-02-20,401.045
2001-02-21,403.43
2001-02-22,397.175
2001-02-23,394.538
2001-02-26,397.225
2001-02-27,403.203
2001-02-28,400.944
2001-03-01,390.523
2001-03-02,393.118
2001-03-05,395.216
2001-03-06,407.662
2001-03-07,405.12
2001-03-08,405.424
2001-03-09,400.972
2001-03-12,395.658
2001-03-13,383.697
2001-03-14,380.368
2001-03-15,376.111
2001-03-16,372.917
2001-03-19,364.702
2001-03-20,366.888
2001-03-21,358.843
2001-03-22,351.675
2001-03-23,360.861
2001-03-26,368.43
2001-03-27,377.598
2001-03-28,363.413
2001-03-29,353.458
2001-03-30,359.052
2001-04-02,358.392
2001-04-03,360.963
2001-04-04,365.46
2001-04-05,366.151
2001-04-06,366.421
2001-04-09,371.841
2001-04-10,364.64
2001-04-11,358.303
2001-04-12,357.576
2001-04-13,357.576
2001-04-16,353.914
2001-04-17,353.802
2001-04-18,352.668
2001-04-19,365.844
2001-04-20,364.307
2001-04-23,356.452
2001-04-24,360.452
2001-04-25,359.221
2001-04-26,366.241
2001-04-27,360.787
2001-04-30,361.778
2001-05-01,363.626
2001-05-02,356.025
2001-05-03,358.198
2001-05-04,355.403
2001-05-07,355.39
2001-05-08,353.29
2001-05-09,357.548
2001-05-10,356.258
2001-05-11,357.542
2001-05-14,355.516
2001-05-15,356.917
2001-05-16,355.466
2001-05-17,352.25
2001-05-18,346.646
2001-05-21,342.854
2001-05-22,340.533
2001-05-23,348.407
2001-05-24,354.628
2001-05-25,345.995
2001-05-28,348.452
2001-05-29,345.174
2001-05-30,344.143
2001-05-31,355.369
2001-06-01,336.432
2001-06-04,336.818
2001-06-05,340.478
2001-06-06,342.414
2001-06-07,343.085
2001-06-08,342.226
2001-06-11,338.649
2001-06-12,341.949
2001-06-13,345.565
2001-06-14,344.329
2001-06-15,344.886
2001-06-18,345.504
2001-06-19,343.356
2001-06-20,342.574
2001-06-21,343.743
2001-06-22,343.41
2001-06-25,344.836
2001-06-26,347.361
2001-06-27,348.619
2001-06-28,344.38
2001-06-29,344.472
2001-07-02,343.622
2001-07-03,345.025
2001-07-04,346.349
2001-07-05,343.45
2001-07-06,347.023
2001-07-09,356.595
2001-07-10,351.477
2001-07-11,353.322
2001-07-12,350.801
2001-07-13,349.713
2001-07-16,348.713
2001-07-17,347.457
2001-07-18,355.192
2001-07-19,356.282
2001-07-20,357.966
2001-07-23,379.6
2001-07-24,378.815
2001-07-25,378.674
2001-07-26,376.916
2001-07-27,376.374
2001-07-30,353.365
2001-07-31,354.111
2001-08-01,358.665
2001-08-02,359.826
2001-08-03,360.86
2001-08-06,363.881
2001-08-07,377.302
2001-08-08,357.681
2001-08-09,365.942
2001-08-10,368.563
2001-08-13,369.342
2001-08-14,374.07
2001-08-15,380.113
2001-08-16,377.781
2001-08-17,377.838
2001-08-20,371.013
2001-08-21,370.238
2001-08-22,372.702
2001-08-23,373.623
2001-08-24,375.25
2001-08-27,374.149
2001-08-28,372.716
2001-08-29,373.639
2001-08-30,373.658
2001-08-31,372.673
2001-09-03,378.099
2001-09-04,373.127
2001-09-05,375.651
2001-09-06,375.568
2001-09-07,370.908
2001-09-10,364.085
2001-09-11,367.914
2001-09-12,361.336
2001-09-13,361.914
2001-09-14,364.419
2001-09-17,359.502
2001-09-18,362.402
2001-09-19,371.578
2001-09-20,364.273
2001-09-21,341.606
2001-09-24,346.394
2001-09-25,350.283
2001-09-26,352.965
2001-09-27,356.23
2001-09-28,354.681
2001-10-01,357.682
2001-10-02,357.243
2001-10-03,356.599
2001-10-04,356.182
2001-10-05,358.21
2001-10-08,359.238
2001-10-09,360.823
2001-10-10,358.64
2001-10-11,355.501
2001-10-12,356.984
2001-10-15,351.583
2001-10-16,350.986
2001-10-17,362.526
2001-10-18,360.363
2001-10-19,358.6
2001-10-22,357.508
2001-10-23,358.55
2001-10-24,351.46
2001-10-25,353.047
2001-10-26,352.685
2001-10-29,356.575
2001-10-30,354.4
2001-10-31,354.814
2001-11-01,354.217
2001-11-02,364.763
2001-11-05,365.521
2001-11-06,366.351
2001-11-07,367.994
