Date,BELGIUM IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,281.562
1994-06-30,277.143
1994-07-29,286.011
1994-08-31,291.781
1994-09-30,279.815
1994-10-31,285.067
1994-11-30,271.954
1994-12-30,275.661
1995-01-31,272.462
1995-02-28,274.806
1995-03-31,281.895
1995-04-28,305.942
1995-05-31,312.794
1995-06-30,315.757
1995-07-31,327.153
1995-08-31,310.097
1995-09-29,319.765
1995-10-31,311.469
1995-11-30,311.076
1995-12-29,325.849
1996-01-31,337.633
1996-02-29,343.111
1996-03-29,338.156
1996-04-30,352.847
1996-05-31,363.205
1996-06-28,374.243
1996-07-31,373.885
1996-08-30,384.58
1996-09-30,383.312
1996-10-31,403.151
1996-11-29,429.037
1996-12-31,424.847
1997-01-31,425.21
1997-02-28,428.656
1997-03-31,432.717
1997-04-30,424.293
1997-05-30,435.404
1997-06-30,491.704
1997-07-31,506.932
1997-08-29,469.432
1997-09-30,502.871
1997-10-31,490.573
1997-11-28,474.645
1997-12-31,483.451
1998-01-30,523.133
1998-02-27,577.661
1998-03-31,616.044
1998-04-30,646.009
1998-05-29,663.704
1998-06-30,697.287
1998-07-31,733.252
1998-08-31,663.181
1998-09-30,654.137
1998-10-30,717.153
1998-11-30,741.492
1998-12-31,814.753
1999-01-29,789.534
1999-02-26,754.354
1999-03-31,702.88
1999-04-30,664.799
1999-05-31,639.207
1999-06-30,624.316
1999-07-30,614.111
1999-08-31,644.461
1999-09-30,608.224
1999-10-29,587.025
1999-11-30,571.272
1999-12-31,587.457
2000-01-31,505.307
2000-02-29,533.536
2000-03-31,558.268
2000-04-28,502.894
2000-05-31,516.125
2000-06-30,525.58
2000-07-31,486.491
2000-08-31,498.133
2000-09-29,427.892
2000-10-31,410.108
2000-11-30,401.744
2000-12-29,434.266
2001-01-31,395.392
2001-02-28,388.879
2001-03-30,348.247
2001-04-30,351.121
2001-05-31,344.987
2001-06-29,334.768
2001-07-31,344.144
2001-08-31,362.183
2001-09-28,344.706
2001-10-31,344.953
2001-11-30,371.905
2001-12-31,375.94
2002-01-31,367.704
2002-02-28,363.349
2002-03-29,368.37
2002-04-30,374.026
2002-05-31,383.71
2002-06-28,375.931
2002-07-31,359.093
2002-08-30,337.813
2002-09-30,315.696
2002-10-31,309.846
2002-11-29,311.598
2002-12-31,342.578
2003-01-31,322.447
2003-02-28,276.728
