Date,BELGIUM IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,434.266
2001-01-02,446.168
2001-01-03,402.158
2001-01-04,396.769
2001-01-05,389.128
2001-01-08,391.211
2001-01-09,387.628
2001-01-10,388.309
2001-01-11,393.689
2001-01-12,392.934
2001-01-15,389.533
2001-01-16,393.536
2001-01-17,389.541
2001-01-18,392.568
2001-01-19,391.9
2001-01-22,390.523
2001-01-23,386.772
2001-01-24,378.725
2001-01-25,379.954
2001-01-26,386.516
2001-01-29,384.369
2001-01-30,393.301
2001-01-31,395.392
2001-02-01,400.76
2001-02-02,398.627
2001-02-05,399.103
2001-02-06,393.366
2001-02-07,393.635
2001-02-08,387.445
2001-02-09,387.72
2001-02-12,394.018
2001-02-13,395.29
2001-02-14,393.739
2001-02-15,386.684
2001-02-16,389.887
2001-02-19,394.859
2001-02-20,388.977
2001-02-21,391.29
2001-02-22,385.223
2001-02-23,382.666
2001-02-26,385.272
2001-02-27,391.07
2001-02-28,388.879
2001-03-01,378.772
2001-03-02,381.288
2001-03-05,383.323
2001-03-06,395.394
2001-03-07,392.929
2001-03-08,393.224
2001-03-09,388.906
2001-03-12,383.752
2001-03-13,372.151
2001-03-14,368.922
2001-03-15,364.793
2001-03-16,361.695
2001-03-19,353.727
2001-03-20,355.848
2001-03-21,348.045
2001-03-22,341.092
2001-03-23,350.002
2001-03-26,357.343
2001-03-27,366.236
2001-03-28,352.477
2001-03-29,342.822
2001-03-30,348.247
2001-04-02,347.607
2001-04-03,350.101
2001-04-04,354.463
2001-04-05,355.132
2001-04-06,355.395
2001-04-09,360.651
2001-04-10,353.668
2001-04-11,347.521
2001-04-12,346.816
2001-04-13,346.816
2001-04-16,343.264
2001-04-17,343.155
2001-04-18,342.056
2001-04-19,354.835
2001-04-20,353.344
2001-04-23,345.726
2001-04-24,349.606
2001-04-25,348.64
2001-04-26,355.452
2001-04-27,350.159
2001-04-30,351.121
2001-05-01,352.914
2001-05-02,345.537
2001-05-03,347.647
2001-05-04,344.934
2001-05-07,344.921
2001-05-08,342.883
2001-05-09,347.015
2001-05-10,345.764
2001-05-11,347.01
2001-05-14,345.053
2001-05-15,346.413
2001-05-16,345.005
2001-05-17,341.884
2001-05-18,336.449
2001-05-21,332.768
2001-05-22,330.516
2001-05-23,338.158
2001-05-24,344.196
2001-05-25,335.841
2001-05-28,338.226
2001-05-29,335.089
2001-05-30,334.089
2001-05-31,344.987
2001-06-01,326.624
2001-06-04,326.998
2001-06-05,330.551
2001-06-06,332.431
2001-06-07,333.095
2001-06-08,332.26
2001-06-11,328.791
2001-06-12,331.996
2001-06-13,335.547
2001-06-14,334.481
2001-06-15,335.045
2001-06-18,335.649
2001-06-19,333.562
2001-06-20,332.803
2001-06-21,333.939
2001-06-22,333.615
2001-06-25,335.0
2001-06-26,337.454
2001-06-27,338.798
2001-06-28,334.678
2001-06-29,334.768
2001-07-02,333.946
2001-07-03,335.309
2001-07-04,336.596
2001-07-05,333.778
2001-07-06,337.255
2001-07-09,346.558
2001-07-10,341.584
2001-07-11,343.377
2001-07-12,340.927
2001-07-13,339.87
2001-07-16,338.898
2001-07-17,337.678
2001-07-18,345.194
2001-07-19,346.254
2001-07-20,347.89
2001-07-23,368.916
2001-07-24,368.152
2001-07-25,368.015
2001-07-26,366.307
2001-07-27,365.78
2001-07-30,343.419
2001-07-31,344.144
2001-08-01,348.57
2001-08-02,349.698
2001-08-03,350.703
2001-08-06,353.638
