Date,FINLAND Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,95.966
1988-02-29,97.955
1988-03-31,107.063
1988-04-29,108.33
1988-05-31,114.738
1988-06-30,113.537
1988-07-29,112.438
1988-08-31,105.723
1988-09-30,101.039
1988-10-31,109.782
1988-11-30,119.014
1988-12-30,113.724
1989-01-31,111.828
1989-02-28,115.215
1989-03-31,121.374
1989-04-28,127.254
1989-05-31,119.112
1989-06-30,115.92
1989-07-31,120.681
1989-08-31,111.251
1989-09-29,104.589
1989-10-31,100.777
1989-11-30,93.645
1989-12-29,102.769
1990-01-31,109.744
1990-02-28,106.682
1990-03-30,98.971
1990-04-30,91.162
1990-05-31,92.394
1990-06-29,90.754
1990-07-31,94.872
1990-08-31,87.913
1990-09-28,71.335
1990-10-31,71.119
1990-11-30,74.214
1990-12-31,70.234
1991-01-31,69.391
1991-02-28,76.475
1991-03-29,82.649
1991-04-30,78.132
1991-05-31,76.017
1991-06-28,66.314
1991-07-31,71.615
1991-08-30,68.217
1991-09-30,62.796
1991-10-31,61.714
1991-11-29,58.408
1991-12-31,57.54
1992-01-31,63.252
1992-02-28,62.147
1992-03-31,56.336
1992-04-30,56.479
1992-05-29,59.488
1992-06-30,56.141
1992-07-31,51.986
1992-08-31,44.821
1992-09-30,41.597
1992-10-30,48.638
1992-11-30,52.881
1992-12-31,50.081
1993-01-29,49.386
1993-02-26,50.687
1993-03-31,55.274
1993-04-30,68.83
1993-05-31,71.121
1993-06-30,67.249
1993-07-30,72.345
1993-08-31,80.308
1993-09-30,80.606
1993-10-29,91.605
1993-11-30,86.721
1993-12-31,91.494
1994-01-31,112.821
1994-02-28,111.082
1994-03-31,107.15
1994-04-29,115.263
1994-05-31,108.523
1994-06-30,107.272
1994-07-29,120.055
1994-08-31,131.452
1994-09-30,133.854
1994-10-31,150.37
1994-11-30,135.452
1994-12-30,139.234
1995-01-31,137.747
1995-02-28,138.594
1995-03-31,134.57
1995-04-28,151.75
1995-05-31,157.771
1995-06-30,180.709
1995-07-31,200.268
1995-08-31,196.768
1995-09-29,205.421
1995-10-31,175.766
1995-11-30,172.532
1995-12-29,145.587
1996-01-31,143.882
1996-02-29,140.898
1996-03-29,141.345
1996-04-30,141.288
1996-05-31,156.169
1996-06-28,149.162
1996-07-31,150.991
1996-08-30,167.799
1996-09-30,169.563
1996-10-31,173.651
1996-11-29,188.176
1996-12-31,195.006
1997-01-31,208.059
1997-02-28,205.042
1997-03-31,206.248
1997-04-30,206.507
1997-05-30,214.394
1997-06-30,229.049
1997-07-31,253.91
1997-08-29,232.098
1997-09-30,275.221
1997-10-31,254.861
1997-11-28,242.889
1997-12-31,228.703
1998-01-30,247.38
1998-02-27,294.029
1998-03-31,306.626
1998-04-30,362.797
1998-05-29,357.209
1998-06-30,378.694
1998-07-31,421.753
1998-08-31,339.421
1998-09-30,357.817
1998-10-30,401.258
1998-11-30,429.1
1998-12-31,506.896
1999-01-29,559.353
1999-02-26,527.634
1999-03-31,598.066
1999-04-30,593.905
1999-05-31,562.044
1999-06-30,651.588
1999-07-30,662.328
1999-08-31,639.185
1999-09-30,676.748
1999-10-29,811.076
1999-11-30,981.31
1999-12-31,1280.401
2000-01-31,1281.276
2000-02-29,1391.014
2000-03-31,1428.888
2000-04-28,1470.534
2000-05-31,1336.642
2000-06-30,1310.615
2000-07-31,1148.249
2000-08-31,1119.05
2000-09-29,1021.483
2000-10-31,1016.177
2000-11-30,1029.509
2000-12-29,1098.461
2001-01-31,911.373
2001-02-28,621.906
2001-03-30,634.98
2001-04-30,844.553
2001-05-31,748.868
2001-06-29,605.828
2001-07-31,592.134
2001-08-31,458.834
2001-09-28,455.769
2001-10-31,571.221
2001-11-30,628.212
2001-12-31,679.073
2002-01-31,621.673
2002-02-28,591.329
2002-03-29,596.127
2002-04-30,493.455
2002-05-31,459.546
2002-06-28,465.609
2002-07-31,398.547
2002-08-30,414.853
2002-09-30,398.288
2002-10-31,486.429
2002-11-29,550.749
2002-12-31,473.22
2003-01-31,425.858
2003-02-28,410.143
2003-03-31,420.558
2003-04-30,503.05
2003-05-30,527.508
2003-06-30,498.459
2003-07-31,484.487
2003-08-29,514.951
2003-09-30,494.137
2003-10-31,546.74
2003-11-28,576.984
2003-12-31,565.001
2004-01-30,638.062
2004-02-27,678.523
2004-03-31,650.582
2004-04-30,507.678
2004-05-31,502.27
2004-06-30,523.129
2004-07-30,458.167
2004-08-31,462.4
2004-09-30,513.864
2004-10-29,559.743
2004-11-30,608.642
2004-12-31,599.717
2005-01-31,580.448
2005-02-28,623.652
2005-03-31,602.955
2005-04-29,607.721
2005-05-31,633.737
2005-06-30,640.32
2005-07-29,639.741
2005-08-31,642.199
2005-09-30,678.639
2005-10-31,650.653
2005-11-30,660.085
2005-12-30,699.8
2006-01-31,733.819
2006-02-28,759.596
2006-03-31,837.243
2006-04-28,889.486
2006-05-31,836.956
2006-06-30,813.725
2006-07-31,805.688
2006-08-31,844.266
2006-09-29,823.522
2006-10-31,854.906
2006-11-30,883.735
2006-12-29,909.33
2007-01-31,943.954
2007-02-28,952.162
2007-03-30,1003.709
2007-04-30,1092.13
2007-05-31,1159.143
2007-06-29,1160.259
2007-07-31,1168.741
2007-08-31,1237.225
2007-09-28,1381.045
2007-10-31,1427.797
2007-11-30,1398.389
2007-12-31,1351.728
2008-01-31,1248.186
2008-02-29,1287.751
2008-03-31,1209.612
2008-04-30,1191.617
2008-05-30,1194.511
2008-06-30,1043.347
2008-07-31,1057.26
2008-08-29,998.631
2008-09-30,758.806
2008-10-31,624.547
2008-11-28,571.283
2008-12-31,606.02
2009-01-30,509.069
2009-02-27,415.514
2009-03-31,471.408
2009-04-30,598.781
2009-05-29,649.269
2009-06-30,618.849
2009-07-31,617.846
2009-08-31,669.905
2009-09-30,697.91
2009-10-30,642.308
2009-11-30,669.142
2009-12-31,673.521
2010-01-29,688.807
2010-02-26,672.159
2010-03-31,753.7
2010-04-30,686.022
2010-05-31,595.677
2010-06-30,554.5
2010-07-30,622.217
2010-08-31,597.171
2010-09-30,701.706
2010-10-29,730.29
2010-11-30,663.064
2010-12-31,742.793
2011-01-31,776.127
2011-02-28,726.903
2011-03-31,756.786
2011-04-29,808.536
2011-05-31,731.885
2011-06-30,697.768
2011-07-29,627.46
2011-08-31,603.109
2011-09-30,515.612
2011-10-31,589.53
2011-11-30,551.52
2011-12-30,505.871
2012-01-31,542.515
2012-02-29,586.812
2012-03-30,590.944
2012-04-30,542.288
2012-05-31,449.35
2012-06-29,463.565
2012-07-31,466.99
2012-08-31,493.842
2012-09-28,512.789
2012-10-31,526.728
2012-11-30,555.124
2012-12-31,579.561
2013-01-31,619.387
2013-02-28,608.389
2013-03-29,594.992
2013-04-30,627.133
2013-05-31,624.552
2013-06-28,597.956
2013-07-31,634.975
2013-08-30,646.775
2013-09-30,756.945
2013-10-31,806.521
2013-11-29,835.156
2013-12-31,846.414
2014-01-31,781.898
2014-02-28,865.555
2014-03-31,846.153
2014-04-30,864.149
2014-05-30,886.681
2014-06-30,883.024
2014-07-31,876.993
2014-08-29,880.556
2014-09-30,857.577
2014-10-31,853.531
2014-11-28,880.475
2014-12-31,840.399
2015-01-30,849.603
2015-02-27,884.491
2015-03-31,861.289
2015-04-30,845.482
2015-05-29,847.486
2015-06-30,827.769
2015-07-31,858.916
2015-08-31,792.027
2015-09-30,781.928
2015-10-30,857.751
2015-11-30,858.03
2015-12-31,857.338
2016-01-29,825.08
2016-02-29,772.255
2016-03-31,812.83
2016-04-29,805.881
2016-05-31,805.238
2016-06-30,795.586
2016-07-29,837.004
2016-08-31,824.946
2016-09-30,854.633
2016-10-31,797.447
2016-11-30,773.935
2016-12-30,817.034
2017-01-31,811.563
2017-02-28,839.218
2017-03-31,876.774
2017-04-28,931.465
2017-05-31,1000.711
2017-06-30,994.488
2017-07-31,1016.741
2017-08-31,1016.652
2017-09-29,1027.022
2017-10-31,1002.356
2017-11-30,1004.111
2017-12-29,1000.805
2018-01-31,1069.393
2018-02-28,1097.926
2018-03-30,1082.968
2018-04-30,1129.496
2018-05-31,1108.887
2018-06-29,1097.523
2018-07-31,1110.347
2018-08-31,1138.919
2018-09-28,1132.34
2018-10-31,1024.758
2018-11-30,973.429
2018-12-31,966.473
2019-01-31,1046.337
2019-02-28,1059.585
2019-03-29,1043.576
2019-04-30,1037.21
2019-05-31,989.775
2019-06-28,1045.632
2019-07-31,1036.083
2019-08-30,1001.293
2019-09-30,1026.895
2019-10-31,1025.503
2019-11-29,1006.93
2019-12-31,1058.139
2020-01-31,1070.283
2020-02-28,988.63
2020-03-31,856.306
2020-04-30,936.86
2020-05-29,1021.965
2020-06-30,1034.02
2020-07-31,1108.412
2020-08-31,1201.343
2020-09-30,1157.013
2020-10-30,1068.241
2020-11-30,1242.436
2020-12-31,1274.129
2021-01-29,1299.575
2021-02-26,1283.623
2021-03-31,1256.728
2021-04-30,1341.023
2021-05-31,1392.125
2021-06-30,1392.801
2021-07-30,1475.394
2021-08-31,1481.04
2021-09-30,1349.193
2021-10-29,1363.972
2021-11-30,1295.948
2021-12-31,1389.096
2022-01-31,1301.316
2022-02-28,1212.331
2022-03-31,1223.868
2022-04-29,1171.79
2022-05-31,1180.949
2022-06-30,1090.54
2022-07-29,1128.918
2022-08-31,1105.464
2022-09-30,1011.722
2022-10-31,1054.226
2022-11-30,1172.465
2022-12-30,1176.808
2023-01-31,1196.977
2023-02-28,1171.527
2023-03-31,1172.858
2023-04-28,1175.366
2023-05-31,1071.282
2023-06-30,1078.02
2023-07-31,1077.981
2023-08-31,1068.34
2023-09-29,1017.379
2023-10-31,981.406
2023-11-30,1066.022
2023-12-29,1111.082
2024-01-31,1106.879
2024-02-29,1067.501
2024-03-29,1064.071
2024-04-30,1085.595
2024-05-31,1145.523
2024-06-28,1096.272
2024-07-31,1106.654
2024-08-30,1168.424
2024-09-30,1184.987
2024-10-31,1117.224
2024-11-29,1054.31
2024-12-31,1029.606
2025-01-31,1099.096
2025-02-28,1145.838
2025-03-31,1166.524
2025-04-30,1234.728
2025-05-30,1293.459
2025-06-30,1344.579
2025-07-31,1305.412
2025-08-29,1365.647
2025-09-30,1418.956
2025-10-31,1525.927
2025-11-28,1519.3
