Date,FINLAND Standard (Large+Mid Cap)
2011-09-30,609.142
2011-10-31,696.468
2011-11-30,651.563
2011-12-30,597.634
2012-01-31,640.924
2012-02-29,693.256
2012-03-30,700.258
2012-04-30,648.28
2012-05-31,539.166
2012-06-29,556.222
2012-07-31,560.332
2012-08-31,592.551
2012-09-28,615.285
2012-10-31,632.75
2012-11-30,666.862
2012-12-31,696.218
2013-01-31,744.06
2013-02-28,731.724
2013-03-29,717.286
2013-04-30,762.853
2013-05-31,759.713
2013-06-28,727.362
2013-07-31,772.392
2013-08-30,786.745
2013-09-30,920.758
2013-10-31,981.062
2013-11-29,1015.895
2013-12-31,1030.325
2014-01-31,951.79
2014-02-28,1054.73
2014-03-31,1032.981
2014-04-30,1062.835
2014-05-30,1090.549
2014-06-30,1091.154
2014-07-31,1083.702
2014-08-29,1088.105
2014-09-30,1059.709
2014-10-31,1054.71
2014-11-28,1088.005
2014-12-31,1038.482
2015-01-30,1049.855
2015-02-27,1094.15
2015-03-31,1067.273
2015-04-30,1054.262
2015-05-29,1058.499
2015-06-30,1033.873
2015-07-31,1072.923
2015-08-31,989.368
2015-09-30,976.753
2015-10-30,1071.468
2015-11-30,1071.816
2015-12-31,1070.952
2016-01-29,1030.656
2016-02-29,964.67
2016-03-31,1018.329
2016-04-29,1016.662
2016-05-31,1015.851
2016-06-30,1008.143
2016-07-29,1060.626
2016-08-31,1045.347
2016-09-30,1082.965
2016-10-31,1010.501
2016-11-30,980.708
2016-12-30,1035.321
2017-01-31,1028.388
2017-02-28,1063.432
2017-03-31,1115.051
2017-04-28,1191.409
2017-05-31,1282.992
2017-06-30,1275.014
2017-07-31,1303.543
2017-08-31,1303.429
2017-09-29,1317.038
2017-10-31,1285.406
2017-11-30,1287.657
2017-12-29,1283.417
2018-01-31,1371.373
2018-02-28,1409.82
2018-03-30,1394.29
2018-04-30,1462.316
2018-05-31,1439.3
2018-06-29,1424.549
2018-07-31,1441.195
2018-08-31,1478.281
2018-09-28,1470.087
2018-10-31,1330.761
2018-11-30,1264.105
2018-12-31,1255.071
2019-01-31,1358.783
2019-02-28,1377.811
2019-03-29,1360.301
2019-04-30,1360.19
2019-05-31,1298.885
2019-06-28,1372.187
2019-07-31,1360.571
2019-08-30,1314.888
2019-09-30,1348.851
2019-10-31,1347.774
2019-11-29,1323.364
2019-12-31,1390.666
2020-01-31,1406.626
2020-02-28,1301.092
2020-03-31,1127.26
2020-04-30,1238.935
2020-05-29,1352.755
2020-06-30,1371.921
2020-07-31,1470.623
2020-08-31,1593.922
2020-09-30,1535.499
2020-10-30,1418.494
2020-11-30,1649.803
2020-12-31,1692.215
2021-01-29,1726.009
2021-02-26,1704.823
2021-03-31,1677.563
2021-04-30,1793.95
2021-05-31,1865.87
2021-06-30,1866.776
2021-07-30,1977.477
2021-08-31,1985.044
2021-09-30,1808.945
2021-10-29,1829.484
2021-11-30,1738.244
2021-12-31,1863.182
2022-01-31,1745.444
2022-02-28,1626.089
2022-03-31,1652.492
2022-04-29,1583.611
2022-05-31,1604.856
2022-06-30,1482.27
2022-07-29,1534.868
2022-08-31,1502.979
2022-09-30,1376.667
2022-10-31,1434.916
2022-11-30,1595.852
2022-12-30,1602.047
2023-01-31,1629.953
2023-02-28,1595.297
2023-03-31,1603.398
2023-04-28,1611.189
2023-05-31,1473.712
2023-06-30,1483.28
2023-07-31,1483.898
2023-08-31,1470.627
2023-09-29,1403.141
2023-10-31,1356.325
2023-11-30,1473.266
2023-12-29,1535.794
2024-01-31,1530.521
2024-02-29,1476.072
2024-03-29,1485.862
2024-04-30,1521.758
2024-05-31,1605.765
2024-06-28,1536.725
2024-07-31,1552.08
2024-08-30,1638.711
2024-09-30,1662.243
2024-10-31,1572.285
2024-11-29,1483.745
2024-12-31,1449.17
2025-01-31,1547.218
2025-02-28,1613.581
2025-03-31,1657.367
2025-04-30,1761.355
2025-05-30,1845.978
2025-06-30,1918.934
2025-07-31,1864.078
2025-08-29,1950.092
