Date,FINLAND Standard (Large+Mid Cap)
2001-01-01,1098.461
2001-01-02,1071.828
2001-01-03,988.658
2001-01-04,1087.998
2001-01-05,1099.982
2001-01-08,1066.413
2001-01-09,978.016
2001-01-10,966.925
2001-01-11,1027.854
2001-01-12,1047.401
2001-01-15,1038.88
2001-01-16,985.59
2001-01-17,1019.236
2001-01-18,1032.642
2001-01-19,1017.189
2001-01-22,996.7
2001-01-23,985.184
2001-01-24,978.804
2001-01-25,950.885
2001-01-26,943.885
2001-01-29,928.976
2001-01-30,889.346
2001-01-31,911.373
2001-02-01,885.291
2001-02-02,868.879
2001-02-05,855.132
2001-02-06,876.86
2001-02-07,831.097
2001-02-08,806.904
2001-02-09,747.605
2001-02-12,775.764
2001-02-13,763.1
2001-02-14,710.442
2001-02-15,758.401
2001-02-16,719.209
2001-02-19,706.026
2001-02-20,697.77
2001-02-21,672.437
2001-02-22,627.009
2001-02-23,592.216
2001-02-26,609.108
2001-02-27,627.025
2001-02-28,621.906
2001-03-01,620.444
2001-03-02,661.967
2001-03-05,686.459
2001-03-06,715.632
2001-03-07,698.119
2001-03-08,670.442
2001-03-09,657.251
2001-03-12,607.592
2001-03-13,619.08
2001-03-14,613.939
2001-03-15,671.88
2001-03-16,653.358
2001-03-19,673.302
2001-03-20,704.05
2001-03-21,669.592
2001-03-22,628.399
2001-03-23,680.465
2001-03-26,714.089
2001-03-27,690.748
2001-03-28,673.015
2001-03-29,634.754
2001-03-30,634.98
2001-04-02,632.16
2001-04-03,598.365
2001-04-04,606.169
2001-04-05,640.461
2001-04-06,636.089
2001-04-09,640.883
2001-04-10,669.908
2001-04-11,695.623
2001-04-12,702.542
2001-04-13,702.542
2001-04-16,695.348
2001-04-17,667.449
2001-04-18,736.818
2001-04-19,766.812
2001-04-20,795.382
2001-04-23,780.892
2001-04-24,772.852
2001-04-25,766.052
2001-04-26,781.718
2001-04-27,812.596
2001-04-30,844.553
2001-05-01,849.031
2001-05-02,854.116
2001-05-03,831.583
2001-05-04,838.581
2001-05-07,840.749
2001-05-08,824.395
2001-05-09,809.443
2001-05-10,841.419
2001-05-11,812.648
2001-05-14,786.569
2001-05-15,795.058
2001-05-16,795.11
2001-05-17,837.027
2001-05-18,854.33
2001-05-21,859.318
2001-05-22,862.69
2001-05-23,835.677
2001-05-24,832.522
2001-05-25,809.533
2001-05-28,809.056
2001-05-29,791.389
2001-05-30,761.125
2001-05-31,748.868
2001-06-01,747.732
2001-06-04,753.405
2001-06-05,778.691
2001-06-06,782.083
2001-06-07,782.04
2001-06-08,776.571
2001-06-11,745.96
2001-06-12,610.33
2001-06-13,639.533
2001-06-14,606.121
2001-06-15,603.741
2001-06-18,602.854
2001-06-19,614.482
2001-06-20,596.665
2001-06-21,607.299
2001-06-22,607.904
2001-06-25,608.9
2001-06-26,597.872
2001-06-27,593.303
2001-06-28,584.739
2001-06-29,605.828
2001-07-02,615.889
2001-07-03,605.79
2001-07-04,591.031
2001-07-05,563.429
2001-07-06,539.784
2001-07-09,526.42
2001-07-10,523.324
2001-07-11,507.331
2001-07-12,524.009
2001-07-13,513.588
2001-07-16,502.411
2001-07-17,486.167
2001-07-18,498.95
2001-07-19,549.555
2001-07-20,530.971
2001-07-23,531.557
2001-07-24,537.936
2001-07-25,535.346
2001-07-26,542.322
2001-07-27,564.534
2001-07-30,581.91
2001-07-31,592.134
2001-08-01,586.526
2001-08-02,603.952
2001-08-03,600.538
2001-08-06,583.868
2001-08-07,585.182
2001-08-08,566.276
2001-08-09,540.735
2001-08-10,520.255
2001-08-13,531.929
2001-08-14,546.108
2001-08-15,535.666
2001-08-16,517.214
2001-08-17,500.245
2001-08-20,491.621
2001-08-21,502.133
2001-08-22,503.248
2001-08-23,507.895
2001-08-24,508.098
2001-08-27,497.121
2001-08-28,483.727
2001-08-29,469.448
2001-08-30,448.341
2001-08-31,458.834
2001-09-03,456.202
2001-09-04,449.246
2001-09-05,427.659
2001-09-06,411.106
2001-09-07,399.835
2001-09-10,411.452
2001-09-11,398.846
2001-09-12,427.315
2001-09-13,442.037
2001-09-14,422.092
2001-09-17,441.822
2001-09-18,447.3
2001-09-19,456.472
2001-09-20,452.978
2001-09-21,434.862
2001-09-24,463.548
2001-09-25,473.892
2001-09-26,464.795
2001-09-27,438.608
2001-09-28,455.769
2001-10-01,433.951
2001-10-02,444.678
2001-10-03,435.952
2001-10-04,470.512
2001-10-05,475.408
2001-10-08,482.309
2001-10-09,492.575
2001-10-10,498.543
2001-10-11,522.212
2001-10-12,527.199
2001-10-15,511.546
2001-10-16,528.414
2001-10-17,550.209
2001-10-18,520.214
2001-10-19,538.208
2001-10-22,548.443
2001-10-23,577.815
2001-10-24,586.283
2001-10-25,566.933
2001-10-26,581.513
2001-10-29,578.046
2001-10-30,550.272
2001-10-31,571.221
2001-11-01,572.412
2001-11-02,584.522
2001-11-05,598.003
2001-11-06,610.773
2001-11-07,601.689
2001-11-08,625.811
2001-11-09,607.3
2001-11-12,592.603
2001-11-13,622.865
2001-11-14,635.553
2001-11-15,650.187
2001-11-16,662.854
2001-11-19,646.622
2001-11-20,624.284
2001-11-21,616.831
2001-11-22,643.066
2001-11-23,643.706
2001-11-26,655.926
2001-11-27,625.555
2001-11-28,614.1
2001-11-29,603.317
2001-11-30,628.212
2001-12-03,616.312
2001-12-04,637.815
2001-12-05,667.022
2001-12-06,669.313
2001-12-07,672.853
2001-12-10,649.167
2001-12-11,675.117
