Date,BELGIUM SMID CAP SMID (Small+Mid Cap)
2001-01-01,346.021
2001-01-02,347.453
2001-01-03,344.848
2001-01-04,347.345
2001-01-05,350.647
2001-01-08,349.347
2001-01-09,345.157
2001-01-10,343.787
2001-01-11,346.884
2001-01-12,346.608
2001-01-15,343.75
2001-01-16,343.399
2001-01-17,341.284
2001-01-18,345.69
2001-01-19,345.277
2001-01-22,345.01
2001-01-23,345.081
2001-01-24,338.68
2001-01-25,336.711
2001-01-26,337.778
2001-01-29,335.911
2001-01-30,336.251
2001-01-31,337.857
2001-02-01,344.478
2001-02-02,344.2
2001-02-05,352.421
2001-02-06,352.377
2001-02-07,351.708
2001-02-08,343.417
2001-02-09,347.246
2001-02-12,349.734
2001-02-13,350.637
2001-02-14,346.844
2001-02-15,342.713
2001-02-16,346.611
2001-02-19,347.973
2001-02-20,347.224
2001-02-21,349.207
2001-02-22,347.186
2001-02-23,347.005
2001-02-26,349.861
2001-02-27,352.779
2001-02-28,354.463
2001-03-01,357.495
2001-03-02,359.946
2001-03-05,359.598
2001-03-06,361.642
2001-03-07,359.287
2001-03-08,359.583
2001-03-09,357.606
2001-03-12,354.513
2001-03-13,343.145
2001-03-14,335.744
2001-03-15,331.53
2001-03-16,323.368
2001-03-19,323.168
2001-03-20,326.001
2001-03-21,316.964
2001-03-22,302.849
2001-03-23,307.432
2001-03-26,315.431
2001-03-27,319.08
2001-03-28,318.749
2001-03-29,317.042
2001-03-30,323.502
2001-04-02,325.604
2001-04-03,325.195
2001-04-04,328.947
2001-04-05,329.824
2001-04-06,332.627
2001-04-09,333.664
2001-04-10,332.276
2001-04-11,331.497
2001-04-12,332.383
2001-04-13,332.383
2001-04-16,328.979
2001-04-17,328.232
2001-04-18,324.968
2001-04-19,330.337
2001-04-20,331.02
2001-04-23,325.412
2001-04-24,324.084
2001-04-25,324.379
2001-04-26,327.293
2001-04-27,324.309
2001-04-30,326.123
2001-05-01,327.787
2001-05-02,327.642
2001-05-03,326.983
2001-05-04,325.793
2001-05-07,323.993
2001-05-08,322.897
2001-05-09,321.924
2001-05-10,322.971
2001-05-11,321.261
2001-05-14,318.764
2001-05-15,320.518
2001-05-16,321.556
2001-05-17,320.524
2001-05-18,320.126
2001-05-21,317.512
2001-05-22,317.094
2001-05-23,316.324
2001-05-24,314.893
2001-05-25,315.234
2001-05-28,316.824
2001-05-29,316.446
2001-05-30,318.506
2001-05-31,319.211
2001-06-01,317.501
2001-06-04,317.9
2001-06-05,326.979
2001-06-06,331.952
2001-06-07,332.525
2001-06-08,332.661
2001-06-11,329.087
2001-06-12,330.334
2001-06-13,333.223
2001-06-14,332.945
2001-06-15,331.423
2001-06-18,331.363
2001-06-19,329.528
2001-06-20,327.141
2001-06-21,327.593
2001-06-22,328.942
2001-06-25,329.23
2001-06-26,328.264
2001-06-27,328.05
2001-06-28,323.772
2001-06-29,323.587
2001-07-02,321.773
2001-07-03,322.867
2001-07-04,318.608
2001-07-05,317.675
2001-07-06,319.318
2001-07-09,322.446
2001-07-10,324.824
2001-07-11,325.253
2001-07-12,322.543
2001-07-13,324.016
2001-07-16,324.833
2001-07-17,323.251
2001-07-18,331.249
2001-07-19,331.472
2001-07-20,333.777
2001-07-23,331.956
2001-07-24,334.151
2001-07-25,333.538
2001-07-26,331.994
2001-07-27,331.273
2001-07-30,333.694
2001-07-31,334.85
2001-08-01,337.614
2001-08-02,338.357
2001-08-03,339.203
2001-08-06,339.412
2001-08-07,338.266
2001-08-08,338.246
2001-08-09,341.404
2001-08-10,345.569
2001-08-13,346.474
2001-08-14,346.347
2001-08-15,350.889
2001-08-16,348.214
2001-08-17,347.435
2001-08-20,344.342
2001-08-21,343.331
2001-08-22,345.733
2001-08-23,345.493
2001-08-24,347.244
2001-08-27,344.777
2001-08-28,344.115
2001-08-29,343.088
2001-08-30,342.412
2001-08-31,341.938
2001-09-03,339.991
2001-09-04,332.729
2001-09-05,331.153
2001-09-06,330.382
2001-09-07,329.647
2001-09-10,320.439
2001-09-11,312.56
2001-09-12,308.625
2001-09-13,310.184
2001-09-14,306.916
2001-09-17,303.483
2001-09-18,301.669
2001-09-19,302.59
2001-09-20,293.851
2001-09-21,281.661
2001-09-24,291.155
2001-09-25,295.919
2001-09-26,303.877
2001-09-27,308.31
2001-09-28,310.754
2001-10-01,313.483
2001-10-02,313.958
2001-10-03,311.802
2001-10-04,315.198
2001-10-05,317.542
2001-10-08,315.488
2001-10-09,316.293
2001-10-10,315.492
2001-10-11,317.141
2001-10-12,316.965
2001-10-15,312.407
2001-10-16,313.398
2001-10-17,315.068
2001-10-18,313.239
2001-10-19,309.894
2001-10-22,309.438
2001-10-23,311.521
2001-10-24,310.622
2001-10-25,309.838
2001-10-26,311.238
2001-10-29,311.272
2001-10-30,309.838
2001-10-31,307.901
2001-11-01,310.775
2001-11-02,310.998
2001-11-05,310.242
2001-11-06,311.806
2001-11-07,314.39
2001-11-08,314.141
2001-11-09,311.793
2001-11-12,308.611
2001-11-13,307.593
2001-11-14,309.636
2001-11-15,309.047
2001-11-16,309.277
2001-11-19,310.226
2001-11-20,309.486
2001-11-21,307.138
2001-11-22,310.438
2001-11-23,310.216
2001-11-26,309.796
2001-11-27,310.0
2001-11-28,310.981
2001-11-29,313.661
2001-11-30,322.091
2001-12-03,317.943
2001-12-04,319.702
2001-12-05,320.955
2001-12-06,325.977
2001-12-07,327.015
2001-12-10,324.942
2001-12-11,321.817
2001-12-12,323.456
2001-12-13,321.375
2001-12-14,318.773
2001-12-17,325.942
2001-12-18,324.764
2001-12-19,326.101
2001-12-20,327.182
2001-12-21,325.218
2001-12-24,324.722
2001-12-25,324.722
2001-12-26,325.0
2001-12-27,331.403
2001-12-28,332.667
2001-12-31,335.871
2002-01-01,335.871
2002-01-02,340.507
2002-01-03,343.739
2002-01-04,341.07
2002-01-07,340.477
2002-01-08,339.214
2002-01-09,337.236
2002-01-10,335.197
2002-01-11,335.318
2002-01-14,333.648
2002-01-15,333.608
2002-01-16,329.962
2002-01-17,331.384
2002-01-18,335.788
2002-01-21,336.017
2002-01-22,336.187
2002-01-23,341.215
2002-01-24,342.282
2002-01-25,335.094
2002-01-28,335.047
2002-01-29,334.874
2002-01-30,332.729
2002-01-31,333.163
2002-02-01,334.174
2002-02-04,338.234
2002-02-05,336.221
2002-02-06,336.563
2002-02-07,335.317
2002-02-08,336.569
2002-02-11,340.805
2002-02-12,341.141
2002-02-13,340.712
2002-02-14,342.713
2002-02-15,342.901
2002-02-18,339.758
2002-02-19,339.313
2002-02-20,336.685
2002-02-21,336.854
2002-02-22,337.555
2002-02-25,334.378
2002-02-26,334.081
2002-02-27,333.174
2002-02-28,334.455
2002-03-01,332.854
2002-03-04,339.436
2002-03-05,339.341
2002-03-06,340.708
2002-03-07,342.309
2002-03-08,337.935
2002-03-11,338.954
2002-03-12,336.793
2002-03-13,339.568
2002-03-14,341.906
2002-03-15,341.829
2002-03-18,342.736
2002-03-19,346.144
2002-03-20,347.093
2002-03-21,346.558
2002-03-22,346.939
2002-03-25,346.571
2002-03-26,346.508
2002-03-27,343.77
2002-03-28,344.995
2002-03-29,344.995
2002-04-01,347.823
2002-04-02,347.586
2002-04-03,347.949
2002-04-04,348.34
2002-04-05,345.425
2002-04-08,342.981
2002-04-09,343.011
2002-04-10,344.836
2002-04-11,345.28
2002-04-12,345.345
2002-04-15,345.076
2002-04-16,347.223
2002-04-17,349.49
2002-04-18,349.425
2002-04-19,350.907
2002-04-22,350.662
2002-04-23,352.558
2002-04-24,353.631
2002-04-25,353.694
2002-04-26,352.277
2002-04-29,349.982
2002-04-30,350.799
2002-05-01,352.784
2002-05-02,348.972
2002-05-03,352.539
2002-05-06,355.484
2002-05-07,351.569
2002-05-08,354.086
2002-05-09,354.589
2002-05-10,356.991
2002-05-13,357.297
2002-05-14,357.442
2002-05-15,359.712
2002-05-16,359.814
2002-05-17,363.236
2002-05-20,363.188
2002-05-21,361.457
2002-05-22,362.611
2002-05-23,359.735
2002-05-24,359.709
2002-05-27,357.943
2002-05-28,362.381
2002-05-29,360.913
2002-05-30,362.148
2002-05-31,361.572
2002-06-03,362.23
2002-06-04,359.891
2002-06-05,358.697
2002-06-06,361.878
2002-06-07,361.284
2002-06-10,361.669
2002-06-11,361.135
2002-06-12,352.731
2002-06-13,343.904
2002-06-14,340.044
2002-06-17,347.909
2002-06-18,348.902
2002-06-19,348.317
2002-06-20,346.627
2002-06-21,348.415
2002-06-24,342.396
2002-06-25,345.898
2002-06-26,348.646
2002-06-27,349.322
2002-06-28,358.521
2002-07-01,360.923
2002-07-02,353.578
2002-07-03,344.484
2002-07-04,347.997
2002-07-05,353.463
2002-07-08,358.818
2002-07-09,359.972
2002-07-10,348.996
2002-07-11,338.024
2002-07-12,339.651
2002-07-15,336.678
2002-07-16,334.723
2002-07-17,338.454
2002-07-18,342.186
2002-07-19,336.07
2002-07-22,324.138
2002-07-23,312.855
2002-07-24,305.754
2002-07-25,321.053
2002-07-26,321.495
2002-07-29,323.739
2002-07-30,324.912
2002-07-31,326.111
2002-08-01,320.9
2002-08-02,317.477
2002-08-05,307.984
2002-08-06,303.008
2002-08-07,305.669
2002-08-08,310.443
2002-08-09,311.76
2002-08-12,310.727
2002-08-13,311.03
2002-08-14,310.312
2002-08-15,314.923
2002-08-16,311.524
2002-08-19,313.875
2002-08-20,311.617
2002-08-21,315.266
2002-08-22,314.32
2002-08-23,318.841
2002-08-26,319.84
2002-08-27,326.837
2002-08-28,319.188
2002-08-29,315.013
2002-08-30,313.505
2002-09-02,311.678
2002-09-03,310.381
2002-09-04,308.097
2002-09-05,305.123
2002-09-06,305.637
2002-09-09,300.918
2002-09-10,302.59
2002-09-11,306.614
2002-09-12,304.36
2002-09-13,301.602
2002-09-16,299.04
2002-09-17,297.03
2002-09-18,292.542
2002-09-19,292.674
2002-09-20,286.891
2002-09-23,283.089
2002-09-24,274.137
2002-09-25,274.042
2002-09-26,276.388
2002-09-27,275.88
2002-09-30,272.666
2002-10-01,276.265
2002-10-02,279.645
2002-10-03,274.763
2002-10-04,267.626
2002-10-07,264.77
2002-10-08,259.544
2002-10-09,257.238
2002-10-10,254.005
2002-10-11,264.599
2002-10-14,261.239
2002-10-15,273.885
2002-10-16,275.267
2002-10-17,277.221
2002-10-18,276.685
2002-10-21,277.636
2002-10-22,278.863
2002-10-23,274.95
2002-10-24,274.543
2002-10-25,272.395
2002-10-28,274.056
2002-10-29,269.458
2002-10-30,270.383
2002-10-31,275.597
2002-11-01,278.135
2002-11-04,281.489
2002-11-05,286.755
2002-11-06,284.707
2002-11-07,289.376
2002-11-08,289.446
2002-11-11,287.697
2002-11-12,287.202
2002-11-13,284.588
2002-11-14,289.848
2002-11-15,292.153
2002-11-18,294.981
2002-11-19,293.932
2002-11-20,292.485
2002-11-21,294.988
2002-11-22,296.128
2002-11-25,294.038
2002-11-26,291.055
2002-11-27,292.775
2002-11-28,293.748
2002-11-29,293.388
2002-12-02,295.572
2002-12-03,292.019
2002-12-04,290.759
2002-12-05,291.647
2002-12-06,293.046
2002-12-09,290.759
2002-12-10,291.192
2002-12-11,293.803
2002-12-12,294.023
2002-12-13,293.375
2002-12-16,293.052
2002-12-17,297.411
2002-12-18,296.356
2002-12-19,296.2
2002-12-20,298.624
2002-12-23,299.583
2002-12-24,301.534
2002-12-25,301.534
2002-12-26,302.294
2002-12-27,302.125
2002-12-30,306.314
2002-12-31,309.419
2003-01-01,309.419
2003-01-02,308.428
2003-01-03,307.628
2003-01-06,309.419
2003-01-07,306.702
2003-01-08,301.552
2003-01-09,306.125
2003-01-10,307.159
2003-01-13,307.023
2003-01-14,309.466
2003-01-15,311.043
2003-01-16,309.953
2003-01-17,309.961
2003-01-20,309.012
2003-01-21,308.981
2003-01-22,306.16
2003-01-23,304.785
2003-01-24,306.404
2003-01-27,299.54
2003-01-28,300.329
2003-01-29,298.331
2003-01-30,296.927
2003-01-31,302.32
2003-02-03,298.766
2003-02-04,299.256
2003-02-05,297.432
2003-02-06,292.951
2003-02-07,289.294
2003-02-10,284.998
2003-02-11,286.422
2003-02-12,284.233
2003-02-13,284.784
2003-02-14,288.11
2003-02-17,287.841
2003-02-18,290.368
2003-02-19,289.471
2003-02-20,290.089
2003-02-21,288.897
2003-02-24,283.863
2003-02-25,276.519
2003-02-26,272.769
2003-02-27,270.763
2003-02-28,275.815
2003-03-03,273.795
2003-03-04,273.251
2003-03-05,272.699
2003-03-06,269.615
2003-03-07,266.224
2003-03-10,262.061
2003-03-11,259.844
2003-03-12,254.607
2003-03-13,264.213
2003-03-14,273.514
2003-03-17,274.827
2003-03-18,272.233
2003-03-19,273.367
2003-03-20,271.844
2003-03-21,275.693
2003-03-24,273.133
2003-03-25,273.217
2003-03-26,273.639
2003-03-27,272.402
2003-03-28,274.42
2003-03-31,276.013
2003-04-01,278.493
2003-04-02,281.863
2003-04-03,283.117
2003-04-04,288.053
2003-04-07,293.981
2003-04-08,291.452
2003-04-09,293.308
2003-04-10,295.477
2003-04-11,293.721
2003-04-14,297.686
2003-04-15,302.919
2003-04-16,304.609
2003-04-17,305.423
2003-04-18,305.423
2003-04-21,304.107
2003-04-22,305.927
2003-04-23,308.909
2003-04-24,310.351
2003-04-25,305.607
2003-04-28,305.837
2003-04-29,311.093
2003-04-30,316.462
2003-05-01,319.368
2003-05-02,317.495
2003-05-05,321.132
2003-05-06,327.083
2003-05-07,333.228
2003-05-08,330.202
2003-05-09,336.013
2003-05-12,337.045
2003-05-13,338.049
2003-05-14,340.422
2003-05-15,339.157
2003-05-16,347.154
2003-05-19,343.231
2003-05-20,348.759
2003-05-21,346.863
2003-05-22,350.409
2003-05-23,354.086
2003-05-26,354.603
2003-05-27,355.906
2003-05-28,355.755
2003-05-29,360.604
2003-05-30,362.658
2003-06-02,359.198
2003-06-03,362.201
2003-06-04,366.421
2003-06-05,369.469
2003-06-06,369.933
2003-06-09,370.787
2003-06-10,366.173
2003-06-11,365.792
2003-06-12,365.401
2003-06-13,362.81
2003-06-16,365.201
2003-06-17,364.364
2003-06-18,360.219
2003-06-19,357.023
2003-06-20,357.466
2003-06-23,352.218
2003-06-24,346.492
2003-06-25,350.124
2003-06-26,344.34
2003-06-27,347.304
2003-06-30,351.615
2003-07-01,350.172
2003-07-02,349.573
2003-07-03,349.88
2003-07-04,348.378
2003-07-07,350.004
2003-07-08,347.737
2003-07-09,347.956
2003-07-10,346.878
2003-07-11,346.297
2003-07-14,349.309
2003-07-15,348.121
2003-07-16,344.15
2003-07-17,344.048
2003-07-18,343.506
2003-07-21,347.538
2003-07-22,348.874
2003-07-23,351.877
2003-07-24,354.596
2003-07-25,357.558
2003-07-28,355.968
2003-07-29,354.924
2003-07-30,351.768
2003-07-31,349.691
2003-08-01,355.235
2003-08-04,358.308
2003-08-05,361.806
