Date,BELGIUM SMID CAP SMID (Small+Mid Cap)
2011-11-30,694.363
2011-12-30,663.759
2012-01-31,716.934
2012-02-29,760.014
2012-03-30,770.424
2012-04-30,751.14
2012-05-31,668.794
2012-06-29,708.058
2012-07-31,709.362
2012-08-31,739.137
2012-09-28,787.432
2012-10-31,801.691
2012-11-30,830.246
2012-12-31,885.893
2013-01-31,946.219
2013-02-28,927.038
2013-03-29,911.533
2013-04-30,966.282
2013-05-31,969.943
2013-06-28,920.51
2013-07-31,983.209
2013-08-30,986.399
2013-09-30,1046.738
2013-10-31,1100.069
2013-11-29,1087.276
2013-12-31,1133.599
2014-01-31,1105.6
2014-02-28,1203.605
2014-03-31,1213.107
2014-04-30,1220.538
2014-05-30,1209.695
2014-06-30,1194.363
2014-07-31,1173.435
2014-08-29,1180.283
2014-09-30,1129.375
2014-10-31,1077.745
2014-11-28,1107.859
2014-12-31,1098.369
2015-01-30,1108.716
2015-02-27,1158.778
2015-03-31,1123.103
2015-04-30,1162.614
2015-05-29,1180.28
2015-06-30,1164.68
2015-07-31,1224.519
2015-08-31,1164.755
2015-09-30,1131.279
2015-10-30,1214.696
2015-11-30,1204.776
2015-12-31,1242.402
2016-01-29,1152.375
2016-02-29,1140.2
2016-03-31,1216.421
2016-04-29,1216.066
2016-05-31,1253.194
2016-06-30,1193.603
2016-07-29,1259.525
2016-08-31,1263.386
2016-09-30,1326.412
2016-10-31,1296.295
2016-11-30,1259.617
2016-12-30,1304.581
2017-01-31,1322.919
2017-02-28,1312.185
2017-03-31,1387.617
2017-04-28,1431.891
2017-05-31,1502.197
2017-06-30,1487.25
2017-07-31,1573.476
2017-08-31,1573.93
2017-09-29,1631.882
2017-10-31,1646.841
2017-11-30,1647.051
2017-12-29,1658.029
2018-01-31,1816.07
2018-02-28,1767.139
2018-03-30,1692.955
2018-04-30,1702.64
2018-05-31,1657.704
2018-06-29,1610.986
2018-07-31,1692.752
2018-08-31,1656.405
2018-09-28,1638.234
2018-10-31,1506.379
2018-11-30,1498.906
2018-12-31,1428.903
2019-01-31,1519.763
2019-02-28,1539.439
2019-03-29,1568.203
2019-04-30,1619.427
2019-05-31,1510.416
2019-06-28,1574.961
2019-07-31,1609.387
2019-08-30,1604.136
2019-09-30,1637.753
2019-10-31,1738.328
2019-11-29,1785.251
2019-12-31,1850.593
2020-01-31,1809.175
2020-02-28,1626.918
2020-03-31,1474.843
2020-04-30,1573.97
2020-05-29,1636.599
2020-06-30,1638.74
2020-07-31,1670.644
2020-08-31,1704.319
2020-09-30,1688.837
2020-10-30,1562.493
2020-11-30,1845.459
2020-12-31,1896.274
2021-01-29,1931.74
2021-02-26,1996.239
2021-03-31,1928.096
2021-04-30,2019.929
2021-05-31,2087.108
2021-06-30,2055.766
2021-07-30,2120.839
2021-08-31,2168.556
2021-09-30,2015.275
2021-10-29,2051.755
2021-11-30,1967.25
2021-12-31,2089.907
2022-01-31,1917.912
2022-02-28,1925.345
2022-03-31,1973.879
2022-04-29,1849.163
2022-05-31,1850.028
2022-06-30,1699.027
2022-07-29,1750.212
2022-08-31,1664.834
2022-09-30,1489.537
2022-10-31,1584.719
2022-11-30,1680.701
2022-12-30,1757.157
2023-01-31,1865.784
2023-02-28,1840.782
2023-03-31,1818.507
2023-04-28,1851.282
2023-05-31,1693.136
2023-06-30,1725.282
2023-07-31,1814.472
2023-08-31,1721.477
2023-09-29,1624.829
2023-10-31,1550.882
2023-11-30,1741.106
2023-12-29,1877.529
2024-01-31,1778.658
2024-02-29,1712.201
2024-03-29,1773.464
2024-04-30,1769.687
2024-05-31,1850.683
2024-06-28,1727.696
2024-07-31,1783.021
2024-08-30,1845.749
2024-09-30,1896.251
2024-10-31,1744.454
2024-11-29,1665.993
2024-12-31,1598.092
2025-01-31,1640.823
2025-02-28,1636.765
2025-03-31,1712.593
2025-04-30,1869.27
2025-05-30,1955.927
2025-06-30,2035.782
